* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset Microphone (Realtek(R) Audio), MICROPHONE (Hauptlautstärke), L, volume: 1,000
* Format: 256k Log Swept Sine, 1 sweep at -8,0 dBFS with no timing reference
* Dated: 21.07.2023 14:38:20
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Bowie Fashion EQ
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	105.609	32.5131
20.299999	105.584	31.4966
20.600000	105.560	30.8687
20.900000	105.562	30.5575
21.200001	105.607	30.3960
21.400000	105.656	30.2749
21.799999	105.780	29.9143
22.000000	105.846	29.6569
22.400000	105.965	29.0343
22.700001	106.043	28.5413
23.000000	106.117	28.0626
23.299999	106.192	27.5773
23.600000	106.268	27.0457
24.000000	106.364	26.2083
24.299999	106.423	25.4741
24.700001	106.474	24.4047
25.000000	106.489	23.6016
25.400000	106.486	22.6144
25.799999	106.470	21.7770
26.200001	106.456	21.0848
26.500000	106.456	20.6281
26.900000	106.474	20.0410
27.200001	106.502	19.5638
27.600000	106.552	18.8115
28.000000	106.604	17.8820
28.500000	106.643	16.5154
29.000000	106.636	15.1328
29.500000	106.597	13.9696
30.000000	106.561	13.0947
30.400000	106.555	12.5078
30.700001	106.563	12.0669
31.100000	106.586	11.4250
31.500000	106.616	10.7072
32.000000	106.660	9.6899
32.500000	106.705	8.4679
33.000000	106.724	6.9760
33.500000	106.683	5.3411
34.000000	106.566	3.9332
34.500000	106.413	3.1086
35.000000	106.293	2.9111
35.500000	106.260	2.9504
36.000000	106.310	2.8536
36.500000	106.398	2.3910
37.000000	106.477	1.6025
37.500000	106.529	0.6490
38.200001	106.553	-0.6818
38.700001	106.545	-1.5092
39.500000	106.522	-2.5586
40.000000	106.513	-3.0991
40.599998	106.509	-3.7122
41.200001	106.508	-4.3342
41.799999	106.508	-4.9910
42.500000	106.500	-5.8235
43.099998	106.483	-6.5649
43.700001	106.458	-7.2755
44.400002	106.432	-8.0577
45.000000	106.420	-8.7344
45.500000	106.414	-9.3257
46.200001	106.412	-10.2050
46.799999	106.412	-11.0155
47.500000	106.403	-12.0013
48.200001	106.382	-12.9447
48.700001	106.363	-13.5614
49.400002	106.333	-14.3407
50.000000	106.307	-14.9091
50.799999	106.285	-15.5281
51.500000	106.284	-16.0945
52.200001	106.278	-16.7928
53.000000	106.241	-17.6147
53.799999	106.190	-18.3582
54.500000	106.140	-19.0196
55.200001	106.075	-19.6606
56.000000	106.000	-20.2867
57.000000	105.927	-21.1104
58.000000	105.847	-22.0280
59.000000	105.775	-22.8195
60.000000	105.730	-23.6873
60.799999	105.686	-24.4472
61.500000	105.640	-25.0434
62.200001	105.600	-25.5798
63.000000	105.560	-26.2095
64.000000	105.497	-27.0297
65.000000	105.419	-27.7445
66.000000	105.349	-28.3679
67.000000	105.287	-29.0497
68.000000	105.217	-29.7678
69.000000	105.146	-30.4150
70.000000	105.087	-31.0554
71.000000	105.028	-31.7710
72.000000	104.951	-32.4511
73.000000	104.869	-32.9792
74.000000	104.802	-33.4292
75.000000	104.746	-33.9486
76.199997	104.666	-34.6838
77.500000	104.558	-35.4276
78.800003	104.458	-36.0469
80.000000	104.385	-36.6292
81.199997	104.316	-37.2720
82.500000	104.231	-37.9500
83.800003	104.133	-38.5088
85.000000	104.042	-38.9304
86.199997	103.957	-39.3505
87.500000	103.871	-39.8804
88.500000	103.808	-40.3421
90.000000	103.716	-41.0490
91.199997	103.640	-41.5300
92.500000	103.549	-41.9065
93.800003	103.443	-42.2083
95.000000	103.319	-42.5544
96.199997	103.158	-43.0532
97.500000	102.941	-43.6879
98.800003	102.714	-44.1261
100.000000	102.573	-44.2219
101.500000	102.556	-44.3954
103.000000	102.619	-44.9805
104.400002	102.652	-45.5778
106.000000	102.629	-46.0302
107.500000	102.556	-46.2921
109.000000	102.457	-46.5461
110.599998	102.346	-46.8829
112.000000	102.257	-47.2051
113.800003	102.157	-47.5728
115.000000	102.093	-47.7698
117.199997	101.969	-48.0891
118.000000	101.921	-48.2081
120.599998	101.765	-48.6069
122.000000	101.686	-48.8134
124.099998	101.569	-49.0966
125.000000	101.519	-49.2098
126.500000	101.435	-49.3979
128.000000	101.354	-49.5908
131.500000	101.184	-50.0109
132.000000	101.162	-50.0623
134.000000	101.073	-50.2435
136.000000	100.979	-50.3958
138.000000	100.880	-50.5336
140.000000	100.781	-50.6702
143.000000	100.640	-50.8737
145.000000	100.555	-50.9913
147.500000	100.456	-51.1194
150.000000	100.357	-51.2299
152.500000	100.255	-51.3300
155.000000	100.152	-51.4283
157.500000	100.047	-51.5337
160.000000	99.943	-51.6282
162.500000	99.845	-51.6820
165.000000	99.755	-51.6782
167.500000	99.667	-51.6310
170.000000	99.580	-51.5886
172.500000	99.493	-51.5707
175.000000	99.407	-51.5634
177.500000	99.322	-51.5408
180.000000	99.236	-51.4828
182.500000	99.150	-51.3876
185.000000	99.065	-51.2490
187.500000	98.986	-51.0804
190.000000	98.913	-50.9288
192.500000	98.842	-50.8285
195.000000	98.766	-50.7639
197.500000	98.688	-50.6744
200.000000	98.616	-50.4731
203.000000	98.542	-50.0172
206.000000	98.478	-49.3604
209.000000	98.431	-48.5833
212.000000	98.431	-47.8206
214.000000	98.463	-47.4065
218.000000	98.567	-46.8975
220.000000	98.619	-46.8035
224.000000	98.702	-46.9304
227.000000	98.747	-47.2262
230.000000	98.790	-47.5734
233.000000	98.834	-47.9135
236.000000	98.872	-48.2712
240.000000	98.896	-48.8431
243.000000	98.890	-49.3242
247.000000	98.856	-49.9382
250.000000	98.820	-50.3319
254.000000	98.763	-50.7787
258.000000	98.702	-51.1732
262.000000	98.645	-51.5145
265.000000	98.604	-51.7359
269.000000	98.551	-51.9987
272.000000	98.514	-52.1738
276.000000	98.467	-52.3734
280.000000	98.420	-52.5427
285.000000	98.363	-52.7236
290.000000	98.312	-52.8820
295.000000	98.264	-53.0449
300.000000	98.220	-53.2262
304.000000	98.188	-53.3777
307.000000	98.166	-53.4852
311.000000	98.138	-53.6115
315.000000	98.110	-53.7184
320.000000	98.076	-53.8457
325.000000	98.042	-53.9940
330.000000	98.013	-54.1581
335.000000	97.986	-54.3242
340.000000	97.959	-54.4947
345.000000	97.930	-54.6683
350.000000	97.904	-54.8436
355.000000	97.883	-55.0207
360.000000	97.863	-55.1985
365.000000	97.845	-55.3770
370.000000	97.825	-55.5490
375.000000	97.806	-55.7055
382.000000	97.781	-55.9138
387.000000	97.763	-56.0729
395.000000	97.732	-56.3310
400.000000	97.714	-56.4727
406.000000	97.694	-56.6182
412.000000	97.678	-56.7590
418.000000	97.667	-56.9237
425.000000	97.658	-57.1587
431.000000	97.650	-57.3753
437.000000	97.641	-57.5890
444.000000	97.630	-57.8451
450.000000	97.622	-58.0720
455.000000	97.616	-58.2558
462.000000	97.609	-58.4979
468.000000	97.603	-58.7002
475.000000	97.596	-58.9438
482.000000	97.590	-59.1934
487.000000	97.588	-59.3678
494.000000	97.584	-59.6031
500.000000	97.580	-59.8051
508.000000	97.577	-60.0938
515.000000	97.577	-60.3634
522.000000	97.578	-60.6329
530.000000	97.579	-60.9268
538.000000	97.580	-61.2046
545.000000	97.580	-61.4443
552.000000	97.579	-61.6902
560.000000	97.580	-61.9826
570.000000	97.583	-62.3578
580.000000	97.589	-62.7269
590.000000	97.596	-63.0875
600.000000	97.603	-63.4568
608.000000	97.610	-63.7620
615.000000	97.618	-64.0349
622.000000	97.626	-64.3144
630.000000	97.634	-64.6382
640.000000	97.644	-65.0356
650.000000	97.654	-65.4134
660.000000	97.664	-65.7698
670.000000	97.674	-66.1213
680.000000	97.686	-66.4814
690.000000	97.697	-66.8478
700.000000	97.709	-67.2208
710.000000	97.725	-67.5988
720.000000	97.743	-67.9768
730.000000	97.760	-68.3493
740.000000	97.778	-68.7158
750.000000	97.796	-69.0781
762.000000	97.817	-69.5034
775.000000	97.838	-69.9651
788.000000	97.861	-70.4453
800.000000	97.883	-70.9020
812.000000	97.910	-71.3550
825.000000	97.941	-71.8364
838.000000	97.973	-72.3358
850.000000	98.003	-72.8301
862.000000	98.032	-73.3420
875.000000	98.061	-73.9071
885.000000	98.078	-74.3519
900.000000	98.092	-75.0153
912.000000	98.095	-75.5212
925.000000	98.093	-76.0327
938.000000	98.091	-76.4758
950.000000	98.094	-76.7972
962.000000	98.104	-77.0391
975.000000	98.124	-77.2466
988.000000	98.155	-77.4432
1000.000000	98.194	-77.6479
1015.000000	98.251	-77.9628
1030.000000	98.311	-78.3494
1044.000000	98.368	-78.7539
1060.000000	98.435	-79.2407
1075.000000	98.500	-79.7108
1090.000000	98.567	-80.1928
1106.000000	98.636	-80.7229
1120.000000	98.696	-81.1990
1138.000000	98.768	-81.8260
1150.000000	98.815	-82.2560
1172.000000	98.898	-83.0691
1180.000000	98.929	-83.3689
1206.000000	99.028	-84.3318
1220.000000	99.079	-84.8333
1241.000000	99.151	-85.5671
1250.000000	99.182	-85.8796
1265.000000	99.234	-86.4007
1280.000000	99.286	-86.9183
1315.000000	99.409	-88.0850
1320.000000	99.426	-88.2476
1340.000000	99.496	-88.8887
1360.000000	99.567	-89.5092
1380.000000	99.641	-90.1040
1400.000000	99.718	-90.6780
1430.000000	99.841	-91.5176
1450.000000	99.926	-92.0721
1475.000000	100.038	-92.7582
1500.000000	100.159	-93.4236
1525.000000	100.288	-94.0786
1550.000000	100.425	-94.7379
1575.000000	100.569	-95.4144
1600.000000	100.720	-96.1163
1625.000000	100.879	-96.8485
1650.000000	101.048	-97.6254
1675.000000	101.225	-98.4576
1700.000000	101.407	-99.3452
1725.000000	101.594	-100.2903
1750.000000	101.781	-101.2996
1775.000000	101.969	-102.3809
1800.000000	102.155	-103.5419
1825.000000	102.341	-104.7831
1850.000000	102.523	-106.0961
1875.000000	102.700	-107.4738
1900.000000	102.868	-108.9128
1925.000000	103.027	-110.4040
1950.000000	103.174	-111.9357
1975.000000	103.311	-113.4982
2000.000000	103.437	-115.0776
2030.000000	103.576	-116.9703
2060.000000	103.700	-118.8389
2090.000000	103.811	-120.6709
2120.000000	103.910	-122.4595
2140.000000	103.973	-123.6240
2180.000000	104.091	-125.8799
2200.000000	104.148	-126.9719
2240.000000	104.260	-129.0881
2270.000000	104.345	-130.6212
2300.000000	104.432	-132.1160
2330.000000	104.522	-133.5809
2360.000000	104.616	-135.0276
2400.000000	104.750	-136.9495
2430.000000	104.856	-138.3982
2470.000000	105.001	-140.3572
2500.000000	105.112	-141.8582
2540.000000	105.265	-143.9142
2580.000000	105.421	-146.0424
2620.000000	105.577	-148.2485
2650.000000	105.691	-149.9590
2690.000000	105.835	-152.3174
2720.000000	105.937	-154.1405
2760.000000	106.063	-156.6345
2800.000000	106.176	-159.1919
2850.000000	106.297	-162.4626
2900.000000	106.395	-165.8087
2950.000000	106.467	-169.2222
3000.000000	106.509	-172.6705
3040.000000	106.520	-175.4271
3070.000000	106.513	-177.4834
3110.000000	106.484	179.8005
3150.000000	106.433	177.1273
3200.000000	106.342	173.8707
3250.000000	106.223	170.7341
3300.000000	106.080	167.7368
3350.000000	105.915	164.8927
3400.000000	105.732	162.2108
3450.000000	105.533	159.6998
3500.000000	105.320	157.3644
3550.000000	105.099	155.1966
3600.000000	104.870	153.1904
3650.000000	104.635	151.3489
3700.000000	104.393	149.6701
3750.000000	104.146	148.1476
3820.000000	103.790	146.2776
3870.000000	103.530	145.1439
3950.000000	103.105	143.7266
4000.000000	102.836	143.1176
4060.000000	102.514	142.7002
4120.000000	102.202	142.6530
4180.000000	101.913	142.9927
4250.000000	101.624	143.8689
4310.000000	101.441	144.9887
4370.000000	101.336	146.3576
4440.000000	101.333	148.0922
4500.000000	101.442	149.5154
4550.000000	101.610	150.5166
4620.000000	101.945	151.4093
4680.000000	102.300	151.5051
4750.000000	102.740	150.6417
4820.000000	103.147	148.6532
4870.000000	103.378	146.6043
4940.000000	103.581	143.1120
5000.000000	103.627	139.8696
5080.000000	103.515	135.7419
5150.000000	103.292	132.6657
5220.000000	102.995	130.2238
5300.000000	102.611	128.1791
5380.000000	102.217	126.8027
5450.000000	101.878	126.0277
5520.000000	101.552	125.5664
5600.000000	101.198	125.3591
5700.000000	100.786	125.5186
5800.000000	100.410	126.0901
5900.000000	100.071	127.0114
6000.000000	99.769	128.2094
6080.000000	99.553	129.3284
6150.000000	99.382	130.4045
6220.000000	99.226	131.5581
6300.000000	99.063	132.9687
6400.000000	98.879	134.9092
6500.000000	98.719	137.1274
6600.000000	98.600	139.6657
6700.000000	98.538	142.4817
6800.000000	98.548	145.4890
6900.000000	98.638	148.5934
7000.000000	98.806	151.7145
7100.000000	99.056	154.7927
7200.000000	99.392	157.7606
7300.000000	99.821	160.5253
7400.000000	100.346	162.9699
7500.000000	100.965	164.9687
7620.000000	101.827	166.5765
7750.000000	102.885	166.9612
7880.000000	104.004	165.3408
8000.000000	104.974	161.4948
