* Measurement data measured by REW V5.30.3
* Source: Mikrofon (US-2x2 HR), MICROPHONE (Hauptlautstärke), L, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 13.04.2024 20:07:32
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Cincotres L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 80.451 46.3136
20.299999 80.473 23.2831
20.600000 80.490 0.3176
20.900000 80.505 -22.6068
21.200001 80.519 -45.4987
21.400000 80.530 -60.7373
21.799999 80.557 -91.1411
22.000000 80.573 -106.2896
22.400000 80.610 -136.4331
22.700001 80.640 -158.8853
23.000000 80.668 178.7939
23.299999 80.693 156.5850
23.600000 80.713 134.4619
24.000000 80.733 105.0454
24.299999 80.743 83.0095
24.700001 80.756 53.6328
25.000000 80.767 31.6091
25.400000 80.787 2.2942
25.799999 80.812 -26.9014
26.200001 80.840 -55.9219
26.500000 80.860 -77.5569
26.900000 80.882 -106.2449
27.200001 80.893 -127.6675
27.600000 80.901 -156.1582
28.000000 80.904 175.3823
28.500000 80.903 139.8186
29.000000 80.905 104.3042
29.500000 80.912 68.9109
30.000000 80.923 33.6924
30.400000 80.933 5.6624
30.700001 80.940 -15.2827
31.100000 80.949 -43.1235
31.500000 80.957 -70.8818
32.000000 80.966 -105.4800
32.500000 80.975 -139.9592
33.000000 80.984 -174.3027
33.500000 80.993 151.4980
34.000000 81.001 117.4312
34.500000 81.008 83.4771
35.000000 81.013 49.6201
35.500000 81.019 15.8613
36.000000 81.025 -17.7876
36.500000 81.031 -51.3120
37.000000 81.037 -84.7134
37.500000 81.042 -117.9963
38.200001 81.046 -164.4373
38.700001 81.049 162.4932
39.500000 81.051 109.7668
40.000000 81.052 76.9614
40.599998 81.054 37.7478
41.200001 81.056 -1.2920
41.799999 81.057 -40.2246
42.500000 81.059 -85.5342
43.099998 81.060 -124.2483
43.700001 81.062 -162.8420
44.400002 81.063 152.3679
45.000000 81.062 114.2241
45.500000 81.060 82.5520
46.200001 81.055 38.2476
46.799999 81.054 0.2671
47.500000 81.056 -43.9272
48.200001 81.060 -87.8210
48.700001 81.062 -118.9729
49.400002 81.057 -162.4404
50.000000 81.050 160.2708
50.799999 81.046 110.4197
51.500000 81.057 66.9160
52.200001 81.081 23.8818
53.000000 81.103 -24.6250
53.799999 81.098 -72.8291
54.500000 81.070 -115.2080
55.200001 81.032 -157.9082
56.000000 80.998 153.2207
57.000000 80.981 92.7759
58.000000 80.977 33.1562
59.000000 80.969 -26.3281
60.000000 80.958 -85.8848
60.799999 80.950 -133.2202
61.500000 80.943 -174.3994
62.200001 80.936 144.4839
63.000000 80.928 97.5137
64.000000 80.918 38.9727
65.000000 80.907 -19.1143
66.000000 80.894 -76.8760
67.000000 80.880 -134.5635
68.000000 80.865 167.8750
69.000000 80.851 110.6104
70.000000 80.837 53.6113
71.000000 80.822 -3.2095
72.000000 80.808 -59.8267
73.000000 80.792 -116.1924
74.000000 80.777 -172.3433
75.000000 80.760 131.6865
76.199997 80.739 64.7812
77.500000 80.716 -7.4229
78.800003 80.693 -79.3882
80.000000 80.673 -145.4707
81.199997 80.652 148.8491
82.500000 80.630 77.9658
83.800003 80.606 7.2451
85.000000 80.584 -57.7373
86.199997 80.561 -122.3623
87.500000 80.536 167.8672
88.500000 80.515 114.3477
90.000000 80.484 34.4897
91.199997 80.459 -29.1465
92.500000 80.430 -97.9409
93.800003 80.401 -166.4800
95.000000 80.375 130.5845
96.199997 80.349 67.8779
97.500000 80.321 0.1987
98.800003 80.293 -67.1533
100.000000 80.265 -129.1318
101.500000 80.231 153.6714
103.000000 80.196 76.7676
104.400002 80.163 5.0439
106.000000 80.126 -76.1626
107.500000 80.087 -151.4604
109.000000 80.047 132.8076
110.599998 80.005 51.8843
112.000000 79.969 -18.0864
113.800003 79.923 -107.4497
115.000000 79.892 -167.0430
117.199997 79.834 84.2974
118.000000 79.813 45.0132
120.599998 79.741 -82.2432
122.000000 79.702 -150.3574
124.099998 79.645 107.7197
125.000000 79.620 63.8877
126.500000 79.580 -8.6436
128.000000 79.538 -79.8901
131.500000 79.431 113.0234
132.000000 79.414 89.1025
134.000000 79.350 -5.7090
136.000000 79.286 -99.7061
138.000000 79.222 166.6982
140.000000 79.158 72.9980
143.000000 79.063 -66.1104
145.000000 78.998 -158.3525
147.500000 78.915 86.5869
150.000000 78.832 -27.4531
152.500000 78.747 -140.8271
155.000000 78.661 105.8203
157.500000 78.575 -6.3418
160.000000 78.487 -118.0674
162.500000 78.399 130.7441
165.000000 78.308 20.1377
167.500000 78.217 -89.8584
170.000000 78.124 160.8203
172.500000 78.030 51.7734
175.000000 77.936 -57.1270
177.500000 77.842 -164.5469
180.000000 77.746 88.4883
182.500000 77.650 -18.7363
185.000000 77.553 -124.9521
187.500000 77.455 129.3301
190.000000 77.356 23.9980
192.500000 77.256 -80.7715
195.000000 77.156 175.1250
197.500000 77.055 71.0059
200.000000 76.953 -32.1650
203.000000 76.830 -155.1865
206.000000 76.706 81.3438
209.000000 76.582 -40.1240
212.000000 76.457 -161.8428
214.000000 76.373 117.4434
218.000000 76.205 -42.3457
220.000000 76.120 -122.3076
224.000000 75.951 79.0918
227.000000 75.824 -39.7871
230.000000 75.697 -156.0596
233.000000 75.570 86.2090
236.000000 75.443 -31.0928
240.000000 75.275 174.9160
243.000000 75.149 60.0703
247.000000 74.982 -91.9033
250.000000 74.858 152.3301
254.000000 74.694 2.7451
258.000000 74.531 -146.6445
262.000000 74.371 61.9580
265.000000 74.252 -47.2598
269.000000 74.095 165.2715
272.000000 73.979 53.5039
276.000000 73.827 -89.7891
280.000000 73.680 123.6719
285.000000 73.502 -55.4658
290.000000 73.329 125.6621
295.000000 73.165 -52.6699
300.000000 73.010 133.2734
304.000000 72.894 -7.6729
307.000000 72.812 -115.1816
311.000000 72.708 111.1123
315.000000 72.610 -28.6152
320.000000 72.495 160.0410
325.000000 72.389 -9.4951
330.000000 72.293 -179.2539
335.000000 72.207 15.2988
340.000000 72.133 -155.3516
345.000000 72.070 43.2480
350.000000 72.016 -124.1445
355.000000 71.974 74.1914
360.000000 71.943 -90.0254
365.000000 71.922 109.9688
370.000000 71.910 -49.4746
375.000000 71.906 147.2129
382.000000 71.912 -73.7188
387.000000 71.924 130.6641
395.000000 71.958 -123.5371
400.000000 71.988 89.1758
406.000000 72.029 -102.3945
412.000000 72.077 80.9297
418.000000 72.131 -106.4746
425.000000 72.200 49.5078
431.000000 72.262 -140.4492
437.000000 72.327 50.8398
444.000000 72.405 -162.8047
450.000000 72.473 26.6309
455.000000 72.530 -123.3965
462.000000 72.610 39.4473
468.000000 72.679 -140.4590
475.000000 72.760 26.5898
482.000000 72.839 -178.3320
487.000000 72.895 48.3184
494.000000 72.971 -158.5586
500.000000 73.035 45.8477
508.000000 73.118 175.2480
515.000000 73.189 -9.5723
522.000000 73.258 157.7109
530.000000 73.332 -63.8340
538.000000 73.404 98.5645
545.000000 73.464 -106.7832
552.000000 73.521 82.1680
560.000000 73.582 -132.9102
570.000000 73.654 -41.8301
580.000000 73.721 68.9297
590.000000 73.782 -178.8633
600.000000 73.836 -69.7695
608.000000 73.874 73.1660
615.000000 73.904 -84.6953
622.000000 73.930 90.2480
630.000000 73.955 -98.5957
640.000000 73.979 26.2871
650.000000 73.994 133.7148
660.000000 74.003 -99.4570
670.000000 74.008 18.8594
680.000000 74.011 161.4512
690.000000 74.013 -85.8711
700.000000 74.020 46.0234
710.000000 74.039 -166.7617
720.000000 74.076 -53.0684
730.000000 74.132 106.2344
740.000000 74.197 -144.0000
750.000000 74.261 34.0312
762.000000 74.330 121.2480
775.000000 74.388 -167.6367
788.000000 74.430 -85.1621
800.000000 74.459 16.3145
812.000000 74.482 146.3301
825.000000 74.501 -126.1289
838.000000 74.516 -31.1758
850.000000 74.528 72.4023
862.000000 74.539 -142.9590
875.000000 74.553 -46.2109
885.000000 74.564 99.8027
900.000000 74.583 -157.6641
912.000000 74.600 -54.3984
925.000000 74.621 78.2480
938.000000 74.644 178.0957
950.000000 74.668 -10.6445
962.000000 74.694 94.1953
975.000000 74.725 -119.0645
988.000000 74.759 8.1055
1000.000000 74.793 160.8691
1015.000000 74.840 -113.5527
1030.000000 74.892 -22.0664
1044.000000 74.944 104.1367
1060.000000 75.007 -169.0234
1075.000000 75.070 -39.9648
1090.000000 75.135 62.6445
1106.000000 75.207 154.4961
1120.000000 75.273 -66.0508
1138.000000 75.361 19.1914
1150.000000 75.421 178.6719
1172.000000 75.532 -156.3672
1180.000000 75.573 -6.8750
1206.000000 75.704 -28.0430
1220.000000 75.774 -142.5469
1241.000000 75.877 -93.0625
1250.000000 75.921 128.3828
1265.000000 75.992 -87.3477
1280.000000 76.061 53.8047
1315.000000 76.213 -44.1289
1320.000000 76.233 -120.9297
1340.000000 76.313 -27.6367
1360.000000 76.388 43.5859
1380.000000 76.459 156.9922
1400.000000 76.526 -96.3633
1430.000000 76.618 -114.7734
1450.000000 76.675 -6.9297
1475.000000 76.742 63.3672
1500.000000 76.805 124.2109
1525.000000 76.864 -177.6211
1550.000000 76.920 -101.4766
1575.000000 76.975 -18.1602
1600.000000 77.028 70.9062
1625.000000 77.081 176.5078
1650.000000 77.133 -89.5859
1675.000000 77.185 12.2031
1700.000000 77.238 123.2383
1725.000000 77.292 -117.7656
1750.000000 77.348 2.0078
1775.000000 77.405 127.2188
1800.000000 77.463 -98.6406
1825.000000 77.524 36.2773
1850.000000 77.587 177.4336
1875.000000 77.653 -36.7734
1900.000000 77.721 117.2109
1925.000000 77.792 -85.8242
1950.000000 77.866 71.4258
1975.000000 77.942 -114.5078
2000.000000 78.020 46.8516
2030.000000 78.118 -171.7773
2060.000000 78.221 -25.9727
2090.000000 78.329 126.9336
2120.000000 78.441 -80.8008
2140.000000 78.519 152.9180
2180.000000 78.679 -104.9375
2200.000000 78.762 134.3867
2240.000000 78.934 -106.9609
2270.000000 79.067 81.0625
2300.000000 79.204 -85.5039
2330.000000 79.345 112.8633
2360.000000 79.488 -41.3281
2400.000000 79.684 118.4297
2430.000000 79.834 -22.5859
2470.000000 80.037 154.1992
2500.000000 80.191 25.1484
2540.000000 80.396 -141.2617
2580.000000 80.602 62.9297
2620.000000 80.807 -84.6250
2650.000000 80.958 170.7656
2690.000000 81.157 38.8828
2720.000000 81.302 -54.4453
2760.000000 81.489 -171.0391
2800.000000 81.667 80.8320
2850.000000 81.874 -42.3320
2900.000000 82.060 -152.1719
2950.000000 82.223 111.4453
3000.000000 82.359 28.6992
3040.000000 82.448 -27.8086
3070.000000 82.503 -64.6953
3110.000000 82.558 -106.8398
3150.000000 82.594 -141.3398
3200.000000 82.612 -174.3984
3250.000000 82.600 163.0078
3300.000000 82.561 150.2383
3350.000000 82.497 146.8164
3400.000000 82.412 152.4102
3450.000000 82.308 166.8438
3500.000000 82.188 -169.9297
3550.000000 82.057 -137.7500
3600.000000 81.918 -96.2812
3650.000000 81.773 -44.9180
3700.000000 81.624 17.2344
3750.000000 81.476 91.2070
3820.000000 81.271 -144.1445
3870.000000 81.128 -41.0117
3950.000000 80.907 145.0547
4000.000000 80.774 -85.9062
4060.000000 80.618 82.5586
4120.000000 80.464 -99.6523
4180.000000 80.307 97.9453
4250.000000 80.111 -25.6055
4310.000000 79.927 -161.1836
4370.000000 79.723 67.4961
4440.000000 79.459 -85.8516
4500.000000 79.224 -101.3828
4550.000000 79.036 -85.5742
4620.000000 78.803 -64.7305
4680.000000 78.638 -35.6094
4750.000000 78.501 25.5781
4820.000000 78.441 42.7773
4870.000000 78.442 -12.5469
4940.000000 78.483 52.6797
5000.000000 78.530 68.6133
5080.000000 78.574 75.6016
5150.000000 78.581 163.2773
5220.000000 78.555 175.9062
5300.000000 78.491 -177.9961
5380.000000 78.397 -139.1562
5450.000000 78.297 166.5000
5520.000000 78.184 107.2344
5600.000000 78.044 -137.7266
5700.000000 77.857 -178.6641
5800.000000 77.663 138.3594
