* Measurement data measured by REW V5.30.3
* Source: Mikrofon (US-2x2 HR), MICROPHONE (Hauptlautstärke), R, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 13.04.2024 20:07:56
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Cincotres R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 81.350 30.2891
20.299999 81.371 1.9048
20.600000 81.387 -26.4175
20.900000 81.400 -54.7068
21.200001 81.412 -82.9744
21.400000 81.420 -101.8035
21.799999 81.439 -139.4246
22.000000 81.450 -158.2051
22.400000 81.475 164.3408
22.700001 81.495 136.3679
23.000000 81.514 108.4968
23.299999 81.532 80.7192
23.600000 81.546 53.0251
24.000000 81.561 16.2036
24.299999 81.569 -11.3621
24.700001 81.579 -48.0850
25.000000 81.588 -75.6055
25.400000 81.603 -112.2412
25.799999 81.623 -148.7505
26.200001 81.644 174.9268
26.500000 81.659 147.8220
26.900000 81.673 111.8442
27.200001 81.680 84.9448
27.600000 81.684 49.1182
28.000000 81.685 13.2668
28.500000 81.689 -31.5830
29.000000 81.699 -76.3247
29.500000 81.715 -120.8022
30.000000 81.730 -164.9832
30.400000 81.737 159.8457
30.700001 81.740 133.5159
31.100000 81.741 98.4124
31.500000 81.742 63.2937
32.000000 81.747 19.4175
32.500000 81.755 -24.3005
33.000000 81.765 -67.7651
33.500000 81.773 -111.0156
34.000000 81.776 -154.1860
34.500000 81.779 162.6177
35.000000 81.784 119.4260
35.500000 81.792 76.3835
36.000000 81.800 33.6152
36.500000 81.805 -8.8855
37.000000 81.804 -51.2812
37.500000 81.801 -93.7188
38.200001 81.798 -153.2705
38.700001 81.801 164.3247
39.500000 81.807 97.0762
40.000000 81.807 55.3525
40.599998 81.804 5.2231
41.200001 81.801 -45.0459
41.799999 81.805 -95.3115
42.500000 81.811 -153.4346
43.099998 81.813 157.2427
43.700001 81.809 107.8486
44.400002 81.803 49.9033
45.000000 81.800 0.3970
45.500000 81.799 -40.4985
46.200001 81.795 -97.3628
46.799999 81.790 -146.2046
47.500000 81.787 156.4668
48.200001 81.788 99.3521
48.700001 81.789 59.0527
49.400002 81.784 3.1299
50.000000 81.774 -44.9897
50.799999 81.767 -109.9351
51.500000 81.770 -166.5635
52.200001 81.778 138.0435
53.000000 81.777 75.6235
53.799999 81.765 12.4443
54.500000 81.754 -43.6973
55.200001 81.745 -99.5967
56.000000 81.734 -162.6299
57.000000 81.718 118.7876
58.000000 81.702 40.3115
59.000000 81.691 -37.3394
60.000000 81.680 -115.2939
60.799999 81.672 -177.5796
61.500000 81.664 128.3369
62.200001 81.655 74.4917
63.000000 81.643 13.0249
64.000000 81.629 -64.0649
65.000000 81.615 -140.5713
66.000000 81.602 143.2183
67.000000 81.588 66.8931
68.000000 81.574 -8.8608
69.000000 81.560 -84.3711
70.000000 81.546 -160.2607
71.000000 81.532 124.4902
72.000000 81.515 49.9746
73.000000 81.496 -24.8760
74.000000 81.477 -99.7017
75.000000 81.459 -173.9492
76.199997 81.438 96.8184
77.500000 81.417 0.5918
78.800003 81.394 -94.9561
80.000000 81.371 176.6743
81.199997 81.348 88.9805
82.500000 81.323 -6.0439
83.800003 81.298 -100.7393
85.000000 81.275 172.5029
86.199997 81.252 85.4814
87.500000 81.226 -8.3584
88.500000 81.206 -80.2681
90.000000 81.175 172.1216
91.199997 81.150 86.4844
92.500000 81.121 -6.0796
93.800003 81.091 -98.6045
95.000000 81.063 176.2949
96.199997 81.035 91.3652
97.500000 81.004 -0.2314
98.800003 80.974 -91.5020
100.000000 80.946 -175.6475
101.500000 80.910 79.2920
103.000000 80.873 -25.0586
104.400002 80.836 -122.0830
106.000000 80.793 126.5664
107.500000 80.755 22.6680
109.000000 80.718 -79.9199
110.599998 80.679 170.5605
112.000000 80.643 73.2676
113.800003 80.595 -48.2344
115.000000 80.562 -129.9932
117.199997 80.501 80.5469
118.000000 80.479 26.2832
120.599998 80.404 -147.9736
122.000000 80.361 117.4980
124.099998 80.299 -24.5977
125.000000 80.272 -84.5215
126.500000 80.226 176.3828
128.000000 80.181 78.7148
131.500000 80.075 -156.6309
132.000000 80.060 169.9756
134.000000 79.999 41.3750
136.000000 79.937 -88.2676
138.000000 79.874 133.8740
140.000000 79.808 11.4648
143.000000 79.704 173.0410
145.000000 79.636 43.0430
147.500000 79.552 -116.1689
150.000000 79.470 82.7148
152.500000 79.385 -75.7852
155.000000 79.297 123.8691
157.500000 79.208 -33.5518
160.000000 79.117 166.3447
162.500000 79.025 12.8721
165.000000 78.932 -148.8652
167.500000 78.839 59.3701
170.000000 78.744 -98.6367
172.500000 78.649 106.6924
175.000000 78.552 -47.7266
177.500000 78.454 158.6016
180.000000 78.355 4.2871
182.500000 78.256 -148.6777
185.000000 78.155 60.2812
187.500000 78.053 -92.4131
190.000000 77.950 113.8213
192.500000 77.847 -30.7812
195.000000 77.743 170.0469
197.500000 77.639 25.6416
200.000000 77.533 -123.4902
203.000000 77.405 54.4482
206.000000 77.276 -119.9580
209.000000 77.147 57.3164
212.000000 77.017 -113.6416
214.000000 76.930 132.7969
218.000000 76.755 -105.6221
220.000000 76.666 143.4023
224.000000 76.487 -96.3145
227.000000 76.353 88.6699
230.000000 76.219 -83.6445
233.000000 76.086 102.9844
236.000000 75.952 -66.8086
240.000000 75.773 59.2129
243.000000 75.638 -101.1641
247.000000 75.458 26.3926
250.000000 75.323 -145.4375
254.000000 75.143 2.2715
258.000000 74.965 116.8672
262.000000 74.791 -101.2891
265.000000 74.662 109.2109
269.000000 74.489 -173.2676
272.000000 74.359 76.8008
276.000000 74.189 -167.3828
280.000000 74.023 1.1914
285.000000 73.822 77.8145
290.000000 73.626 161.9941
295.000000 73.437 -119.9746
300.000000 73.256 -6.7695
304.000000 73.118 131.9004
307.000000 73.017 -16.0469
311.000000 72.887 93.0078
315.000000 72.764 -66.4492
320.000000 72.621 -31.2148
325.000000 72.488 -40.3359
330.000000 72.365 -35.6562
335.000000 72.252 -45.7578
340.000000 72.152 45.9570
345.000000 72.064 149.6094
350.000000 71.989 58.2344
355.000000 71.925 6.5957
360.000000 71.871 118.3535
365.000000 71.829 -157.1367
370.000000 71.799 -116.2051
375.000000 71.779 114.3047
382.000000 71.766 68.7852
387.000000 71.767 -162.5820
395.000000 71.786 -118.3145
400.000000 71.808 -74.4316
406.000000 71.841 -27.6992
412.000000 71.883 26.4512
418.000000 71.933 107.6641
425.000000 72.000 112.1895
431.000000 72.063 -63.4961
437.000000 72.127 -11.4805
444.000000 72.207 87.0234
450.000000 72.279 105.0508
455.000000 72.341 119.7930
462.000000 72.428 135.8926
468.000000 72.503 152.5703
475.000000 72.589 160.2422
482.000000 72.675 -154.0391
487.000000 72.736 117.6016
494.000000 72.820 -161.5410
500.000000 72.891 -110.5391
508.000000 72.983 -30.8984
515.000000 73.062 37.3184
522.000000 73.138 66.8770
530.000000 73.223 84.3359
538.000000 73.304 85.2305
545.000000 73.372 -48.7148
552.000000 73.436 -52.6211
560.000000 73.506 -68.4219
570.000000 73.588 -105.5391
580.000000 73.663 -124.3398
590.000000 73.730 -133.1094
600.000000 73.787 -147.0879
608.000000 73.826 -159.3691
615.000000 73.854 -85.1055
622.000000 73.879 -147.8516
630.000000 73.905 -108.3867
640.000000 73.940 -106.3945
650.000000 73.988 -104.3008
660.000000 74.052 -77.4395
670.000000 74.127 -15.8926
680.000000 74.202 -6.2305
690.000000 74.271 12.8086
700.000000 74.331 19.9531
710.000000 74.384 1.0332
720.000000 74.430 -59.5781
730.000000 74.471 -98.0508
740.000000 74.509 -119.4648
750.000000 74.543 -150.5215
762.000000 74.579 134.7031
775.000000 74.614 62.0625
788.000000 74.646 21.3223
800.000000 74.673 15.5371
812.000000 74.699 31.0449
825.000000 74.726 65.2832
838.000000 74.751 104.4453
850.000000 74.775 147.7676
862.000000 74.799 164.4824
875.000000 74.826 166.8477
885.000000 74.848 178.3984
900.000000 74.883 179.2129
912.000000 74.914 153.3242
925.000000 74.948 91.5762
938.000000 74.985 76.9336
950.000000 75.022 55.0234
962.000000 75.060 27.9492
975.000000 75.105 -46.7539
988.000000 75.152 -62.8242
1000.000000 75.198 -7.2383
1015.000000 75.259 18.8203
1030.000000 75.325 20.1602
1044.000000 75.389 5.7578
1060.000000 75.465 40.3750
1075.000000 75.540 112.5664
1090.000000 75.618 119.6016
1106.000000 75.703 150.7949
1120.000000 75.780 80.0762
1138.000000 75.880 -40.6953
1150.000000 75.947 -59.7520
1172.000000 76.070 -132.4375
1180.000000 76.115 -145.8945
1206.000000 76.260 -176.5801
1220.000000 76.338 174.0020
1241.000000 76.452 -88.2578
1250.000000 76.500 -42.3867
1265.000000 76.578 -141.6895
1280.000000 76.654 -94.9980
1315.000000 76.822 -24.3516
1320.000000 76.845 -36.2266
1340.000000 76.934 -117.2949
1360.000000 77.019 11.1094
1380.000000 77.100 74.2734
1400.000000 77.176 89.9766
1430.000000 77.284 8.5859
1450.000000 77.352 -3.8086
1475.000000 77.432 10.3652
1500.000000 77.510 -19.5938
1525.000000 77.583 -62.5840
1550.000000 77.653 -45.2695
1575.000000 77.721 -2.0664
1600.000000 77.788 76.7422
1625.000000 77.854 115.8652
1650.000000 77.921 128.7773
1675.000000 77.988 134.6504
1700.000000 78.055 138.4375
1725.000000 78.123 143.0898
1750.000000 78.192 161.6758
1775.000000 78.263 -124.3809
1800.000000 78.335 -80.1797
1825.000000 78.409 -69.8398
1850.000000 78.486 -79.8965
1875.000000 78.564 -104.3203
1900.000000 78.645 -124.8027
1925.000000 78.729 -138.8828
1950.000000 78.814 -155.5352
1975.000000 78.902 -169.8926
2000.000000 78.993 -179.7715
2030.000000 79.106 172.4844
2060.000000 79.222 167.0566
2090.000000 79.342 39.0215
2120.000000 79.466 61.8418
2140.000000 79.550 78.2109
2180.000000 79.722 97.3906
2200.000000 79.811 94.0879
2240.000000 79.992 83.5117
2270.000000 80.131 76.6523
2300.000000 80.273 75.6699
2330.000000 80.417 134.7383
2360.000000 80.563 160.2598
2400.000000 80.761 120.7363
2430.000000 80.910 92.4473
2470.000000 81.111 70.9883
2500.000000 81.262 61.5195
2540.000000 81.463 58.6934
2580.000000 81.662 62.3672
2620.000000 81.858 79.9727
2650.000000 82.002 164.8770
2690.000000 82.190 -145.5000
2720.000000 82.326 -135.9414
2760.000000 82.501 144.5781
2800.000000 82.666 52.8711
2850.000000 82.856 41.7891
2900.000000 83.026 -17.2461
2950.000000 83.173 -122.9375
3000.000000 83.293 -153.8965
3040.000000 83.370 176.5117
3070.000000 83.416 69.3398
3110.000000 83.462 55.9492
3150.000000 83.490 164.7402
3200.000000 83.500 -155.8320
3250.000000 83.484 -154.4453
3300.000000 83.445 -148.6172
3350.000000 83.384 -65.0391
3400.000000 83.304 30.6992
3450.000000 83.209 52.2969
3500.000000 83.101 71.6094
3550.000000 82.983 85.3379
3600.000000 82.859 101.6973
3650.000000 82.731 163.5801
3700.000000 82.601 -133.9023
3750.000000 82.472 -117.1641
3820.000000 82.294 -104.2480
3870.000000 82.171 -99.6953
3950.000000 81.981 -112.2871
4000.000000 81.867 -154.7949
4060.000000 81.734 173.2168
4120.000000 81.603 171.9805
4180.000000 81.469 161.9062
4250.000000 81.303 147.6797
4310.000000 81.148 146.9160
4370.000000 80.977 165.2012
4440.000000 80.759 -121.0859
4500.000000 80.565 -129.6094
4550.000000 80.402 -151.9727
4620.000000 80.178 179.3789
4680.000000 79.995 -179.7148
4750.000000 79.809 -101.4219
4820.000000 79.671 -47.2227
4870.000000 79.604 -48.3125
4940.000000 79.547 -53.0645
5000.000000 79.517 -48.5488
5080.000000 79.480 -48.0645
5150.000000 79.434 -52.6641
5220.000000 79.366 -65.8887
5300.000000 79.258 -81.1191
5380.000000 79.122 -44.1445
5450.000000 78.982 -28.7695
5520.000000 78.827 -16.9766
5600.000000 78.634 -3.0664
5700.000000 78.378 110.0781
5800.000000 78.114 -22.8887
5900.000000 77.854 -73.1172
