* Measurement data measured by REW V5.30.3
* Source: Mikrofon (US-2x2 HR), MICROPHONE (Hauptlautstärke), L, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 05.02.2024 20:41:55
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Doscinco L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 83.372 12.7950
20.299999 83.377 12.2955
20.600000 83.380 11.8016
20.900000 83.383 11.3149
21.200001 83.386 10.8370
21.400000 83.387 10.5234
21.799999 83.390 9.9067
22.000000 83.391 9.6021
22.400000 83.394 8.9984
22.700001 83.394 8.5516
23.000000 83.394 8.1131
23.299999 83.393 7.6859
23.600000 83.392 7.2712
24.000000 83.391 6.7332
24.299999 83.392 6.3343
24.700001 83.393 5.7999
25.000000 83.393 5.3959
25.400000 83.391 4.8586
25.799999 83.386 4.3342
26.200001 83.379 3.8317
26.500000 83.373 3.4691
26.900000 83.367 2.9996
27.200001 83.362 2.6537
27.600000 83.356 2.1978
28.000000 83.350 1.7484
28.500000 83.341 1.1996
29.000000 83.333 0.6639
29.500000 83.325 0.1340
30.000000 83.317 -0.3954
30.400000 83.310 -0.8179
30.700001 83.304 -1.1320
31.100000 83.295 -1.5452
31.500000 83.286 -1.9507
32.000000 83.274 -2.4489
32.500000 83.262 -2.9413
33.000000 83.250 -3.4299
33.500000 83.236 -3.9117
34.000000 83.222 -4.3823
34.500000 83.207 -4.8409
35.000000 83.192 -5.2914
35.500000 83.177 -5.7369
36.000000 83.161 -6.1747
36.500000 83.144 -6.5995
37.000000 83.128 -7.0115
37.500000 83.113 -7.4188
38.200001 83.093 -7.9941
38.700001 83.077 -8.4054
39.500000 83.050 -9.0452
40.000000 83.033 -9.4337
40.599998 83.013 -9.8979
41.200001 82.992 -10.3619
41.799999 82.970 -10.8177
42.500000 82.943 -11.3322
43.099998 82.921 -11.7632
43.700001 82.899 -12.1917
44.400002 82.872 -12.6871
45.000000 82.848 -13.1022
45.500000 82.827 -13.4396
46.200001 82.797 -13.9016
46.799999 82.772 -14.2917
47.500000 82.742 -14.7428
48.200001 82.711 -15.1905
48.700001 82.689 -15.5084
49.400002 82.657 -15.9510
50.000000 82.630 -16.3274
50.799999 82.592 -16.8188
51.500000 82.560 -17.2354
52.200001 82.531 -17.6462
53.000000 82.498 -18.1231
53.799999 82.463 -18.6028
54.500000 82.431 -19.0087
55.200001 82.399 -19.3972
56.000000 82.362 -19.8317
57.000000 82.316 -20.3755
58.000000 82.265 -20.9127
59.000000 82.212 -21.4278
60.000000 82.160 -21.9300
60.799999 82.118 -22.3309
61.500000 82.081 -22.6790
62.200001 82.045 -23.0239
63.000000 82.004 -23.4160
64.000000 81.952 -23.9012
65.000000 81.900 -24.3743
66.000000 81.848 -24.8340
67.000000 81.795 -25.2858
68.000000 81.742 -25.7333
69.000000 81.687 -26.1747
70.000000 81.631 -26.6094
71.000000 81.574 -27.0378
72.000000 81.517 -27.4595
73.000000 81.460 -27.8708
74.000000 81.403 -28.2688
75.000000 81.347 -28.6587
76.199997 81.281 -29.1226
77.500000 81.207 -29.6155
78.800003 81.133 -30.0945
80.000000 81.064 -30.5238
81.199997 80.994 -30.9429
82.500000 80.918 -31.3869
83.800003 80.841 -31.8171
85.000000 80.770 -32.2008
86.199997 80.699 -32.5748
87.500000 80.622 -32.9728
88.500000 80.562 -33.2720
90.000000 80.471 -33.7032
91.199997 80.399 -34.0350
92.500000 80.322 -34.3875
93.800003 80.245 -34.7341
95.000000 80.174 -35.0497
96.199997 80.102 -35.3607
97.500000 80.022 -35.6884
98.800003 79.943 -36.0024
100.000000 79.869 -36.2803
101.500000 79.778 -36.6133
103.000000 79.687 -36.9332
104.400002 79.603 -37.2225
106.000000 79.505 -37.5414
107.500000 79.413 -37.8269
109.000000 79.321 -38.0988
110.599998 79.224 -38.3751
112.000000 79.138 -38.6075
113.800003 79.028 -38.8924
115.000000 78.955 -39.0746
117.199997 78.820 -39.3976
118.000000 78.771 -39.5098
120.599998 78.613 -39.8464
122.000000 78.530 -40.0132
124.099998 78.404 -40.2499
125.000000 78.350 -40.3462
126.500000 78.260 -40.4994
128.000000 78.170 -40.6421
131.500000 77.963 -40.9342
132.000000 77.934 -40.9721
134.000000 77.817 -41.1153
136.000000 77.701 -41.2398
138.000000 77.586 -41.3411
140.000000 77.472 -41.4227
143.000000 77.302 -41.5193
145.000000 77.189 -41.5693
147.500000 77.048 -41.6118
150.000000 76.910 -41.6312
152.500000 76.774 -41.6359
155.000000 76.639 -41.6266
157.500000 76.505 -41.5944
160.000000 76.373 -41.5343
162.500000 76.244 -41.4464
165.000000 76.116 -41.3300
167.500000 75.992 -41.1967
170.000000 75.870 -41.0562
172.500000 75.750 -40.9025
175.000000 75.632 -40.7271
177.500000 75.516 -40.5354
180.000000 75.403 -40.3372
182.500000 75.290 -40.1340
185.000000 75.181 -39.9177
187.500000 75.073 -39.6821
190.000000 74.968 -39.4258
192.500000 74.864 -39.1527
195.000000 74.763 -38.8668
197.500000 74.663 -38.5718
200.000000 74.565 -38.2736
203.000000 74.452 -37.9144
206.000000 74.342 -37.5516
209.000000 74.235 -37.1810
212.000000 74.132 -36.7976
214.000000 74.066 -36.5361
218.000000 73.938 -36.0016
220.000000 73.875 -35.7267
224.000000 73.752 -35.1578
227.000000 73.664 -34.7200
230.000000 73.580 -34.2826
233.000000 73.499 -33.8499
236.000000 73.421 -33.4189
240.000000 73.320 -32.8387
243.000000 73.247 -32.3936
247.000000 73.154 -31.7914
250.000000 73.088 -31.3422
254.000000 73.004 -30.7502
258.000000 72.924 -30.1655
262.000000 72.849 -29.5857
265.000000 72.794 -29.1525
269.000000 72.725 -28.5787
272.000000 72.676 -28.1516
276.000000 72.611 -27.5825
280.000000 72.551 -27.0135
285.000000 72.481 -26.3120
290.000000 72.415 -25.6290
295.000000 72.354 -24.9622
300.000000 72.296 -24.3026
304.000000 72.252 -23.7780
307.000000 72.221 -23.3917
311.000000 72.182 -22.8906
315.000000 72.144 -22.3999
320.000000 72.099 -21.7914
325.000000 72.057 -21.1917
330.000000 72.019 -20.6041
335.000000 71.984 -20.0242
340.000000 71.950 -19.4556
345.000000 71.918 -18.9020
350.000000 71.888 -18.3635
355.000000 71.860 -17.8425
360.000000 71.832 -17.3376
365.000000 71.807 -16.8438
370.000000 71.782 -16.3544
375.000000 71.757 -15.8705
382.000000 71.724 -15.2092
387.000000 71.702 -14.7448
395.000000 71.671 -14.0250
400.000000 71.652 -13.5905
406.000000 71.631 -13.0787
412.000000 71.611 -12.5778
418.000000 71.592 -12.0892
425.000000 71.570 -11.5303
431.000000 71.551 -11.0537
437.000000 71.532 -10.5801
444.000000 71.511 -10.0359
450.000000 71.493 -9.5769
455.000000 71.479 -9.1988
462.000000 71.461 -8.6750
468.000000 71.446 -8.2307
475.000000 71.428 -7.7217
482.000000 71.412 -7.2263
487.000000 71.401 -6.8770
494.000000 71.386 -6.3831
500.000000 71.374 -5.9551
508.000000 71.358 -5.3881
515.000000 71.344 -4.8961
522.000000 71.330 -4.4061
530.000000 71.314 -3.8488
538.000000 71.298 -3.2885
545.000000 71.285 -2.7834
552.000000 71.275 -2.2607
560.000000 71.268 -1.6533
570.000000 71.268 -0.9109
580.000000 71.278 -0.2161
590.000000 71.292 0.4165
600.000000 71.306 0.9860
608.000000 71.314 1.3951
615.000000 71.316 1.7264
622.000000 71.312 2.0494
630.000000 71.303 2.4265
640.000000 71.286 2.9259
650.000000 71.267 3.4745
660.000000 71.249 4.0710
670.000000 71.235 4.6989
680.000000 71.223 5.3488
690.000000 71.214 6.0118
700.000000 71.207 6.6851
710.000000 71.204 7.3710
720.000000 71.205 8.0659
730.000000 71.211 8.7635
740.000000 71.219 9.4607
750.000000 71.231 10.1560
762.000000 71.248 10.9888
775.000000 71.272 11.8879
788.000000 71.301 12.7823
800.000000 71.331 13.6002
812.000000 71.364 14.4124
825.000000 71.404 15.2956
838.000000 71.448 16.1799
850.000000 71.493 16.9865
862.000000 71.543 17.7810
875.000000 71.601 18.6292
885.000000 71.650 19.2753
900.000000 71.730 20.2323
912.000000 71.799 20.9828
925.000000 71.879 21.7772
938.000000 71.963 22.5505
950.000000 72.044 23.2439
962.000000 72.130 23.9158
975.000000 72.227 24.6149
988.000000 72.326 25.2784
1000.000000 72.421 25.8578
1015.000000 72.542 26.5355
1030.000000 72.668 27.1600
1044.000000 72.787 27.6976
1060.000000 72.925 28.2666
1075.000000 73.055 28.7571
1090.000000 73.185 29.1974
1106.000000 73.323 29.6114
1120.000000 73.443 29.9321
1138.000000 73.594 30.2946
1150.000000 73.694 30.5075
1172.000000 73.874 30.8402
1180.000000 73.938 30.9431
1206.000000 74.139 31.2245
1220.000000 74.244 31.3473
1241.000000 74.397 31.4961
1250.000000 74.461 31.5483
1265.000000 74.566 31.6237
1280.000000 74.669 31.6877
1315.000000 74.896 31.8017
1320.000000 74.927 31.8141
1340.000000 75.048 31.8548
1360.000000 75.167 31.8848
1380.000000 75.283 31.9068
1400.000000 75.395 31.9234
1430.000000 75.561 31.9415
1450.000000 75.669 31.9484
1475.000000 75.802 31.9518
1500.000000 75.933 31.9491
1525.000000 76.063 31.9400
1550.000000 76.191 31.9217
1575.000000 76.318 31.8921
1600.000000 76.444 31.8525
1625.000000 76.569 31.8010
1650.000000 76.693 31.7343
1675.000000 76.817 31.6520
1700.000000 76.942 31.5534
1725.000000 77.066 31.4365
1750.000000 77.189 31.3012
1775.000000 77.313 31.1483
1800.000000 77.436 30.9753
1825.000000 77.557 30.7798
1850.000000 77.678 30.5606
1875.000000 77.796 30.3189
1900.000000 77.913 30.0553
1925.000000 78.029 29.7697
1950.000000 78.142 29.4626
1975.000000 78.253 29.1346
2000.000000 78.362 28.7859
2030.000000 78.490 28.3410
2060.000000 78.615 27.8667
2090.000000 78.736 27.3624
2120.000000 78.854 26.8268
2140.000000 78.930 26.4525
2180.000000 79.075 25.6667
2200.000000 79.144 25.2569
2240.000000 79.274 24.4041
2270.000000 79.366 23.7369
2300.000000 79.451 23.0500
2330.000000 79.530 22.3458
2360.000000 79.603 21.6256
2400.000000 79.692 20.6439
2430.000000 79.750 19.8945
2470.000000 79.817 18.8806
2500.000000 79.859 18.1129
2540.000000 79.904 17.0856
2580.000000 79.937 16.0630
2620.000000 79.958 15.0555
2650.000000 79.966 14.3138
2690.000000 79.968 13.3462
2720.000000 79.962 12.6362
2760.000000 79.947 11.7123
2800.000000 79.923 10.8183
2850.000000 79.882 9.7457
2900.000000 79.829 8.7267
2950.000000 79.765 7.7659
3000.000000 79.690 6.8675
3040.000000 79.622 6.1947
3070.000000 79.567 5.7191
3110.000000 79.489 5.1292
3150.000000 79.405 4.5953
3200.000000 79.294 4.0160
3250.000000 79.177 3.5429
3300.000000 79.057 3.1758
3350.000000 78.938 2.9122
3400.000000 78.822 2.7469
3450.000000 78.710 2.6671
3500.000000 78.605 2.6559
3550.000000 78.507 2.7021
3600.000000 78.417 2.7991
3650.000000 78.333 2.9415
3700.000000 78.258 3.1233
3750.000000 78.191 3.3373
3820.000000 78.112 3.6713
3870.000000 78.067 3.9202
3950.000000 78.013 4.3176
4000.000000 77.992 4.5612
4060.000000 77.985 4.8328
4120.000000 78.001 5.0144
4180.000000 78.033 5.0114
4250.000000 78.070 4.7211
4310.000000 78.084 4.2722
4370.000000 78.075 3.7152
4440.000000 78.037 3.0114
4500.000000 77.982 2.4087
4550.000000 77.922 1.9269
4620.000000 77.822 1.3038
4680.000000 77.725 0.8249
4750.000000 77.602 0.3284
4820.000000 77.471 -0.1075
4870.000000 77.374 -0.3887
4940.000000 77.233 -0.7516
5000.000000 77.104 -1.0347
5080.000000 76.917 -1.3379
5150.000000 76.741 -1.4799
5220.000000 76.558 -1.4569
5300.000000 76.351 -1.1925
5380.000000 76.162 -0.6642
5450.000000 76.025 -0.0038
5520.000000 75.927 0.7939
5600.000000 75.878 1.7695
5700.000000 75.925 2.8147
