* Measurement data measured by REW V5.30.3
* Source: Mikrofon (US-2x2 HR), MICROPHONE (Hauptlautstärke), L, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 05.02.2024 20:42:37
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Doscinco R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 83.165 12.6622
20.299999 83.168 12.1447
20.600000 83.171 11.6426
20.900000 83.174 11.1545
21.200001 83.177 10.6770
21.400000 83.179 10.3625
21.799999 83.183 9.7397
22.000000 83.184 9.4316
22.400000 83.185 8.8246
22.700001 83.185 8.3806
23.000000 83.184 7.9480
23.299999 83.183 7.5266
23.600000 83.182 7.1147
24.000000 83.180 6.5766
24.299999 83.179 6.1792
24.700001 83.178 5.6561
25.000000 83.176 5.2684
25.400000 83.174 4.7570
25.799999 83.171 4.2515
26.200001 83.166 3.7526
26.500000 83.162 3.3843
26.900000 83.156 2.9039
27.200001 83.150 2.5526
27.600000 83.143 2.0947
28.000000 83.137 1.6450
28.500000 83.129 1.0875
29.000000 83.120 0.5329
29.500000 83.110 -0.0150
30.000000 83.099 -0.5526
30.400000 83.089 -0.9755
30.700001 83.082 -1.2891
31.100000 83.071 -1.7017
31.500000 83.059 -2.1057
32.000000 83.044 -2.5953
32.500000 83.030 -3.0701
33.000000 83.017 -3.5392
33.500000 83.005 -4.0120
34.000000 82.992 -4.4883
34.500000 82.977 -4.9598
35.000000 82.960 -5.4182
35.500000 82.943 -5.8632
36.000000 82.927 -6.3006
36.500000 82.911 -6.7344
37.000000 82.893 -7.1628
37.500000 82.875 -7.5810
38.200001 82.850 -8.1475
38.700001 82.832 -8.5449
39.500000 82.804 -9.1760
40.000000 82.785 -9.5641
40.599998 82.762 -10.0201
41.200001 82.739 -10.4694
41.799999 82.715 -10.9156
42.500000 82.687 -11.4290
43.099998 82.662 -11.8585
43.700001 82.637 -12.2810
44.400002 82.608 -12.7689
45.000000 82.582 -13.1819
45.500000 82.561 -13.5220
46.200001 82.531 -13.9926
46.799999 82.504 -14.3889
47.500000 82.472 -14.8374
48.200001 82.440 -15.2723
48.700001 82.418 -15.5806
49.400002 82.387 -16.0128
50.000000 82.358 -16.3793
50.799999 82.320 -16.8519
51.500000 82.287 -17.2536
52.200001 82.254 -17.6552
53.000000 82.217 -18.1187
53.799999 82.178 -18.5773
54.500000 82.142 -18.9680
55.200001 82.107 -19.3517
56.000000 82.067 -19.7851
57.000000 82.015 -20.3140
58.000000 81.963 -20.8265
59.000000 81.911 -21.3276
60.000000 81.860 -21.8214
60.799999 81.818 -22.2126
61.500000 81.781 -22.5511
62.200001 81.744 -22.8860
63.000000 81.702 -23.2646
64.000000 81.648 -23.7277
65.000000 81.593 -24.1757
66.000000 81.538 -24.6125
67.000000 81.483 -25.0408
68.000000 81.427 -25.4557
69.000000 81.371 -25.8595
70.000000 81.315 -26.2597
71.000000 81.260 -26.6580
72.000000 81.204 -27.0519
73.000000 81.147 -27.4391
74.000000 81.090 -27.8175
75.000000 81.033 -28.1855
76.199997 80.964 -28.6139
77.500000 80.889 -29.0621
78.800003 80.814 -29.4977
80.000000 80.744 -29.8923
81.199997 80.674 -30.2804
82.500000 80.597 -30.6917
83.800003 80.520 -31.0918
85.000000 80.448 -31.4526
86.199997 80.377 -31.8047
87.500000 80.300 -32.1724
88.500000 80.241 -32.4426
90.000000 80.153 -32.8307
91.199997 80.082 -33.1317
92.500000 80.005 -33.4496
93.800003 79.927 -33.7615
95.000000 79.854 -34.0434
96.199997 79.782 -34.3177
97.500000 79.705 -34.6046
98.800003 79.628 -34.8812
100.000000 79.557 -35.1276
101.500000 79.468 -35.4208
103.000000 79.379 -35.7020
104.400002 79.296 -35.9571
106.000000 79.201 -36.2363
107.500000 79.112 -36.4829
109.000000 79.024 -36.7145
110.599998 78.930 -36.9465
112.000000 78.847 -37.1392
113.800003 78.742 -37.3790
115.000000 78.671 -37.5352
117.199997 78.543 -37.8091
118.000000 78.496 -37.9037
120.599998 78.346 -38.1874
122.000000 78.265 -38.3257
124.099998 78.146 -38.5131
125.000000 78.095 -38.5848
126.500000 78.011 -38.6940
128.000000 77.928 -38.7942
131.500000 77.735 -39.0032
132.000000 77.707 -39.0303
134.000000 77.598 -39.1305
136.000000 77.490 -39.2173
138.000000 77.383 -39.2908
140.000000 77.277 -39.3505
143.000000 77.121 -39.4128
145.000000 77.017 -39.4381
147.500000 76.889 -39.4510
150.000000 76.762 -39.4432
152.500000 76.636 -39.4225
155.000000 76.513 -39.3879
157.500000 76.394 -39.3319
160.000000 76.277 -39.2526
162.500000 76.161 -39.1581
165.000000 76.045 -39.0580
167.500000 75.931 -38.9512
170.000000 75.819 -38.8254
172.500000 75.710 -38.6776
175.000000 75.603 -38.5187
177.500000 75.498 -38.3550
180.000000 75.396 -38.1789
182.500000 75.295 -37.9834
185.000000 75.195 -37.7727
187.500000 75.098 -37.5526
190.000000 75.003 -37.3251
192.500000 74.911 -37.0916
195.000000 74.821 -36.8539
197.500000 74.731 -36.6153
200.000000 74.644 -36.3729
203.000000 74.541 -36.0677
206.000000 74.440 -35.7477
209.000000 74.343 -35.4147
212.000000 74.249 -35.0737
214.000000 74.188 -34.8436
218.000000 74.069 -34.3793
220.000000 74.010 -34.1459
224.000000 73.897 -33.6776
227.000000 73.815 -33.3248
230.000000 73.735 -32.9659
233.000000 73.659 -32.5989
236.000000 73.584 -32.2283
240.000000 73.488 -31.7301
243.000000 73.418 -31.3517
247.000000 73.330 -30.8414
250.000000 73.267 -30.4603
254.000000 73.186 -29.9588
258.000000 73.106 -29.4590
262.000000 73.029 -28.9592
265.000000 72.973 -28.5872
269.000000 72.903 -28.0962
272.000000 72.853 -27.7298
276.000000 72.789 -27.2394
280.000000 72.726 -26.7465
285.000000 72.650 -26.1316
290.000000 72.578 -25.5197
295.000000 72.510 -24.9259
300.000000 72.446 -24.3459
304.000000 72.397 -23.8804
307.000000 72.361 -23.5309
311.000000 72.315 -23.0676
315.000000 72.272 -22.6082
320.000000 72.221 -22.0411
325.000000 72.173 -21.4833
330.000000 72.127 -20.9374
335.000000 72.083 -20.4028
340.000000 72.042 -19.8797
345.000000 72.001 -19.3697
350.000000 71.962 -18.8707
355.000000 71.925 -18.3772
360.000000 71.890 -17.8879
365.000000 71.857 -17.4058
370.000000 71.826 -16.9275
375.000000 71.796 -16.4492
382.000000 71.757 -15.7904
387.000000 71.730 -15.3381
395.000000 71.688 -14.6425
400.000000 71.662 -14.2147
406.000000 71.632 -13.7006
412.000000 71.605 -13.1876
418.000000 71.579 -12.6854
425.000000 71.549 -12.1184
431.000000 71.524 -11.6445
437.000000 71.500 -11.1763
444.000000 71.477 -10.6411
450.000000 71.458 -10.1972
455.000000 71.441 -9.8339
462.000000 71.418 -9.3324
468.000000 71.398 -8.9126
475.000000 71.375 -8.4392
482.000000 71.350 -7.9818
487.000000 71.331 -7.6665
494.000000 71.301 -7.2449
500.000000 71.270 -6.8956
508.000000 71.220 -6.4083
515.000000 71.168 -5.9067
522.000000 71.115 -5.2859
530.000000 71.070 -4.4424
538.000000 71.050 -3.5693
545.000000 71.048 -2.8733
552.000000 71.051 -2.2618
560.000000 71.054 -1.6361
570.000000 71.052 -0.9064
580.000000 71.044 -0.1764
590.000000 71.033 0.5979
600.000000 71.026 1.4324
608.000000 71.029 2.1295
615.000000 71.040 2.7387
622.000000 71.061 3.3204
630.000000 71.094 3.9171
640.000000 71.140 4.5233
650.000000 71.179 4.9797
660.000000 71.198 5.3539
670.000000 71.197 5.7416
680.000000 71.183 6.2054
690.000000 71.166 6.7556
700.000000 71.152 7.3708
710.000000 71.141 8.0266
720.000000 71.136 8.7077
730.000000 71.135 9.4036
740.000000 71.139 10.1079
750.000000 71.146 10.8179
762.000000 71.160 11.6735
775.000000 71.181 12.6042
788.000000 71.207 13.5421
800.000000 71.235 14.4028
812.000000 71.269 15.2543
825.000000 71.312 16.1733
838.000000 71.361 17.0872
850.000000 71.409 17.9225
862.000000 71.462 18.7493
875.000000 71.525 19.6313
885.000000 71.576 20.2991
900.000000 71.659 21.2828
912.000000 71.731 22.0541
925.000000 71.814 22.8712
938.000000 71.901 23.6619
950.000000 71.987 24.3638
962.000000 72.077 25.0382
975.000000 72.177 25.7371
988.000000 72.280 26.4044
1000.000000 72.378 26.9928
1015.000000 72.504 27.6857
1030.000000 72.633 28.3259
1044.000000 72.756 28.8745
1060.000000 72.897 29.4461
1075.000000 73.030 29.9306
1090.000000 73.163 30.3690
1106.000000 73.305 30.7891
1120.000000 73.429 31.1176
1138.000000 73.586 31.4878
1150.000000 73.688 31.7040
1172.000000 73.873 32.0436
1180.000000 73.939 32.1515
1206.000000 74.147 32.4517
1220.000000 74.256 32.5816
1241.000000 74.415 32.7348
1250.000000 74.481 32.7875
1265.000000 74.590 32.8622
1280.000000 74.695 32.9241
1315.000000 74.932 33.0261
1320.000000 74.964 33.0356
1340.000000 75.093 33.0620
1360.000000 75.218 33.0736
1380.000000 75.339 33.0751
1400.000000 75.456 33.0638
1430.000000 75.626 33.0228
1450.000000 75.736 32.9861
1475.000000 75.869 32.9360
1500.000000 75.998 32.8786
1525.000000 76.123 32.8147
1550.000000 76.246 32.7487
1575.000000 76.366 32.6839
1600.000000 76.484 32.6237
1625.000000 76.600 32.5690
1650.000000 76.717 32.5177
1675.000000 76.834 32.4640
1700.000000 76.952 32.4015
1725.000000 77.071 32.3262
1750.000000 77.192 32.2356
1775.000000 77.314 32.1270
1800.000000 77.435 31.9972
1825.000000 77.556 31.8437
1850.000000 77.677 31.6656
1875.000000 77.797 31.4623
1900.000000 77.916 31.2343
1925.000000 78.034 30.9812
1950.000000 78.150 30.7015
1975.000000 78.264 30.3956
2000.000000 78.376 30.0653
2030.000000 78.506 29.6374
2060.000000 78.633 29.1756
2090.000000 78.755 28.6818
2120.000000 78.873 28.1583
2140.000000 78.949 27.7940
2180.000000 79.094 27.0298
2200.000000 79.163 26.6310
2240.000000 79.293 25.8045
2270.000000 79.383 25.1643
2300.000000 79.467 24.5103
2330.000000 79.544 23.8452
2360.000000 79.616 23.1703
2400.000000 79.702 22.2565
2430.000000 79.760 21.5619
2470.000000 79.828 20.6287
2500.000000 79.873 19.9269
2540.000000 79.923 18.9916
2580.000000 79.962 18.0590
2620.000000 79.992 17.1336
2650.000000 80.007 16.4470
2690.000000 80.018 15.5451
2720.000000 80.021 14.8806
2760.000000 80.017 14.0128
2800.000000 80.005 13.1673
2850.000000 79.980 12.1433
2900.000000 79.944 11.1564
2950.000000 79.897 10.2065
3000.000000 79.838 9.2960
3040.000000 79.781 8.6026
3070.000000 79.733 8.1080
3110.000000 79.662 7.4891
3150.000000 79.584 6.9245
3200.000000 79.477 6.3069
3250.000000 79.363 5.7972
3300.000000 79.245 5.4017
3350.000000 79.126 5.1212
3400.000000 79.008 4.9515
3450.000000 78.894 4.8829
3500.000000 78.785 4.9026
3550.000000 78.683 4.9984
3600.000000 78.589 5.1603
3650.000000 78.505 5.3787
3700.000000 78.429 5.6440
3750.000000 78.364 5.9486
3820.000000 78.293 6.4208
3870.000000 78.256 6.7665
3950.000000 78.219 7.2839
4000.000000 78.207 7.5679
4060.000000 78.198 7.8787
4120.000000 78.199 8.1897
4180.000000 78.217 8.5120
4250.000000 78.276 8.7872
4310.000000 78.350 8.7684
4370.000000 78.423 8.4688
4440.000000 78.487 7.8406
4500.000000 78.518 7.1354
4550.000000 78.524 6.4654
4620.000000 78.502 5.4446
4680.000000 78.455 4.5275
4750.000000 78.367 3.4504
4820.000000 78.244 2.4124
4870.000000 78.137 1.7211
4940.000000 77.960 0.8550
5000.000000 77.787 0.2316
5080.000000 77.532 -0.3860
5150.000000 77.292 -0.6875
5220.000000 77.044 -0.7371
5300.000000 76.761 -0.4695
5380.000000 76.493 0.1511
5450.000000 76.282 0.9816
5520.000000 76.106 2.0601
5600.000000 75.966 3.5299
5700.000000 75.908 5.4984
5800.000000 75.996 7.1852
