* Measurement data measured by REW V5.31.1
* Source: Mikrofon (US-2x2 HR), MICROPHONE (Hauptlautstärke), L, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 20.06.2024 19:02:46
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Elysian Pilgrim L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 80.533 176.3453
20.299999 80.500 175.4424
20.600000 80.446 174.6062
20.900000 80.381 173.9023
21.200001 80.318 173.3552
21.400000 80.285 173.0637
21.799999 80.250 172.5536
22.000000 80.249 172.2806
22.400000 80.264 171.6058
22.700001 80.278 170.9792
23.000000 80.284 170.2941
23.299999 80.282 169.6040
23.600000 80.279 168.9362
24.000000 80.286 168.0408
24.299999 80.296 167.2971
24.700001 80.298 166.1496
25.000000 80.270 165.2225
25.400000 80.177 164.1157
25.799999 80.041 163.4478
26.200001 79.921 163.3633
26.500000 79.884 163.5634
26.900000 79.925 163.7925
27.200001 80.006 163.6738
27.600000 80.118 162.9674
28.000000 80.174 161.7830
28.500000 80.126 160.1813
29.000000 79.992 158.9923
29.500000 79.861 158.3055
30.000000 79.777 157.7940
30.400000 79.731 157.3118
30.700001 79.698 156.8898
31.100000 79.650 156.2928
31.500000 79.599 155.7029
32.000000 79.546 154.9749
32.500000 79.504 154.2037
33.000000 79.464 153.3784
33.500000 79.425 152.5427
34.000000 79.391 151.7083
34.500000 79.364 150.8286
35.000000 79.330 149.8805
35.500000 79.274 148.9351
36.000000 79.197 148.1191
36.500000 79.115 147.5092
37.000000 79.048 147.0674
37.500000 79.003 146.6746
38.200001 78.961 146.0227
38.700001 78.926 145.4744
39.500000 78.851 144.5931
40.000000 78.801 144.0784
40.599998 78.744 143.4620
41.200001 78.687 142.8175
41.799999 78.624 142.1755
42.500000 78.551 141.4863
43.099998 78.497 140.9296
43.700001 78.451 140.3595
44.400002 78.398 139.6835
45.000000 78.351 139.1396
45.500000 78.314 138.7175
46.200001 78.265 138.1531
46.799999 78.221 137.7144
47.500000 78.175 137.2912
48.200001 78.150 136.8511
48.700001 78.137 136.4220
49.400002 78.096 135.6729
50.000000 78.031 135.0329
50.799999 77.927 134.3029
51.500000 77.833 133.6973
52.200001 77.727 133.1127
53.000000 77.602 132.5844
53.799999 77.503 132.1355
54.500000 77.437 131.6549
55.200001 77.373 131.0768
56.000000 77.295 130.3916
57.000000 77.198 129.5862
58.000000 77.105 128.8326
59.000000 77.013 128.1387
60.000000 76.919 127.5172
60.799999 76.844 127.0510
61.500000 76.776 126.6540
62.200001 76.706 126.2652
63.000000 76.627 125.8278
64.000000 76.531 125.2696
65.000000 76.439 124.6629
66.000000 76.347 124.0341
67.000000 76.257 123.4482
68.000000 76.173 122.9177
69.000000 76.096 122.4358
70.000000 76.024 121.9567
71.000000 75.943 121.4573
72.000000 75.848 121.0267
73.000000 75.754 120.6751
74.000000 75.666 120.3338
75.000000 75.582 119.9930
76.199997 75.493 119.5472
77.500000 75.393 119.0157
78.800003 75.285 118.6016
80.000000 75.198 118.3549
81.199997 75.136 118.0959
82.500000 75.083 117.5423
83.800003 74.989 116.7280
85.000000 74.872 116.1206
86.199997 74.771 115.6340
87.500000 74.677 115.1080
88.500000 74.608 114.7293
90.000000 74.509 114.2516
91.199997 74.436 113.9288
92.500000 74.363 113.5775
93.800003 74.291 113.1891
95.000000 74.227 112.7957
96.199997 74.163 112.3789
97.500000 74.092 111.9415
98.800003 74.018 111.5815
100.000000 73.953 111.3262
101.500000 73.872 111.0428
103.000000 73.786 110.7592
104.400002 73.707 110.4683
106.000000 73.620 109.9988
107.500000 73.530 109.4523
109.000000 73.431 108.9547
110.599998 73.335 108.5893
112.000000 73.273 108.3033
113.800003 73.207 107.8521
115.000000 73.163 107.5464
117.199997 73.088 107.1385
118.000000 73.066 107.0354
120.599998 72.999 106.7267
122.000000 72.955 106.5555
124.099998 72.882 106.2104
125.000000 72.851 106.0258
126.500000 72.803 105.6915
128.000000 72.764 105.3420
131.500000 72.696 104.5880
132.000000 72.686 104.5000
134.000000 72.649 104.1942
136.000000 72.610 103.9060
138.000000 72.563 103.5587
140.000000 72.506 103.1842
143.000000 72.425 102.6678
145.000000 72.378 102.3473
147.500000 72.314 101.9489
150.000000 72.258 101.5094
152.500000 72.220 101.0579
155.000000 72.191 100.6980
157.500000 72.165 100.2795
160.000000 72.176 99.6974
162.500000 72.264 99.1134
165.000000 72.341 98.5984
167.500000 72.279 98.3354
170.000000 72.128 98.1943
172.500000 71.995 97.8243
175.000000 71.925 97.3896
177.500000 71.895 97.0689
180.000000 71.870 96.7714
182.500000 71.847 96.4182
185.000000 71.834 96.0487
187.500000 71.830 95.6942
190.000000 71.830 95.3176
192.500000 71.832 94.8889
195.000000 71.833 94.4109
197.500000 71.831 93.9012
200.000000 71.828 93.3973
203.000000 71.830 92.8221
206.000000 71.837 92.2594
209.000000 71.836 91.7280
212.000000 71.824 91.2586
214.000000 71.815 90.9628
218.000000 71.804 90.3454
220.000000 71.802 90.0108
224.000000 71.798 89.2922
227.000000 71.794 88.7436
230.000000 71.790 88.2115
233.000000 71.788 87.6974
236.000000 71.786 87.1829
240.000000 71.785 86.4792
243.000000 71.788 85.9485
247.000000 71.796 85.2542
250.000000 71.800 84.7371
254.000000 71.802 84.0536
258.000000 71.804 83.3944
262.000000 71.806 82.7513
265.000000 71.806 82.2605
269.000000 71.804 81.5820
272.000000 71.804 81.0699
276.000000 71.808 80.4083
280.000000 71.814 79.7749
285.000000 71.822 79.0052
290.000000 71.828 78.2309
295.000000 71.834 77.4458
300.000000 71.839 76.6673
304.000000 71.845 76.0562
307.000000 71.849 75.6007
311.000000 71.855 74.9938
315.000000 71.861 74.3934
320.000000 71.870 73.6655
325.000000 71.880 72.9581
330.000000 71.889 72.2547
335.000000 71.895 71.5398
340.000000 71.900 70.8288
345.000000 71.904 70.1237
350.000000 71.909 69.4177
355.000000 71.913 68.7233
360.000000 71.916 68.0482
365.000000 71.918 67.3887
370.000000 71.919 66.7383
375.000000 71.920 66.1072
382.000000 71.928 65.2631
387.000000 71.938 64.6700
395.000000 71.954 63.7033
400.000000 71.963 63.0842
406.000000 71.971 62.3289
412.000000 71.973 61.5696
418.000000 71.969 60.8275
425.000000 71.958 60.0192
431.000000 71.948 59.3840
437.000000 71.940 58.7852
444.000000 71.935 58.1066
450.000000 71.933 57.5268
455.000000 71.931 57.0451
462.000000 71.928 56.3808
468.000000 71.925 55.8218
475.000000 71.920 55.1801
482.000000 71.915 54.5516
487.000000 71.911 54.1140
494.000000 71.905 53.5206
500.000000 71.899 53.0285
508.000000 71.890 52.3898
515.000000 71.882 51.8450
522.000000 71.873 51.3189
530.000000 71.863 50.7430
538.000000 71.853 50.1896
545.000000 71.843 49.7216
552.000000 71.832 49.2664
560.000000 71.820 48.7632
570.000000 71.804 48.1661
580.000000 71.788 47.6047
590.000000 71.771 47.0755
600.000000 71.754 46.5765
608.000000 71.740 46.1993
615.000000 71.729 45.8842
622.000000 71.718 45.5826
630.000000 71.707 45.2540
640.000000 71.693 44.8697
650.000000 71.680 44.5221
660.000000 71.667 44.2122
670.000000 71.654 43.9316
680.000000 71.643 43.6702
690.000000 71.633 43.4246
700.000000 71.623 43.2013
710.000000 71.614 43.0067
720.000000 71.608 42.8400
730.000000 71.604 42.6945
740.000000 71.601 42.5664
750.000000 71.599 42.4587
762.000000 71.600 42.3621
775.000000 71.604 42.2946
788.000000 71.610 42.2629
800.000000 71.619 42.2637
812.000000 71.631 42.2866
825.000000 71.648 42.3335
838.000000 71.669 42.4040
850.000000 71.693 42.4927
862.000000 71.721 42.6049
875.000000 71.757 42.7492
885.000000 71.788 42.8732
900.000000 71.841 43.0780
912.000000 71.890 43.2521
925.000000 71.947 43.4445
938.000000 72.009 43.6412
950.000000 72.072 43.8254
962.000000 72.139 44.0112
975.000000 72.216 44.2132
988.000000 72.300 44.4118
1000.000000 72.383 44.5864
1015.000000 72.494 44.7852
1030.000000 72.611 44.9612
1044.000000 72.726 45.1042
1060.000000 72.864 45.2356
1075.000000 72.999 45.3194
1090.000000 73.139 45.3611
1106.000000 73.294 45.3582
1120.000000 73.433 45.3132
1138.000000 73.615 45.1927
1150.000000 73.737 45.0717
1172.000000 73.963 44.7631
1180.000000 74.045 44.6228
1206.000000 74.312 44.0629
1220.000000 74.453 43.6966
1241.000000 74.658 43.0693
1250.000000 74.743 42.7747
1265.000000 74.881 42.2521
1280.000000 75.014 41.6934
1315.000000 75.301 40.2750
1320.000000 75.339 40.0623
1340.000000 75.484 39.1956
1360.000000 75.616 38.3162
1380.000000 75.737 37.4394
1400.000000 75.850 36.5751
1430.000000 76.005 35.3011
1450.000000 76.100 34.4572
1475.000000 76.207 33.4072
1500.000000 76.298 32.3845
1525.000000 76.372 31.4305
1550.000000 76.432 30.5851
1575.000000 76.485 29.8885
1600.000000 76.538 29.3769
1625.000000 76.609 29.0602
1650.000000 76.714 28.8814
1675.000000 76.867 28.6819
1700.000000 77.058 28.2515
1725.000000 77.260 27.4734
1750.000000 77.440 26.4036
1775.000000 77.583 25.1945
1800.000000 77.694 23.9780
1825.000000 77.781 22.8213
1850.000000 77.856 21.7406
1875.000000 77.925 20.7286
1900.000000 77.991 19.7706
1925.000000 78.056 18.8486
1950.000000 78.121 17.9485
1975.000000 78.185 17.0604
2000.000000 78.248 16.1778
2030.000000 78.323 15.1203
2060.000000 78.396 14.0585
2090.000000 78.466 12.9871
2120.000000 78.533 11.9049
2140.000000 78.575 11.1780
2180.000000 78.654 9.7084
2200.000000 78.691 8.9636
2240.000000 78.757 7.4531
2270.000000 78.800 6.3049
2300.000000 78.837 5.1492
2330.000000 78.866 3.9924
2360.000000 78.889 2.8392
2400.000000 78.910 1.3080
2430.000000 78.919 0.1647
2470.000000 78.923 -1.3522
2500.000000 78.920 -2.4857
2540.000000 78.911 -3.9985
2580.000000 78.893 -5.5299
2620.000000 78.864 -7.0992
2650.000000 78.834 -8.3087
2690.000000 78.775 -9.9667
2720.000000 78.713 -11.2327
2760.000000 78.600 -12.9094
2800.000000 78.449 -14.5013
2850.000000 78.212 -16.2488
2900.000000 77.936 -17.6265
2950.000000 77.642 -18.6022
3000.000000 77.344 -19.1947
3040.000000 77.111 -19.4194
3070.000000 76.942 -19.4573
3110.000000 76.725 -19.3479
3150.000000 76.521 -19.0680
3200.000000 76.287 -18.4955
3250.000000 76.083 -17.7021
3300.000000 75.913 -16.7278
3350.000000 75.784 -15.6310
3400.000000 75.695 -14.4850
3450.000000 75.645 -13.3594
3500.000000 75.625 -12.3042
3550.000000 75.630 -11.3445
3600.000000 75.651 -10.4856
3650.000000 75.681 -9.7170
3700.000000 75.718 -9.0206
3750.000000 75.758 -8.3738
3820.000000 75.816 -7.4985
3870.000000 75.860 -6.8495
3950.000000 75.945 -5.6730
4000.000000 76.019 -4.8124
4060.000000 76.151 -3.6636
4120.000000 76.350 -2.5088
4180.000000 76.620 -1.5687
4250.000000 77.006 -1.0176
4310.000000 77.365 -1.1436
4370.000000 77.721 -1.8384
4440.000000 78.102 -3.2872
4500.000000 78.383 -4.9752
4550.000000 78.578 -6.6304
4620.000000 78.785 -9.2340
4680.000000 78.898 -11.6497
4750.000000 78.950 -14.5756
4820.000000 78.919 -17.5028
4870.000000 78.847 -19.5286
4940.000000 78.685 -22.1917
5000.000000 78.496 -24.2545
5080.000000 78.189 -26.6226
5150.000000 77.882 -28.3036
5220.000000 77.555 -29.6124
5300.000000 77.172 -30.6697
5380.000000 76.792 -31.2990
5450.000000 76.472 -31.5426
5520.000000 76.170 -31.5507
5600.000000 75.853 -31.3419
5700.000000 75.498 -30.8638
5800.000000 75.184 -30.2522
5900.000000 74.902 -29.5790
6000.000000 74.641 -28.8768
6080.000000 74.441 -28.2936
6150.000000 74.270 -27.7549
6220.000000 74.100 -27.1724
6300.000000 73.908 -26.4247
6400.000000 73.671 -25.3151
6500.000000 73.447 -23.9588
6600.000000 73.249 -22.3369
