* Measurement data measured by REW V5.31.1
* Source: Mikrofon (US-2x2 HR), MICROPHONE (Hauptlautstärke), L, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 20.06.2024 19:01:52
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Elysian Pilgrim R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 80.128 -175.8231
20.299999 80.137 -176.6189
20.600000 80.141 -177.3949
20.900000 80.142 -178.1375
21.200001 80.143 -178.8467
21.400000 80.144 -179.3077
21.799999 80.151 179.7706
22.000000 80.154 179.2987
22.400000 80.157 178.3250
22.700001 80.152 177.5808
23.000000 80.140 176.8469
23.299999 80.122 176.1421
23.600000 80.101 175.4755
24.000000 80.075 174.6393
24.299999 80.059 174.0367
24.700001 80.043 173.2430
25.000000 80.034 172.6448
25.400000 80.026 171.8304
25.799999 80.023 170.9773
26.200001 80.020 170.0619
26.500000 80.013 169.3323
26.900000 79.991 168.3323
27.200001 79.961 167.6023
27.600000 79.908 166.7220
28.000000 79.851 165.9905
28.500000 79.795 165.2535
29.000000 79.766 164.5792
29.500000 79.752 163.8462
30.000000 79.736 163.0463
30.400000 79.719 162.3954
30.700001 79.704 161.9128
31.100000 79.683 161.2716
31.500000 79.661 160.6202
32.000000 79.627 159.7921
32.500000 79.582 158.9879
33.000000 79.533 158.2501
33.500000 79.488 157.5718
34.000000 79.452 156.9039
34.500000 79.421 156.2055
35.000000 79.388 155.4755
35.500000 79.352 154.7412
36.000000 79.313 154.0271
36.500000 79.275 153.3352
37.000000 79.240 152.6443
37.500000 79.206 151.9302
38.200001 79.146 150.9026
38.700001 79.095 150.2011
39.500000 79.012 149.1829
40.000000 78.968 148.5518
40.599998 78.915 147.7397
41.200001 78.849 146.9226
41.799999 78.777 146.1998
42.500000 78.711 145.4684
43.099998 78.674 144.8257
43.700001 78.646 144.1102
44.400002 78.609 143.2174
45.000000 78.572 142.4474
45.500000 78.536 141.8257
46.200001 78.479 141.0245
46.799999 78.430 140.4122
47.500000 78.377 139.7429
48.200001 78.324 139.0759
48.700001 78.282 138.6017
49.400002 78.219 137.9576
50.000000 78.163 137.4267
50.799999 78.089 136.7278
51.500000 78.027 136.0940
52.200001 77.964 135.4221
53.000000 77.886 134.6399
53.799999 77.805 133.8988
54.500000 77.741 133.2859
55.200001 77.684 132.6685
56.000000 77.622 131.9348
57.000000 77.542 131.0243
58.000000 77.464 130.1594
59.000000 77.387 129.3059
60.000000 77.305 128.4966
60.799999 77.240 127.8888
61.500000 77.185 127.3526
62.200001 77.126 126.8008
63.000000 77.050 126.1648
64.000000 76.944 125.3942
65.000000 76.830 124.6928
66.000000 76.727 124.0619
67.000000 76.648 123.4126
68.000000 76.585 122.6662
69.000000 76.523 121.8678
70.000000 76.456 121.1525
71.000000 76.391 120.5663
72.000000 76.324 120.0559
73.000000 76.245 119.6080
74.000000 76.155 119.2136
75.000000 76.063 118.7755
76.199997 75.951 118.0600
77.500000 75.829 117.0583
78.800003 75.720 115.9209
80.000000 75.640 114.8445
81.199997 75.554 113.8030
82.500000 75.418 113.1622
83.800003 75.311 113.3221
85.000000 75.283 113.5136
86.199997 75.268 113.2947
87.500000 75.211 112.7084
88.500000 75.139 112.2002
90.000000 75.024 111.5093
91.199997 74.941 110.9681
92.500000 74.851 110.4015
93.800003 74.766 109.9153
95.000000 74.695 109.4787
96.199997 74.628 109.0024
97.500000 74.551 108.4423
98.800003 74.464 107.9095
100.000000 74.378 107.5197
101.500000 74.274 107.1566
103.000000 74.183 106.8306
104.400002 74.109 106.4073
106.000000 74.025 105.7484
107.500000 73.952 105.0918
109.000000 73.891 104.4444
110.599998 73.829 103.8114
112.000000 73.766 103.3985
113.800003 73.681 103.0461
115.000000 73.625 102.8092
117.199997 73.500 102.1750
118.000000 73.444 101.9305
120.599998 73.277 101.3076
122.000000 73.207 101.0030
124.099998 73.115 100.5913
125.000000 73.079 100.4467
126.500000 73.025 100.2142
128.000000 72.980 99.9165
131.500000 72.858 98.8105
132.000000 72.833 98.6341
134.000000 72.715 97.9832
136.000000 72.580 97.5085
138.000000 72.470 97.2473
140.000000 72.414 97.0175
143.000000 72.373 96.7034
145.000000 72.345 96.6209
147.500000 72.309 96.5620
150.000000 72.284 96.4290
152.500000 72.252 96.2134
155.000000 72.202 96.0267
157.500000 72.162 95.7018
160.000000 72.134 95.1854
162.500000 72.111 94.6940
165.000000 72.098 94.2131
167.500000 72.091 93.3109
170.000000 72.051 92.0947
172.500000 72.000 91.1430
175.000000 71.964 90.5088
177.500000 71.935 90.0033
180.000000 71.903 89.5235
182.500000 71.868 89.0318
185.000000 71.833 88.5287
187.500000 71.801 88.0439
190.000000 71.774 87.5903
192.500000 71.748 87.1419
195.000000 71.720 86.6629
197.500000 71.691 86.1629
200.000000 71.663 85.6857
203.000000 71.633 85.1513
206.000000 71.606 84.6230
209.000000 71.585 84.0995
212.000000 71.572 83.6153
214.000000 71.564 83.3243
218.000000 71.547 82.7937
220.000000 71.537 82.5110
224.000000 71.517 81.8232
227.000000 71.501 81.2582
230.000000 71.487 80.7089
233.000000 71.472 80.1870
236.000000 71.457 79.6783
240.000000 71.437 78.9966
243.000000 71.423 78.4735
247.000000 71.409 77.7720
250.000000 71.406 77.2945
254.000000 71.408 76.7136
258.000000 71.408 76.1192
262.000000 71.402 75.5268
265.000000 71.394 75.0928
269.000000 71.384 74.5204
272.000000 71.380 74.0923
276.000000 71.380 73.4851
280.000000 71.380 72.8582
285.000000 71.380 72.1208
290.000000 71.381 71.3526
295.000000 71.381 70.5471
300.000000 71.380 69.8196
304.000000 71.381 69.2979
307.000000 71.382 68.9071
311.000000 71.384 68.3494
315.000000 71.385 67.7645
320.000000 71.387 67.0494
325.000000 71.393 66.3677
330.000000 71.400 65.7025
335.000000 71.399 65.0582
340.000000 71.395 64.4302
345.000000 71.389 63.8057
350.000000 71.382 63.1762
355.000000 71.380 62.5286
360.000000 71.385 61.8679
365.000000 71.390 61.2240
370.000000 71.392 60.6251
375.000000 71.390 60.0621
382.000000 71.385 59.2729
387.000000 71.380 58.7043
395.000000 71.374 57.8266
400.000000 71.372 57.2949
406.000000 71.371 56.6629
412.000000 71.367 56.0325
418.000000 71.361 55.4043
425.000000 71.354 54.6875
431.000000 71.347 54.0921
437.000000 71.339 53.5076
444.000000 71.326 52.8339
450.000000 71.313 52.2682
455.000000 71.299 51.8095
462.000000 71.277 51.1987
468.000000 71.255 50.7185
475.000000 71.227 50.2262
482.000000 71.203 49.8138
487.000000 71.192 49.5582
494.000000 71.187 49.2196
500.000000 71.192 48.9127
508.000000 71.203 48.4480
515.000000 71.209 47.9961
522.000000 71.210 47.5260
530.000000 71.206 46.9944
538.000000 71.198 46.4897
545.000000 71.189 46.0758
552.000000 71.178 45.6863
560.000000 71.166 45.2689
570.000000 71.152 44.7762
580.000000 71.136 44.3047
590.000000 71.121 43.8698
600.000000 71.106 43.4763
608.000000 71.094 43.1861
615.000000 71.084 42.9470
622.000000 71.075 42.7209
630.000000 71.065 42.4804
640.000000 71.054 42.2081
650.000000 71.042 41.9651
660.000000 71.032 41.7474
670.000000 71.023 41.5527
680.000000 71.016 41.3787
690.000000 71.009 41.2240
700.000000 71.004 41.0916
710.000000 71.001 40.9895
720.000000 71.001 40.9160
730.000000 71.002 40.8640
740.000000 71.005 40.8299
750.000000 71.011 40.8111
762.000000 71.020 40.8094
775.000000 71.034 40.8353
788.000000 71.051 40.8896
800.000000 71.071 40.9674
812.000000 71.096 41.0680
825.000000 71.127 41.1942
838.000000 71.163 41.3374
850.000000 71.199 41.4866
862.000000 71.240 41.6506
875.000000 71.289 41.8416
885.000000 71.330 41.9949
900.000000 71.397 42.2271
912.000000 71.457 42.4118
925.000000 71.527 42.6127
938.000000 71.601 42.8138
950.000000 71.675 42.9971
962.000000 71.754 43.1758
975.000000 71.845 43.3576
988.000000 71.939 43.5226
1000.000000 72.030 43.6600
1015.000000 72.148 43.8090
1030.000000 72.272 43.9290
1044.000000 72.393 44.0148
1060.000000 72.534 44.0789
1075.000000 72.671 44.1009
1090.000000 72.811 44.0829
1106.000000 72.963 44.0178
1120.000000 73.098 43.9199
1138.000000 73.273 43.7371
1150.000000 73.390 43.5799
1172.000000 73.604 43.2205
1180.000000 73.681 43.0672
1206.000000 73.928 42.4853
1220.000000 74.057 42.1204
1241.000000 74.245 41.5100
1250.000000 74.324 41.2280
1265.000000 74.452 40.7340
1280.000000 74.575 40.2125
1315.000000 74.843 38.9125
1320.000000 74.879 38.7194
1340.000000 75.017 37.9328
1360.000000 75.146 37.1282
1380.000000 75.265 36.3131
1400.000000 75.375 35.4958
1430.000000 75.524 34.2835
1450.000000 75.614 33.4944
1475.000000 75.717 32.5354
1500.000000 75.809 31.6086
1525.000000 75.893 30.7167
1550.000000 75.969 29.8685
1575.000000 76.036 29.0766
1600.000000 76.095 28.3518
1625.000000 76.149 27.7147
1650.000000 76.200 27.1932
1675.000000 76.255 26.8114
1700.000000 76.325 26.5727
1725.000000 76.425 26.4318
1750.000000 76.561 26.2773
1775.000000 76.732 25.9624
1800.000000 76.917 25.3811
1825.000000 77.093 24.5321
1850.000000 77.243 23.5031
1875.000000 77.365 22.4065
1900.000000 77.463 21.3226
1925.000000 77.545 20.2864
1950.000000 77.617 19.3033
1975.000000 77.683 18.3651
2000.000000 77.746 17.4604
2030.000000 77.818 16.4048
2060.000000 77.888 15.3698
2090.000000 77.954 14.3468
2120.000000 78.018 13.3320
2140.000000 78.059 12.6586
2180.000000 78.136 11.3132
2200.000000 78.172 10.6396
2240.000000 78.239 9.2906
2270.000000 78.286 8.2759
2300.000000 78.327 7.2559
2330.000000 78.364 6.2326
2360.000000 78.396 5.2118
2400.000000 78.433 3.8596
2430.000000 78.457 2.8487
2470.000000 78.485 1.4936
2500.000000 78.503 0.4617
2540.000000 78.522 -0.9537
2580.000000 78.533 -2.4340
2620.000000 78.529 -3.9924
2650.000000 78.511 -5.2080
2690.000000 78.461 -6.8612
2720.000000 78.400 -8.0898
2760.000000 78.288 -9.6500
2800.000000 78.143 -11.0517
2850.000000 77.928 -12.4996
2900.000000 77.695 -13.5680
2950.000000 77.461 -14.2754
3000.000000 77.240 -14.6794
3040.000000 77.077 -14.8290
3070.000000 76.963 -14.8619
3110.000000 76.823 -14.8228
3150.000000 76.696 -14.7078
3200.000000 76.553 -14.4744
3250.000000 76.427 -14.1536
3300.000000 76.317 -13.7562
3350.000000 76.225 -13.2905
3400.000000 76.149 -12.7683
3450.000000 76.092 -12.2018
3500.000000 76.054 -11.6068
3550.000000 76.034 -11.0027
3600.000000 76.033 -10.4095
3650.000000 76.048 -9.8444
3700.000000 76.076 -9.3199
3750.000000 76.117 -8.8406
3820.000000 76.191 -8.2400
3870.000000 76.256 -7.8569
3950.000000 76.382 -7.3121
4000.000000 76.477 -7.0131
4060.000000 76.613 -6.7217
4120.000000 76.775 -6.5616
4180.000000 76.959 -6.6105
4250.000000 77.192 -7.0136
4310.000000 77.393 -7.6895
4370.000000 77.583 -8.6703
4440.000000 77.776 -10.1707
4500.000000 77.908 -11.7206
4550.000000 77.990 -13.1630
4620.000000 78.053 -15.3495
4680.000000 78.057 -17.3160
4750.000000 77.999 -19.6350
4820.000000 77.878 -21.8879
4870.000000 77.755 -23.4050
4940.000000 77.537 -25.3398
5000.000000 77.317 -26.7829
5080.000000 76.986 -28.3563
5150.000000 76.676 -29.3874
5220.000000 76.357 -30.1019
5300.000000 75.994 -30.5595
5380.000000 75.642 -30.6786
5450.000000 75.349 -30.5485
5520.000000 75.075 -30.2407
5600.000000 74.787 -29.7205
5700.000000 74.465 -28.8959
5800.000000 74.182 -27.9581
5900.000000 73.930 -26.9680
6000.000000 73.701 -25.9554
6080.000000 73.529 -25.1316
6150.000000 73.384 -24.3916
6220.000000 73.243 -23.6211
6300.000000 73.088 -22.6816
6400.000000 72.903 -21.3800
6500.000000 72.735 -19.9012
6600.000000 72.592 -18.2292
