* Measurement data measured by REW V5.31.3
* Source: Mikrofon (US-2x2 HR), MICROPHONE (Hauptlautstärke), L, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 19.09.2024 22:43:17
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Inawaken Dawn L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 85.516 26.0144
20.299999 85.499 25.0220
20.600000 85.480 24.0758
20.900000 85.461 23.1780
21.200001 85.444 22.3210
21.400000 85.434 21.7660
21.799999 85.419 20.6757
22.000000 85.413 20.1340
22.400000 85.400 19.0526
22.700001 85.387 18.2484
23.000000 85.373 17.4589
23.299999 85.357 16.6909
23.600000 85.339 15.9474
24.000000 85.316 14.9895
24.299999 85.300 14.2893
24.700001 85.278 13.3715
25.000000 85.260 12.6936
25.400000 85.235 11.8082
25.799999 85.207 10.9501
26.200001 85.178 10.1212
26.500000 85.157 9.5159
26.900000 85.129 8.7249
27.200001 85.108 8.1401
27.600000 85.080 7.3693
28.000000 85.050 6.6076
28.500000 85.013 5.6671
29.000000 84.973 4.7388
29.500000 84.931 3.8270
30.000000 84.886 2.9402
30.400000 84.848 2.2535
30.700001 84.820 1.7531
31.100000 84.781 1.1063
31.500000 84.743 0.4846
32.000000 84.697 -0.2560
32.500000 84.656 -0.9645
33.000000 84.620 -1.6644
33.500000 84.587 -2.3804
34.000000 84.551 -3.1148
34.500000 84.508 -3.8417
35.000000 84.460 -4.5266
35.500000 84.411 -5.1542
36.000000 84.365 -5.7393
36.500000 84.324 -6.3108
37.000000 84.285 -6.8880
37.500000 84.244 -7.4694
38.200001 84.184 -8.2664
38.700001 84.140 -8.8153
39.500000 84.070 -9.6716
40.000000 84.026 -10.1978
40.599998 83.972 -10.8132
41.200001 83.918 -11.4060
41.799999 83.866 -11.9838
42.500000 83.805 -12.6525
43.099998 83.751 -13.2200
43.700001 83.696 -13.7729
44.400002 83.629 -14.3900
45.000000 83.573 -14.8954
45.500000 83.527 -15.3052
46.200001 83.464 -15.8685
46.799999 83.411 -16.3408
47.500000 83.353 -16.8855
48.200001 83.299 -17.4542
48.700001 83.258 -17.8829
49.400002 83.191 -18.4731
50.000000 83.127 -18.9161
50.799999 83.048 -19.4053
51.500000 82.988 -19.8004
52.200001 82.933 -20.2021
53.000000 82.870 -20.6614
53.799999 82.807 -21.1201
54.500000 82.750 -21.5210
55.200001 82.692 -21.9091
56.000000 82.624 -22.3350
57.000000 82.541 -22.8543
58.000000 82.459 -23.3591
59.000000 82.378 -23.8486
60.000000 82.297 -24.3161
60.799999 82.234 -24.6719
61.500000 82.180 -24.9760
62.200001 82.127 -25.2793
63.000000 82.066 -25.6271
64.000000 81.988 -26.0546
65.000000 81.911 -26.4594
66.000000 81.836 -26.8481
67.000000 81.764 -27.2319
68.000000 81.692 -27.6046
69.000000 81.622 -27.9594
70.000000 81.550 -28.2899
71.000000 81.478 -28.5920
72.000000 81.406 -28.8724
73.000000 81.334 -29.1458
74.000000 81.263 -29.4240
75.000000 81.190 -29.7061
76.199997 81.103 -30.0370
77.500000 81.011 -30.3811
78.800003 80.922 -30.7053
80.000000 80.842 -30.9858
81.199997 80.765 -31.2545
82.500000 80.681 -31.5389
83.800003 80.598 -31.8173
85.000000 80.521 -32.0648
86.199997 80.446 -32.2986
87.500000 80.365 -32.5330
88.500000 80.304 -32.6987
90.000000 80.212 -32.9272
91.199997 80.139 -33.0991
92.500000 80.061 -33.2852
93.800003 79.987 -33.4763
95.000000 79.921 -33.6516
96.199997 79.859 -33.8143
97.500000 79.796 -33.9736
98.800003 79.734 -34.1315
100.000000 79.673 -34.2822
101.500000 79.584 -34.4335
103.000000 79.493 -34.5410
104.400002 79.410 -34.6466
106.000000 79.318 -34.7837
107.500000 79.238 -34.9164
109.000000 79.162 -35.0448
110.599998 79.082 -35.1673
112.000000 79.013 -35.2580
113.800003 78.925 -35.3588
115.000000 78.866 -35.4203
117.199997 78.761 -35.5251
118.000000 78.723 -35.5611
120.599998 78.606 -35.6715
122.000000 78.545 -35.7291
124.099998 78.453 -35.8043
125.000000 78.414 -35.8289
126.500000 78.349 -35.8590
128.000000 78.284 -35.8817
131.500000 78.137 -35.9470
132.000000 78.116 -35.9597
134.000000 78.038 -36.0133
136.000000 77.961 -36.0532
138.000000 77.883 -36.0649
140.000000 77.806 -36.0484
143.000000 77.696 -36.0162
145.000000 77.627 -35.9992
147.500000 77.540 -35.9685
150.000000 77.451 -35.9324
152.500000 77.363 -35.9163
155.000000 77.278 -35.8984
157.500000 77.195 -35.8725
160.000000 77.110 -35.8721
162.500000 77.023 -35.8885
165.000000 76.941 -35.8322
167.500000 76.874 -35.6818
170.000000 76.812 -35.5269
172.500000 76.745 -35.4106
175.000000 76.676 -35.3239
177.500000 76.611 -35.2440
180.000000 76.553 -35.1587
182.500000 76.500 -35.0645
185.000000 76.444 -34.9673
187.500000 76.378 -34.8540
190.000000 76.305 -34.7231
192.500000 76.238 -34.5946
195.000000 76.178 -34.4575
197.500000 76.123 -34.3053
200.000000 76.068 -34.1685
203.000000 75.999 -34.0540
206.000000 75.932 -33.9486
209.000000 75.871 -33.8219
212.000000 75.808 -33.6769
214.000000 75.766 -33.5740
218.000000 75.683 -33.3713
220.000000 75.643 -33.2743
224.000000 75.567 -33.0823
227.000000 75.512 -32.9271
230.000000 75.457 -32.7562
233.000000 75.404 -32.5827
236.000000 75.352 -32.4158
240.000000 75.286 -32.1989
243.000000 75.239 -32.0356
247.000000 75.178 -31.8125
250.000000 75.133 -31.6422
254.000000 75.071 -31.4180
258.000000 75.012 -31.1973
262.000000 74.955 -30.9722
265.000000 74.915 -30.7975
269.000000 74.862 -30.5616
272.000000 74.823 -30.3857
276.000000 74.773 -30.1541
280.000000 74.724 -29.9255
285.000000 74.665 -29.6350
290.000000 74.608 -29.3363
295.000000 74.554 -29.0425
300.000000 74.504 -28.7577
304.000000 74.466 -28.5328
307.000000 74.438 -28.3640
311.000000 74.401 -28.1376
315.000000 74.365 -27.9108
320.000000 74.322 -27.6272
325.000000 74.280 -27.3485
330.000000 74.240 -27.0780
335.000000 74.202 -26.8102
340.000000 74.167 -26.5457
345.000000 74.133 -26.2895
350.000000 74.099 -26.0383
355.000000 74.067 -25.7853
360.000000 74.036 -25.5336
365.000000 74.006 -25.2850
370.000000 73.976 -25.0416
375.000000 73.948 -24.8049
382.000000 73.909 -24.4812
387.000000 73.882 -24.2541
395.000000 73.840 -23.8926
400.000000 73.814 -23.6682
406.000000 73.784 -23.4011
412.000000 73.756 -23.1361
418.000000 73.728 -22.8735
425.000000 73.696 -22.5697
431.000000 73.669 -22.3079
437.000000 73.643 -22.0419
444.000000 73.613 -21.7305
450.000000 73.587 -21.4634
455.000000 73.566 -21.2369
462.000000 73.539 -20.9156
468.000000 73.517 -20.6399
475.000000 73.492 -20.3188
482.000000 73.469 -19.9990
487.000000 73.453 -19.7722
494.000000 73.431 -19.4551
500.000000 73.413 -19.1812
508.000000 73.391 -18.8118
515.000000 73.372 -18.4846
522.000000 73.355 -18.1573
530.000000 73.336 -17.7858
538.000000 73.318 -17.4160
545.000000 73.303 -17.0963
552.000000 73.289 -16.7779
560.000000 73.275 -16.4137
570.000000 73.258 -15.9537
580.000000 73.242 -15.4839
590.000000 73.227 -15.0110
600.000000 73.212 -14.5383
608.000000 73.201 -14.1575
615.000000 73.193 -13.8198
622.000000 73.185 -13.4778
630.000000 73.176 -13.0818
640.000000 73.162 -12.5732
650.000000 73.145 -12.0312
660.000000 73.124 -11.4135
670.000000 73.108 -10.6541
680.000000 73.117 -9.7133
690.000000 73.177 -8.7164
700.000000 73.285 -8.0039
710.000000 73.391 -7.7518
720.000000 73.456 -7.7388
730.000000 73.481 -7.7219
740.000000 73.481 -7.6152
750.000000 73.464 -7.3663
762.000000 73.442 -6.8117
775.000000 73.446 -6.0161
788.000000 73.477 -5.2213
800.000000 73.519 -4.5367
812.000000 73.568 -3.8821
825.000000 73.624 -3.1892
838.000000 73.686 -2.5081
850.000000 73.748 -1.8900
862.000000 73.815 -1.2825
875.000000 73.892 -0.6351
885.000000 73.956 -0.1444
900.000000 74.059 0.5723
912.000000 74.147 1.1219
925.000000 74.249 1.6920
938.000000 74.358 2.2363
950.000000 74.463 2.7117
962.000000 74.572 3.1547
975.000000 74.695 3.5887
988.000000 74.822 3.9681
1000.000000 74.941 4.2679
1015.000000 75.094 4.5753
1030.000000 75.248 4.8099
1044.000000 75.391 4.9640
1060.000000 75.552 5.0654
1075.000000 75.700 5.0930
1090.000000 75.843 5.0630
1106.000000 75.989 4.9758
1120.000000 76.110 4.8605
1138.000000 76.258 4.6739
1150.000000 76.351 4.5341
1172.000000 76.512 4.2556
1180.000000 76.567 4.1487
1206.000000 76.736 3.7905
1220.000000 76.821 3.5978
1241.000000 76.942 3.3165
1250.000000 76.992 3.2008
1265.000000 77.074 3.0148
1280.000000 77.152 2.8358
1315.000000 77.329 2.4474
1320.000000 77.353 2.3953
1340.000000 77.450 2.1951
1360.000000 77.545 2.0074
1380.000000 77.639 1.8312
1400.000000 77.732 1.6635
1430.000000 77.869 1.4257
1450.000000 77.960 1.2763
1475.000000 78.073 1.0984
1500.000000 78.186 0.9281
1525.000000 78.300 0.7657
1550.000000 78.415 0.6071
1575.000000 78.530 0.4479
1600.000000 78.646 0.2885
1625.000000 78.763 0.1277
1650.000000 78.881 -0.0363
1675.000000 79.001 -0.2065
1700.000000 79.122 -0.3853
1725.000000 79.243 -0.5710
1750.000000 79.366 -0.7627
1775.000000 79.489 -0.9629
1800.000000 79.613 -1.1752
1825.000000 79.738 -1.4000
1850.000000 79.864 -1.6389
1875.000000 79.990 -1.8936
1900.000000 80.117 -2.1639
1925.000000 80.245 -2.4511
1950.000000 80.373 -2.7552
1975.000000 80.502 -3.0761
2000.000000 80.630 -3.4153
2030.000000 80.784 -3.8492
2060.000000 80.937 -4.3136
2090.000000 81.090 -4.8073
2120.000000 81.241 -5.3311
2140.000000 81.342 -5.6980
2180.000000 81.540 -6.4739
2200.000000 81.638 -6.8820
2240.000000 81.830 -7.7389
2270.000000 81.972 -8.4182
2300.000000 82.110 -9.1277
2330.000000 82.245 -9.8663
2360.000000 82.376 -10.6339
2400.000000 82.545 -11.7031
2430.000000 82.666 -12.5370
2470.000000 82.819 -13.6864
2500.000000 82.928 -14.5752
2540.000000 83.065 -15.7919
2580.000000 83.191 -17.0392
2620.000000 83.306 -18.3130
2650.000000 83.386 -19.2815
2690.000000 83.482 -20.5847
2720.000000 83.547 -21.5687
2760.000000 83.623 -22.8854
2800.000000 83.688 -24.2019
2850.000000 83.753 -25.8359
2900.000000 83.801 -27.4471
2950.000000 83.834 -29.0292
3000.000000 83.852 -30.5717
3040.000000 83.856 -31.7720
3070.000000 83.855 -32.6513
3110.000000 83.845 -33.7939
3150.000000 83.829 -34.9009
3200.000000 83.800 -36.2328
3250.000000 83.763 -37.5071
3300.000000 83.719 -38.7240
3350.000000 83.669 -39.8843
3400.000000 83.613 -40.9910
3450.000000 83.553 -42.0472
3500.000000 83.489 -43.0560
3550.000000 83.422 -44.0216
3600.000000 83.352 -44.9492
3650.000000 83.280 -45.8431
3700.000000 83.205 -46.7067
3750.000000 83.127 -47.5431
3820.000000 83.015 -48.6749
3870.000000 82.931 -49.4592
3950.000000 82.792 -50.6791
4000.000000 82.700 -51.4235
4060.000000 82.585 -52.3004
4120.000000 82.464 -53.1602
4180.000000 82.336 -54.0028
4250.000000 82.178 -54.9620
4310.000000 82.033 -55.7606
4370.000000 81.880 -56.5327
4440.000000 81.690 -57.3906
4500.000000 81.516 -58.0830
4550.000000 81.364 -58.6265
4620.000000 81.140 -59.3309
4680.000000 80.937 -59.8755
4750.000000 80.687 -60.4286
4820.000000 80.421 -60.8738
4870.000000 80.221 -61.1090
4940.000000 79.925 -61.2795
5000.000000 79.657 -61.2098
5080.000000 79.300 -60.6454
5150.000000 79.035 -59.6477
5220.000000 78.870 -58.5009
