* Measurement data measured by REW V5.31.3
* Source: Mikrofon (US-2x2 HR), MICROPHONE (Hauptlautstärke), L, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 19.09.2024 22:41:46
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Inawaken Dawn R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 85.515 26.8136
20.299999 85.505 25.8770
20.600000 85.497 24.9643
20.900000 85.490 24.0651
21.200001 85.484 23.1709
21.400000 85.480 22.5758
21.799999 85.468 21.3904
22.000000 85.461 20.8035
22.400000 85.441 19.6527
22.700001 85.424 18.8180
23.000000 85.404 18.0120
23.299999 85.385 17.2345
23.600000 85.365 16.4821
24.000000 85.341 15.5090
24.299999 85.324 14.7958
24.700001 85.300 13.8617
25.000000 85.283 13.1733
25.400000 85.258 12.2731
25.799999 85.233 11.3934
26.200001 85.208 10.5323
26.500000 85.188 9.8971
26.900000 85.160 9.0642
27.200001 85.138 8.4525
27.600000 85.106 7.6595
28.000000 85.074 6.8969
28.500000 85.035 5.9813
29.000000 84.999 5.0905
29.500000 84.964 4.2073
30.000000 84.927 3.3315
30.400000 84.896 2.6451
30.700001 84.873 2.1428
31.100000 84.841 1.4910
31.500000 84.809 0.8566
32.000000 84.771 0.0790
32.500000 84.734 -0.6899
33.000000 84.695 -1.4502
33.500000 84.653 -2.1941
34.000000 84.608 -2.9111
34.500000 84.562 -3.5947
35.000000 84.516 -4.2474
35.500000 84.472 -4.8785
36.000000 84.430 -5.4987
36.500000 84.388 -6.1139
37.000000 84.345 -6.7238
37.500000 84.302 -7.3245
38.200001 84.241 -8.1453
38.700001 84.197 -8.7176
39.500000 84.128 -9.6118
40.000000 84.084 -10.1548
40.599998 84.032 -10.7839
41.200001 83.980 -11.3860
41.799999 83.929 -11.9656
42.500000 83.871 -12.6241
43.099998 83.820 -13.1783
43.700001 83.768 -13.7201
44.400002 83.705 -14.3300
45.000000 83.650 -14.8362
45.500000 83.604 -15.2533
46.200001 83.538 -15.8341
46.799999 83.481 -16.3252
47.500000 83.415 -16.8943
48.200001 83.347 -17.4694
48.700001 83.295 -17.8694
49.400002 83.221 -18.3700
50.000000 83.164 -18.7333
50.799999 83.105 -19.1995
51.500000 83.062 -19.6602
52.200001 83.016 -20.1576
53.000000 82.957 -20.7118
53.799999 82.894 -21.2284
54.500000 82.837 -21.6514
55.200001 82.779 -22.0504
56.000000 82.714 -22.4883
57.000000 82.631 -23.0254
58.000000 82.546 -23.5529
59.000000 82.462 -24.0642
60.000000 82.380 -24.5565
60.799999 82.316 -24.9423
61.500000 82.262 -25.2744
62.200001 82.208 -25.5976
63.000000 82.147 -25.9546
64.000000 82.071 -26.3876
65.000000 81.994 -26.8025
66.000000 81.918 -27.1909
67.000000 81.842 -27.5647
68.000000 81.767 -27.9364
69.000000 81.692 -28.3024
70.000000 81.618 -28.6562
71.000000 81.544 -28.9944
72.000000 81.472 -29.3168
73.000000 81.400 -29.6263
74.000000 81.330 -29.9242
75.000000 81.259 -30.2103
76.199997 81.176 -30.5435
77.500000 81.085 -30.8928
78.800003 80.996 -31.2272
80.000000 80.915 -31.5238
81.199997 80.835 -31.8070
82.500000 80.748 -32.0907
83.800003 80.663 -32.3522
85.000000 80.585 -32.5865
86.199997 80.508 -32.8214
87.500000 80.425 -33.0732
88.500000 80.363 -33.2611
90.000000 80.271 -33.5287
91.199997 80.198 -33.7280
92.500000 80.119 -33.9320
93.800003 80.040 -34.1295
95.000000 79.967 -34.3173
96.199997 79.894 -34.5236
97.500000 79.816 -34.7703
98.800003 79.737 -35.0150
100.000000 79.663 -35.1907
101.500000 79.580 -35.3232
103.000000 79.506 -35.4235
104.400002 79.438 -35.5147
106.000000 79.358 -35.6238
107.500000 79.280 -35.7311
109.000000 79.203 -35.8420
110.599998 79.122 -35.9622
112.000000 79.052 -36.0624
113.800003 78.963 -36.1782
115.000000 78.904 -36.2487
117.199997 78.798 -36.3781
118.000000 78.760 -36.4263
120.599998 78.639 -36.5653
122.000000 78.575 -36.6215
124.099998 78.481 -36.6934
125.000000 78.441 -36.7219
126.500000 78.375 -36.7656
128.000000 78.310 -36.8059
131.500000 78.163 -36.8870
132.000000 78.142 -36.8961
134.000000 78.060 -36.9280
136.000000 77.980 -36.9576
138.000000 77.900 -36.9847
140.000000 77.822 -37.0048
143.000000 77.704 -37.0186
145.000000 77.626 -37.0282
147.500000 77.529 -37.0415
150.000000 77.437 -37.0192
152.500000 77.353 -36.9607
155.000000 77.273 -36.9114
157.500000 77.193 -36.8757
160.000000 77.113 -36.8159
162.500000 77.036 -36.7155
165.000000 76.958 -36.6281
167.500000 76.878 -36.5896
170.000000 76.799 -36.5571
172.500000 76.724 -36.4999
175.000000 76.651 -36.4243
177.500000 76.579 -36.3372
180.000000 76.510 -36.2271
182.500000 76.443 -36.0925
185.000000 76.377 -35.9643
187.500000 76.313 -35.8717
190.000000 76.248 -35.7922
192.500000 76.183 -35.7015
195.000000 76.119 -35.6033
197.500000 76.056 -35.5088
200.000000 75.996 -35.4155
203.000000 75.931 -35.2977
206.000000 75.868 -35.1691
209.000000 75.804 -35.0258
212.000000 75.742 -34.8720
214.000000 75.701 -34.7683
218.000000 75.621 -34.5638
220.000000 75.580 -34.4617
224.000000 75.499 -34.2518
227.000000 75.440 -34.0911
230.000000 75.384 -33.9319
233.000000 75.331 -33.7758
236.000000 75.278 -33.6210
240.000000 75.209 -33.4108
243.000000 75.158 -33.2469
247.000000 75.091 -33.0168
250.000000 75.043 -32.8436
254.000000 74.981 -32.6245
258.000000 74.921 -32.4091
262.000000 74.863 -32.1864
265.000000 74.819 -32.0156
269.000000 74.763 -31.7877
272.000000 74.722 -31.6171
276.000000 74.669 -31.3908
280.000000 74.617 -31.1695
285.000000 74.553 -30.8971
290.000000 74.490 -30.6226
295.000000 74.431 -30.3466
300.000000 74.375 -30.0689
304.000000 74.332 -29.8453
307.000000 74.302 -29.6750
311.000000 74.261 -29.4442
315.000000 74.221 -29.2126
320.000000 74.172 -28.9265
325.000000 74.126 -28.6456
330.000000 74.082 -28.3717
335.000000 74.038 -28.1025
340.000000 73.996 -27.8314
345.000000 73.954 -27.5568
350.000000 73.914 -27.2783
355.000000 73.876 -26.9939
360.000000 73.839 -26.7140
365.000000 73.803 -26.4429
370.000000 73.769 -26.1750
375.000000 73.736 -25.9069
382.000000 73.691 -25.5309
387.000000 73.660 -25.2659
395.000000 73.614 -24.8424
400.000000 73.587 -24.5774
406.000000 73.556 -24.2664
412.000000 73.526 -23.9581
418.000000 73.497 -23.6443
425.000000 73.464 -23.2756
431.000000 73.438 -22.9673
437.000000 73.412 -22.6648
444.000000 73.385 -22.3127
450.000000 73.362 -22.0151
455.000000 73.344 -21.7749
462.000000 73.319 -21.4446
468.000000 73.298 -21.1589
475.000000 73.274 -20.8214
482.000000 73.252 -20.4845
487.000000 73.237 -20.2465
494.000000 73.217 -19.9163
500.000000 73.201 -19.6349
508.000000 73.179 -19.2570
515.000000 73.162 -18.9236
522.000000 73.145 -18.5920
530.000000 73.127 -18.2140
538.000000 73.110 -17.8338
545.000000 73.097 -17.4996
552.000000 73.084 -17.1673
560.000000 73.070 -16.7891
570.000000 73.054 -16.3116
580.000000 73.041 -15.8255
590.000000 73.030 -15.3338
600.000000 73.020 -14.8430
608.000000 73.012 -14.4487
615.000000 73.007 -14.1013
622.000000 73.003 -13.7532
630.000000 73.000 -13.3549
640.000000 72.998 -12.8529
650.000000 72.998 -12.3469
660.000000 73.001 -11.8359
670.000000 73.007 -11.3182
680.000000 73.017 -10.8020
690.000000 73.030 -10.3042
700.000000 73.043 -9.8312
710.000000 73.053 -9.3622
720.000000 73.062 -8.8753
730.000000 73.069 -8.3586
740.000000 73.079 -7.8032
750.000000 73.093 -7.2064
762.000000 73.120 -6.4577
775.000000 73.164 -5.6611
788.000000 73.217 -4.9086
800.000000 73.269 -4.2448
812.000000 73.324 -3.6013
825.000000 73.386 -2.9214
838.000000 73.452 -2.2554
850.000000 73.518 -1.6474
862.000000 73.588 -1.0431
875.000000 73.670 -0.3972
885.000000 73.737 0.0897
900.000000 73.844 0.7976
912.000000 73.934 1.3417
925.000000 74.038 1.9086
938.000000 74.146 2.4469
950.000000 74.250 2.9120
962.000000 74.357 3.3451
975.000000 74.478 3.7768
988.000000 74.601 4.1649
1000.000000 74.718 4.4825
1015.000000 74.866 4.8221
1030.000000 75.017 5.0955
1044.000000 75.158 5.2926
1060.000000 75.320 5.4541
1075.000000 75.469 5.5440
1090.000000 75.615 5.5756
1106.000000 75.767 5.5526
1120.000000 75.894 5.4915
1138.000000 76.051 5.3655
1150.000000 76.152 5.2556
1172.000000 76.328 5.0120
1180.000000 76.389 4.9142
1206.000000 76.576 4.5738
1220.000000 76.670 4.3802
1241.000000 76.804 4.0841
1250.000000 76.859 3.9567
1265.000000 76.948 3.7447
1280.000000 77.033 3.5354
1315.000000 77.221 3.0739
1320.000000 77.247 3.0118
1340.000000 77.349 2.7725
1360.000000 77.447 2.5470
1380.000000 77.544 2.3342
1400.000000 77.639 2.1335
1430.000000 77.779 1.8516
1450.000000 77.872 1.6742
1475.000000 77.987 1.4637
1500.000000 78.102 1.2638
1525.000000 78.217 1.0734
1550.000000 78.332 0.8900
1575.000000 78.449 0.7086
1600.000000 78.566 0.5258
1625.000000 78.684 0.3436
1650.000000 78.803 0.1617
1675.000000 78.923 -0.0216
1700.000000 79.045 -0.2111
1725.000000 79.168 -0.4085
1750.000000 79.292 -0.6149
1775.000000 79.416 -0.8316
1800.000000 79.543 -1.0608
1825.000000 79.670 -1.3031
1850.000000 79.798 -1.5577
1875.000000 79.927 -1.8258
1900.000000 80.056 -2.1114
1925.000000 80.186 -2.4160
1950.000000 80.317 -2.7402
1975.000000 80.449 -3.0848
2000.000000 80.580 -3.4507
2030.000000 80.737 -3.9170
2060.000000 80.894 -4.4142
2090.000000 81.051 -4.9445
2120.000000 81.206 -5.5085
2140.000000 81.309 -5.9036
2180.000000 81.511 -6.7380
2200.000000 81.611 -7.1774
2240.000000 81.808 -8.1029
2270.000000 81.952 -8.8379
2300.000000 82.092 -9.6068
2330.000000 82.229 -10.4092
2360.000000 82.361 -11.2446
2400.000000 82.529 -12.4099
2430.000000 82.650 -13.3194
2470.000000 82.801 -14.5722
2500.000000 82.908 -15.5392
2540.000000 83.041 -16.8622
2580.000000 83.162 -18.2186
2620.000000 83.270 -19.6025
2650.000000 83.343 -20.6536
2690.000000 83.429 -22.0648
2720.000000 83.485 -23.1263
2760.000000 83.548 -24.5415
2800.000000 83.598 -25.9523
2850.000000 83.644 -27.6993
2900.000000 83.671 -29.4103
2950.000000 83.680 -31.0736
3000.000000 83.673 -32.6842
3040.000000 83.657 -33.9300
3070.000000 83.640 -34.8374
3110.000000 83.610 -36.0090
3150.000000 83.572 -37.1343
3200.000000 83.517 -38.4744
3250.000000 83.453 -39.7422
3300.000000 83.383 -40.9399
3350.000000 83.306 -42.0691
3400.000000 83.225 -43.1345
3450.000000 83.140 -44.1392
3500.000000 83.052 -45.0854
3550.000000 82.962 -45.9793
3600.000000 82.871 -46.8269
3650.000000 82.778 -47.6317
3700.000000 82.684 -48.3981
3750.000000 82.589 -49.1326
3820.000000 82.454 -50.1168
3870.000000 82.356 -50.7916
3950.000000 82.196 -51.8302
4000.000000 82.094 -52.4577
4060.000000 81.968 -53.1921
4120.000000 81.838 -53.9088
4180.000000 81.703 -54.6069
4250.000000 81.538 -55.3984
4310.000000 81.390 -56.0562
4370.000000 81.236 -56.6908
4440.000000 81.046 -57.3958
4500.000000 80.876 -57.9645
4550.000000 80.729 -58.4094
4620.000000 80.513 -58.9819
4680.000000 80.320 -59.4200
4750.000000 80.085 -59.8620
4820.000000 79.841 -60.2216
4870.000000 79.663 -60.4219
4940.000000 79.406 -60.6134
5000.000000 79.182 -60.6878
5080.000000 78.880 -60.6486
5150.000000 78.617 -60.4843
5220.000000 78.360 -60.2239
