* Measurement data measured by REW V5.30.3
* Source: Mikrofon (US-2x2 HR), MICROPHONE (Hauptlautstärke), L, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 03.02.2024 20:45:44
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: KZ EDX Ultra
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 36.231 149.6148
0.732422 42.010 110.3207
1.098633 48.382 77.0187
1.464844 53.758 51.1896
1.831055 57.977 30.0155
2.197266 61.237 11.9512
2.563477 63.755 -3.6688
2.929688 65.716 -17.1727
3.295898 67.278 -28.8377
3.662109 68.561 -39.0143
4.028320 69.641 -48.1090
4.394531 70.550 -56.4614
4.760742 71.292 -64.2240
5.126953 71.872 -71.3446
5.493164 72.311 -77.6616
5.859375 72.657 -83.0592
6.225586 72.968 -87.6026
6.591797 73.287 -91.5611
6.958008 73.622 -95.2789
7.324219 73.951 -98.9875
7.690430 74.243 -102.7178
8.056641 74.481 -106.3555
8.422852 74.667 -109.7617
8.789062 74.819 -112.8650
9.155273 74.953 -115.6814
9.521484 75.079 -118.2736
9.887695 75.199 -120.6979
10.253906 75.312 -122.9834
10.620117 75.419 -125.1452
10.986328 75.520 -127.2021
11.352539 75.614 -129.1753
11.718750 75.701 -131.0722
12.084961 75.778 -132.8819
12.451172 75.849 -134.5925
12.817383 75.917 -136.2140
13.183594 75.987 -137.7832
13.549805 76.054 -139.3394
13.916016 76.113 -140.8928
14.282227 76.159 -142.4168
14.648438 76.193 -143.8708
15.014648 76.220 -145.2355
15.380859 76.247 -146.5280
15.747070 76.274 -147.7834
16.113281 76.298 -149.0208
16.479492 76.314 -150.2255
16.845703 76.325 -151.3656
17.211914 76.335 -152.4274
17.578125 76.351 -153.4367
17.944336 76.373 -154.4441
18.310547 76.395 -155.4854
18.676758 76.409 -156.5501
19.042969 76.411 -157.5856
19.409180 76.405 -158.5360
19.775391 76.399 -159.3841
20.141602 76.403 -160.1666
20.507812 76.418 -160.9487
20.874023 76.436 -161.7775
21.240234 76.449 -162.6507
21.606445 76.450 -163.5224
21.972656 76.443 -164.3391
22.338867 76.433 -165.0777
22.705078 76.428 -165.7601
23.071289 76.430 -166.4334
23.437500 76.433 -167.1331
23.803711 76.432 -167.8579
24.169922 76.423 -168.5738
24.536133 76.407 -169.2421
24.902344 76.391 -169.8495
25.268555 76.380 -170.4170
25.634766 76.375 -170.9834
26.000977 76.372 -171.5767
26.367188 76.366 -172.1968
26.733398 76.355 -172.8212
27.099609 76.338 -173.4250
27.465820 76.320 -173.9982
27.832031 76.303 -174.5469
28.198242 76.286 -175.0805
28.564453 76.269 -175.6009
28.930664 76.252 -176.1032
29.296875 76.238 -176.5885
29.663086 76.227 -177.0708
30.029297 76.218 -177.5704
30.395508 76.207 -178.0947
30.761719 76.190 -178.6249
31.127930 76.167 -179.1245
31.494141 76.142 -179.5652
31.860352 76.122 -179.9521
32.226562 76.112 179.6740
32.592773 76.108 179.2618
32.958984 76.105 178.7852
33.325195 76.095 178.2598
33.691406 76.073 177.7306
34.057617 76.043 177.2404
34.423828 76.010 176.8061
34.790039 75.978 176.4168
35.156250 75.948 176.0515
35.522461 75.921 175.6987
35.888672 75.894 175.3589
36.254883 75.871 175.0331
36.621094 75.851 174.7099
36.987305 75.834 174.3696
37.353516 75.818 173.9998
37.719727 75.798 173.6097
38.085938 75.773 173.2263
38.452148 75.745 172.8754
38.818359 75.720 172.5610
39.184570 75.699 172.2628
39.550781 75.683 171.9524
39.916992 75.668 171.6151
40.283203 75.650 171.2592
40.649414 75.629 170.9062
41.015625 75.605 170.5734
41.381836 75.582 170.2631
41.748047 75.560 169.9663
42.114258 75.539 169.6741
42.480469 75.518 169.3842
42.846680 75.498 169.0987
43.212891 75.478 168.8165
43.579102 75.459 168.5311
43.945312 75.440 168.2369
44.311523 75.418 167.9368
44.677734 75.394 167.6420
45.043945 75.368 167.3642
45.410156 75.342 167.1047
45.776367 75.318 166.8524
46.142578 75.295 166.5926
46.508789 75.272 166.3188
46.875000 75.246 166.0390
47.241211 75.217 165.7695
47.607422 75.186 165.5235
47.973633 75.156 165.3032
48.339844 75.130 165.0989
48.706055 75.107 164.8967
49.072266 75.087 164.6844
49.438477 75.068 164.4548
49.804688 75.050 164.2065
50.170898 75.029 163.9436
50.537109 75.006 163.6764
50.903320 74.980 163.4188
51.269531 74.952 163.1821
51.635742 74.926 162.9674
52.001953 74.903 162.7630
52.368164 74.882 162.5513
52.734375 74.862 162.3207
53.100586 74.840 162.0746
53.466797 74.814 161.8303
53.833008 74.785 161.6067
54.199219 74.756 161.4135
54.565430 74.728 161.2453
54.931641 74.705 161.0879
55.297852 74.684 160.9271
55.664062 74.666 160.7546
56.030273 74.649 160.5674
56.396484 74.631 160.3643
56.762695 74.611 160.1467
57.128906 74.589 159.9213
57.495117 74.562 159.7023
57.861328 74.533 159.5056
58.227539 74.504 159.3385
58.593750 74.478 159.1915
58.959961 74.455 159.0425
59.326172 74.435 158.8719
59.692383 74.413 158.6772
60.058594 74.387 158.4756
60.424805 74.357 158.2913
60.791016 74.326 158.1371
61.157227 74.298 158.0056
61.523438 74.273 157.8764
61.889648 74.250 157.7337
62.255859 74.227 157.5782
62.622070 74.202 157.4237
62.988281 74.177 157.2823
63.354492 74.153 157.1513
63.720703 74.133 157.0146
64.086914 74.114 156.8561
64.453125 74.094 156.6744
64.819336 74.069 156.4854
65.185547 74.041 156.3107
65.551758 74.012 156.1622
65.917969 73.984 156.0359
66.284180 73.959 155.9171
66.650391 73.935 155.7936
67.016602 73.912 155.6635
67.382812 73.889 155.5328
67.749023 73.865 155.4078
68.115234 73.842 155.2883
68.481445 73.819 155.1697
68.847656 73.797 155.0475
69.213867 73.775 154.9221
69.580078 73.753 154.7967
69.946289 73.730 154.6737
70.312500 73.708 154.5522
70.678711 73.686 154.4300
71.044922 73.664 154.3065
71.411133 73.642 154.1833
71.777344 73.620 154.0612
72.143555 73.599 153.9370
72.509766 73.578 153.8060
72.875977 73.557 153.6663
73.242188 73.533 153.5238
73.608398 73.507 153.3901
73.974609 73.481 153.2746
74.340820 73.455 153.1766
74.707031 73.433 153.0852
75.073242 73.412 152.9866
75.439453 73.392 152.8754
75.805664 73.370 152.7578
76.171875 73.346 152.6461
76.538086 73.322 152.5475
76.904297 73.299 152.4581
77.270508 73.277 152.3661
77.636719 73.256 152.2635
78.002930 73.233 152.1536
78.369141 73.208 152.0492
78.735352 73.181 151.9613
79.101562 73.156 151.8891
79.467773 73.134 151.8190
79.833984 73.114 151.7358
80.200195 73.094 151.6357
80.566406 73.071 151.5298
80.932617 73.046 151.4348
81.298828 73.023 151.3571
81.665039 73.002 151.2856
82.031250 72.985 151.1998
82.397461 72.968 151.0868
82.763672 72.948 150.9546
83.129883 72.924 150.8285
83.496094 72.897 150.7325
83.862305 72.872 150.6701
84.228516 72.851 150.6207
84.594727 72.836 150.5549
84.960938 72.820 150.4574
85.327148 72.801 150.3397
85.693359 72.776 150.2310
86.059570 72.749 150.1562
86.425781 72.723 150.1171
86.791992 72.702 150.0915
87.158203 72.685 150.0504
87.524414 72.668 149.9792
87.890625 72.647 149.8877
88.256836 72.622 149.8008
88.623047 72.594 149.7394
88.989258 72.568 149.7051
89.355469 72.546 149.6788
89.721680 72.529 149.6345
90.087891 72.512 149.5574
90.454102 72.492 149.4547
90.820312 72.468 149.3512
91.186523 72.442 149.2717
91.552734 72.418 149.2215
91.918945 72.400 149.1790
92.285156 72.387 149.1095
92.651367 72.374 148.9927
93.017578 72.356 148.8452
93.383789 72.329 148.7149
93.750000 72.297 148.6492
94.116211 72.271 148.6545
94.482422 72.257 148.6834
94.848633 72.253 148.6663
95.214844 72.249 148.5687
95.581055 72.233 148.4252
95.947266 72.204 148.3170
96.313477 72.171 148.3062
96.679688 72.146 148.3761
97.045898 72.136 148.4365
97.412109 72.131 148.3996
97.778320 72.114 148.2681
98.144531 72.073 148.1534
98.510742 72.016 148.2006
98.876953 71.970 148.4662
99.243164 71.961 148.8411
99.609375 71.994 149.0990
99.975586 72.046 149.0530
100.341797 72.081 148.6888
100.708008 72.071 148.1702
101.074219 72.016 147.7308
101.440430 71.939 147.5328
101.806641 71.871 147.5774
102.172852 71.833 147.7227
102.539062 71.821 147.7997
102.905273 71.817 147.7310
103.271484 71.803 147.5602
103.637695 71.773 147.3909
104.003906 71.736 147.2997
104.370117 71.704 147.2896
104.736328 71.684 147.3057
105.102539 71.674 147.2886
105.468750 71.666 147.2169
105.834961 71.653 147.1108
106.201172 71.635 147.0067
106.567383 71.613 146.9305
106.933594 71.591 146.8869
107.299805 71.572 146.8652
107.666016 71.555 146.8495
108.032227 71.541 146.8273
108.398438 71.526 146.7928
108.764648 71.510 146.7495
109.130859 71.491 146.7086
109.497070 71.471 146.6813
109.863281 71.452 146.6694
110.229492 71.434 146.6606
110.595703 71.419 146.6365
110.961914 71.403 146.5873
111.328125 71.384 146.5224
111.694336 71.360 146.4651
112.060547 71.334 146.4353
112.426758 71.310 146.4337
112.792969 71.291 146.4413
113.159180 71.276 146.4348
113.525391 71.262 146.4034
113.891602 71.247 146.3544
114.257812 71.231 146.3031
114.624023 71.213 146.2582
114.990234 71.197 146.2164
115.356445 71.180 146.1700
115.722656 71.163 146.1190
116.088867 71.143 146.0746
116.455078 71.123 146.0506
116.821289 71.104 146.0499
117.187500 71.089 146.0587
117.553711 71.078 146.0547
117.919922 71.068 146.0238
118.286133 71.055 145.9705
118.652344 71.038 145.9147
119.018555 71.018 145.8770
119.384766 70.998 145.8631
119.750977 70.980 145.8603
120.117188 70.966 145.8476
120.483398 70.952 145.8116
120.849609 70.935 145.7570
121.215820 70.914 145.7033
121.582031 70.890 145.6713
121.948242 70.866 145.6683
122.314453 70.846 145.6835
122.680664 70.829 145.6954
123.046875 70.815 145.6868
123.413086 70.800 145.6558
123.779297 70.783 145.6159
124.145508 70.762 145.5858
124.511719 70.741 145.5765
124.877930 70.722 145.5845
125.244141 70.707 145.5947
125.610352 70.694 145.5905
125.976562 70.681 145.5645
126.342773 70.667 145.5214
126.708984 70.649 145.4750
127.075195 70.630 145.4388
127.441406 70.609 145.4196
127.807617 70.590 145.4146
128.173828 70.572 145.4152
128.540039 70.556 145.4122
128.906250 70.542 145.4005
129.272461 70.527 145.3800
129.638672 70.511 145.3537
130.004883 70.494 145.3257
130.371094 70.477 145.2997
130.737305 70.458 145.2797
131.103516 70.439 145.2693
131.469727 70.421 145.2701
131.835938 70.405 145.2791
132.202148 70.392 145.2877
132.568359 70.380 145.2857
132.934570 70.369 145.2675
133.300781 70.356 145.2366
133.666992 70.342 145.2035
134.033203 70.326 145.1774
134.399414 70.311 145.1596
134.765625 70.296 145.1418
135.131836 70.283 145.1143
135.498047 70.267 145.0761
135.864258 70.249 145.0385
136.230469 70.228 145.0179
136.596680 70.207 145.0229
136.962891 70.189 145.0462
137.329102 70.175 145.0690
137.695312 70.163 145.0743
138.061523 70.151 145.0589
138.427734 70.137 145.0342
138.793945 70.121 145.0151
139.160156 70.105 145.0073
139.526367 70.090 145.0032
139.892578 70.077 144.9898
140.258789 70.064 144.9604
140.625000 70.048 144.9218
140.991211 70.030 144.8888
141.357422 70.010 144.8739
141.723633 69.990 144.8785
142.089844 69.973 144.8945
142.456055 69.958 144.9111
142.822266 69.944 144.9235
143.188477 69.930 144.9324
143.554688 69.917 144.9403
143.920898 69.905 144.9456
144.287109 69.893 144.9431
144.653320 69.881 144.9284
145.019531 69.868 144.9039
145.385742 69.852 144.8785
145.751953 69.833 144.8635
146.118164 69.815 144.8656
146.484375 69.797 144.8827
146.850586 69.782 144.9056
147.216797 69.769 144.9228
147.583008 69.757 144.9266
147.949219 69.745 144.9168
148.315430 69.731 144.8991
148.681641 69.716 144.8820
149.047852 69.700 144.8724
149.414062 69.685 144.8721
149.780273 69.670 144.8777
150.146484 69.657 144.8833
150.512695 69.645 144.8828
150.878906 69.634 144.8735
151.245117 69.621 144.8565
