* Measurement data measured by REW V5.31
* Source: Mikrofon (US-2x2 HR), MICROPHONE (Hauptlautstärke), L, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 04.05.2024 19:00:04
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Kefine Delci L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 79.642 15.2869
20.299999 79.624 14.6114
20.600000 79.607 13.9888
20.900000 79.594 13.4132
21.200001 79.587 12.8707
21.400000 79.586 12.5188
21.799999 79.591 11.8143
22.000000 79.596 11.4537
22.400000 79.608 10.7050
22.700001 79.616 10.1211
23.000000 79.620 9.5266
23.299999 79.619 8.9340
23.600000 79.614 8.3566
24.000000 79.601 7.6296
24.299999 79.590 7.1232
24.700001 79.575 6.4962
25.000000 79.566 6.0515
25.400000 79.558 5.4729
25.799999 79.553 4.8920
26.200001 79.547 4.2994
26.500000 79.540 3.8492
26.900000 79.527 3.2509
27.200001 79.515 2.8120
27.600000 79.494 2.2516
28.000000 79.472 1.7255
28.500000 79.446 1.1059
29.000000 79.424 0.4926
29.500000 79.402 -0.1520
30.000000 79.372 -0.8228
30.400000 79.339 -1.3425
30.700001 79.311 -1.7009
31.100000 79.275 -2.1289
31.500000 79.245 -2.5205
32.000000 79.222 -3.0325
32.500000 79.205 -3.6376
33.000000 79.178 -4.3214
33.500000 79.136 -4.9917
34.000000 79.090 -5.5729
34.500000 79.053 -6.0785
35.000000 79.032 -6.5847
35.500000 79.016 -7.1439
36.000000 78.996 -7.7404
36.500000 78.968 -8.3245
37.000000 78.935 -8.8622
37.500000 78.898 -9.3416
38.200001 78.840 -9.8903
38.700001 78.799 -10.1810
39.500000 78.745 -10.5149
40.000000 78.718 -10.6725
40.599998 78.695 -10.8110
41.200001 78.694 -10.9440
41.799999 78.717 -11.2342
42.500000 78.741 -11.9418
43.099998 78.720 -12.7584
43.700001 78.654 -13.5192
44.400002 78.559 -14.1518
45.000000 78.491 -14.5400
45.500000 78.448 -14.8510
46.200001 78.395 -15.3300
46.799999 78.348 -15.7557
47.500000 78.292 -16.2397
48.200001 78.233 -16.7113
48.700001 78.185 -17.0128
49.400002 78.115 -17.3160
50.000000 78.068 -17.4767
50.799999 78.036 -17.7449
51.500000 78.011 -18.1407
52.200001 77.971 -18.5913
53.000000 77.918 -19.0497
53.799999 77.869 -19.4934
54.500000 77.825 -19.9030
55.200001 77.777 -20.2937
56.000000 77.722 -20.6951
57.000000 77.658 -21.1681
58.000000 77.597 -21.6442
59.000000 77.533 -22.1180
60.000000 77.469 -22.5804
60.799999 77.418 -22.9427
61.500000 77.374 -23.2477
62.200001 77.331 -23.5410
63.000000 77.284 -23.8701
64.000000 77.223 -24.2623
65.000000 77.161 -24.6116
66.000000 77.099 -24.9455
67.000000 77.031 -25.2748
68.000000 76.957 -25.5699
69.000000 76.883 -25.8466
70.000000 76.811 -26.1420
71.000000 76.740 -26.4674
72.000000 76.666 -26.7993
73.000000 76.594 -27.0899
74.000000 76.530 -27.3312
75.000000 76.474 -27.5608
76.199997 76.410 -27.8279
77.500000 76.338 -28.0831
78.800003 76.263 -28.3290
80.000000 76.188 -28.5526
81.199997 76.110 -28.7829
82.500000 76.027 -29.0405
83.800003 75.952 -29.3401
85.000000 75.884 -29.6744
86.199997 75.815 -29.9966
87.500000 75.743 -30.2969
88.500000 75.692 -30.4990
90.000000 75.616 -30.7686
91.199997 75.554 -30.9539
92.500000 75.483 -31.0944
93.800003 75.416 -31.1681
95.000000 75.364 -31.2522
96.199997 75.311 -31.4058
97.500000 75.246 -31.6253
98.800003 75.171 -31.8579
100.000000 75.097 -32.0588
101.500000 75.003 -32.2628
103.000000 74.914 -32.4240
104.400002 74.839 -32.5533
106.000000 74.760 -32.6923
107.500000 74.689 -32.8257
109.000000 74.617 -32.9537
110.599998 74.538 -33.0558
112.000000 74.472 -33.1273
113.800003 74.385 -33.2474
115.000000 74.322 -33.3317
117.199997 74.202 -33.3909
118.000000 74.164 -33.3946
120.599998 74.060 -33.4926
122.000000 74.008 -33.5850
124.099998 73.930 -33.7061
125.000000 73.896 -33.7465
126.500000 73.839 -33.7974
128.000000 73.781 -33.8459
131.500000 73.633 -33.9944
132.000000 73.610 -34.0081
134.000000 73.521 -34.0223
136.000000 73.438 -34.0016
138.000000 73.358 -33.9883
140.000000 73.280 -33.9937
143.000000 73.168 -34.0223
145.000000 73.096 -34.0291
147.500000 73.003 -34.0334
150.000000 72.906 -34.0170
152.500000 72.812 -33.9769
155.000000 72.727 -33.9298
157.500000 72.646 -33.8792
160.000000 72.564 -33.8353
162.500000 72.487 -33.8088
165.000000 72.410 -33.7566
167.500000 72.323 -33.6056
170.000000 72.229 -33.4003
172.500000 72.141 -33.3063
175.000000 72.059 -33.3738
177.500000 71.984 -33.4583
180.000000 71.913 -33.4702
182.500000 71.841 -33.4120
185.000000 71.768 -33.2952
187.500000 71.695 -33.1387
190.000000 71.622 -32.9722
192.500000 71.548 -32.8264
195.000000 71.474 -32.6971
197.500000 71.400 -32.5630
200.000000 71.329 -32.4313
203.000000 71.244 -32.2853
206.000000 71.166 -32.0944
209.000000 71.102 -31.8428
212.000000 71.049 -31.6622
214.000000 71.011 -31.5991
218.000000 70.918 -31.4444
220.000000 70.861 -31.3322
224.000000 70.732 -31.0324
227.000000 70.631 -30.7808
230.000000 70.527 -30.5720
233.000000 70.418 -30.3857
236.000000 70.308 -30.1785
240.000000 70.178 -29.7750
243.000000 70.105 -29.3291
247.000000 70.022 -28.6706
250.000000 69.970 -28.0626
254.000000 70.012 -26.4167
258.000000 70.224 -24.5940
262.000000 70.404 -23.8488
265.000000 70.445 -23.9675
269.000000 70.415 -24.5482
272.000000 70.365 -24.9828
276.000000 70.285 -25.3503
280.000000 70.198 -25.5364
285.000000 70.097 -25.7447
290.000000 70.008 -25.8464
295.000000 69.921 -25.7438
300.000000 69.847 -25.5628
304.000000 69.793 -25.4208
307.000000 69.751 -25.3208
311.000000 69.695 -25.1647
315.000000 69.643 -24.9479
320.000000 69.582 -24.6281
325.000000 69.519 -24.3130
330.000000 69.458 -23.9977
335.000000 69.396 -23.6522
340.000000 69.334 -23.3090
345.000000 69.276 -22.9963
350.000000 69.225 -22.7086
355.000000 69.178 -22.4343
360.000000 69.126 -22.1533
365.000000 69.067 -21.8655
370.000000 69.008 -21.5546
375.000000 68.954 -21.2090
382.000000 68.894 -20.6618
387.000000 68.862 -20.2650
395.000000 68.819 -19.6832
400.000000 68.791 -19.3719
406.000000 68.755 -19.0267
412.000000 68.718 -18.6876
418.000000 68.684 -18.3563
425.000000 68.643 -17.9619
431.000000 68.606 -17.6109
437.000000 68.569 -17.2556
444.000000 68.528 -16.8331
450.000000 68.494 -16.4692
455.000000 68.464 -16.1760
462.000000 68.425 -15.7781
468.000000 68.394 -15.4404
475.000000 68.359 -15.0490
482.000000 68.326 -14.6457
487.000000 68.302 -14.3486
494.000000 68.271 -13.9292
500.000000 68.244 -13.5781
508.000000 68.210 -13.1232
515.000000 68.183 -12.7324
522.000000 68.158 -12.3419
530.000000 68.129 -11.8818
538.000000 68.101 -11.4115
545.000000 68.078 -11.0006
552.000000 68.055 -10.5999
560.000000 68.032 -10.1506
570.000000 68.006 -9.5800
580.000000 67.983 -9.0036
590.000000 67.963 -8.4286
600.000000 67.945 -7.8556
608.000000 67.932 -7.3964
615.000000 67.922 -6.9949
622.000000 67.913 -6.5971
630.000000 67.903 -6.1461
640.000000 67.891 -5.5792
650.000000 67.879 -5.0073
660.000000 67.869 -4.4352
670.000000 67.862 -3.8610
680.000000 67.857 -3.2841
690.000000 67.855 -2.7130
700.000000 67.855 -2.1516
710.000000 67.856 -1.5922
720.000000 67.860 -1.0258
730.000000 67.865 -0.4550
740.000000 67.873 0.1154
750.000000 67.882 0.6798
762.000000 67.896 1.3478
775.000000 67.915 2.0684
788.000000 67.936 2.7997
800.000000 67.960 3.4873
812.000000 67.987 4.1785
825.000000 68.022 4.9207
838.000000 68.062 5.6553
850.000000 68.102 6.3240
862.000000 68.146 6.9861
875.000000 68.199 7.6948
885.000000 68.245 8.2289
900.000000 68.319 9.0033
912.000000 68.381 9.5958
925.000000 68.452 10.2150
938.000000 68.527 10.8102
950.000000 68.600 11.3356
962.000000 68.675 11.8380
975.000000 68.759 12.3561
988.000000 68.845 12.8457
1000.000000 68.925 13.2709
1015.000000 69.027 13.7644
1030.000000 69.131 14.2202
1044.000000 69.229 14.6132
1060.000000 69.342 15.0214
1075.000000 69.449 15.3578
1090.000000 69.556 15.6489
1106.000000 69.669 15.9214
1120.000000 69.767 16.1346
1138.000000 69.892 16.3710
1150.000000 69.973 16.5025
1172.000000 70.118 16.6963
1180.000000 70.170 16.7534
1206.000000 70.333 16.8918
1220.000000 70.418 16.9401
1241.000000 70.541 16.9906
1250.000000 70.592 17.0063
1265.000000 70.676 17.0253
1280.000000 70.756 17.0355
1315.000000 70.934 17.0309
1320.000000 70.958 17.0266
1340.000000 71.054 17.0005
1360.000000 71.147 16.9658
1380.000000 71.238 16.9276
1400.000000 71.326 16.8870
1430.000000 71.453 16.8185
1450.000000 71.535 16.7736
1475.000000 71.636 16.7205
1500.000000 71.735 16.6622
1525.000000 71.832 16.6022
1550.000000 71.928 16.5408
1575.000000 72.022 16.4780
1600.000000 72.116 16.4128
1625.000000 72.209 16.3444
1650.000000 72.301 16.2745
1675.000000 72.394 16.2045
1700.000000 72.486 16.1294
1725.000000 72.578 16.0430
1750.000000 72.669 15.9453
1775.000000 72.759 15.8407
1800.000000 72.850 15.7303
1825.000000 72.941 15.6086
1850.000000 73.031 15.4712
1875.000000 73.121 15.3200
1900.000000 73.211 15.1606
1925.000000 73.300 14.9940
1950.000000 73.389 14.8152
1975.000000 73.477 14.6207
2000.000000 73.564 14.4111
2030.000000 73.668 14.1413
2060.000000 73.770 13.8506
2090.000000 73.870 13.5371
2120.000000 73.968 13.2031
2140.000000 74.032 12.9708
2180.000000 74.157 12.4833
2200.000000 74.218 12.2279
2240.000000 74.336 11.6941
2270.000000 74.421 11.2729
2300.000000 74.503 10.8330
2330.000000 74.582 10.3766
2360.000000 74.657 9.9064
2400.000000 74.751 9.2587
2430.000000 74.817 8.7582
2470.000000 74.899 8.0743
2500.000000 74.956 7.5509
2540.000000 75.025 6.8431
2580.000000 75.087 6.1299
2620.000000 75.141 5.4137
2650.000000 75.177 4.8759
2690.000000 75.218 4.1619
2720.000000 75.244 3.6306
2760.000000 75.272 2.9308
2800.000000 75.292 2.2435
2850.000000 75.308 1.4038
2900.000000 75.314 0.5928
2950.000000 75.310 -0.1826
3000.000000 75.298 -0.9205
3040.000000 75.283 -1.4816
3070.000000 75.268 -1.8849
3110.000000 75.245 -2.3982
3150.000000 75.217 -2.8805
3200.000000 75.178 -3.4387
3250.000000 75.135 -3.9496
3300.000000 75.088 -4.4128
3350.000000 75.038 -4.8271
3400.000000 74.985 -5.1925
3450.000000 74.930 -5.5108
3500.000000 74.873 -5.7841
3550.000000 74.815 -6.0126
3600.000000 74.757 -6.1963
3650.000000 74.700 -6.3350
3700.000000 74.644 -6.4301
3750.000000 74.593 -6.4873
3820.000000 74.530 -6.5293
3870.000000 74.491 -6.5533
3950.000000 74.432 -6.6137
4000.000000 74.395 -6.6641
4060.000000 74.347 -6.7227
4120.000000 74.297 -6.7681
4180.000000 74.246 -6.7969
4250.000000 74.186 -6.8098
4310.000000 74.134 -6.8033
4370.000000 74.082 -6.7825
4440.000000 74.021 -6.7451
4500.000000 73.968 -6.7063
4550.000000 73.924 -6.6714
4620.000000 73.861 -6.6204
4680.000000 73.804 -6.5699
4750.000000 73.732 -6.4869
4820.000000 73.657 -6.3578
4870.000000 73.602 -6.2288
4940.000000 73.529 -5.9986
5000.000000 73.471 -5.7712
5080.000000 73.403 -5.4589
5150.000000 73.349 -5.1949
5220.000000 73.296 -4.9409
5300.000000 73.237 -4.6575
5380.000000 73.176 -4.3719
5450.000000 73.121 -4.1097
