* Measurement data measured by REW V5.31
* Source: Mikrofon (US-2x2 HR), MICROPHONE (Hauptlautstärke), L, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 04.05.2024 18:57:47
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Kefine Delci R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 79.868 14.7061
20.299999 79.838 14.0613
20.600000 79.813 13.5345
20.900000 79.802 13.0764
21.200001 79.806 12.6219
21.400000 79.814 12.2957
21.799999 79.831 11.5638
22.000000 79.837 11.1664
22.400000 79.838 10.3563
22.700001 79.830 9.7725
23.000000 79.821 9.2257
23.299999 79.813 8.7102
23.600000 79.808 8.2083
24.000000 79.806 7.5295
24.299999 79.804 7.0038
24.700001 79.796 6.2918
25.000000 79.786 5.7670
25.400000 79.768 5.1027
25.799999 79.750 4.4866
26.200001 79.736 3.9034
26.500000 79.728 3.4702
26.900000 79.718 2.8787
27.200001 79.710 2.4213
27.600000 79.692 1.8068
28.000000 79.666 1.2150
28.500000 79.628 0.5432
29.000000 79.590 -0.0574
29.500000 79.557 -0.6316
30.000000 79.524 -1.2090
30.400000 79.495 -1.6656
30.700001 79.473 -1.9971
31.100000 79.446 -2.4254
31.500000 79.423 -2.8540
32.000000 79.399 -3.4274
32.500000 79.377 -4.0701
33.000000 79.348 -4.7830
33.500000 79.305 -5.5360
34.000000 79.242 -6.2531
34.500000 79.163 -6.8141
35.000000 79.089 -7.1377
35.500000 79.051 -7.3001
36.000000 79.058 -7.5287
36.500000 79.084 -8.0128
37.000000 79.087 -8.7239
37.500000 79.049 -9.4481
38.200001 78.962 -10.1372
38.700001 78.917 -10.4177
39.500000 78.892 -10.8790
40.000000 78.889 -11.2961
40.599998 78.880 -11.9204
41.200001 78.856 -12.6230
41.799999 78.814 -13.2971
42.500000 78.757 -13.9070
43.099998 78.728 -14.3232
43.700001 78.713 -14.7762
44.400002 78.681 -15.3173
45.000000 78.640 -15.6084
45.500000 78.613 -15.6974
46.200001 78.598 -15.7328
46.799999 78.590 -15.7317
47.500000 78.591 -15.6221
48.200001 78.632 -15.5970
48.700001 78.670 -15.8757
49.400002 78.669 -16.7059
50.000000 78.586 -17.4884
50.799999 78.412 -18.1216
51.500000 78.280 -18.3820
52.200001 78.185 -18.7043
53.000000 78.092 -19.2877
53.799999 77.994 -19.9724
54.500000 77.908 -20.4933
55.200001 77.839 -20.8577
56.000000 77.796 -21.1565
57.000000 77.784 -21.5435
58.000000 77.783 -22.0029
59.000000 77.763 -22.5571
60.000000 77.699 -23.0866
60.799999 77.629 -23.4077
61.500000 77.568 -23.6682
62.200001 77.505 -23.9554
63.000000 77.429 -24.2941
64.000000 77.341 -24.6917
65.000000 77.266 -25.0827
66.000000 77.200 -25.4225
67.000000 77.146 -25.6892
68.000000 77.098 -25.9382
69.000000 77.044 -26.1685
70.000000 76.984 -26.3709
71.000000 76.918 -26.5804
72.000000 76.849 -26.8145
73.000000 76.779 -27.0738
74.000000 76.710 -27.3548
75.000000 76.644 -27.6306
76.199997 76.573 -27.9435
77.500000 76.500 -28.2672
78.800003 76.430 -28.5625
80.000000 76.364 -28.8447
81.199997 76.294 -29.1356
82.500000 76.216 -29.4326
83.800003 76.141 -29.7089
85.000000 76.074 -29.9338
86.199997 76.009 -30.1359
87.500000 75.936 -30.3334
88.500000 75.876 -30.4681
90.000000 75.784 -30.6749
91.199997 75.708 -30.8799
92.500000 75.626 -31.1093
93.800003 75.553 -31.3028
95.000000 75.501 -31.4851
96.199997 75.454 -31.6667
97.500000 75.403 -31.8256
98.800003 75.348 -31.9451
100.000000 75.289 -32.0436
101.500000 75.202 -32.1454
103.000000 75.112 -32.2769
104.400002 75.024 -32.4858
106.000000 74.921 -32.7566
107.500000 74.829 -32.9646
109.000000 74.748 -33.0913
110.599998 74.675 -33.1555
112.000000 74.620 -33.2104
113.800003 74.550 -33.3400
115.000000 74.500 -33.4640
117.199997 74.398 -33.7361
118.000000 74.358 -33.8136
120.599998 74.240 -33.9106
122.000000 74.182 -33.9203
124.099998 74.090 -33.9254
125.000000 74.046 -33.9254
126.500000 73.972 -33.9235
128.000000 73.903 -33.9391
131.500000 73.775 -34.1036
132.000000 73.759 -34.1375
134.000000 73.690 -34.2669
136.000000 73.608 -34.3131
138.000000 73.523 -34.2590
140.000000 73.444 -34.1764
143.000000 73.324 -34.1025
145.000000 73.238 -34.0715
147.500000 73.132 -34.0663
150.000000 73.039 -34.0535
152.500000 72.965 -34.0048
155.000000 72.899 -33.9547
157.500000 72.827 -33.9124
160.000000 72.743 -33.8878
162.500000 72.653 -33.8569
165.000000 72.564 -33.7845
167.500000 72.479 -33.6783
170.000000 72.394 -33.5670
172.500000 72.316 -33.4869
175.000000 72.245 -33.4716
177.500000 72.176 -33.4565
180.000000 72.106 -33.4054
182.500000 72.034 -33.3441
185.000000 71.963 -33.2885
187.500000 71.896 -33.2197
190.000000 71.828 -33.1262
192.500000 71.759 -33.0157
195.000000 71.689 -32.9014
197.500000 71.623 -32.7759
200.000000 71.565 -32.6488
203.000000 71.500 -32.5470
206.000000 71.434 -32.4698
209.000000 71.370 -32.3561
212.000000 71.298 -32.1793
214.000000 71.243 -32.0435
218.000000 71.129 -31.8467
220.000000 71.073 -31.7609
224.000000 70.973 -31.5029
227.000000 70.910 -31.2694
230.000000 70.858 -31.0604
233.000000 70.806 -30.8976
236.000000 70.751 -30.7319
240.000000 70.674 -30.3575
243.000000 70.612 -29.8968
247.000000 70.509 -29.0504
250.000000 70.404 -28.4276
254.000000 70.241 -28.1089
258.000000 70.123 -28.3325
262.000000 70.081 -28.5974
265.000000 70.071 -28.6304
269.000000 70.056 -28.4110
272.000000 70.031 -28.1017
276.000000 69.971 -27.6245
280.000000 69.900 -27.1783
285.000000 69.828 -26.8202
290.000000 69.762 -26.5811
295.000000 69.689 -26.1837
300.000000 69.611 -25.4858
304.000000 69.571 -24.7422
307.000000 69.557 -24.1321
311.000000 69.544 -23.3160
315.000000 69.543 -22.6689
320.000000 69.575 -22.5033
325.000000 69.601 -22.8871
330.000000 69.583 -23.2778
335.000000 69.532 -23.3545
340.000000 69.480 -23.1934
345.000000 69.432 -22.9921
350.000000 69.385 -22.7356
355.000000 69.340 -22.4423
360.000000 69.294 -22.1685
365.000000 69.241 -21.9258
370.000000 69.184 -21.6872
375.000000 69.129 -21.4224
382.000000 69.061 -21.0056
387.000000 69.017 -20.7122
395.000000 68.951 -20.2617
400.000000 68.913 -19.9976
406.000000 68.868 -19.6927
412.000000 68.825 -19.3632
418.000000 68.783 -18.9952
425.000000 68.735 -18.5515
431.000000 68.696 -18.1735
437.000000 68.660 -17.8071
444.000000 68.620 -17.3929
450.000000 68.585 -17.0389
455.000000 68.555 -16.7527
462.000000 68.514 -16.3602
468.000000 68.482 -16.0212
475.000000 68.448 -15.6221
482.000000 68.415 -15.2117
487.000000 68.390 -14.9086
494.000000 68.354 -14.4756
500.000000 68.325 -14.1116
508.000000 68.292 -13.6646
515.000000 68.267 -13.2830
522.000000 68.244 -12.8806
530.000000 68.218 -12.4005
538.000000 68.193 -11.9231
545.000000 68.172 -11.5230
552.000000 68.152 -11.1339
560.000000 68.130 -10.6932
570.000000 68.106 -10.1503
580.000000 68.084 -9.6171
590.000000 68.062 -9.0704
600.000000 68.040 -8.5032
608.000000 68.024 -8.0499
615.000000 68.010 -7.6625
622.000000 67.998 -7.2828
630.000000 67.985 -6.8477
640.000000 67.969 -6.2901
650.000000 67.956 -5.7277
660.000000 67.946 -5.1691
670.000000 67.938 -4.6083
680.000000 67.931 -4.0422
690.000000 67.925 -3.4780
700.000000 67.922 -2.9145
710.000000 67.919 -2.3501
720.000000 67.918 -1.7904
730.000000 67.920 -1.2348
740.000000 67.923 -0.6793
750.000000 67.928 -0.1188
762.000000 67.936 0.5659
775.000000 67.949 1.3167
788.000000 67.968 2.0686
800.000000 67.990 2.7699
812.000000 68.015 3.4808
825.000000 68.045 4.2482
838.000000 68.081 5.0029
850.000000 68.118 5.6886
862.000000 68.161 6.3647
875.000000 68.212 7.0893
885.000000 68.255 7.6419
900.000000 68.324 8.4536
912.000000 68.383 9.0835
925.000000 68.452 9.7468
938.000000 68.525 10.3882
950.000000 68.596 10.9576
962.000000 68.669 11.5047
975.000000 68.753 12.0697
988.000000 68.839 12.6016
1000.000000 68.923 13.0621
1015.000000 69.031 13.6006
1030.000000 69.143 14.1010
1044.000000 69.248 14.5311
1060.000000 69.370 14.9727
1075.000000 69.484 15.3364
1090.000000 69.598 15.6502
1106.000000 69.720 15.9357
1120.000000 69.825 16.1512
1138.000000 69.959 16.3826
1150.000000 70.047 16.5084
1172.000000 70.202 16.6843
1180.000000 70.258 16.7315
1206.000000 70.431 16.8324
1220.000000 70.520 16.8569
1241.000000 70.649 16.8654
1250.000000 70.702 16.8627
1265.000000 70.788 16.8505
1280.000000 70.871 16.8275
1315.000000 71.056 16.7383
1320.000000 71.081 16.7225
1340.000000 71.180 16.6553
1360.000000 71.274 16.5841
1380.000000 71.365 16.5090
1400.000000 71.453 16.4299
1430.000000 71.579 16.3124
1450.000000 71.661 16.2422
1475.000000 71.761 16.1608
1500.000000 71.860 16.0779
1525.000000 71.956 15.9936
1550.000000 72.051 15.9092
1575.000000 72.145 15.8251
1600.000000 72.238 15.7385
1625.000000 72.330 15.6476
1650.000000 72.422 15.5531
1675.000000 72.514 15.4550
1700.000000 72.606 15.3521
1725.000000 72.698 15.2429
1750.000000 72.789 15.1267
1775.000000 72.880 15.0027
1800.000000 72.970 14.8694
1825.000000 73.061 14.7247
1850.000000 73.150 14.5686
1875.000000 73.240 14.4008
1900.000000 73.328 14.2209
1925.000000 73.416 14.0286
1950.000000 73.503 13.8225
1975.000000 73.590 13.6021
2000.000000 73.676 13.3682
2030.000000 73.778 13.0700
2060.000000 73.877 12.7513
2090.000000 73.974 12.4133
2120.000000 74.071 12.0583
2140.000000 74.134 11.8126
2180.000000 74.256 11.2964
2200.000000 74.315 11.0238
2240.000000 74.429 10.4537
2270.000000 74.511 10.0083
2300.000000 74.589 9.5457
2330.000000 74.664 9.0679
2360.000000 74.736 8.5787
2400.000000 74.826 7.9073
2430.000000 74.888 7.3909
2470.000000 74.965 6.6902
2500.000000 75.018 6.1576
2540.000000 75.082 5.4419
2580.000000 75.138 4.7234
2620.000000 75.186 4.0042
2650.000000 75.217 3.4670
2690.000000 75.252 2.7566
2720.000000 75.274 2.2286
2760.000000 75.296 1.5339
2800.000000 75.312 0.8522
2850.000000 75.323 0.0256
2900.000000 75.324 -0.7640
2950.000000 75.317 -1.5178
3000.000000 75.301 -2.2324
3040.000000 75.283 -2.7726
3070.000000 75.266 -3.1578
3110.000000 75.240 -3.6459
3150.000000 75.211 -4.1045
3200.000000 75.171 -4.6324
3250.000000 75.126 -5.1076
3300.000000 75.079 -5.5307
3350.000000 75.028 -5.9022
3400.000000 74.976 -6.2215
3450.000000 74.923 -6.4864
3500.000000 74.870 -6.6947
3550.000000 74.822 -6.8483
3600.000000 74.779 -6.9604
3650.000000 74.742 -7.0553
3700.000000 74.711 -7.1585
3750.000000 74.683 -7.2852
3820.000000 74.642 -7.4978
3870.000000 74.609 -7.6584
3950.000000 74.550 -7.8992
4000.000000 74.511 -8.0317
4060.000000 74.464 -8.1746
4120.000000 74.415 -8.3090
4180.000000 74.365 -8.4423
4250.000000 74.303 -8.6000
4310.000000 74.244 -8.7307
4370.000000 74.180 -8.8452
4440.000000 74.097 -8.9316
4500.000000 74.021 -8.9420
4550.000000 73.957 -8.8970
4620.000000 73.872 -8.7623
4680.000000 73.808 -8.6085
4750.000000 73.744 -8.4272
4820.000000 73.688 -8.2729
4870.000000 73.649 -8.1848
4940.000000 73.593 -8.0889
5000.000000 73.542 -8.0242
5080.000000 73.470 -7.9456
5150.000000 73.402 -7.8711
5220.000000 73.330 -7.7804
5300.000000 73.244 -7.6456
5380.000000 73.154 -7.4670
5450.000000 73.075 -7.2708
