* Measurement data measured by REW V5.20.13
* Source: Headset Microphone (Realtek(R) Audio), MICROPHONE (Hauptlautstärke), L, volume: 1,000
* Format: 256k Log Swept Sine, 1 sweep at -8,0 dBFS with no timing reference
* Dated: 28.06.2023 14:22:57
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: ej07 r
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	116.784	-6.0582
20.299999	116.740	-6.5388
20.600000	116.693	-6.9370
20.900000	116.650	-7.2743
21.200001	116.614	-7.5877
21.400000	116.594	-7.8059
21.799999	116.563	-8.2953
22.000000	116.549	-8.5775
22.400000	116.520	-9.2197
22.700001	116.494	-9.7517
23.000000	116.464	-10.3003
23.299999	116.430	-10.8411
23.600000	116.396	-11.3598
24.000000	116.355	-12.0101
24.299999	116.330	-12.4776
24.700001	116.308	-13.0991
25.000000	116.295	-13.5776
25.400000	116.280	-14.2297
25.799999	116.262	-14.8644
26.200001	116.239	-15.4340
26.500000	116.222	-15.8012
26.900000	116.204	-16.2155
27.200001	116.195	-16.4900
27.600000	116.189	-16.8399
28.000000	116.184	-17.1932
28.500000	116.173	-17.6324
29.000000	116.155	-18.0411
29.500000	116.135	-18.4259
30.000000	116.116	-18.8385
30.400000	116.099	-19.2198
30.700001	116.082	-19.5388
31.100000	116.053	-19.9972
31.500000	116.016	-20.4767
32.000000	115.958	-21.0799
32.500000	115.893	-21.6595
33.000000	115.824	-22.1868
33.500000	115.758	-22.6517
34.000000	115.705	-23.0799
34.500000	115.663	-23.5231
35.000000	115.629	-24.0167
35.500000	115.594	-24.5538
36.000000	115.551	-25.0928
36.500000	115.503	-25.5925
37.000000	115.451	-26.0344
37.500000	115.401	-26.4252
38.200001	115.332	-26.9180
38.700001	115.283	-27.2481
39.500000	115.204	-27.7508
40.000000	115.152	-28.0512
40.599998	115.087	-28.3952
41.200001	115.022	-28.7127
41.799999	114.961	-29.0149
42.500000	114.899	-29.4237
43.099998	114.844	-29.8926
43.700001	114.770	-30.4314
44.400002	114.653	-30.9668
45.000000	114.546	-31.2314
45.500000	114.471	-31.3490
46.200001	114.395	-31.5074
46.799999	114.347	-31.7338
47.500000	114.295	-32.1028
48.200001	114.241	-32.5351
48.700001	114.200	-32.8613
49.400002	114.137	-33.3140
50.000000	114.080	-33.6756
50.799999	114.003	-34.1132
51.500000	113.934	-34.4656
52.200001	113.863	-34.7892
53.000000	113.779	-35.1196
53.799999	113.694	-35.4165
54.500000	113.618	-35.6534
55.200001	113.542	-35.8684
56.000000	113.458	-36.0937
57.000000	113.361	-36.3725
58.000000	113.267	-36.6803
59.000000	113.170	-36.9916
60.000000	113.070	-37.2517
60.799999	112.991	-37.4330
61.500000	112.921	-37.5910
62.200001	112.849	-37.7475
