* Measurement data measured by REW V5.20.13
* Source: Mikrofon (US-2x2 HR), MICROPHONE (Hauptlautstärke), L, volume: 0,500
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 19.09.2023 20:29:33
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Letshuoer Kinda Lava L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	88.733	-177.7078
20.600000	88.729	-177.8606
20.900000	88.723	-178.1801
21.200001	88.724	-178.5227
21.400000	88.729	-178.7546
21.799999	88.745	-179.2385
22.000000	88.753	-179.4946
22.400000	88.761	179.9664
22.700001	88.755	179.5610
23.000000	88.740	179.1815
23.299999	88.719	178.8412
23.600000	88.697	178.5386
24.000000	88.671	178.1732
24.299999	88.657	177.9024
24.700001	88.646	177.5186
25.000000	88.640	177.2079
25.400000	88.631	176.7747
25.799999	88.616	176.3490
26.200001	88.596	175.9589
26.500000	88.579	175.6964
26.900000	88.556	175.3787
27.200001	88.542	175.1484
27.600000	88.525	174.8251
28.000000	88.511	174.4594
28.500000	88.492	173.9413
29.000000	88.469	173.4044
29.500000	88.447	172.9061
30.000000	88.435	172.4570
30.400000	88.434	172.1052
30.700001	88.435	171.8310
31.100000	88.435	171.4510
31.500000	88.426	171.0762
32.000000	88.403	170.6625
32.500000	88.372	170.3320
33.000000	88.340	170.0470
33.500000	88.311	169.7479
34.000000	88.281	169.4083
34.500000	88.246	169.0507
35.000000	88.208	168.7068
35.500000	88.170	168.3857
36.000000	88.133	168.0778
36.500000	88.096	167.7811
37.000000	88.060	167.5057
37.500000	88.031	167.2492
38.200001	88.009	166.8549
38.700001	88.001	166.4942
39.500000	87.975	165.8129
40.000000	87.942	165.4242
40.599998	87.893	165.0829
41.200001	87.849	164.8638
41.799999	87.819	164.6824
42.500000	87.797	164.4258
43.099998	87.782	164.1424
43.700001	87.765	163.8032
44.400002	87.733	163.3601
45.000000	87.691	162.9867
45.500000	87.649	162.7166
46.200001	87.588	162.4137
46.799999	87.541	162.1958
47.500000	87.493	161.9481
48.200001	87.450	161.6996
48.700001	87.423	161.5233
49.400002	87.391	161.2656
50.000000	87.370	161.0191
50.799999	87.343	160.6591
51.500000	87.316	160.3510
52.200001	87.285	160.0797
53.000000	87.249	159.8077
53.799999	87.215	159.5306
54.500000	87.184	159.2581
55.200001	87.150	158.9689
56.000000	87.103	158.6534
57.000000	87.042	158.3010
58.000000	86.985	157.9543
59.000000	86.933	157.5894
60.000000	86.879	157.2516
60.799999	86.832	157.0374
61.500000	86.791	156.8881
62.200001	86.751	156.7539
63.000000	86.708	156.5956
64.000000	86.659	156.3761
65.000000	86.613	156.1382
66.000000	86.563	155.9002
67.000000	86.508	155.6804
68.000000	86.448	155.4885
69.000000	86.387	155.3306
70.000000	86.326	155.1966
71.000000	86.267	155.0525
72.000000	86.210	154.8650
73.000000	86.158	154.6277
74.000000	86.114	154.3679
75.000000	86.077	154.1350
76.199997	86.034	153.9343
77.500000	85.977	153.7749
78.800003	85.912	153.5975
80.000000	85.857	153.4082
81.199997	85.808	153.2264
82.500000	85.757	153.0597
83.800003	85.704	152.9214
85.000000	85.653	152.8116
86.199997	85.598	152.7097
87.500000	85.532	152.5866
88.500000	85.478	152.4669
90.000000	85.401	152.2449
91.199997	85.346	152.0491
92.500000	85.294	151.8366
93.800003	85.248	151.6407
95.000000	85.212	151.4927
96.199997	85.178	151.3915
97.500000	85.141	151.3400
98.800003	85.097	151.3173
100.000000	85.047	151.2639
101.500000	84.982	151.1133
103.000000	84.927	150.9411
104.400002	84.882	150.8549
106.000000	84.823	150.8366
107.500000	84.759	150.7868
109.000000	84.702	150.6665
110.599998	84.653	150.5626
112.000000	84.608	150.5356
113.800003	84.540	150.4836
115.000000	84.498	150.4199
117.199997	84.430	150.3452
118.000000	84.405	150.3245
120.599998	84.325	150.2375
122.000000	84.284	150.1995
124.099998	84.223	150.1268
125.000000	84.199	150.1010
126.500000	84.158	150.0770
128.000000	84.115	150.0610
131.500000	84.021	150.0486
132.000000	84.007	150.0471
134.000000	83.955	150.0305
136.000000	83.904	150.0033
138.000000	83.854	149.9695
140.000000	83.803	149.9443
143.000000	83.726	149.9089
145.000000	83.676	149.8864
147.500000	83.616	149.8530
150.000000	83.555	149.8441
152.500000	83.494	149.8448
155.000000	83.438	149.8568
157.500000	83.385	149.8574
160.000000	83.334	149.8695
162.500000	83.283	149.8954
165.000000	83.232	149.9247
167.500000	83.176	149.9607
170.000000	83.122	150.0092
172.500000	83.076	150.0288
175.000000	83.030	150.0324
177.500000	82.982	150.0681
180.000000	82.936	150.1126
182.500000	82.889	150.1385
185.000000	82.841	150.1838
187.500000	82.799	150.2729
190.000000	82.770	150.3589
192.500000	82.747	150.3840
195.000000	82.720	150.3611
197.500000	82.682	150.3460
200.000000	82.637	150.3467
203.000000	82.582	150.3444
206.000000	82.532	150.3939
209.000000	82.489	150.5324
212.000000	82.450	150.7070
214.000000	82.422	150.8091
218.000000	82.358	150.9342
220.000000	82.322	150.9631
224.000000	82.259	150.9914
227.000000	82.230	151.0207
230.000000	82.208	151.1063
233.000000	82.183	151.2449
236.000000	82.153	151.3608
240.000000	82.112	151.4127
243.000000	82.084	151.4506
247.000000	82.039	151.5741
250.000000	82.003	151.6639
254.000000	81.963	151.7275
258.000000	81.926	151.7679
262.000000	81.882	151.8200
265.000000	81.847	151.8757
269.000000	81.805	151.9677
272.000000	81.779	152.0460
276.000000	81.749	152.1687
280.000000	81.722	152.3197
285.000000	81.689	152.5189
290.000000	81.658	152.6620
295.000000	81.633	152.7294
300.000000	81.611	152.7554
304.000000	81.589	152.7785
307.000000	81.571	152.8021
311.000000	81.544	152.8287
315.000000	81.517	152.8527
320.000000	81.482	152.9127
325.000000	81.450	152.9995
330.000000	81.422	153.0817
335.000000	81.395	153.1448
340.000000	81.366	153.1881
345.000000	81.336	153.2241
350.000000	81.305	153.2677
355.000000	81.273	153.3279
360.000000	81.242	153.4036
365.000000	81.211	153.4848
370.000000	81.181	153.5640
375.000000	81.153	153.6407
382.000000	81.113	153.7478
387.000000	81.086	153.8257
395.000000	81.041	153.9597
400.000000	81.014	154.0476
406.000000	80.983	154.1545
412.000000	80.953	154.2649
418.000000	80.924	154.3797
425.000000	80.893	154.5167
431.000000	80.867	154.6343
437.000000	80.842	154.7515
444.000000	80.813	154.8877
450.000000	80.789	155.0056
455.000000	80.770	155.1069
462.000000	80.746	155.2593
468.000000	80.726	155.3999
475.000000	80.705	155.5499
482.000000	80.684	155.6576
487.000000	80.666	155.7158
494.000000	80.639	155.8057
500.000000	80.617	155.9094
508.000000	80.592	156.0805
515.000000	80.572	156.2418
522.000000	80.550	156.3995
530.000000	80.522	156.5739
