* Measurement data measured by REW V5.30 beta 4
* Source: Mikrofon (US-2x2 HR), MICROPHONE (Hauptlautstärke), L, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -8,0 dBFS with no timing reference
* Dated: 17.12.2023 18:47:08
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Moondrop Aria 2 R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	76.564	-142.9670
20.600000	76.576	-143.3619
20.900000	76.593	-143.8631
21.200001	76.612	-144.3916
21.400000	76.626	-144.7467
21.799999	76.657	-145.4618
22.000000	76.674	-145.8230
22.400000	76.707	-146.5514
22.700001	76.731	-147.0988
23.000000	76.754	-147.6432
23.299999	76.776	-148.1823
23.600000	76.798	-148.7150
24.000000	76.824	-149.4128
24.299999	76.842	-149.9226
24.700001	76.863	-150.5753
25.000000	76.878	-151.0396
25.400000	76.897	-151.6240
25.799999	76.916	-152.1770
26.200001	76.934	-152.7126
26.500000	76.948	-153.1109
26.900000	76.965	-153.6433
27.200001	76.978	-154.0447
27.600000	76.995	-154.5817
28.000000	77.012	-155.1182
28.500000	77.035	-155.7826
29.000000	77.057	-156.4310
29.500000	77.078	-157.0530
30.000000	77.096	-157.6458
30.400000	77.108	-158.1032
30.700001	77.115	-158.4398
31.100000	77.123	-158.8832
31.500000	77.130	-159.3217
32.000000	77.138	-159.8628
32.500000	77.146	-160.3958
33.000000	77.155	-160.9193
33.500000	77.162	-161.4278
34.000000	77.167	-161.9138
34.500000	77.173	-162.3769
35.000000	77.181	-162.8285
35.500000	77.190	-163.2835
36.000000	77.199	-163.7465
36.500000	77.206	-164.2080
37.000000	77.211	-164.6556
37.500000	77.216	-165.0864
38.200001	77.222	-165.6729
38.700001	77.225	-166.0847
39.500000	77.226	-166.7192
40.000000	77.225	-167.0946
40.599998	77.226	-167.5303
41.200001	77.227	-167.9631
41.799999	77.229	-168.3999
42.500000	77.229	-168.9073
43.099998	77.228	-169.3288
43.700001	77.227	-169.7358
44.400002	77.228	-170.2058
45.000000	77.228	-170.6136
45.500000	77.227	-170.9525
46.200001	77.222	-171.4095
46.799999	77.216	-171.7789
47.500000	77.209	-172.1936
48.200001	77.203	-172.6075
48.700001	77.198	-172.9074
49.400002	77.192	-173.3290
50.000000	77.187	-173.6848
50.799999	77.180	-174.1462
51.500000	77.174	-174.5408
52.200001	77.166	-174.9245
53.000000	77.158	-175.3388
53.799999	77.151	-175.7295
54.500000	77.146	-176.0687
55.200001	77.139	-176.4159
56.000000	77.126	-176.8181
57.000000	77.108	-177.3147
58.000000	77.092	-177.7972
59.000000	77.078	-178.2569
60.000000	77.063	-178.6962
60.799999	77.051	-179.0388
61.500000	77.041	-179.3305
62.200001	77.030	-179.6146
63.000000	77.018	-179.9371
64.000000	77.001	179.6523
65.000000	76.983	179.2363
66.000000	76.965	178.8301
67.000000	76.948	178.4454
68.000000	76.930	178.0750
69.000000	76.912	177.7037
70.000000	76.892	177.3303
71.000000	76.872	176.9633
72.000000	76.851	176.6087
73.000000	76.831	176.2656
74.000000	76.810	175.9304
75.000000	76.789	175.6044
76.199997	76.763	175.2252
77.500000	76.734	174.8218
78.800003	76.704	174.4164
80.000000	76.676	174.0454
81.199997	76.649	173.6914
82.500000	76.621	173.3231
83.800003	76.593	172.9565
85.000000	76.564	172.6264
86.199997	76.536	172.3111
87.500000	76.506	171.9763
88.500000	76.483	171.7212
90.000000	76.448	171.3462
91.199997	76.419	171.0527
92.500000	76.387	170.7410
93.800003	76.356	170.4364
95.000000	76.327	170.1631
96.199997	76.299	169.8980
97.500000	76.271	169.6168
98.800003	76.245	169.3426
100.000000	76.218	169.0991
101.500000	76.178	168.8064
103.000000	76.136	168.5132
104.400002	76.098	168.2382
106.000000	76.057	167.9263
107.500000	76.018	167.6382
109.000000	75.979	167.3652
110.599998	75.938	167.0925
112.000000	75.902	166.8632
113.800003	75.856	166.5775
115.000000	75.824	166.3917
117.199997	75.768	166.0618
118.000000	75.747	165.9448
120.599998	75.680	165.5725
122.000000	75.643	165.3793
124.099998	75.590	165.0980
125.000000	75.567	164.9775
126.500000	75.529	164.7761
128.000000	75.491	164.5797
131.500000	75.403	164.1683
132.000000	75.390	164.1130
134.000000	75.340	163.8946
136.000000	75.289	163.6823
138.000000	75.239	163.4761
140.000000	75.191	163.2732
143.000000	75.120	162.9797
145.000000	75.071	162.8049
147.500000	75.007	162.6096
150.000000	74.944	162.4181
152.500000	74.882	162.2229
155.000000	74.822	162.0374
157.500000	74.762	161.8672
160.000000	74.702	161.7100
162.500000	74.642	161.5594
165.000000	74.583	161.4078
167.500000	74.525	161.2612
170.000000	74.468	161.1329
172.500000	74.410	161.0237
175.000000	74.353	160.9246
177.500000	74.296	160.8289
180.000000	74.241	160.7381
182.500000	74.185	160.6523
185.000000	74.130	160.5715
187.500000	74.076	160.4975
190.000000	74.020	160.4315
192.500000	73.965	160.3723
195.000000	73.910	160.3159
197.500000	73.857	160.2605
200.000000	73.805	160.2154
203.000000	73.743	160.1743
206.000000	73.681	160.1340
209.000000	73.620	160.1010
212.000000	73.560	160.0816
214.000000	73.521	160.0746
218.000000	73.444	160.0693
220.000000	73.406	160.0711
224.000000	73.329	160.0817
227.000000	73.272	160.0977
230.000000	73.216	160.1203
233.000000	73.162	160.1436
236.000000	73.109	160.1693
240.000000	73.038	160.2163
243.000000	72.984	160.2621
247.000000	72.913	160.3333
250.000000	72.861	160.3903
254.000000	72.793	160.4655
258.000000	72.728	160.5388
262.000000	72.665	160.6178
265.000000	72.618	160.6864
269.000000	72.554	160.7865
272.000000	72.507	160.8649
276.000000	72.446	160.9727
280.000000	72.386	161.0847
285.000000	72.314	161.2369
290.000000	72.243	161.4003
295.000000	72.174	161.5667
300.000000	72.105	161.7415
304.000000	72.050	161.8953
307.000000	72.009	162.0178
311.000000	71.957	162.1867
315.000000	71.905	162.3574
320.000000	71.842	162.5721
325.000000	71.780	162.7861
330.000000	71.720	162.9973
335.000000	71.662	163.2092
340.000000	71.605	163.4256
345.000000	71.550	163.6520
350.000000	71.496	163.8911
355.000000	71.442	164.1326
360.000000	71.388	164.3707
365.000000	71.336	164.6104
370.000000	71.285	164.8562
375.000000	71.236	165.1084
382.000000	71.169	165.4688
387.000000	71.123	165.7273
395.000000	71.051	166.1405
400.000000	71.007	166.4014
406.000000	70.955	166.7195
412.000000	70.905	167.0403
418.000000	70.857	167.3641
425.000000	70.802	167.7440
431.000000	70.757	168.0717
437.000000	70.713	168.4056
444.000000	70.663	168.7966
450.000000	70.621	169.1314
455.000000	70.587	169.4120
462.000000	70.541	169.8046
468.000000	70.502	170.1428
475.000000	70.459	170.5463
482.000000	70.417	170.9584
487.000000	70.388	171.2547
494.000000	70.348	171.6687
500.000000	70.316	172.0204
508.000000	70.275	172.4864
515.000000	70.240	172.8949
522.000000	70.206	173.3076
530.000000	70.168	173.7858
538.000000	70.132	174.2700
545.000000	70.102	174.6997
552.000000	70.072	175.1327
560.000000	70.040	175.6267
570.000000	70.003	176.2474
580.000000	69.968	176.8713
590.000000	69.934	177.4883
