* Measurement data measured by REW V5.30.3
* Source: Mikrofon (US-2x2 HR), MICROPHONE (Hauptlautstärke), L, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 13.01.2024 12:13:43
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Pula PA02 L
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 58.124 115.0981
0.732422 61.461 47.5069
1.098633 66.453 3.2708
1.464844 70.364 -25.6834
1.831055 73.128 -47.6876
2.197266 75.017 -65.6668
2.563477 76.252 -80.6107
2.929688 77.011 -92.8431
3.295898 77.459 -102.5326
3.662109 77.749 -109.9889
4.028320 77.997 -115.7897
4.394531 78.252 -120.6420
4.760742 78.499 -125.0716
5.126953 78.700 -129.2401
5.493164 78.835 -133.0350
5.859375 78.922 -136.3011
6.225586 78.997 -139.0331
6.591797 79.089 -141.4127
6.958008 79.198 -143.6794
7.324219 79.300 -145.9581
7.690430 79.373 -148.1997
8.056641 79.413 -150.2619
8.422852 79.436 -152.0445
8.789062 79.465 -153.5728
9.155273 79.512 -154.9740
9.521484 79.572 -156.3748
9.887695 79.628 -157.8150
10.253906 79.669 -159.2447
10.620117 79.696 -160.5900
10.986328 79.718 -161.8212
11.352539 79.742 -162.9694
11.718750 79.770 -164.0898
12.084961 79.795 -165.2102
12.451172 79.811 -166.3127
12.817383 79.818 -167.3571
13.183594 79.821 -168.3204
13.549805 79.827 -169.2167
13.916016 79.837 -170.0850
14.282227 79.848 -170.9583
14.648438 79.856 -171.8419
15.014648 79.857 -172.7149
15.380859 79.851 -173.5501
15.747070 79.843 -174.3329
16.113281 79.835 -175.0684
16.479492 79.830 -175.7743
16.845703 79.827 -176.4686
17.211914 79.824 -177.1611
17.578125 79.821 -177.8524
17.944336 79.815 -178.5371
18.310547 79.807 -179.2077
18.676758 79.797 -179.8573
19.042969 79.787 179.5196
19.409180 79.776 178.9241
19.775391 79.768 178.3506
20.141602 79.762 177.7864
20.507812 79.758 177.2158
20.874023 79.754 176.6296
21.240234 79.747 176.0325
21.606445 79.735 175.4421
21.972656 79.719 174.8789
22.338867 79.702 174.3516
22.705078 79.687 173.8508
23.071289 79.674 173.3568
23.437500 79.661 172.8565
23.803711 79.645 172.3559
24.169922 79.626 171.8762
24.536133 79.607 171.4349
24.902344 79.592 171.0275
25.268555 79.583 170.6249
25.634766 79.580 170.1918
26.000977 79.577 169.7098
26.367188 79.569 169.1898
26.733398 79.553 168.6628
27.099609 79.530 168.1613
27.465820 79.504 167.7029
27.832031 79.479 167.2874
28.198242 79.458 166.9018
28.564453 79.442 166.5268
28.930664 79.431 166.1400
29.296875 79.423 165.7217
29.663086 79.412 165.2653
30.029297 79.395 164.7867
30.395508 79.370 164.3222
30.761719 79.339 163.9098
31.127930 79.308 163.5628
31.494141 79.284 163.2591
31.860352 79.268 162.9560
32.226562 79.255 162.6226
32.592773 79.241 162.2611
32.958984 79.222 161.8987
33.325195 79.202 161.5577
33.691406 79.183 161.2332
34.057617 79.167 160.9005
34.423828 79.148 160.5461
34.790039 79.124 160.1909
35.156250 79.094 159.8785
35.522461 79.066 159.6346
35.888672 79.049 159.4308
36.254883 79.045 159.1935
36.621094 79.047 158.8571
36.987305 79.039 158.4191
37.353516 79.014 157.9507
37.719727 78.972 157.5507
38.085938 78.926 157.2773
38.452148 78.890 157.1076
38.818359 78.872 156.9560
39.184570 78.866 156.7394
39.550781 78.861 156.4341
39.916992 78.847 156.0807
40.283203 78.824 155.7412
40.649414 78.800 155.4481
41.015625 78.779 155.1845
41.381836 78.765 154.9071
41.748047 78.751 154.5871
42.114258 78.732 154.2349
42.480469 78.705 153.8912
42.846680 78.673 153.5956
43.212891 78.643 153.3582
43.579102 78.620 153.1551
43.945312 78.604 152.9443
44.311523 78.594 152.6928
44.677734 78.583 152.3940
45.043945 78.566 152.0676
45.410156 78.543 151.7461
45.776367 78.516 151.4543
46.142578 78.489 151.1954
46.508789 78.466 150.9501
46.875000 78.447 150.6909
47.241211 78.427 150.4031
47.607422 78.402 150.0974
47.973633 78.371 149.8039
48.339844 78.337 149.5505
48.706055 78.304 149.3424
49.072266 78.277 149.1584
49.438477 78.255 148.9680
49.804688 78.235 148.7557
50.170898 78.213 148.5304
50.537109 78.190 148.3131
50.903320 78.167 148.1151
51.269531 78.149 147.9258
51.635742 78.134 147.7226
52.001953 78.120 147.4913
52.368164 78.104 147.2388
52.734375 78.084 146.9859
53.100586 78.063 146.7484
53.466797 78.042 146.5243
53.833008 78.022 146.3001
54.199219 78.002 146.0675
54.565430 77.979 145.8346
54.931641 77.954 145.6194
55.297852 77.930 145.4313
55.664062 77.909 145.2595
56.030273 77.893 145.0789
56.396484 77.878 144.8699
56.762695 77.861 144.6343
57.128906 77.839 144.3931
57.495117 77.813 144.1696
57.861328 77.787 143.9726
58.227539 77.763 143.7927
58.593750 77.742 143.6129
58.959961 77.721 143.4227
59.326172 77.701 143.2231
59.692383 77.679 143.0219
60.058594 77.656 142.8252
60.424805 77.634 142.6346
60.791016 77.611 142.4495
61.157227 77.589 142.2695
61.523438 77.569 142.0938
61.889648 77.550 141.9178
62.255859 77.532 141.7332
62.622070 77.515 141.5331
62.988281 77.496 141.3198
63.354492 77.473 141.1056
63.720703 77.448 140.9065
64.086914 77.423 140.7313
64.453125 77.399 140.5751
64.819336 77.379 140.4227
65.185547 77.361 140.2587
65.551758 77.343 140.0782
65.917969 77.323 139.8881
66.284180 77.300 139.7017
66.650391 77.277 139.5285
67.016602 77.253 139.3695
67.382812 77.232 139.2170
67.749023 77.212 139.0612
68.115234 77.193 138.8963
68.481445 77.173 138.7242
68.847656 77.151 138.5524
69.213867 77.128 138.3887
69.580078 77.106 138.2360
69.946289 77.085 138.0899
70.312500 77.066 137.9424
70.678711 77.047 137.7867
71.044922 77.028 137.6229
71.411133 77.008 137.4570
71.777344 76.987 137.2964
72.143555 76.967 137.1436
72.509766 76.947 136.9938
72.875977 76.929 136.8386
73.242188 76.911 136.6724
73.608398 76.892 136.4974
73.974609 76.870 136.3220
74.340820 76.848 136.1549
74.707031 76.825 135.9987
75.073242 76.804 135.8491
75.439453 76.783 135.6989
75.805664 76.763 135.5439
76.171875 76.743 135.3855
76.538086 76.722 135.2281
76.904297 76.701 135.0746
77.270508 76.680 134.9243
77.636719 76.660 134.7740
78.002930 76.640 134.6216
78.369141 76.620 134.4682
78.735352 76.599 134.3174
79.101562 76.578 134.1719
79.467773 76.557 134.0320
79.833984 76.537 133.8964
80.200195 76.517 133.7627
80.566406 76.498 133.6289
80.932617 76.480 133.4922
81.298828 76.462 133.3489
81.665039 76.443 133.1967
82.031250 76.422 133.0390
82.397461 76.399 132.8854
82.763672 76.375 132.7476
83.129883 76.350 132.6309
83.496094 76.328 132.5290
83.862305 76.310 132.4258
84.228516 76.294 132.3063
84.594727 76.277 132.1667
84.960938 76.259 132.0175
85.327148 76.238 131.8746
85.693359 76.217 131.7469
86.059570 76.198 131.6296
86.425781 76.181 131.5082
86.791992 76.166 131.3711
87.158203 76.149 131.2198
87.524414 76.129 131.0681
87.890625 76.106 130.9329
88.256836 76.084 130.8214
88.623047 76.065 130.7258
88.989258 76.049 130.6286
89.355469 76.034 130.5143
89.721680 76.019 130.3798
90.087891 76.001 130.2358
90.454102 75.979 130.0995
90.820312 75.956 129.9823
91.186523 75.935 129.8812
91.552734 75.915 129.7811
91.918945 75.897 129.6669
92.285156 75.878 129.5366
92.651367 75.856 129.4048
93.017578 75.831 129.2912
93.383789 75.809 129.2016
93.750000 75.792 129.1179
94.116211 75.779 129.0092
94.482422 75.767 128.8585
94.848633 75.750 128.6817
95.214844 75.726 128.5202
95.581055 75.701 128.4068
95.947266 75.682 128.3336
96.313477 75.673 128.2521
96.679688 75.667 128.1152
97.045898 75.656 127.9254
97.412109 75.634 127.7466
97.778320 75.605 127.6580
98.144531 75.584 127.6802
98.510742 75.586 127.7358
98.876953 75.610 127.6881
99.243164 75.637 127.4412
99.609375 75.642 127.0208
99.975586 75.611 126.5695
100.341797 75.549 126.2625
100.708008 75.478 126.1974
101.074219 75.426 126.3321
101.440430 75.404 126.5168
101.806641 75.405 126.6039
102.172852 75.408 126.5433
102.539062 75.400 126.3927
102.905273 75.376 126.2496
103.271484 75.348 126.1714
103.637695 75.325 126.1432
104.003906 75.310 126.1074
104.370117 75.299 126.0217
104.736328 75.284 125.8917
105.102539 75.263 125.7566
105.468750 75.239 125.6492
105.834961 75.217 125.5697
106.201172 75.201 125.4915
106.567383 75.187 125.3893
106.933594 75.172 125.2611
107.299805 75.155 125.1256
107.666016 75.135 125.0033
108.032227 75.115 124.9001
108.398438 75.097 124.8079
108.764648 75.081 124.7155
109.130859 75.066 124.6192
109.497070 75.050 124.5231
109.863281 75.034 124.4308
110.229492 75.019 124.3408
110.595703 75.003 124.2480
110.961914 74.987 124.1511
111.328125 74.970 124.0551
111.694336 74.951 123.9684
112.060547 74.932 123.8955
112.426758 74.914 123.8327
112.792969 74.899 123.7699
113.159180 74.886 123.6964
113.525391 74.873 123.6060
113.891602 74.859 123.4995
114.257812 74.844 123.3828
114.624023 74.826 123.2646
114.990234 74.806 123.1534
115.356445 74.786 123.0547
115.722656 74.766 122.9690
116.088867 74.748 122.8923
116.455078 74.732 122.8179
116.821289 74.717 122.7398
117.187500 74.704 122.6551
117.553711 74.690 122.5634
117.919922 74.677 122.4660
118.286133 74.662 122.3653
118.652344 74.647 122.2653
119.018555 74.630 122.1717
119.384766 74.613 122.0898
119.750977 74.596 122.0208
120.117188 74.581 121.9594
120.483398 74.567 121.8954
120.849609 74.555 121.8206
121.215820 74.543 121.7332
121.582031 74.529 121.6393
121.948242 74.513 121.5469
122.314453 74.497 121.4601
122.680664 74.482 121.3755
123.046875 74.466 121.2871
123.413086 74.451 121.1926
123.779297 74.433 121.0975
124.145508 74.415 121.0110
124.511719 74.396 120.9391
124.877930 74.380 120.8779
125.244141 74.366 120.8158
125.610352 74.354 120.7420
125.976562 74.342 120.6542
126.342773 74.327 120.5616
126.708984 74.312 120.4770
127.075195 74.296 120.4076
127.441406 74.282 120.3488
127.807617 74.271 120.2863
128.173828 74.261 120.2068
128.540039 74.250 120.1072
128.906250 74.236 119.9989
129.272461 74.217 119.9010
129.638672 74.197 119.8289
130.004883 74.179 119.7833
130.371094 74.165 119.7486
130.737305 74.155 119.7009
131.103516 74.146 119.6225
131.469727 74.135 119.5142
131.835938 74.119 119.3947
132.202148 74.099 119.2903
132.568359 74.077 119.2175
132.934570 74.058 119.1725
133.300781 74.043 119.1345
133.666992 74.032 119.0811
134.033203 74.021 119.0035
134.399414 74.009 118.9109
134.765625 73.994 118.8204
135.131836 73.979 118.7418
135.498047 73.964 118.6714
135.864258 73.951 118.5983
136.230469 73.937 118.5182
136.596680 73.922 118.4401
136.962891 73.906 118.3781
137.329102 73.891 118.3366
137.695312 73.879 118.3018
138.061523 73.872 118.2504
138.427734 73.864 118.1700
138.793945 73.852 118.0717
139.160156 73.836 117.9835
139.526367 73.818 117.9278
139.892578 73.803 117.9008
140.258789 73.795 117.8727
140.625000 73.790 117.8095
140.991211 73.784 117.7006
141.357422 73.772 117.5672
141.723633 73.753 117.4467
142.089844 73.731 117.3655
142.456055 73.711 117.3213
142.822266 73.697 117.2874
143.188477 73.687 117.2354
143.554688 73.677 117.1556
143.920898 73.665 117.0610
144.287109 73.649 116.9732
144.653320 73.633 116.9052
145.019531 73.619 116.8532
145.385742 73.608 116.8020
145.751953 73.599 116.7368
146.118164 73.589 116.6536
146.484375 73.577 116.5598
146.850586 73.562 116.4700
147.216797 73.545 116.3982
147.583008 73.528 116.3516
147.949219 73.513 116.3269
148.315430 73.502 116.3095
148.681641 73.496 116.2791
149.047852 73.492 116.2190
149.414062 73.486 116.1263
149.780273 73.476 116.0148
150.146484 73.460 115.9079
150.512695 73.442 115.8247
150.878906 73.424 115.7695
151.245117 73.408 115.7303
151.611328 73.395 115.6891
151.977539 73.384 115.6341
