* Measurement data measured by REW V5.30.3
* Source: Mikrofon (US-2x2 HR), MICROPHONE (Hauptlautstärke), L, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 13.01.2024 12:12:54
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Pula PA02 R
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 54.844 87.6356
0.732422 61.333 32.8242
1.098633 66.478 -0.7895
1.464844 70.218 -25.4397
1.831055 72.908 -45.4763
2.197266 74.809 -62.4921
2.563477 76.107 -77.0710
2.929688 76.946 -89.3931
3.295898 77.462 -99.5215
3.662109 77.784 -107.6040
4.028320 78.022 -113.9999
4.394531 78.246 -119.2506
4.760742 78.468 -123.8734
5.126953 78.666 -128.1509
5.493164 78.815 -132.0988
5.859375 78.919 -135.6090
6.225586 78.999 -138.6274
6.591797 79.083 -141.2430
6.958008 79.180 -143.6356
7.324219 79.280 -145.9445
7.690430 79.365 -148.1847
8.056641 79.429 -150.2804
8.422852 79.481 -152.1678
8.789062 79.536 -153.8723
9.155273 79.599 -155.4941
9.521484 79.661 -157.1205
9.887695 79.707 -158.7496
10.253906 79.729 -160.2958
10.620117 79.734 -161.6653
10.986328 79.739 -162.8380
11.352539 79.758 -163.8886
11.718750 79.791 -164.9317
12.084961 79.826 -166.0369
12.451172 79.849 -167.1886
12.817383 79.855 -168.3129
13.183594 79.848 -169.3405
13.549805 79.840 -170.2532
13.916016 79.838 -171.0864
14.282227 79.845 -171.8952
14.648438 79.857 -172.7181
15.014648 79.870 -173.5655
15.380859 79.880 -174.4309
15.747070 79.886 -175.3063
16.113281 79.887 -176.1846
16.479492 79.881 -177.0516
16.845703 79.866 -177.8817
17.211914 79.846 -178.6466
17.578125 79.826 -179.3333
17.944336 79.811 -179.9560
18.310547 79.805 179.4482
18.676758 79.805 178.8404
19.042969 79.806 178.2018
19.409180 79.803 177.5415
19.775391 79.795 176.8857
20.141602 79.781 176.2590
20.507812 79.766 175.6695
20.874023 79.751 175.1082
21.240234 79.738 174.5605
21.606445 79.724 174.0193
21.972656 79.709 173.4882
22.338867 79.694 172.9738
22.705078 79.680 172.4744
23.071289 79.669 171.9748
23.437500 79.660 171.4552
23.803711 79.649 170.9078
24.169922 79.632 170.3475
24.536133 79.608 169.8062
24.902344 79.581 169.3127
25.268555 79.558 168.8690
25.634766 79.542 168.4429
26.000977 79.533 167.9868
26.367188 79.524 167.4724
26.733398 79.506 166.9159
27.099609 79.477 166.3745
27.465820 79.439 165.9109
27.832031 79.403 165.5490
28.198242 79.379 165.2513
28.564453 79.370 164.9404
28.930664 79.369 164.5516
29.296875 79.363 164.0785
29.663086 79.345 163.5749
30.029297 79.315 163.1134
30.395508 79.282 162.7332
30.761719 79.255 162.4149
31.127930 79.238 162.1027
31.494141 79.226 161.7512
31.860352 79.211 161.3581
32.226562 79.192 160.9540
32.592773 79.169 160.5666
32.958984 79.147 160.1952
33.325195 79.126 159.8191
33.691406 79.102 159.4289
34.057617 79.074 159.0458
34.423828 79.042 158.7042
34.790039 79.013 158.4138
35.156250 78.994 158.1389
35.522461 78.982 157.8225
35.888672 78.970 157.4365
36.254883 78.949 157.0101
36.621094 78.918 156.6078
36.987305 78.884 156.2719
37.353516 78.856 155.9838
37.719727 78.837 155.6810
38.085938 78.820 155.3184
38.452148 78.795 154.9143
38.818359 78.758 154.5372
39.184570 78.719 154.2427
39.550781 78.687 154.0194
39.916992 78.668 153.7956
40.283203 78.657 153.5055
40.649414 78.640 153.1509
41.015625 78.613 152.7973
41.381836 78.582 152.5077
41.748047 78.558 152.2755
42.114258 78.546 152.0237
42.480469 78.538 151.6779
42.846680 78.517 151.2477
43.212891 78.475 150.8353
43.579102 78.419 150.5612
43.945312 78.369 150.4625
44.311523 78.345 150.4502
44.677734 78.346 150.3723
45.043945 78.355 150.1329
45.410156 78.350 149.7636
45.776367 78.323 149.3892
46.142578 78.281 149.1266
46.508789 78.245 148.9981
46.875000 78.226 148.9239
47.241211 78.224 148.7956
47.607422 78.225 148.5623
47.973633 78.219 148.2562
48.339844 78.202 147.9458
48.706055 78.181 147.6707
49.072266 78.163 147.4139
49.438477 78.148 147.1302
49.804688 78.130 146.7992
50.170898 78.101 146.4503
50.537109 78.063 146.1401
50.903320 78.021 145.9061
51.269531 77.985 145.7366
51.635742 77.959 145.5822
52.001953 77.938 145.3978
52.368164 77.917 145.1758
52.734375 77.890 144.9457
53.100586 77.860 144.7444
53.466797 77.832 144.5834
53.833008 77.811 144.4403
54.199219 77.796 144.2763
54.565430 77.784 144.0645
54.931641 77.768 143.8067
55.297852 77.745 143.5294
55.664062 77.715 143.2666
56.030273 77.681 143.0427
56.396484 77.646 142.8644
56.762695 77.615 142.7219
57.128906 77.590 142.5950
57.495117 77.572 142.4603
57.861328 77.557 142.2975
58.227539 77.544 142.0963
58.593750 77.528 141.8608
58.959961 77.508 141.6093
59.326172 77.483 141.3669
59.692383 77.455 141.1522
60.058594 77.430 140.9666
60.424805 77.408 140.7922
60.791016 77.391 140.6026
61.157227 77.375 140.3807
61.523438 77.355 140.1318
61.889648 77.330 139.8826
62.255859 77.299 139.6649
62.622070 77.268 139.4953
62.988281 77.242 139.3628
63.354492 77.222 139.2357
63.720703 77.208 139.0818
64.086914 77.193 138.8901
64.453125 77.174 138.6759
64.819336 77.151 138.4688
65.185547 77.124 138.2903
65.551758 77.100 138.1398
65.917969 77.079 137.9970
66.284180 77.061 137.8386
66.650391 77.043 137.6559
67.016602 77.021 137.4592
67.382812 76.996 137.2676
67.749023 76.970 137.0946
68.115234 76.944 136.9396
68.481445 76.920 136.7923
68.847656 76.897 136.6431
69.213867 76.875 136.4900
69.580078 76.853 136.3360
69.946289 76.832 136.1824
70.312500 76.813 136.0238
70.678711 76.794 135.8525
71.044922 76.774 135.6662
71.411133 76.752 135.4730
71.777344 76.728 135.2867
72.143555 76.703 135.1169
72.509766 76.678 134.9621
72.875977 76.656 134.8118
73.242188 76.636 134.6553
73.608398 76.615 134.4902
73.974609 76.593 134.3235
74.340820 76.570 134.1644
74.707031 76.547 134.0174
75.073242 76.524 133.8797
75.439453 76.503 133.7455
75.805664 76.483 133.6110
76.171875 76.463 133.4761
76.538086 76.443 133.3411
76.904297 76.424 133.2040
77.270508 76.405 133.0613
77.636719 76.384 132.9131
78.002930 76.362 132.7660
78.369141 76.338 132.6300
78.735352 76.314 132.5105
79.101562 76.292 132.4020
79.467773 76.272 132.2896
79.833984 76.255 132.1588
80.200195 76.236 132.0063
80.566406 76.215 131.8436
80.932617 76.190 131.6890
81.298828 76.165 131.5548
81.665039 76.141 131.4388
82.031250 76.121 131.3254
82.397461 76.104 131.1970
82.763672 76.087 131.0453
83.129883 76.068 130.8766
83.496094 76.046 130.7070
83.862305 76.021 130.5529
84.228516 75.996 130.4224
84.594727 75.973 130.3128
84.960938 75.953 130.2125
85.327148 75.936 130.1074
85.693359 75.921 129.9868
86.059570 75.905 129.8493
86.425781 75.886 129.7038
86.791992 75.865 129.5653
87.158203 75.842 129.4457
87.524414 75.820 129.3447
87.890625 75.801 129.2481
88.256836 75.784 129.1371
88.623047 75.767 129.0024
88.989258 75.746 128.8518
89.355469 75.722 128.7047
89.721680 75.696 128.5763
90.087891 75.671 128.4667
90.454102 75.648 128.3625
90.820312 75.627 128.2515
91.186523 75.606 128.1347
91.552734 75.585 128.0226
91.918945 75.565 127.9200
92.285156 75.550 127.8156
92.651367 75.536 127.6909
93.017578 75.522 127.5418
93.383789 75.503 127.3906
93.750000 75.481 127.2709
94.116211 75.462 127.1941
94.482422 75.450 127.1307
94.848633 75.444 127.0308
95.214844 75.436 126.8729
95.581055 75.417 126.6952
95.947266 75.387 126.5723
96.313477 75.357 126.5493
96.679688 75.339 126.5869
97.045898 75.336 126.5797
97.412109 75.334 126.4478
97.778320 75.312 126.2262
98.144531 75.261 126.0660
98.510742 75.197 126.1316
98.876953 75.153 126.4562
99.243164 75.158 126.8698
99.609375 75.213 127.0883
99.975586 75.283 126.9153
100.341797 75.325 126.3795
100.708008 75.310 125.7065
101.074219 75.244 125.1722
101.440430 75.158 124.9394
101.806641 75.089 124.9727
102.172852 75.055 125.0876
102.539062 75.047 125.1006
102.905273 75.044 124.9545
103.271484 75.026 124.7232
103.637695 74.994 124.5212
104.003906 74.959 124.4084
104.370117 74.932 124.3588
104.736328 74.917 124.3036
105.102539 74.907 124.1978
105.468750 74.894 124.0506
105.834961 74.875 123.9037
106.201172 74.853 123.7891
106.567383 74.832 123.7061
106.933594 74.816 123.6323
107.299805 74.801 123.5490
107.666016 74.785 123.4564
108.032227 74.768 123.3660
108.398438 74.750 123.2847
108.764648 74.733 123.2073
109.130859 74.717 123.1232
109.497070 74.701 123.0280
109.863281 74.682 122.9283
110.229492 74.662 122.8358
110.595703 74.642 122.7565
110.961914 74.624 122.6854
111.328125 74.608 122.6096
111.694336 74.594 122.5174
112.060547 74.580 122.4064
112.426758 74.563 122.2864
112.792969 74.543 122.1747
113.159180 74.522 122.0856
113.525391 74.504 122.0205
113.891602 74.490 121.9639
114.257812 74.479 121.8931
114.624023 74.470 121.7941
114.990234 74.457 121.6744
115.356445 74.440 121.5594
115.722656 74.420 121.4746
116.088867 74.401 121.4246
116.455078 74.388 121.3871
116.821289 74.379 121.3288
117.187500 74.369 121.2316
117.553711 74.355 121.1071
117.919922 74.335 120.9883
118.286133 74.310 120.9045
118.652344 74.287 120.8589
119.018555 74.269 120.8271
119.384766 74.256 120.7764
119.750977 74.244 120.6903
120.117188 74.228 120.5783
120.483398 74.208 120.4662
120.849609 74.185 120.3760
121.215820 74.164 120.3112
121.582031 74.146 120.2578
121.948242 74.133 120.1959
122.314453 74.121 120.1128
122.680664 74.109 120.0094
123.046875 74.094 119.8968
123.413086 74.077 119.7894
123.779297 74.059 119.6986
124.145508 74.041 119.6280
124.511719 74.026 119.5721
124.877930 74.014 119.5182
125.244141 74.004 119.4513
125.610352 73.994 119.3629
125.976562 73.982 119.2568
126.342773 73.966 119.1494
126.708984 73.946 119.0613
127.075195 73.925 119.0053
127.441406 73.906 118.9770
127.807617 73.893 118.9561
128.173828 73.883 118.9170
128.540039 73.875 118.8442
128.906250 73.863 118.7416
129.272461 73.847 118.6296
129.638672 73.827 118.5326
130.004883 73.805 118.4642
130.371094 73.785 118.4193
130.737305 73.770 118.3783
131.103516 73.759 118.3202
131.469727 73.747 118.2359
131.835938 73.734 118.1318
132.202148 73.718 118.0240
132.568359 73.699 117.9266
132.934570 73.680 117.8447
133.300781 73.661 117.7748
133.666992 73.644 117.7118
134.033203 73.627 117.6540
134.399414 73.611 117.6033
134.765625 73.596 117.5607
135.131836 73.583 117.5226
135.498047 73.572 117.4818
135.864258 73.563 117.4314
136.230469 73.554 117.3691
136.596680 73.545 117.2963
136.962891 73.535 117.2155
137.329102 73.524 117.1292
137.695312 73.511 117.0401
138.061523 73.497 116.9544
138.427734 73.481 116.8796
138.793945 73.465 116.8201
139.160156 73.451 116.7715
139.526367 73.439 116.7214
139.892578 73.429 116.6569
140.258789 73.419 116.5740
140.625000 73.406 116.4810
140.991211 73.391 116.3928
141.357422 73.375 116.3200
141.723633 73.359 116.2622
142.089844 73.346 116.2097
142.456055 73.333 116.1520
142.822266 73.322 116.0854
143.188477 73.309 116.0144
143.554688 73.295 115.9465
143.920898 73.280 115.8861
144.287109 73.266 115.8323
144.653320 73.253 115.7812
145.019531 73.240 115.7300
145.385742 73.227 115.6783
145.751953 73.215 115.6270
146.118164 73.203 115.5752
146.484375 73.191 115.5202
146.850586 73.179 115.4584
147.216797 73.167 115.3872
147.583008 73.153 115.3080
147.949219 73.137 115.2274
148.315430 73.118 115.1562
148.681641 73.098 115.1063
149.047852 73.079 115.0829
149.414062 73.063 115.0788
149.780273 73.054 115.0741
150.146484 73.049 115.0446
150.512695 73.045 114.9757
150.878906 73.039 114.8712
151.245117 73.028 114.7519
151.611328 73.013 114.6425
151.977539 72.995 114.5579
