* Measurement data measured by REW V5.30 beta 4
* Source: Mikrofon (US-2x2 HR), no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -8,0 dBFS with no timing reference
* Dated: 12.12.2023 20:11:33
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Rickdiculous Bass Target
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	91.442	-157.6734
20.600000	91.488	-158.7396
20.900000	91.544	-160.1282
21.200001	91.599	-161.6251
21.400000	91.633	-162.6377
21.799999	91.691	-164.6545
22.000000	91.716	-165.6494
22.400000	91.759	-167.5979
22.700001	91.785	-169.0156
23.000000	91.806	-170.3926
23.299999	91.824	-171.7298
23.600000	91.838	-173.0312
24.000000	91.851	-174.7210
24.299999	91.857	-175.9621
24.700001	91.859	-177.5918
25.000000	91.857	-178.8007
25.400000	91.849	179.5994
25.799999	91.836	178.0090
26.200001	91.819	176.4274
26.500000	91.804	175.2484
26.900000	91.782	173.6897
27.200001	91.765	172.5334
27.600000	91.741	171.0116
28.000000	91.716	169.5143
28.500000	91.680	167.6785
29.000000	91.637	165.8848
29.500000	91.584	164.1346
30.000000	91.522	162.4251
30.400000	91.465	161.0819
30.700001	91.421	160.0859
31.100000	91.358	158.7709
31.500000	91.294	157.4713
32.000000	91.210	155.8741
32.500000	91.122	154.3157
33.000000	91.029	152.8033
33.500000	90.930	151.3390
34.000000	90.825	149.9209
34.500000	90.715	148.5446
35.000000	90.601	147.2053
35.500000	90.486	145.8994
36.000000	90.369	144.6273
36.500000	90.250	143.3933
37.000000	90.129	142.2038
37.500000	90.005	141.0624
38.200001	89.828	139.5406
38.700001	89.699	138.4983
39.500000	89.489	136.8887
40.000000	89.356	135.9155
40.599998	89.196	134.7845
41.200001	89.036	133.7010
41.799999	88.875	132.6725
42.500000	88.688	131.5464
43.099998	88.528	130.6378
43.700001	88.370	129.7666
44.400002	88.186	128.7810
45.000000	88.029	127.9611
45.500000	87.897	127.3011
46.200001	87.712	126.4205
46.799999	87.555	125.7074
47.500000	87.373	124.9175
48.200001	87.193	124.1624
48.700001	87.066	123.6417
49.400002	86.890	122.9439
50.000000	86.741	122.3819
50.799999	86.547	121.6839
51.500000	86.380	121.1126
52.200001	86.215	120.5732
53.000000	86.027	119.9877
53.799999	85.841	119.4189
54.500000	85.679	118.9357
55.200001	85.518	118.4849
56.000000	85.336	118.0284
57.000000	85.116	117.5347
58.000000	84.901	117.0786
59.000000	84.689	116.6292
60.000000	84.480	116.2004
60.799999	84.317	115.8871
61.500000	84.176	115.6354
62.200001	84.037	115.4008
63.000000	83.879	115.1499
64.000000	83.684	114.8610
65.000000	83.495	114.5949
66.000000	83.311	114.3474
67.000000	83.130	114.1193
68.000000	82.952	113.9116
69.000000	82.776	113.7263
70.000000	82.603	113.5656
71.000000	82.435	113.4301
72.000000	82.270	113.3207
73.000000	82.109	113.2371
74.000000	81.950	113.1713
75.000000	81.793	113.1085
76.199997	81.608	113.0317
77.500000	81.414	112.9606
78.800003	81.224	112.9080
80.000000	81.052	112.8778
81.199997	80.884	112.8732
82.500000	80.707	112.9006
83.800003	80.534	112.9412
85.000000	80.376	112.9749
