* Measurement data measured by REW V5.30.3
* Source: Mikrofon (US-2x2 HR), MICROPHONE (Hauptlautstärke), L, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 03.02.2024 20:38:21
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Simgot LM500 Bronze
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 50.334 -22.8120
0.732422 54.614 -40.8078
1.098633 57.873 -56.6536
1.464844 59.554 -70.6483
1.831055 59.544 -80.6157
2.197266 57.838 -79.4609
2.563477 56.818 -52.9690
2.929688 60.669 -29.6056
3.295898 64.688 -29.5887
3.662109 67.300 -38.2746
4.028320 68.759 -49.3539
4.394531 69.329 -60.3608
4.760742 69.218 -69.8407
5.126953 68.651 -76.6619
5.493164 67.926 -80.1611
5.859375 67.395 -80.8292
6.225586 67.277 -80.5504
6.591797 67.528 -81.2945
6.958008 67.966 -83.8216
7.324219 68.443 -87.9252
7.690430 68.874 -93.0931
8.056641 69.203 -98.7257
8.422852 69.399 -104.1083
8.789062 69.483 -108.4562
9.155273 69.548 -111.1920
9.521484 69.743 -112.4236
9.887695 70.160 -113.1470
10.253906 70.734 -114.5807
10.620117 71.296 -117.2226
10.986328 71.695 -120.6975
11.352539 71.874 -124.2111
11.718750 71.869 -127.0153
12.084961 71.779 -128.7477
12.451172 71.713 -129.6087
12.817383 71.721 -130.1930
13.183594 71.773 -131.0119
13.549805 71.817 -132.1693
13.916016 71.827 -133.4675
14.282227 71.822 -134.7243
14.648438 71.836 -135.9752
15.014648 71.875 -137.4056
15.380859 71.916 -139.1110
15.747070 71.929 -140.9469
16.113281 71.914 -142.6138
16.479492 71.908 -143.8963
16.845703 71.960 -144.8625
17.211914 72.087 -145.8298
17.578125 72.254 -147.0883
17.944336 72.401 -148.6432
18.310547 72.490 -150.2084
18.676758 72.527 -151.4176
19.042969 72.559 -152.0923
19.409180 72.642 -152.4013
19.775391 72.790 -152.7686
20.141602 72.966 -153.5691
20.507812 73.103 -154.8828
20.874023 73.152 -156.4930
21.240234 73.099 -158.0476
21.606445 72.966 -159.2410
21.972656 72.799 -159.9359
22.338867 72.643 -160.1919
22.705078 72.524 -160.1928
23.071289 72.450 -160.1297
23.437500 72.415 -160.1295
23.803711 72.414 -160.2641
24.169922 72.443 -160.5933
24.536133 72.491 -161.1758
24.902344 72.543 -162.0344
25.268555 72.577 -163.1142
25.634766 72.583 -164.2789
26.000977 72.560 -165.3582
26.367188 72.527 -166.2256
26.733398 72.506 -166.8649
27.099609 72.514 -167.3777
27.465820 72.551 -167.9171
27.832031 72.600 -168.5898
28.198242 72.638 -169.3981
28.564453 72.648 -170.2579
28.930664 72.628 -171.0616
29.296875 72.582 -171.7308
29.663086 72.518 -172.2246
30.029297 72.444 -172.5122
30.395508 72.373 -172.5596
30.761719 72.325 -172.3689
31.127930 72.325 -172.0513
31.494141 72.386 -171.8467
31.860352 72.489 -172.0231
32.226562 72.592 -172.7098
32.592773 72.649 -173.8056
32.958984 72.633 -175.0267
33.325195 72.556 -176.0520
33.691406 72.454 -176.6846
34.057617 72.372 -176.9485
34.423828 72.338 -177.0481
34.790039 72.345 -177.2086
35.156250 72.371 -177.5333
35.522461 72.395 -177.9907
35.888672 72.408 -178.5014
36.254883 72.410 -179.0149
36.621094 72.398 -179.5078
36.987305 72.370 -179.9310
37.353516 72.326 179.8104
37.719727 72.286 179.7920
38.085938 72.277 179.9615
38.452148 72.314 -179.8972
38.818359 72.383 179.9550
39.184570 72.439 179.4073
39.550781 72.439 178.5992
39.916992 72.368 177.8468
40.283203 72.251 177.4554
40.649414 72.140 177.5190
41.015625 72.086 177.8352
41.381836 72.096 178.0361
41.748047 72.136 177.8548
42.114258 72.157 177.2906
42.480469 72.132 176.5590
42.846680 72.063 175.9198
43.212891 71.979 175.5188
43.579102 71.912 175.3284
43.945312 71.876 175.2088
44.311523 71.867 175.0262
44.677734 71.872 174.7264
45.043945 71.882 174.3211
45.410156 71.891 173.8350
45.776367 71.895 173.2810
46.142578 71.887 172.6812
46.508789 71.863 172.0944
46.875000 71.822 171.6060
47.241211 71.777 171.2763
47.607422 71.740 171.0929
47.973633 71.720 170.9785
48.339844 71.710 170.8571
48.706055 71.701 170.7181
49.072266 71.688 170.6103
49.438477 71.678 170.5706
49.804688 71.681 170.5568
50.170898 71.697 170.4619
50.537109 71.710 170.2120
50.903320 71.698 169.8544
51.269531 71.654 169.5457
51.635742 71.594 169.4325
52.001953 71.549 169.5146
52.368164 71.540 169.6137
52.734375 71.554 169.5078
53.100586 71.559 169.1244
53.466797 71.524 168.6122
53.833008 71.448 168.2317
54.199219 71.366 168.1495
54.565430 71.319 168.2878
54.931641 71.324 168.3683
55.297852 71.355 168.1433
55.664062 71.366 167.6032
56.030273 71.329 166.9777
56.396484 71.251 166.5608
56.762695 71.172 166.5005
57.128906 71.132 166.6966
57.495117 71.145 166.8886
57.861328 71.190 166.8626
58.227539 71.235 166.5845
58.593750 71.258 166.1633
58.959961 71.257 165.7266
59.326172 71.239 165.3353
59.692383 71.210 164.9954
60.058594 71.166 164.7226
60.424805 71.111 164.5726
60.791016 71.056 164.5957
61.157227 71.020 164.7585
61.523438 71.012 164.9279
61.889648 71.023 164.9559
62.255859 71.030 164.7966
62.622070 71.015 164.5401
62.988281 70.978 164.3326
63.354492 70.937 164.2487
63.720703 70.913 164.2245
64.086914 70.907 164.1136
64.453125 70.901 163.8233
64.819336 70.873 163.4047
65.185547 70.814 163.0183
65.551758 70.740 162.8102
65.917969 70.678 162.7955
66.284180 70.645 162.8465
66.650391 70.636 162.8020
67.016602 70.630 162.6046
67.382812 70.609 162.3384
67.749023 70.575 162.1424
68.115234 70.546 162.0777
68.481445 70.543 162.0593
68.847656 70.564 161.9197
69.213867 70.585 161.5565
69.580078 70.578 161.0350
69.946289 70.529 160.5581
70.312500 70.456 160.3313
70.678711 70.396 160.4092
71.044922 70.378 160.6357
71.411133 70.405 160.7460
71.777344 70.447 160.5639
72.143555 70.466 160.1253
72.509766 70.440 159.6383
72.875977 70.381 159.3322
73.242188 70.321 159.3013
73.608398 70.289 159.4424
73.974609 70.293 159.5375
74.340820 70.312 159.4239
74.707031 70.313 159.1091
75.073242 70.278 158.7501
75.439453 70.212 158.5384
75.805664 70.139 158.5786
76.171875 70.085 158.8321
76.538086 70.064 159.1571
76.904297 70.071 159.4076
77.270508 70.092 159.5117
77.636719 70.112 159.4777
78.002930 70.123 159.3497
78.369141 70.125 159.1646
78.735352 70.116 158.9425
79.101562 70.095 158.7060
79.467773 70.060 158.4967
79.833984 70.016 158.3646
80.200195 69.974 158.3335
80.566406 69.943 158.3706
80.932617 69.930 158.3933
81.298828 69.927 158.3203
81.665039 69.921 158.1314
82.031250 69.898 157.8874
82.397461 69.859 157.6901
82.763672 69.816 157.6094
83.129883 69.783 157.6286
83.496094 69.768 157.6572
83.862305 69.764 157.6057
84.228516 69.757 157.4603
84.594727 69.739 157.2877
84.960938 69.712 157.1661
85.327148 69.690 157.1047
85.693359 69.678 157.0287
86.059570 69.668 156.8564
86.425781 69.641 156.5986
86.791992 69.587 156.3833
87.158203 69.516 156.3691
87.524414 69.458 156.6063
87.890625 69.440 156.9623
88.256836 69.464 157.2010
88.623047 69.504 157.1646
88.989258 69.525 156.8873
89.355469 69.512 156.5450
89.721680 69.477 156.3008
90.087891 69.441 156.1800
90.454102 69.417 156.0794
90.820312 69.393 155.9027
91.186523 69.352 155.6860
91.552734 69.289 155.5847
91.918945 69.226 155.7258
92.285156 69.196 156.0541
92.651367 69.215 156.3311
93.017578 69.261 156.3199
93.383789 69.290 155.9893
93.750000 69.272 155.5441
94.116211 69.212 155.2712
94.482422 69.147 155.3255
94.848633 69.119 155.6071
95.214844 69.140 155.8381
95.581055 69.187 155.7889
95.947266 69.218 155.4466
96.313477 69.210 154.9941
96.679688 69.165 154.6576
97.045898 69.110 154.5557
97.412109 69.073 154.6411
97.778320 69.068 154.7585
98.144531 69.085 154.7609
98.510742 69.106 154.5869
98.876953 69.114 154.2653
99.243164 69.096 153.8803
99.609375 69.051 153.5383
99.975586 68.984 153.3425
100.341797 68.913 153.3576
100.708008 68.856 153.5675
101.074219 68.829 153.8617
101.440430 68.829 154.0886
101.806641 68.838 154.1541
102.172852 68.835 154.0872
102.539062 68.809 154.0145
102.905273 68.770 154.0596
103.271484 68.739 154.2423
103.637695 68.732 154.4557
104.003906 68.745 154.5487
104.370117 68.757 154.4465
104.736328 68.747 154.2067
105.102539 68.708 153.9711
105.468750 68.652 153.8625
105.834961 68.599 153.9025
106.201172 68.564 154.0068
106.567383 68.546 154.0591
106.933594 68.533 153.9999
107.299805 68.509 153.8622
107.666016 68.471 153.7383
108.032227 68.425 153.7141
108.398438 68.387 153.8171
108.764648 68.368 154.0027
109.130859 68.375 154.1804
109.497070 68.403 154.2574
109.863281 68.439 154.1791
110.229492 68.468 153.9490
110.595703 68.479 153.6262
110.961914 68.466 153.3050
111.328125 68.434 153.0789
111.694336 68.395 153.0023
112.060547 68.363 153.0635
112.426758 68.349 153.1876
112.792969 68.351 153.2742
113.159180 68.359 153.2522
113.525391 68.357 153.1195
113.891602 68.333 152.9455
114.257812 68.288 152.8351
114.624023 68.233 152.8690
114.990234 68.187 153.0486
115.356445 68.163 153.2796
115.722656 68.161 153.4205
116.088867 68.165 153.3739
116.455078 68.149 153.1612
116.821289 68.101 152.9215
117.187500 68.026 152.8331
117.553711 67.950 152.9962
117.919922 67.903 153.3494
118.286133 67.901 153.6954
118.652344 67.928 153.8365
119.018555 67.954 153.7158
119.384766 67.955 153.4452
119.750977 67.925 153.2112
120.117188 67.885 153.1378
120.483398 67.856 153.2069
120.849609 67.848 153.2954
121.215820 67.851 153.2989
121.582031 67.849 153.2249
121.948242 67.836 153.1702
122.314453 67.822 153.2094
122.680664 67.825 153.3002
123.046875 67.848 153.3034
123.413086 67.872 153.1100
123.779297 67.869 152.7591
124.145508 67.826 152.4344
124.511719 67.758 152.3363
124.877930 67.699 152.5228
125.244141 67.680 152.8414
125.610352 67.701 153.0356
125.976562 67.732 152.9492
126.342773 67.735 152.6460
126.708984 67.698 152.3504
127.075195 67.637 152.2749
127.441406 67.590 152.4576
127.807617 67.583 152.7262
128.173828 67.614 152.8297
128.540039 67.649 152.6336
128.906250 67.653 152.2116
129.272461 67.610 151.7825
129.638672 67.533 151.5649
130.004883 67.454 151.6462
130.371094 67.401 151.9393
130.737305 67.385 152.2558
131.103516 67.392 152.4435
131.469727 67.398 152.4787
131.835938 67.390 152.4527
132.202148 67.369 152.4813
132.568359 67.352 152.6095
132.934570 67.352 152.7741
133.300781 67.373 152.8497
133.666992 67.398 152.7441
134.033203 67.406 152.4665
134.399414 67.385 152.1216
134.765625 67.335 151.8431
135.131836 67.270 151.7172
135.498047 67.206 151.7454
135.864258 67.153 151.8680
136.230469 67.111 152.0233
136.596680 67.077 152.1885
136.962891 67.049 152.3722
137.329102 67.029 152.5780
137.695312 67.023 152.7806
138.061523 67.029 152.9370
138.427734 67.044 153.0120
138.793945 67.064 152.9875
139.160156 67.082 152.8525
139.526367 67.090 152.6004
139.892578 67.078 152.2563
140.258789 67.035 151.9126
140.625000 66.960 151.7246
140.991211 66.875 151.8358
141.357422 66.813 152.2611
141.723633 66.804 152.8246
142.089844 66.848 153.2458
142.456055 66.911 153.3405
142.822266 66.949 153.1617
143.188477 66.941 152.9617
143.554688 66.904 153.0118
143.920898 66.882 153.3938
144.287109 66.914 153.9081
144.653320 67.001 154.2015
145.019531 67.098 154.0368
145.385742 67.147 153.4692
145.751953 67.112 152.8135
146.118164 67.001 152.4700
146.484375 66.863 152.7089
146.850586 66.764 153.4954
147.216797 66.750 154.4736
147.583008 66.813 155.1823
147.949219 66.898 155.3593
148.315430 66.944 155.0773
148.681641 66.920 154.6498
149.047852 66.838 154.4189
149.414062 66.744 154.5457
149.780273 66.684 154.9084
150.146484 66.671 155.2041
150.512695 66.674 155.2080
