* Measurement data measured by REW V5.30.3
* Source: Mikrofon (US-2x2 HR), MICROPHONE (Hauptlautstärke), L, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 03.02.2024 20:44:02
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Simgot LM500 Silver Black
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 40.096 -61.0472
0.732422 41.104 -130.6737
1.098633 44.502 171.8538
1.464844 47.645 131.9574
1.831055 49.878 102.4026
2.197266 51.615 79.8130
2.563477 53.453 62.0028
2.929688 55.744 45.7111
3.295898 58.334 28.1714
3.662109 60.841 8.9570
4.028320 62.990 -10.9365
4.394531 64.645 -30.3119
4.760742 65.767 -48.0999
5.126953 66.390 -63.2970
5.493164 66.641 -74.9758
5.859375 66.769 -82.7173
6.225586 67.064 -87.4575
6.591797 67.619 -91.4146
6.958008 68.238 -96.2096
7.324219 68.661 -101.6464
7.690430 68.786 -106.3287
8.056641 68.733 -108.7515
8.422852 68.818 -108.5710
8.789062 69.303 -107.5942
9.155273 70.092 -108.3491
9.521484 70.852 -111.6150
9.887695 71.339 -116.4486
10.253906 71.481 -121.3842
10.620117 71.350 -125.1338
10.986328 71.123 -127.0106
11.352539 70.998 -127.3192
11.718750 71.067 -127.2086
12.084961 71.255 -127.7037
12.451172 71.423 -128.9557
12.817383 71.493 -130.4361
13.183594 71.483 -131.5233
13.549805 71.474 -131.9638
13.916016 71.544 -132.0343
14.282227 71.708 -132.3087
14.648438 71.912 -133.2059
15.014648 72.081 -134.7383
15.380859 72.165 -136.5942
15.747070 72.160 -138.3642
16.113281 72.103 -139.7467
16.479492 72.050 -140.6780
16.845703 72.044 -141.3436
17.211914 72.096 -142.0488
17.578125 72.187 -143.0298
17.944336 72.281 -144.3474
18.310547 72.352 -145.9136
18.676758 72.390 -147.5824
19.042969 72.395 -149.2201
19.409180 72.375 -150.7238
19.775391 72.342 -152.0140
20.141602 72.312 -153.0449
20.507812 72.306 -153.8444
20.874023 72.341 -154.5448
21.240234 72.411 -155.3367
21.606445 72.489 -156.3470
21.972656 72.540 -157.5326
22.338867 72.544 -158.6817
22.705078 72.511 -159.5364
23.071289 72.482 -159.9755
23.437500 72.502 -160.1439
23.803711 72.583 -160.3961
24.169922 72.692 -161.0504
24.536133 72.770 -162.1567
24.902344 72.771 -163.4647
25.268555 72.689 -164.5767
25.634766 72.565 -165.1758
26.000977 72.465 -165.2291
26.367188 72.441 -165.0394
26.733398 72.493 -165.0520
27.099609 72.575 -165.5511
27.465820 72.630 -166.5105
27.832031 72.625 -167.6737
28.198242 72.561 -168.7322
28.564453 72.466 -169.4741
28.930664 72.379 -169.8513
29.296875 72.333 -169.9659
29.663086 72.342 -170.0089
30.029297 72.405 -170.1925
30.395508 72.500 -170.6881
30.761719 72.593 -171.5629
31.127930 72.645 -172.7310
31.494141 72.632 -173.9601
31.860352 72.559 -174.9563
32.226562 72.457 -175.5076
32.592773 72.371 -175.6122
32.958984 72.333 -175.4805
33.325195 72.336 -175.3680
33.691406 72.354 -175.3806
34.057617 72.367 -175.4446
34.423828 72.380 -175.4567
34.790039 72.412 -175.4500
35.156250 72.466 -175.5982
35.522461 72.518 -176.0410
35.888672 72.531 -176.7153
36.254883 72.493 -177.3779
36.621094 72.427 -177.8091
36.987305 72.378 -178.0294
37.353516 72.363 -178.3091
37.719727 72.355 -178.9026
38.085938 72.299 -179.7533
38.452148 72.170 179.5298
38.818359 72.008 179.3828
39.184570 71.904 179.8632
39.550781 71.926 -179.5486
39.916992 72.045 -179.5723
40.283203 72.152 179.5267
40.649414 72.147 178.1650
41.015625 72.014 177.1353
41.381836 71.842 177.0648
41.748047 71.772 177.8685
42.114258 71.881 178.6565
42.480469 72.097 178.4752
42.846680 72.265 177.1407
43.212891 72.268 175.2896
43.579102 72.096 173.9060
43.945312 71.855 173.7495
44.311523 71.717 174.7779
44.677734 71.789 175.9823
45.043945 72.006 176.1733
45.410156 72.195 174.9840
45.776367 72.207 172.9954
46.142578 71.999 171.2690
46.508789 71.651 170.8359
46.875000 71.353 172.1106
47.241211 71.298 174.3405
47.607422 71.517 175.9474
47.973633 71.842 175.8546
48.339844 72.065 174.1833
48.706055 72.063 171.8615
49.072266 71.829 170.0538
49.438477 71.476 169.7238
49.804688 71.202 171.1085
50.170898 71.186 173.3010
50.537109 71.430 174.7711
50.903320 71.765 174.6119
51.269531 72.004 173.0073
51.635742 72.045 170.7783
52.001953 71.882 168.8705
52.368164 71.592 168.0316
52.734375 71.308 168.5432
53.100586 71.162 170.0275
53.466797 71.208 171.6039
53.833008 71.397 172.4430
54.199219 71.619 172.2086
54.565430 71.777 171.0532
54.931641 71.811 169.3972
55.297852 71.703 167.7502
55.664062 71.478 166.6086
56.030273 71.195 166.3484
56.396484 70.947 167.0649
56.762695 70.826 168.4319
57.128906 70.867 169.7785
57.495117 71.033 170.4504
57.861328 71.235 170.1545
58.227539 71.388 169.0090
58.593750 71.439 167.3806
58.959961 71.375 165.7096
59.326172 71.213 164.3947
59.692383 70.998 163.7178
60.058594 70.788 163.7791
60.424805 70.642 164.4535
60.791016 70.596 165.4209
61.157227 70.651 166.2974
61.523438 70.775 166.7977
61.889648 70.927 166.8152
62.255859 71.069 166.3890
62.622070 71.176 165.6243
62.988281 71.234 164.6390
63.354492 71.231 163.5624
63.720703 71.160 162.5598
64.086914 71.027 161.8345
64.453125 70.855 161.5757
64.819336 70.686 161.8611
65.185547 70.562 162.5803
65.551758 70.507 163.4691
65.917969 70.513 164.2620
66.284180 70.555 164.8322
66.650391 70.613 165.1912
67.016602 70.684 165.3713
67.382812 70.770 165.3272
67.749023 70.859 164.9578
68.115234 70.924 164.2281
68.481445 70.934 163.2645
68.847656 70.878 162.3290
69.213867 70.776 161.6801
69.580078 70.671 161.4051
69.946289 70.598 161.3519
70.312500 70.561 161.2534
70.678711 70.527 160.9636
71.044922 70.460 160.5911
71.411133 70.352 160.4160
71.777344 70.237 160.6636
72.143555 70.168 161.2979
72.509766 70.173 162.0089
72.875977 70.237 162.4429
73.242188 70.311 162.4669
73.608398 70.352 162.2222
73.974609 70.353 161.9679
74.340820 70.337 161.8760
74.707031 70.333 161.9252
75.073242 70.356 161.9496
75.439453 70.395 161.7888
75.805664 70.425 161.3998
76.171875 70.428 160.8572
76.538086 70.398 160.2801
76.904297 70.340 159.7712
77.270508 70.263 159.3997
77.636719 70.180 159.2052
78.002930 70.108 159.1838
78.369141 70.062 159.2589
78.735352 70.047 159.2866
79.101562 70.047 159.1332
79.467773 70.035 158.7786
79.833984 69.989 158.3562
80.200195 69.909 158.0819
80.566406 69.821 158.1096
80.932617 69.762 158.4078
81.298828 69.752 158.7626
81.665039 69.780 158.9310
82.031250 69.810 158.8193
82.397461 69.810 158.5333
82.763672 69.772 158.2859
83.129883 69.713 158.2512
83.496094 69.662 158.4625
83.862305 69.643 158.8037
84.228516 69.659 159.0923
84.594727 69.694 159.1864
84.960938 69.725 159.0496
85.327148 69.728 158.7572
85.693359 69.693 158.4644
86.059570 69.629 158.3484
86.425781 69.561 158.5235
86.791992 69.525 158.9523
87.158203 69.544 159.4232
87.524414 69.610 159.6568
87.890625 69.686 159.4896
88.256836 69.727 158.9893
88.623047 69.707 158.4172
88.989258 69.639 158.0767
89.355469 69.560 158.1335
89.721680 69.519 158.5072
90.087891 69.535 158.9236
90.454102 69.593 159.1102
90.820312 69.654 158.9730
91.186523 69.686 158.6185
91.552734 69.678 158.2441
91.918945 69.645 158.0050
92.285156 69.607 157.9396
92.651367 69.580 157.9795
93.017578 69.568 158.0225
93.383789 69.562 158.0056
93.750000 69.553 157.9299
94.116211 69.537 157.8336
94.482422 69.517 157.7465
94.848633 69.499 157.6608
95.214844 69.485 157.5382
95.581055 69.469 157.3456
95.947266 69.442 157.0951
96.313477 69.400 156.8538
96.679688 69.347 156.7084
97.045898 69.299 156.7006
97.412109 69.273 156.7794
97.778320 69.273 156.8181
98.144531 69.287 156.7018
98.510742 69.292 156.4197
98.876953 69.270 156.0861
99.243164 69.223 155.8694
99.609375 69.169 155.8777
99.975586 69.135 156.0757
100.341797 69.131 156.3066
100.708008 69.145 156.4135
101.074219 69.151 156.3636
101.440430 69.129 156.2721
101.806641 69.079 156.3138
102.172852 69.026 156.5876
102.539062 68.998 157.0248
102.905273 69.006 157.4183
103.271484 69.032 157.5659
103.637695 69.043 157.4168
104.003906 69.010 157.1074
104.370117 68.931 156.8682
104.736328 68.833 156.8653
105.102539 68.754 157.0680
105.468750 68.716 157.2456
105.834961 68.706 157.1351
106.201172 68.682 156.6559
106.567383 68.605 155.9928
106.933594 68.473 155.4877
107.299805 68.328 155.4108
107.666016 68.234 155.7393
108.032227 68.229 156.1211
108.398438 68.298 156.1263
108.764648 68.378 155.5820
109.130859 68.412 154.6773
109.497070 68.384 153.7992
109.863281 68.321 153.2680
110.229492 68.274 153.1414
110.595703 68.275 153.2121
110.961914 68.317 153.2131
111.328125 68.366 153.0444
111.694336 68.395 152.8138
112.060547 68.400 152.6954
112.426758 68.400 152.7648
112.792969 68.411 152.9544
113.159180 68.429 153.1516
113.525391 68.442 153.3235
113.891602 68.439 153.5353
114.257812 68.432 153.8518
114.624023 68.434 154.2336
114.990234 68.452 154.5446
115.356445 68.469 154.6716
115.722656 68.462 154.6332
116.088867 68.422 154.5673
116.455078 68.360 154.6133
116.821289 68.301 154.7939
117.187500 68.263 155.0001
117.553711 68.244 155.0926
117.919922 68.229 155.0137
118.286133 68.207 154.8027
118.652344 68.177 154.5192
119.018555 68.142 154.1744
119.384766 68.096 153.7555
119.750977 68.026 153.3159
120.117188 67.925 153.0283
120.483398 67.811 153.1127
120.849609 67.731 153.6539
121.215820 67.736 154.4457
121.582031 67.836 155.0527
121.948242 67.987 155.1021
122.314453 68.117 154.5406
122.680664 68.172 153.6413
123.046875 68.140 152.8140
123.413086 68.052 152.3820
123.779297 67.958 152.4252
124.145508 67.900 152.7726
124.511719 67.884 153.1558
124.877930 67.889 153.4022
125.244141 67.889 153.5073
125.610352 67.873 153.5626
125.976562 67.844 153.6475
126.342773 67.813 153.7789
126.708984 67.783 153.9344
127.075195 67.758 154.0939
127.441406 67.740 154.2413
127.807617 67.732 154.3358
128.173828 67.732 154.3091
128.540039 67.726 154.1213
128.906250 67.695 153.8325
129.272461 67.635 153.6064
129.638672 67.562 153.6102
130.004883 67.515 153.8599
130.371094 67.520 154.1447
130.737305 67.569 154.1491
131.103516 67.611 153.7092
131.469727 67.589 152.9814
131.835938 67.479 152.3937
132.202148 67.311 152.4193
132.568359 67.172 153.2617
132.934570 67.151 154.6113
133.300781 67.276 155.7572
133.666992 67.484 156.0786
134.033203 67.668 155.4486
134.399414 67.743 154.2252
134.765625 67.679 153.0063
135.131836 67.511 152.3707
135.498047 67.324 152.6344
135.864258 67.222 153.6401
136.230469 67.262 154.7551
136.596680 67.416 155.2375
136.962891 67.583 154.7184
137.329102 67.653 153.3859
137.695312 67.564 151.8505
138.061523 67.325 150.8938
138.427734 67.029 151.1407
138.793945 66.833 152.6137
139.160156 66.857 154.4649
139.526367 67.074 155.4728
139.892578 67.329 154.9996
140.258789 67.455 153.3374
140.625000 67.364 151.3839
140.991211 67.071 150.2163
141.357422 66.703 150.6741
141.723633 66.466 152.7957
142.089844 66.519 155.4642
142.456055 66.827 157.1103
142.822266 67.200 156.9545
143.188477 67.445 155.3049
143.554688 67.459 153.0633
143.920898 67.235 151.2848
144.287109 66.860 150.9041
144.653320 66.507 152.3651
145.019531 66.378 155.1285
145.385742 66.550 157.7300
145.751953 66.904 158.8427
146.118164 67.234 158.1841
146.484375 67.381 156.3829
146.850586 67.285 154.4677
147.216797 66.988 153.5015
147.583008 66.634 154.2290
147.949219 66.433 156.5486
148.315430 66.529 159.2394
148.681641 66.874 160.7433
149.047852 67.272 160.3474
149.414062 67.536 158.3766
149.780273 67.567 155.6916
150.146484 67.346 153.2897
150.512695 66.936 152.1121
