* Measurement data measured by REW V5.30.3
* Source: Mikrofon (US-2x2 HR), MICROPHONE (Hauptlautstärke), L, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 03.02.2024 20:42:07
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Simgot LM500 Silver Red
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 49.779 145.9843
0.732422 52.243 112.7990
1.098633 55.099 80.8258
1.464844 57.719 50.3101
1.831055 59.833 21.5405
2.197266 61.312 -5.1156
2.563477 62.067 -29.0935
2.929688 61.998 -49.2926
3.295898 61.037 -63.2297
3.662109 59.497 -65.5451
4.028320 59.235 -53.1736
4.394531 61.567 -43.4115
4.760742 64.273 -45.6164
5.126953 66.212 -53.5255
5.493164 67.364 -62.3911
5.859375 67.945 -69.7328
6.225586 68.267 -74.4596
6.591797 68.655 -77.0764
6.958008 69.248 -79.4631
7.324219 69.904 -83.1992
7.690430 70.392 -88.3638
8.056641 70.582 -93.9626
8.422852 70.490 -98.7384
8.789062 70.269 -101.7951
9.155273 70.143 -103.2118
9.521484 70.254 -104.2114
9.887695 70.540 -106.1784
10.253906 70.826 -109.5097
10.620117 70.981 -113.6208
10.986328 70.987 -117.6044
11.352539 70.924 -120.8053
11.718750 70.910 -123.1704
12.084961 71.018 -125.2425
12.451172 71.224 -127.6961
12.817383 71.437 -130.8255
13.183594 71.565 -134.4524
13.549805 71.555 -138.1437
13.916016 71.387 -141.4066
14.282227 71.063 -143.7263
14.648438 70.619 -144.4975
15.014648 70.153 -143.0477
15.380859 69.878 -139.1046
15.747070 70.053 -133.7414
16.113281 70.733 -129.3660
16.479492 71.675 -127.7996
16.845703 72.568 -129.1154
17.211914 73.222 -132.3519
17.578125 73.577 -136.3678
17.944336 73.660 -140.1945
18.310547 73.557 -143.1781
18.676758 73.383 -145.1084
19.042969 73.237 -146.2653
19.409180 73.154 -147.2025
19.775391 73.102 -148.3369
20.141602 73.028 -149.7070
20.507812 72.909 -151.0733
20.874023 72.764 -152.1870
21.240234 72.634 -153.0049
21.606445 72.552 -153.7118
21.972656 72.512 -154.5509
22.338867 72.487 -155.6271
22.705078 72.452 -156.8575
23.071289 72.400 -158.0739
23.437500 72.347 -159.1556
23.803711 72.309 -160.0926
24.169922 72.297 -160.9545
24.536133 72.310 -161.8175
24.902344 72.337 -162.7203
25.268555 72.370 -163.6664
25.634766 72.400 -164.6366
26.000977 72.418 -165.5831
26.367188 72.421 -166.4240
26.733398 72.416 -167.0736
27.099609 72.420 -167.5141
27.465820 72.449 -167.8468
27.832031 72.502 -168.2476
28.198242 72.552 -168.8286
28.564453 72.569 -169.5232
28.930664 72.540 -170.1055
29.296875 72.490 -170.3551
29.663086 72.469 -170.2671
30.029297 72.512 -170.1354
30.395508 72.607 -170.3731
30.761719 72.694 -171.1913
31.127930 72.709 -172.4333
31.494141 72.624 -173.6713
31.860352 72.467 -174.4587
32.226562 72.309 -174.6050
32.592773 72.221 -174.3265
32.958984 72.224 -174.1059
33.325195 72.278 -174.3238
33.691406 72.320 -175.0081
34.057617 72.313 -175.8957
34.423828 72.263 -176.6713
34.790039 72.203 -177.1802
35.156250 72.167 -177.4955
35.522461 72.165 -177.8098
35.888672 72.178 -178.2543
36.254883 72.183 -178.8062
36.621094 72.170 -179.3418
36.987305 72.149 -179.7564
37.353516 72.136 179.9541
37.719727 72.139 179.7048
38.085938 72.153 179.4016
38.452148 72.165 179.0127
38.818359 72.163 178.5782
39.184570 72.144 178.1686
39.550781 72.114 177.8350
39.916992 72.082 177.5870
40.283203 72.055 177.3978
40.649414 72.034 177.2234
41.015625 72.020 177.0205
41.381836 72.008 176.7604
41.748047 71.992 176.4404
42.114258 71.968 176.0875
42.480469 71.935 175.7476
42.846680 71.898 175.4572
43.212891 71.866 175.2175
43.579102 71.844 174.9901
43.945312 71.830 174.7256
44.311523 71.818 174.4035
44.677734 71.801 174.0491
45.043945 71.778 173.7133
45.410156 71.755 173.4289
45.776367 71.737 173.1823
46.142578 71.728 172.9261
46.508789 71.719 172.6249
46.875000 71.704 172.2921
47.241211 71.679 171.9847
47.607422 71.649 171.7563
47.973633 71.625 171.6067
48.339844 71.614 171.4721
48.706055 71.613 171.2715
49.072266 71.610 170.9703
49.438477 71.592 170.6096
49.804688 71.558 170.2756
50.170898 71.517 170.0352
50.537109 71.481 169.8867
50.903320 71.459 169.7628
51.269531 71.448 169.5840
51.635742 71.437 169.3203
52.001953 71.415 169.0102
52.368164 71.382 168.7307
52.734375 71.346 168.5411
53.100586 71.318 168.4396
53.466797 71.307 168.3613
53.833008 71.311 168.2175
54.199219 71.318 167.9541
54.565430 71.314 167.5898
54.931641 71.289 167.2109
55.297852 71.247 166.9228
55.664062 71.202 166.7836
56.030273 71.172 166.7589
56.396484 71.162 166.7385
56.762695 71.166 166.6127
57.128906 71.165 166.3528
57.495117 71.146 166.0295
57.861328 71.106 165.7552
58.227539 71.060 165.6001
58.593750 71.021 165.5465
58.959961 70.995 165.5182
59.326172 70.979 165.4527
59.692383 70.964 165.3433
60.058594 70.949 165.2144
60.424805 70.936 165.0704
60.791016 70.925 164.8824
61.157227 70.909 164.6348
61.523438 70.880 164.3719
61.889648 70.841 164.1794
62.255859 70.804 164.1019
62.622070 70.785 164.0781
62.988281 70.784 163.9806
63.354492 70.782 163.7422
63.720703 70.760 163.4391
64.086914 70.719 163.2304
64.453125 70.683 163.1966
64.819336 70.676 163.2300
65.185547 70.695 163.1155
65.551758 70.708 162.7508
65.917969 70.682 162.2768
66.284180 70.616 161.9745
66.650391 70.550 162.0081
67.016602 70.527 162.2388
67.382812 70.554 162.3278
67.749023 70.586 162.0727
68.115234 70.575 161.6175
68.481445 70.517 161.3143
68.847656 70.456 161.3719
69.213867 70.445 161.6086
69.580078 70.484 161.6044
69.946289 70.511 161.1559
70.312500 70.466 160.5310
70.678711 70.353 160.2567
71.044922 70.250 160.6172
71.411133 70.245 161.2733
71.777344 70.337 161.4933
72.143555 70.425 160.8943
72.509766 70.403 159.8414
72.875977 70.258 159.1474
73.242188 70.090 159.3936
73.608398 70.039 160.3033
73.974609 70.143 160.8587
74.340820 70.281 160.3373
74.707031 70.296 159.0428
75.073242 70.138 158.0140
75.439453 69.912 158.1938
75.805664 69.816 159.5069
76.171875 69.949 160.6608
76.538086 70.182 160.4227
76.904297 70.294 158.8709
77.270508 70.168 157.1979
77.636719 69.876 156.7905
78.002930 69.653 158.1365
78.369141 69.708 160.0460
78.735352 69.978 160.6545
79.101562 70.198 159.4116
79.467773 70.166 157.3696
79.833984 69.879 156.1958
80.200195 69.548 157.0291
80.566406 69.472 159.2759
80.932617 69.723 160.7538
81.298828 70.049 160.0172
81.665039 70.155 157.6240
82.031250 69.927 155.3085
82.397461 69.483 154.8807
82.763672 69.153 156.9865
83.129883 69.241 159.9216
83.496094 69.663 160.9844
83.862305 70.053 159.3594
84.228516 70.134 156.2752
84.594727 69.847 153.6863
84.960938 69.357 153.3456
85.327148 69.013 155.6989
85.693359 69.105 158.8620
86.059570 69.530 160.1628
86.425781 69.927 158.8688
86.791992 70.037 156.1505
87.158203 69.804 153.7835
87.524414 69.366 153.3165
87.890625 69.011 155.2305
88.256836 69.004 158.1554
88.623047 69.309 159.8434
88.989258 69.653 159.3382
89.355469 69.798 157.3374
89.721680 69.665 155.2159
90.087891 69.330 154.2553
90.454102 68.989 155.0645
90.820312 68.855 157.0631
91.186523 68.992 158.7559
91.552734 69.266 158.9924
91.918945 69.488 157.7210
92.285156 69.537 155.6589
92.651367 69.389 153.7527
93.017578 69.107 152.8491
93.383789 68.828 153.4013
93.750000 68.717 155.1030
94.116211 68.859 156.8359
94.482422 69.175 157.4010
94.848633 69.476 156.4133
95.214844 69.597 154.4502
95.581055 69.471 152.6638
95.947266 69.171 152.2849
96.313477 68.913 153.8841
96.679688 68.928 156.5190
97.045898 69.215 158.2002
97.412109 69.516 157.8802
97.778320 69.559 156.3128
98.144531 69.246 155.3922
98.510742 68.749 157.2072
98.876953 68.536 162.2911
99.243164 68.997 167.6345
99.609375 69.889 169.3752
99.975586 70.678 166.9495
100.341797 71.041 162.0718
100.708008 70.900 156.8107
101.074219 70.335 153.0354
101.440430 69.590 152.0896
101.806641 69.023 153.8747
102.172852 68.858 156.3155
102.539062 68.952 157.2317
102.905273 69.009 156.3865
103.271484 68.876 154.9899
103.637695 68.603 154.3614
104.003906 68.370 154.9779
104.370117 68.333 156.1084
104.736328 68.474 156.5474
105.102539 68.643 155.8040
105.468750 68.708 154.3289
105.834961 68.640 152.9322
106.201172 68.498 152.2029
106.567383 68.373 152.2209
106.933594 68.318 152.6447
107.299805 68.327 153.0906
107.666016 68.365 153.4187
108.032227 68.413 153.6787
108.398438 68.473 153.8926
108.764648 68.546 153.9617
109.130859 68.612 153.7714
109.497070 68.640 153.3423
109.863281 68.608 152.8582
110.229492 68.520 152.5595
110.595703 68.406 152.6047
110.961914 68.302 152.9928
111.328125 68.236 153.5855
111.694336 68.219 154.1899
112.060547 68.245 154.6298
112.426758 68.297 154.7785
112.792969 68.353 154.5807
113.159180 68.386 154.0767
113.525391 68.377 153.4051
113.891602 68.324 152.7584
114.257812 68.239 152.3015
114.624023 68.148 152.1010
114.990234 68.070 152.1149
115.356445 68.013 152.2548
115.722656 67.975 152.4651
116.088867 67.952 152.7451
116.455078 67.951 153.0980
116.821289 67.981 153.4651
117.187500 68.042 153.7194
117.553711 68.121 153.7321
117.919922 68.190 153.4573
118.286133 68.225 152.9642
118.652344 68.212 152.4030
119.018555 68.153 151.9393
119.384766 68.062 151.6967
119.750977 67.960 151.7268
120.117188 67.868 152.0106
120.483398 67.801 152.4775
120.849609 67.771 153.0260
121.215820 67.780 153.5374
121.582031 67.823 153.8906
121.948242 67.888 153.9860
122.314453 67.954 153.7764
122.680664 68.000 153.2896
123.046875 68.007 152.6284
123.413086 67.967 151.9457
123.779297 67.886 151.4009
124.145508 67.778 151.1152
124.511719 67.666 151.1393
124.877930 67.571 151.4478
125.244141 67.508 151.9586
125.610352 67.486 152.5638
125.976562 67.505 153.1516
126.342773 67.559 153.6166
126.708984 67.638 153.8700
127.075195 67.725 153.8571
127.441406 67.801 153.5761
127.807617 67.850 153.0828
128.173828 67.860 152.4764
128.540039 67.829 151.8735
128.906250 67.762 151.3801
129.272461 67.671 151.0717
129.638672 67.569 150.9844
130.004883 67.471 151.1139
130.371094 67.388 151.4225
130.737305 67.330 151.8506
131.103516 67.298 152.3318
131.469727 67.294 152.8039
131.835938 67.315 153.2144
132.202148 67.357 153.5187
132.568359 67.414 153.6778
132.934570 67.479 153.6620
133.300781 67.542 153.4609
133.666992 67.592 153.0912
134.033203 67.622 152.5967
134.399414 67.624 152.0395
134.765625 67.600 151.4864
135.131836 67.550 150.9967
135.498047 67.480 150.6161
135.864258 67.397 150.3749
136.230469 67.306 150.2898
136.596680 67.215 150.3666
136.962891 67.130 150.6015
137.329102 67.059 150.9808
137.695312 67.007 151.4761
138.061523 66.983 152.0398
138.427734 66.988 152.6053
138.793945 67.021 153.0972
139.160156 67.076 153.4500
139.526367 67.143 153.6249
139.892578 67.211 153.6169
140.258789 67.271 153.4480
140.625000 67.316 153.1555
140.991211 67.345 152.7803
141.357422 67.355 152.3610
141.723633 67.347 151.9309
142.089844 67.323 151.5173
142.456055 67.283 151.1403
142.822266 67.231 150.8151
143.188477 67.167 150.5573
143.554688 67.092 150.3874
143.920898 67.011 150.3306
144.287109 66.928 150.4071
144.653320 66.852 150.6191
145.019531 66.790 150.9424
145.385742 66.746 151.3308
145.751953 66.721 151.7326
146.118164 66.713 152.1084
146.484375 66.716 152.4397
146.850586 66.727 152.7264
147.216797 66.744 152.9776
147.583008 66.767 153.2013
147.949219 66.797 153.3977
148.315430 66.835 153.5551
148.681641 66.882 153.6494
149.047852 66.935 153.6497
149.414062 66.990 153.5305
149.780273 67.038 153.2873
150.146484 67.071 152.9446
150.512695 67.086 152.5515
