* Measurement data measured by REW V5.31.1
* Source: Mikrofon (US-2x2 HR), MICROPHONE (Hauptlautstärke), L, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 25.05.2024 21:44:05
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Vader DDDD
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 80.910 -138.5281
20.299999 80.958 -139.0159
20.600000 81.005 -139.4819
20.900000 81.054 -139.9294
21.200001 81.104 -140.3673
21.400000 81.138 -140.6598
21.799999 81.207 -141.2590
22.000000 81.241 -141.5683
22.400000 81.304 -142.1999
22.700001 81.347 -142.6718
23.000000 81.386 -143.1280
23.299999 81.422 -143.5607
23.600000 81.459 -143.9695
24.000000 81.511 -144.4917
24.299999 81.553 -144.8815
24.700001 81.609 -145.4164
25.000000 81.651 -145.8313
25.400000 81.703 -146.3927
25.799999 81.750 -146.9450
26.200001 81.795 -147.4741
26.500000 81.829 -147.8550
26.900000 81.874 -148.3489
27.200001 81.909 -148.7151
27.600000 81.956 -149.2031
28.000000 82.002 -149.6902
28.500000 82.058 -150.2915
29.000000 82.112 -150.8802
29.500000 82.164 -151.4602
30.000000 82.216 -152.0360
30.400000 82.255 -152.4927
30.700001 82.283 -152.8312
31.100000 82.320 -153.2758
31.500000 82.357 -153.7142
32.000000 82.402 -154.2602
32.500000 82.447 -154.8122
33.000000 82.490 -155.3735
33.500000 82.529 -155.9397
34.000000 82.566 -156.5010
34.500000 82.599 -157.0475
35.000000 82.632 -157.5740
35.500000 82.666 -158.0844
36.000000 82.701 -158.5900
36.500000 82.737 -159.1023
37.000000 82.771 -159.6229
37.500000 82.803 -160.1431
38.200001 82.842 -160.8490
38.700001 82.869 -161.3328
39.500000 82.914 -162.0907
40.000000 82.941 -162.5699
40.599998 82.973 -163.1600
41.200001 83.001 -163.7604
41.799999 83.024 -164.3533
42.500000 83.050 -165.0208
43.099998 83.073 -165.5794
43.700001 83.098 -166.1358
44.400002 83.130 -166.7829
45.000000 83.158 -167.3383
45.500000 83.182 -167.8040
46.200001 83.213 -168.4455
46.799999 83.239 -168.9678
47.500000 83.273 -169.5717
48.200001 83.306 -170.2251
48.700001 83.319 -170.7090
49.400002 83.322 -171.3305
50.000000 83.322 -171.7748
50.799999 83.329 -172.3151
51.500000 83.340 -172.8228
52.200001 83.348 -173.3668
53.000000 83.351 -174.0018
53.799999 83.354 -174.6473
54.500000 83.355 -175.2197
55.200001 83.355 -175.7920
56.000000 83.356 -176.4388
57.000000 83.357 -177.2245
58.000000 83.359 -177.9803
59.000000 83.361 -178.7101
60.000000 83.362 -179.4215
60.799999 83.361 -179.9895
61.500000 83.358 179.5089
62.200001 83.353 179.0058
63.000000 83.344 178.4360
64.000000 83.330 177.7380
65.000000 83.317 177.0527
66.000000 83.304 176.3749
67.000000 83.291 175.7037
68.000000 83.277 175.0432
69.000000 83.260 174.3983
70.000000 83.242 173.7705
71.000000 83.221 173.1537
72.000000 83.198 172.5443
73.000000 83.173 171.9437
74.000000 83.147 171.3465
75.000000 83.119 170.7501
76.199997 83.084 170.0391
77.500000 83.044 169.2863
78.800003 83.004 168.5583
80.000000 82.966 167.9127
81.199997 82.929 167.2941
82.500000 82.888 166.6389
83.800003 82.846 165.9882
85.000000 82.804 165.3878
86.199997 82.759 164.7915
87.500000 82.709 164.1536
88.500000 82.671 163.6717
90.000000 82.612 162.9702
91.199997 82.564 162.4374
92.500000 82.511 161.8913
93.800003 82.457 161.3639
95.000000 82.405 160.8789
96.199997 82.352 160.3864
97.500000 82.294 159.8409
98.800003 82.234 159.2872
100.000000 82.178 158.7849
101.500000 82.106 158.1987
103.000000 82.036 157.6563
104.400002 81.970 157.1720
106.000000 81.893 156.6293
107.500000 81.818 156.1284
109.000000 81.742 155.6368
110.599998 81.662 155.1241
112.000000 81.592 154.6909
113.800003 81.503 154.1616
115.000000 81.444 153.8235
117.199997 81.333 153.2270
118.000000 81.292 153.0195
120.599998 81.156 152.3822
122.000000 81.083 152.0495
124.099998 80.972 151.5583
125.000000 80.925 151.3536
126.500000 80.845 151.0241
128.000000 80.766 150.7115
131.500000 80.581 150.0482
132.000000 80.555 149.9595
134.000000 80.450 149.6163
136.000000 80.344 149.2932
138.000000 80.239 148.9906
140.000000 80.134 148.7034
143.000000 79.977 148.3005
145.000000 79.873 148.0588
147.500000 79.744 147.7939
150.000000 79.615 147.5701
152.500000 79.487 147.3733
155.000000 79.360 147.1953
157.500000 79.235 147.0395
160.000000 79.112 146.9085
162.500000 78.990 146.8040
165.000000 78.869 146.7197
167.500000 78.750 146.6545
170.000000 78.632 146.6119
172.500000 78.515 146.5979
175.000000 78.399 146.6127
177.500000 78.285 146.6465
180.000000 78.173 146.6951
182.500000 78.064 146.7594
185.000000 77.957 146.8371
187.500000 77.852 146.9274
190.000000 77.750 147.0350
192.500000 77.651 147.1623
195.000000 77.554 147.3066
197.500000 77.458 147.4658
200.000000 77.364 147.6404
203.000000 77.255 147.8670
206.000000 77.150 148.1124
209.000000 77.047 148.3746
212.000000 76.947 148.6393
214.000000 76.881 148.8156
218.000000 76.753 149.1810
220.000000 76.691 149.3717
224.000000 76.573 149.7650
227.000000 76.488 150.0702
230.000000 76.406 150.3862
233.000000 76.326 150.7102
236.000000 76.250 151.0389
240.000000 76.153 151.4887
243.000000 76.081 151.8401
247.000000 75.987 152.3314
250.000000 75.920 152.6971
254.000000 75.836 153.1422
258.000000 75.762 153.5754
262.000000 75.693 154.0336
265.000000 75.643 154.3787
269.000000 75.577 154.8284
272.000000 75.530 155.1640
276.000000 75.471 155.6231
280.000000 75.415 156.0933
285.000000 75.348 156.6719
290.000000 75.285 157.2269
295.000000 75.225 157.7620
300.000000 75.169 158.2918
304.000000 75.128 158.7128
307.000000 75.098 159.0247
311.000000 75.060 159.4324
315.000000 75.024 159.8303
320.000000 74.980 160.3200
325.000000 74.940 160.8032
330.000000 74.902 161.2758
335.000000 74.866 161.7401
340.000000 74.831 162.2012
345.000000 74.798 162.6624
350.000000 74.767 163.1195
355.000000 74.738 163.5640
360.000000 74.711 164.0015
365.000000 74.687 164.4338
370.000000 74.664 164.8578
375.000000 74.642 165.2739
382.000000 74.617 165.8500
387.000000 74.601 166.2607
395.000000 74.581 166.9097
400.000000 74.571 167.2936
406.000000 74.562 167.7139
412.000000 74.553 168.0954
418.000000 74.542 168.4536
425.000000 74.527 168.8600
431.000000 74.513 169.2076
437.000000 74.499 169.5570
444.000000 74.482 169.9633
450.000000 74.468 170.3102
455.000000 74.456 170.5997
462.000000 74.440 171.0046
468.000000 74.426 171.3495
475.000000 74.412 171.7484
482.000000 74.398 172.1437
487.000000 74.388 172.4241
494.000000 74.376 172.8158
500.000000 74.365 173.1500
508.000000 74.352 173.5944
515.000000 74.341 173.9832
522.000000 74.330 174.3690
530.000000 74.320 174.8030
538.000000 74.310 175.2295
545.000000 74.301 175.5977
552.000000 74.294 175.9663
560.000000 74.285 176.3922
570.000000 74.275 176.9301
580.000000 74.267 177.4659
590.000000 74.260 177.9946
600.000000 74.255 178.5200
608.000000 74.252 178.9428
615.000000 74.250 179.3146
622.000000 74.248 179.6870
630.000000 74.246 -179.8865
640.000000 74.246 -179.3528
650.000000 74.247 -178.8203
660.000000 74.250 -178.2892
670.000000 74.254 -177.7557
680.000000 74.260 -177.2165
690.000000 74.268 -176.6721
700.000000 74.278 -176.1260
710.000000 74.290 -175.5798
720.000000 74.304 -175.0342
730.000000 74.321 -174.4933
740.000000 74.341 -173.9584
750.000000 74.365 -173.4277
762.000000 74.397 -172.7966
775.000000 74.438 -172.1310
788.000000 74.487 -171.5083
800.000000 74.537 -171.0051
812.000000 74.587 -170.6199
825.000000 74.622 -170.3714
838.000000 74.609 -170.1764
850.000000 74.554 -169.7065
862.000000 74.508 -168.7288
875.000000 74.530 -167.4138
885.000000 74.592 -166.5421
900.000000 74.704 -165.6100
912.000000 74.780 -165.0678
925.000000 74.843 -164.5008
938.000000 74.896 -163.8361
950.000000 74.954 -163.1326
962.000000 75.024 -162.4082
975.000000 75.115 -161.6651
988.000000 75.214 -160.9887
1000.000000 75.310 -160.4194
1015.000000 75.435 -159.7707
1030.000000 75.565 -159.1861
1044.000000 75.687 -158.6956
1060.000000 75.828 -158.1985
1075.000000 75.960 -157.7928
1090.000000 76.091 -157.4396
1106.000000 76.230 -157.1149
1120.000000 76.351 -156.8734
1138.000000 76.503 -156.6190
1150.000000 76.602 -156.4829
1172.000000 76.780 -156.2933
1180.000000 76.843 -156.2406
1206.000000 77.040 -156.1211
1220.000000 77.142 -156.0859
1241.000000 77.290 -156.0673
1250.000000 77.351 -156.0702
1265.000000 77.450 -156.0859
1280.000000 77.545 -156.1121
1315.000000 77.756 -156.2050
1320.000000 77.784 -156.2212
1340.000000 77.897 -156.2920
1360.000000 78.004 -156.3702
1380.000000 78.108 -156.4512
1400.000000 78.208 -156.5314
1430.000000 78.352 -156.6467
1450.000000 78.445 -156.7195
1475.000000 78.558 -156.8054
1500.000000 78.667 -156.8844
1525.000000 78.775 -156.9557
1550.000000 78.881 -157.0200
1575.000000 78.986 -157.0773
1600.000000 79.090 -157.1297
1625.000000 79.194 -157.1789
1650.000000 79.297 -157.2270
1675.000000 79.401 -157.2741
1700.000000 79.505 -157.3213
1725.000000 79.610 -157.3702
1750.000000 79.716 -157.4221
1775.000000 79.823 -157.4791
1800.000000 79.930 -157.5431
1825.000000 80.038 -157.6144
1850.000000 80.146 -157.6942
1875.000000 80.256 -157.7842
1900.000000 80.367 -157.8853
1925.000000 80.478 -157.9985
1950.000000 80.591 -158.1260
1975.000000 80.704 -158.2701
2000.000000 80.819 -158.4314
2030.000000 80.956 -158.6476
2060.000000 81.094 -158.8900
2090.000000 81.233 -159.1622
2120.000000 81.372 -159.4683
2140.000000 81.465 -159.6920
2180.000000 81.650 -160.1870
2200.000000 81.742 -160.4586
2240.000000 81.925 -161.0511
2270.000000 82.059 -161.5418
2300.000000 82.191 -162.0730
2330.000000 82.320 -162.6444
2360.000000 82.446 -163.2567
2400.000000 82.607 -164.1349
2430.000000 82.721 -164.8369
2470.000000 82.865 -165.8265
2500.000000 82.966 -166.6049
2540.000000 83.090 -167.6838
2580.000000 83.202 -168.8027
2620.000000 83.301 -169.9539
2650.000000 83.367 -170.8335
2690.000000 83.442 -172.0211
2720.000000 83.490 -172.9184
2760.000000 83.543 -174.1176
2800.000000 83.583 -175.3142
2850.000000 83.614 -176.7966
2900.000000 83.626 -178.2525
2950.000000 83.619 -179.6673
3000.000000 83.595 178.9727
3040.000000 83.563 177.9307
3070.000000 83.533 177.1784
3110.000000 83.486 176.2168
3150.000000 83.431 175.3052
3200.000000 83.352 174.2387
3250.000000 83.263 173.2560
3300.000000 83.166 172.3607
3350.000000 83.063 171.5539
3400.000000 82.955 170.8338
3450.000000 82.843 170.1978
3500.000000 82.729 169.6431
3550.000000 82.614 169.1653
3600.000000 82.499 168.7609
3650.000000 82.385 168.4264
3700.000000 82.272 168.1556
3750.000000 82.162 167.9417
3820.000000 82.013 167.7292
3870.000000 81.910 167.6343
3950.000000 81.755 167.5643
4000.000000 81.665 167.5620
4060.000000 81.562 167.5894
4120.000000 81.466 167.6346
4180.000000 81.375 167.6858
4250.000000 81.273 167.7488
4310.000000 81.189 167.8066
4370.000000 81.107 167.8677
4440.000000 81.014 167.9419
4500.000000 80.935 168.0058
4550.000000 80.871 168.0565
4620.000000 80.781 168.1204
4680.000000 80.705 168.1677
4750.000000 80.616 168.2137
4820.000000 80.526 168.2485
4870.000000 80.460 168.2665
4940.000000 80.366 168.2841
5000.000000 80.282 168.2949
5080.000000 80.165 168.3102
5150.000000 80.058 168.3303
5220.000000 79.947 168.3611
5300.000000 79.813 168.4151
5380.000000 79.674 168.4973
5450.000000 79.546 168.5968
5520.000000 79.415 168.7259
5600.000000 79.259 168.9186
5700.000000 79.060 169.2458
5800.000000 78.855 169.6829
5900.000000 78.648 170.2376
