* Measurement data measured by REW V5.31.1
* Source: Mikrofon (US-2x2 HR), MICROPHONE (Hauptlautstärke), L, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 25.05.2024 21:46:53
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Vader DDDU
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 80.790 -138.4402
20.299999 80.845 -138.8850
20.600000 80.902 -139.3369
20.900000 80.959 -139.8049
21.200001 81.013 -140.2886
21.400000 81.046 -140.6149
21.799999 81.105 -141.2581
22.000000 81.132 -141.5671
22.400000 81.184 -142.1505
22.700001 81.222 -142.5616
23.000000 81.262 -142.9608
23.299999 81.304 -143.3597
23.600000 81.345 -143.7655
24.000000 81.398 -144.3174
24.299999 81.436 -144.7318
24.700001 81.483 -145.2713
25.000000 81.517 -145.6623
25.400000 81.564 -146.1708
25.799999 81.612 -146.6776
26.200001 81.660 -147.1926
26.500000 81.695 -147.5826
26.900000 81.738 -148.0981
27.200001 81.769 -148.4741
27.600000 81.810 -148.9569
28.000000 81.851 -149.4241
28.500000 81.905 -150.0043
29.000000 81.959 -150.5945
29.500000 82.009 -151.1887
30.000000 82.054 -151.7686
30.400000 82.090 -152.2149
30.700001 82.116 -152.5406
31.100000 82.152 -152.9687
31.500000 82.187 -153.3954
32.000000 82.230 -153.9284
32.500000 82.270 -154.4530
33.000000 82.308 -154.9595
33.500000 82.347 -155.4489
34.000000 82.387 -155.9338
34.500000 82.427 -156.4286
35.000000 82.466 -156.9389
35.500000 82.501 -157.4599
36.000000 82.533 -157.9823
36.500000 82.563 -158.4996
37.000000 82.591 -159.0104
37.500000 82.618 -159.5163
38.200001 82.655 -160.2174
38.700001 82.681 -160.7134
39.500000 82.724 -161.5021
40.000000 82.750 -161.9911
40.599998 82.780 -162.5631
41.200001 82.809 -163.1091
41.799999 82.840 -163.6368
42.500000 82.877 -164.2539
43.099998 82.903 -164.7839
43.700001 82.924 -165.2972
44.400002 82.945 -165.8724
45.000000 82.960 -166.3617
45.500000 82.969 -166.7724
46.200001 82.977 -167.3535
46.799999 82.979 -167.8647
47.500000 82.973 -168.4579
48.200001 82.960 -168.9730
48.700001 82.958 -169.2771
49.400002 82.977 -169.7013
50.000000 83.009 -170.1657
50.799999 83.046 -170.9406
51.500000 83.062 -171.6428
52.200001 83.074 -172.2910
53.000000 83.086 -172.9774
53.799999 83.097 -173.6243
54.500000 83.105 -174.1639
55.200001 83.112 -174.6898
56.000000 83.115 -175.2766
57.000000 83.113 -175.9856
58.000000 83.110 -176.6913
59.000000 83.103 -177.4082
60.000000 83.093 -178.1222
60.799999 83.085 -178.6867
61.500000 83.077 -179.1751
62.200001 83.069 -179.6567
63.000000 83.060 179.8017
64.000000 83.045 179.1356
65.000000 83.027 178.4893
66.000000 83.007 177.8677
67.000000 82.985 177.2585
68.000000 82.963 176.6526
69.000000 82.939 176.0504
70.000000 82.915 175.4577
71.000000 82.890 174.8766
72.000000 82.865 174.3002
73.000000 82.838 173.7255
74.000000 82.808 173.1615
75.000000 82.776 172.6149
76.199997 82.736 171.9722
77.500000 82.692 171.2862
78.800003 82.646 170.6188
80.000000 82.604 170.0135
81.199997 82.559 169.4229
82.500000 82.507 168.8104
83.800003 82.453 168.2179
85.000000 82.403 167.6782
86.199997 82.351 167.1407
87.500000 82.292 166.5704
88.500000 82.247 166.1470
90.000000 82.178 165.5364
91.199997 82.122 165.0672
92.500000 82.059 164.5772
93.800003 81.995 164.0958
95.000000 81.934 163.6473
96.199997 81.870 163.1972
97.500000 81.799 162.7279
98.800003 81.727 162.2995
100.000000 81.664 161.9382
101.500000 81.590 161.5056
103.000000 81.515 161.0790
104.400002 81.442 160.6847
106.000000 81.356 160.2381
107.500000 81.273 159.8272
109.000000 81.189 159.4375
110.599998 81.099 159.0582
112.000000 81.020 158.7482
113.800003 80.916 158.3627
115.000000 80.845 158.1155
117.199997 80.712 157.6974
118.000000 80.665 157.5590
120.599998 80.518 157.1447
122.000000 80.441 156.9372
124.099998 80.323 156.6439
125.000000 80.271 156.5265
126.500000 80.183 156.3436
128.000000 80.095 156.1770
131.500000 79.892 155.8615
132.000000 79.863 155.8244
134.000000 79.748 155.6938
136.000000 79.635 155.5909
138.000000 79.522 155.5158
140.000000 79.411 155.4680
143.000000 79.244 155.4396
145.000000 79.132 155.4462
147.500000 78.993 155.4916
150.000000 78.857 155.5840
152.500000 78.724 155.7043
155.000000 78.593 155.8441
157.500000 78.467 156.0150
160.000000 78.345 156.2259
162.500000 78.226 156.4820
165.000000 78.111 156.7668
167.500000 78.000 157.0648
170.000000 77.894 157.3742
172.500000 77.789 157.7029
175.000000 77.685 158.0600
177.500000 77.587 158.4431
180.000000 77.493 158.8477
182.500000 77.403 159.2719
185.000000 77.315 159.7138
187.500000 77.231 160.1700
190.000000 77.151 160.6336
192.500000 77.076 161.1038
195.000000 77.006 161.5845
197.500000 76.941 162.0737
200.000000 76.881 162.5687
203.000000 76.812 163.1791
206.000000 76.742 163.8026
209.000000 76.674 164.4241
212.000000 76.618 165.0366
214.000000 76.588 165.4337
218.000000 76.537 166.2143
220.000000 76.514 166.6074
224.000000 76.471 167.4035
227.000000 76.442 167.9945
230.000000 76.417 168.5679
233.000000 76.396 169.1263
236.000000 76.377 169.6782
240.000000 76.359 170.3974
243.000000 76.353 170.9012
247.000000 76.353 171.5290
250.000000 76.358 172.0048
254.000000 76.360 172.6926
258.000000 76.356 173.3696
262.000000 76.350 173.9711
265.000000 76.350 174.4000
269.000000 76.355 174.9652
272.000000 76.362 175.3747
276.000000 76.374 175.8821
280.000000 76.388 176.3545
285.000000 76.408 176.9179
290.000000 76.429 177.4645
295.000000 76.450 177.9831
300.000000 76.471 178.4835
304.000000 76.491 178.8724
307.000000 76.507 179.1572
311.000000 76.529 179.5352
315.000000 76.553 179.9111
320.000000 76.584 -179.6320
325.000000 76.619 -179.1969
330.000000 76.660 -178.7950
335.000000 76.703 -178.4430
340.000000 76.747 -178.1467
345.000000 76.789 -177.8970
350.000000 76.826 -177.6840
355.000000 76.859 -177.4976
360.000000 76.889 -177.3229
365.000000 76.916 -177.1510
370.000000 76.940 -176.9808
375.000000 76.962 -176.8129
382.000000 76.990 -176.5854
387.000000 77.010 -176.4286
395.000000 77.040 -176.1813
400.000000 77.057 -176.0287
406.000000 77.077 -175.8516
412.000000 77.096 -175.6782
418.000000 77.114 -175.5060
425.000000 77.134 -175.3090
431.000000 77.150 -175.1458
437.000000 77.165 -174.9862
444.000000 77.182 -174.8016
450.000000 77.196 -174.6444
455.000000 77.206 -174.5147
462.000000 77.221 -174.3352
468.000000 77.232 -174.1827
475.000000 77.244 -174.0040
482.000000 77.256 -173.8254
487.000000 77.263 -173.6992
494.000000 77.274 -173.5232
500.000000 77.282 -173.3712
508.000000 77.292 -173.1646
515.000000 77.301 -172.9813
522.000000 77.308 -172.7965
530.000000 77.317 -172.5817
538.000000 77.325 -172.3626
545.000000 77.332 -172.1680
552.000000 77.339 -171.9711
560.000000 77.347 -171.7428
570.000000 77.356 -171.4520
580.000000 77.365 -171.1556
590.000000 77.373 -170.8562
600.000000 77.382 -170.5502
608.000000 77.389 -170.2982
615.000000 77.395 -170.0730
622.000000 77.402 -169.8446
630.000000 77.410 -169.5803
640.000000 77.420 -169.2435
650.000000 77.432 -168.8976
660.000000 77.444 -168.5419
670.000000 77.456 -168.1782
680.000000 77.471 -167.8088
690.000000 77.486 -167.4349
700.000000 77.503 -167.0574
710.000000 77.522 -166.6757
720.000000 77.542 -166.2894
730.000000 77.565 -165.8999
740.000000 77.590 -165.5076
750.000000 77.617 -165.1142
762.000000 77.653 -164.6448
775.000000 77.699 -164.1461
788.000000 77.752 -163.6758
800.000000 77.807 -163.3034
812.000000 77.864 -163.0445
825.000000 77.911 -162.9480
838.000000 77.912 -162.9726
850.000000 77.858 -162.7871
862.000000 77.792 -162.0536
875.000000 77.789 -160.8186
885.000000 77.843 -159.9387
900.000000 77.959 -159.0373
912.000000 78.043 -158.5858
925.000000 78.106 -158.1549
938.000000 78.154 -157.6088
950.000000 78.204 -156.9629
962.000000 78.271 -156.2543
975.000000 78.366 -155.5185
988.000000 78.475 -154.8735
1000.000000 78.581 -154.3635
1015.000000 78.716 -153.8206
1030.000000 78.852 -153.3583
1044.000000 78.978 -152.9849
1060.000000 79.121 -152.6174
1075.000000 79.254 -152.3238
1090.000000 79.385 -152.0742
1106.000000 79.523 -151.8521
1120.000000 79.641 -151.6934
1138.000000 79.791 -151.5351
1150.000000 79.889 -151.4572
1172.000000 80.065 -151.3689
1180.000000 80.128 -151.3528
1206.000000 80.324 -151.3505
1220.000000 80.426 -151.3761
1241.000000 80.572 -151.4435
1250.000000 80.633 -151.4819
1265.000000 80.732 -151.5564
1280.000000 80.827 -151.6418
1315.000000 81.038 -151.8701
1320.000000 81.067 -151.9053
1340.000000 81.178 -152.0495
1360.000000 81.285 -152.1959
1380.000000 81.388 -152.3415
1400.000000 81.487 -152.4857
1430.000000 81.630 -152.6961
1450.000000 81.721 -152.8294
1475.000000 81.833 -152.9874
1500.000000 81.942 -153.1367
1525.000000 82.048 -153.2775
1550.000000 82.153 -153.4096
1575.000000 82.256 -153.5333
1600.000000 82.359 -153.6508
1625.000000 82.462 -153.7631
1650.000000 82.564 -153.8707
1675.000000 82.666 -153.9761
1700.000000 82.768 -154.0804
1725.000000 82.871 -154.1851
1750.000000 82.974 -154.2923
1775.000000 83.078 -154.4038
1800.000000 83.183 -154.5195
1825.000000 83.289 -154.6406
1850.000000 83.395 -154.7690
1875.000000 83.502 -154.9050
1900.000000 83.609 -155.0502
1925.000000 83.718 -155.2061
1950.000000 83.827 -155.3744
1975.000000 83.936 -155.5566
2000.000000 84.047 -155.7539
2030.000000 84.180 -156.0122
2060.000000 84.313 -156.2962
2090.000000 84.447 -156.6075
2120.000000 84.581 -156.9488
2140.000000 84.670 -157.1940
2180.000000 84.847 -157.7278
2200.000000 84.935 -158.0166
2240.000000 85.109 -158.6399
2270.000000 85.237 -159.1498
2300.000000 85.363 -159.6972
2330.000000 85.485 -160.2814
2360.000000 85.603 -160.9007
2400.000000 85.755 -161.7790
2430.000000 85.862 -162.4751
2470.000000 85.997 -163.4493
2500.000000 86.091 -164.2105
2540.000000 86.207 -165.2596
2580.000000 86.311 -166.3405
2620.000000 86.403 -167.4457
2650.000000 86.464 -168.2860
2690.000000 86.535 -169.4163
2720.000000 86.580 -170.2685
2760.000000 86.629 -171.4056
2800.000000 86.667 -172.5371
2850.000000 86.697 -173.9333
2900.000000 86.710 -175.2973
2950.000000 86.706 -176.6183
3000.000000 86.687 -177.8890
3040.000000 86.661 -178.8649
3070.000000 86.636 -179.5708
3110.000000 86.596 179.5251
3150.000000 86.548 178.6669
3200.000000 86.479 177.6624
3250.000000 86.401 176.7369
3300.000000 86.314 175.8936
3350.000000 86.222 175.1348
3400.000000 86.125 174.4622
3450.000000 86.024 173.8768
3500.000000 85.922 173.3775
3550.000000 85.821 172.9611
3600.000000 85.722 172.6215
3650.000000 85.628 172.3466
3700.000000 85.540 172.1171
3750.000000 85.457 171.9134
3820.000000 85.345 171.6519
3870.000000 85.266 171.4833
3950.000000 85.139 171.2628
4000.000000 85.061 171.1619
4060.000000 84.969 171.0768
4120.000000 84.881 171.0248
4180.000000 84.796 170.9984
4250.000000 84.702 170.9902
4310.000000 84.625 170.9938
4370.000000 84.551 171.0011
4440.000000 84.467 171.0087
4500.000000 84.398 171.0103
4550.000000 84.340 171.0063
4620.000000 84.260 170.9906
4680.000000 84.192 170.9659
4750.000000 84.110 170.9218
4820.000000 84.027 170.8604
4870.000000 83.965 170.8065
4940.000000 83.875 170.7194
5000.000000 83.793 170.6375
5080.000000 83.676 170.5278
5150.000000 83.566 170.4423
5220.000000 83.447 170.3808
5300.000000 83.302 170.3594
5380.000000 83.151 170.4064
5450.000000 83.014 170.5073
5520.000000 82.877 170.6596
5600.000000 82.718 170.8898
