* Measurement data measured by REW V5.31.1
* Source: Mikrofon (US-2x2 HR), MICROPHONE (Hauptlautstärke), L, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 25.05.2024 21:47:33
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Vader DDUD
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 80.808 -138.5123
20.299999 80.857 -139.0161
20.600000 80.904 -139.4967
20.900000 80.952 -139.9558
21.200001 81.000 -140.4012
21.400000 81.033 -140.6954
21.799999 81.099 -141.2887
22.000000 81.132 -141.5899
22.400000 81.195 -142.1980
22.700001 81.238 -142.6517
23.000000 81.280 -143.0968
23.299999 81.320 -143.5311
23.600000 81.359 -143.9561
24.000000 81.409 -144.5131
24.299999 81.446 -144.9239
24.700001 81.493 -145.4555
25.000000 81.527 -145.8358
25.400000 81.574 -146.3177
25.799999 81.625 -146.7876
26.200001 81.681 -147.2759
26.500000 81.724 -147.6687
26.900000 81.777 -148.2276
27.200001 81.811 -148.6595
27.600000 81.849 -149.2225
28.000000 81.881 -149.7456
28.500000 81.921 -150.3375
29.000000 81.964 -150.8914
29.500000 82.010 -151.4395
30.000000 82.056 -151.9853
30.400000 82.092 -152.4149
30.700001 82.120 -152.7337
31.100000 82.158 -153.1604
31.500000 82.195 -153.5957
32.000000 82.240 -154.1523
32.500000 82.281 -154.7108
33.000000 82.318 -155.2573
33.500000 82.353 -155.7857
34.000000 82.387 -156.2944
34.500000 82.421 -156.7857
35.000000 82.458 -157.2707
35.500000 82.496 -157.7664
36.000000 82.534 -158.2810
36.500000 82.568 -158.8064
37.000000 82.600 -159.3312
37.500000 82.631 -159.8566
38.200001 82.670 -160.6056
38.700001 82.693 -161.1370
39.500000 82.724 -161.9241
40.000000 82.748 -162.3795
40.599998 82.781 -162.9332
41.200001 82.816 -163.5184
41.799999 82.845 -164.1148
42.500000 82.876 -164.7885
43.099998 82.902 -165.3460
43.700001 82.927 -165.8909
44.400002 82.954 -166.5012
45.000000 82.978 -167.0022
45.500000 82.999 -167.4166
46.200001 83.027 -168.0027
46.799999 83.047 -168.4939
47.500000 83.071 -169.0397
48.200001 83.100 -169.6051
48.700001 83.121 -170.0574
49.400002 83.138 -170.7460
50.000000 83.139 -171.3273
50.799999 83.131 -172.0163
51.500000 83.125 -172.5503
52.200001 83.123 -173.0535
53.000000 83.127 -173.6168
53.799999 83.135 -174.1996
54.500000 83.141 -174.7324
55.200001 83.144 -175.2608
56.000000 83.146 -175.8407
57.000000 83.151 -176.5576
58.000000 83.154 -177.2960
59.000000 83.151 -178.0495
60.000000 83.143 -178.7942
60.799999 83.135 -179.3750
61.500000 83.129 -179.8794
62.200001 83.123 179.6110
63.000000 83.116 179.0198
64.000000 83.100 178.2961
65.000000 83.081 177.6384
66.000000 83.065 177.0402
67.000000 83.054 176.4532
68.000000 83.040 175.8462
69.000000 83.020 175.2308
70.000000 82.995 174.6295
71.000000 82.969 174.0262
72.000000 82.940 173.4183
73.000000 82.910 172.8244
74.000000 82.883 172.2383
75.000000 82.856 171.6558
76.199997 82.821 170.9829
77.500000 82.784 170.2891
78.800003 82.745 169.6198
80.000000 82.709 168.9894
81.199997 82.668 168.3398
82.500000 82.617 167.6599
83.800003 82.566 167.0121
85.000000 82.520 166.4346
86.199997 82.474 165.8707
87.500000 82.421 165.2770
88.500000 82.378 164.8373
90.000000 82.311 164.1945
91.199997 82.257 163.6824
92.500000 82.198 163.1289
93.800003 82.138 162.5827
95.000000 82.083 162.0972
96.199997 82.027 161.6413
97.500000 81.967 161.1710
98.800003 81.905 160.7151
100.000000 81.847 160.3024
101.500000 81.771 159.7810
103.000000 81.693 159.2692
104.400002 81.620 158.8101
106.000000 81.540 158.2910
107.500000 81.464 157.8167
109.000000 81.386 157.3817
110.599998 81.303 156.9564
112.000000 81.229 156.6021
113.800003 81.134 156.1660
115.000000 81.070 155.8881
117.199997 80.955 155.3857
118.000000 80.914 155.1958
120.599998 80.774 154.5813
122.000000 80.694 154.2859
124.099998 80.575 153.8942
125.000000 80.524 153.7380
126.500000 80.440 153.4898
128.000000 80.356 153.2593
131.500000 80.165 152.7764
132.000000 80.138 152.7101
134.000000 80.027 152.4540
136.000000 79.915 152.2191
138.000000 79.803 152.0106
140.000000 79.693 151.8317
143.000000 79.535 151.6219
145.000000 79.430 151.5182
147.500000 79.299 151.4141
150.000000 79.169 151.3170
152.500000 79.040 151.2214
155.000000 78.912 151.1572
157.500000 78.787 151.1604
160.000000 78.665 151.2188
162.500000 78.543 151.2892
165.000000 78.421 151.3537
167.500000 78.302 151.4257
170.000000 78.189 151.5247
172.500000 78.079 151.6675
175.000000 77.970 151.8424
177.500000 77.862 152.0326
180.000000 77.756 152.2374
182.500000 77.655 152.4662
185.000000 77.558 152.7169
187.500000 77.463 152.9808
190.000000 77.370 153.2547
192.500000 77.280 153.5434
195.000000 77.194 153.8518
197.500000 77.112 154.1709
200.000000 77.032 154.4896
203.000000 76.938 154.8826
206.000000 76.844 155.3159
209.000000 76.754 155.7759
212.000000 76.673 156.2084
214.000000 76.624 156.4700
218.000000 76.530 156.9800
220.000000 76.483 157.2475
224.000000 76.394 157.8117
227.000000 76.331 158.2615
230.000000 76.272 158.7264
233.000000 76.215 159.1750
236.000000 76.165 159.5872
240.000000 76.108 160.1139
243.000000 76.073 160.5330
247.000000 76.042 161.1294
250.000000 76.024 161.5863
254.000000 75.981 162.2083
258.000000 75.919 162.8253
262.000000 75.860 163.4318
265.000000 75.824 163.8993
269.000000 75.784 164.5405
272.000000 75.760 165.0005
276.000000 75.733 165.5386
280.000000 75.712 166.0381
285.000000 75.695 166.6862
290.000000 75.687 167.3269
295.000000 75.689 167.9061
300.000000 75.697 168.4056
304.000000 75.700 168.7607
307.000000 75.700 169.0094
311.000000 75.699 169.3260
315.000000 75.697 169.6331
320.000000 75.695 170.0096
325.000000 75.692 170.3809
330.000000 75.688 170.7397
335.000000 75.684 171.0870
340.000000 75.681 171.4260
345.000000 75.678 171.7539
350.000000 75.675 172.0724
355.000000 75.671 172.3883
360.000000 75.668 172.6981
365.000000 75.665 172.9952
370.000000 75.664 173.2816
375.000000 75.663 173.5637
382.000000 75.660 173.9564
387.000000 75.659 174.2310
395.000000 75.658 174.6513
400.000000 75.657 174.9041
406.000000 75.656 175.2007
412.000000 75.655 175.4921
418.000000 75.655 175.7790
425.000000 75.654 176.1089
431.000000 75.653 176.3872
437.000000 75.651 176.6606
444.000000 75.649 176.9725
450.000000 75.647 177.2346
455.000000 75.645 177.4495
462.000000 75.643 177.7444
468.000000 75.642 177.9936
475.000000 75.640 178.2858
482.000000 75.639 178.5792
487.000000 75.638 178.7869
494.000000 75.635 179.0741
500.000000 75.633 179.3189
508.000000 75.630 179.6449
515.000000 75.627 179.9294
522.000000 75.625 -179.7857
530.000000 75.622 -179.4596
538.000000 75.619 -179.1327
545.000000 75.616 -178.8476
552.000000 75.615 -178.5643
560.000000 75.613 -178.2395
570.000000 75.611 -177.8257
580.000000 75.610 -177.4050
590.000000 75.610 -176.9821
600.000000 75.610 -176.5573
608.000000 75.611 -176.2178
615.000000 75.612 -175.9194
622.000000 75.614 -175.6186
630.000000 75.615 -175.2720
640.000000 75.618 -174.8356
650.000000 75.623 -174.3968
660.000000 75.628 -173.9566
670.000000 75.634 -173.5119
680.000000 75.641 -173.0598
690.000000 75.650 -172.5978
700.000000 75.661 -172.1274
710.000000 75.675 -171.6501
720.000000 75.692 -171.1683
730.000000 75.711 -170.6866
740.000000 75.733 -170.2072
750.000000 75.758 -169.7318
762.000000 75.792 -169.1684
775.000000 75.835 -168.5752
788.000000 75.886 -168.0221
800.000000 75.940 -167.5811
812.000000 75.995 -167.2536
825.000000 76.041 -167.0809
838.000000 76.040 -167.0339
850.000000 75.984 -166.7928
862.000000 75.916 -166.0118
875.000000 75.909 -164.7246
885.000000 75.960 -163.8002
900.000000 76.072 -162.8278
912.000000 76.152 -162.3205
925.000000 76.212 -161.8314
938.000000 76.255 -161.2271
950.000000 76.300 -160.5238
962.000000 76.365 -159.7549
975.000000 76.457 -158.9547
988.000000 76.565 -158.2474
1000.000000 76.670 -157.6823
1015.000000 76.804 -157.0744
1030.000000 76.938 -156.5512
1044.000000 77.063 -156.1243
1060.000000 77.205 -155.6985
1075.000000 77.337 -155.3516
1090.000000 77.467 -155.0502
1106.000000 77.604 -154.7748
1120.000000 77.722 -154.5712
1138.000000 77.871 -154.3584
1150.000000 77.968 -154.2453
1172.000000 78.142 -154.0921
1180.000000 78.203 -154.0526
1206.000000 78.398 -153.9725
1220.000000 78.499 -153.9556
1241.000000 78.644 -153.9612
1250.000000 78.704 -153.9736
1265.000000 78.802 -154.0058
1280.000000 78.896 -154.0498
1315.000000 79.104 -154.1844
1320.000000 79.132 -154.2063
1340.000000 79.243 -154.2978
1360.000000 79.349 -154.3921
1380.000000 79.452 -154.4875
1400.000000 79.550 -154.5830
1430.000000 79.693 -154.7211
1450.000000 79.785 -154.8073
1475.000000 79.897 -154.9098
1500.000000 80.006 -155.0051
1525.000000 80.113 -155.0913
1550.000000 80.218 -155.1713
1575.000000 80.322 -155.2457
1600.000000 80.426 -155.3136
1625.000000 80.530 -155.3782
1650.000000 80.633 -155.4407
1675.000000 80.736 -155.5011
1700.000000 80.839 -155.5618
1725.000000 80.943 -155.6236
1750.000000 81.048 -155.6878
1775.000000 81.154 -155.7573
1800.000000 81.260 -155.8332
1825.000000 81.368 -155.9154
1850.000000 81.476 -156.0056
1875.000000 81.584 -156.1063
1900.000000 81.694 -156.2176
1925.000000 81.804 -156.3409
1950.000000 81.915 -156.4783
1975.000000 82.027 -156.6302
2000.000000 82.140 -156.7973
2030.000000 82.277 -157.0203
2060.000000 82.414 -157.2705
2090.000000 82.551 -157.5504
2120.000000 82.688 -157.8613
2140.000000 82.780 -158.0868
2180.000000 82.962 -158.5847
2200.000000 83.053 -158.8577
2240.000000 83.232 -159.4528
2270.000000 83.365 -159.9440
2300.000000 83.495 -160.4748
2330.000000 83.622 -161.0444
2360.000000 83.745 -161.6517
2400.000000 83.902 -162.5178
2430.000000 84.014 -163.2078
2470.000000 84.155 -164.1797
2500.000000 84.253 -164.9432
2540.000000 84.375 -165.9992
2580.000000 84.484 -167.0917
2620.000000 84.581 -168.2133
2650.000000 84.645 -169.0684
2690.000000 84.719 -170.2207
2720.000000 84.766 -171.0905
2760.000000 84.817 -172.2523
2800.000000 84.856 -173.4096
2850.000000 84.886 -174.8382
2900.000000 84.898 -176.2338
2950.000000 84.893 -177.5853
3000.000000 84.872 -178.8859
3040.000000 84.844 -179.8854
3070.000000 84.817 179.3921
3110.000000 84.773 178.4690
3150.000000 84.721 177.5959
3200.000000 84.646 176.5789
3250.000000 84.561 175.6483
3300.000000 84.469 174.8078
3350.000000 84.370 174.0615
3400.000000 84.267 173.4130
3450.000000 84.162 172.8616
3500.000000 84.057 172.4030
3550.000000 83.957 172.0268
3600.000000 83.862 171.7142
3650.000000 83.773 171.4396
3700.000000 83.688 171.1829
3750.000000 83.604 170.9381
3820.000000 83.484 170.6314
3870.000000 83.398 170.4530
3950.000000 83.260 170.2507
4000.000000 83.177 170.1718
4060.000000 83.080 170.1163
4120.000000 82.988 170.0954
4180.000000 82.900 170.0984
4250.000000 82.803 170.1198
4310.000000 82.724 170.1458
4370.000000 82.648 170.1725
4440.000000 82.563 170.1987
4500.000000 82.492 170.2141
4550.000000 82.434 170.2196
4620.000000 82.353 170.2125
4680.000000 82.283 170.1896
4750.000000 82.199 170.1408
4820.000000 82.111 170.0698
4870.000000 82.045 170.0099
4940.000000 81.944 169.9246
5000.000000 81.852 169.8635
5080.000000 81.719 169.8198
5150.000000 81.596 169.8298
5220.000000 81.470 169.8901
5300.000000 81.325 170.0175
5380.000000 81.179 170.1973
5450.000000 81.050 170.3918
5520.000000 80.922 170.6201
5600.000000 80.774 170.9242
5700.000000 80.588 171.3712
5800.000000 80.400 171.8989
