* Measurement data measured by REW V5.31.1
* Source: Mikrofon (US-2x2 HR), MICROPHONE (Hauptlautstärke), L, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 25.05.2024 21:48:14
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Vader DUDD
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 83.734 -151.1833
20.299999 83.760 -151.7462
20.600000 83.786 -152.3076
20.900000 83.811 -152.8688
21.200001 83.836 -153.4273
21.400000 83.851 -153.7959
21.799999 83.879 -154.5173
22.000000 83.892 -154.8676
22.400000 83.919 -155.5450
22.700001 83.939 -156.0350
23.000000 83.960 -156.5156
23.299999 83.983 -156.9943
23.600000 84.006 -157.4767
24.000000 84.035 -158.1266
24.299999 84.054 -158.6115
24.700001 84.076 -159.2366
25.000000 84.091 -159.6817
25.400000 84.114 -160.2490
25.799999 84.141 -160.8115
26.200001 84.170 -161.3985
26.500000 84.189 -161.8591
26.900000 84.208 -162.4806
27.200001 84.215 -162.9291
27.600000 84.220 -163.4750
28.000000 84.227 -163.9560
28.500000 84.244 -164.5087
29.000000 84.271 -165.0764
29.500000 84.298 -165.6880
30.000000 84.319 -166.3164
30.400000 84.333 -166.8091
30.700001 84.342 -167.1704
31.100000 84.355 -167.6475
31.500000 84.368 -168.1257
32.000000 84.380 -168.7223
32.500000 84.390 -169.3040
33.000000 84.399 -169.8640
33.500000 84.408 -170.4110
34.000000 84.418 -170.9542
34.500000 84.427 -171.4928
35.000000 84.436 -172.0233
35.500000 84.445 -172.5496
36.000000 84.454 -173.0797
36.500000 84.462 -173.6163
37.000000 84.467 -174.1551
37.500000 84.471 -174.6892
38.200001 84.471 -175.4177
38.700001 84.471 -175.9169
39.500000 84.471 -176.6800
40.000000 84.474 -177.1486
40.599998 84.479 -177.7191
41.200001 84.485 -178.3047
41.799999 84.488 -178.9069
42.500000 84.486 -179.6196
43.099998 84.477 179.7911
43.700001 84.465 179.2463
44.400002 84.454 178.6497
45.000000 84.447 178.1371
45.500000 84.440 177.7033
46.200001 84.430 177.0945
46.799999 84.421 176.5612
47.500000 84.405 175.9164
48.200001 84.380 175.3002
48.700001 84.361 174.9115
49.400002 84.345 174.4156
50.000000 84.341 173.9740
50.799999 84.338 173.3130
51.500000 84.329 172.7040
52.200001 84.314 172.1151
53.000000 84.293 171.4953
53.799999 84.274 170.9246
54.500000 84.260 170.4343
55.200001 84.247 169.9343
56.000000 84.228 169.3568
57.000000 84.201 168.6346
58.000000 84.168 167.9118
59.000000 84.132 167.2045
60.000000 84.096 166.5164
60.799999 84.067 165.9698
61.500000 84.043 165.4901
62.200001 84.017 165.0094
63.000000 83.988 164.4606
64.000000 83.947 163.7874
65.000000 83.904 163.1494
66.000000 83.863 162.5481
67.000000 83.825 161.9614
68.000000 83.788 161.3605
69.000000 83.746 160.7493
70.000000 83.698 160.1597
71.000000 83.647 159.5911
72.000000 83.594 159.0346
73.000000 83.538 158.4948
74.000000 83.483 157.9648
75.000000 83.430 157.4379
76.199997 83.368 156.8058
77.500000 83.302 156.1196
78.800003 83.234 155.4455
80.000000 83.166 154.8731
81.199997 83.102 154.3645
82.500000 83.039 153.8059
83.800003 82.973 153.1829
85.000000 82.901 152.5961
86.199997 82.824 152.0519
87.500000 82.744 151.5073
88.500000 82.684 151.0992
90.000000 82.596 150.4882
91.199997 82.522 150.0112
92.500000 82.440 149.5161
93.800003 82.357 149.0367
95.000000 82.281 148.5914
96.199997 82.204 148.1351
97.500000 82.117 147.6441
98.800003 82.030 147.1878
100.000000 81.951 146.8085
101.500000 81.859 146.3632
103.000000 81.767 145.9244
104.400002 81.678 145.5327
106.000000 81.574 145.1136
107.500000 81.477 144.7374
109.000000 81.381 144.3671
110.599998 81.278 143.9747
112.000000 81.187 143.6366
113.800003 81.067 143.2169
115.000000 80.987 142.9534
117.199997 80.840 142.5118
118.000000 80.787 142.3591
120.599998 80.615 141.8904
122.000000 80.521 141.6764
124.099998 80.380 141.3973
125.000000 80.320 141.2833
126.500000 80.220 141.0905
128.000000 80.121 140.8912
131.500000 79.887 140.4431
132.000000 79.854 140.3869
134.000000 79.722 140.1901
136.000000 79.594 140.0404
138.000000 79.466 139.9226
140.000000 79.338 139.8121
143.000000 79.144 139.6646
145.000000 79.017 139.5911
147.500000 78.863 139.5376
150.000000 78.709 139.5262
152.500000 78.553 139.5330
155.000000 78.398 139.5634
157.500000 78.250 139.6304
160.000000 78.110 139.7188
162.500000 77.971 139.8229
165.000000 77.831 139.9559
167.500000 77.691 140.1254
170.000000 77.552 140.3311
172.500000 77.422 140.5638
175.000000 77.300 140.7993
177.500000 77.181 141.0470
180.000000 77.063 141.3195
182.500000 76.946 141.6144
185.000000 76.830 141.9286
187.500000 76.718 142.2559
190.000000 76.611 142.5872
192.500000 76.509 142.9216
195.000000 76.409 143.2635
197.500000 76.308 143.6185
200.000000 76.209 143.9872
203.000000 76.096 144.4335
206.000000 75.990 144.8788
209.000000 75.889 145.3459
212.000000 75.795 145.8578
214.000000 75.735 146.2177
218.000000 75.618 146.9498
220.000000 75.560 147.3179
224.000000 75.449 148.0529
227.000000 75.371 148.5895
230.000000 75.296 149.1072
233.000000 75.220 149.6196
236.000000 75.148 150.1360
240.000000 75.068 150.8360
243.000000 75.029 151.3648
247.000000 74.996 152.0799
250.000000 74.961 152.6149
254.000000 74.866 153.3064
258.000000 74.767 154.0256
262.000000 74.709 154.7527
265.000000 74.680 155.2970
269.000000 74.646 156.0117
272.000000 74.621 156.5242
276.000000 74.591 157.1362
280.000000 74.565 157.6663
285.000000 74.542 158.2673
290.000000 74.527 158.8959
295.000000 74.509 159.5273
300.000000 74.486 160.0859
304.000000 74.469 160.4948
307.000000 74.458 160.7939
311.000000 74.442 161.1924
315.000000 74.426 161.5896
320.000000 74.406 162.0793
325.000000 74.387 162.5604
330.000000 74.369 163.0327
335.000000 74.353 163.4877
340.000000 74.338 163.9225
345.000000 74.323 164.3419
350.000000 74.310 164.7548
355.000000 74.299 165.1666
360.000000 74.288 165.5746
365.000000 74.278 165.9728
370.000000 74.268 166.3567
375.000000 74.259 166.7272
382.000000 74.246 167.2338
387.000000 74.237 167.5886
395.000000 74.224 168.1403
400.000000 74.216 168.4736
406.000000 74.207 168.8651
412.000000 74.199 169.2493
418.000000 74.191 169.6256
425.000000 74.181 170.0520
431.000000 74.173 170.4086
437.000000 74.165 170.7625
444.000000 74.157 171.1720
450.000000 74.150 171.5149
455.000000 74.144 171.7943
462.000000 74.137 172.1791
468.000000 74.129 172.5040
475.000000 74.121 172.8803
482.000000 74.113 173.2581
487.000000 74.107 173.5270
494.000000 74.100 173.8987
500.000000 74.095 174.2140
508.000000 74.088 174.6326
515.000000 74.081 174.9949
522.000000 74.075 175.3528
530.000000 74.069 175.7558
538.000000 74.062 176.1561
545.000000 74.056 176.5104
552.000000 74.051 176.8695
560.000000 74.046 177.2800
570.000000 74.041 177.7861
580.000000 74.037 178.2880
590.000000 74.033 178.7881
600.000000 74.029 179.2875
608.000000 74.027 179.6880
615.000000 74.025 -179.9591
622.000000 74.024 -179.6031
630.000000 74.023 -179.1946
640.000000 74.023 -178.6796
650.000000 74.024 -178.1567
660.000000 74.027 -177.6279
670.000000 74.032 -177.0985
680.000000 74.040 -176.5691
690.000000 74.050 -176.0387
700.000000 74.062 -175.5065
710.000000 74.076 -174.9709
720.000000 74.092 -174.4342
730.000000 74.110 -173.8990
740.000000 74.130 -173.3668
750.000000 74.154 -172.8403
762.000000 74.188 -172.2213
775.000000 74.230 -171.5715
788.000000 74.280 -170.9589
800.000000 74.332 -170.4588
812.000000 74.387 -170.0742
825.000000 74.434 -169.8441
838.000000 74.437 -169.7472
850.000000 74.384 -169.4718
862.000000 74.317 -168.6661
875.000000 74.308 -167.3488
885.000000 74.357 -166.3945
900.000000 74.467 -165.3711
912.000000 74.546 -164.8223
925.000000 74.605 -164.2881
938.000000 74.647 -163.6353
950.000000 74.691 -162.8860
962.000000 74.756 -162.0718
975.000000 74.848 -161.2231
988.000000 74.956 -160.4713
1000.000000 75.061 -159.8709
1015.000000 75.196 -159.2251
1030.000000 75.331 -158.6677
1044.000000 75.457 -158.2087
1060.000000 75.598 -157.7460
1075.000000 75.729 -157.3654
1090.000000 75.859 -157.0310
1106.000000 75.995 -156.7214
1120.000000 76.113 -156.4879
1138.000000 76.262 -156.2358
1150.000000 76.359 -156.0962
1172.000000 76.533 -155.8945
1180.000000 76.595 -155.8373
1206.000000 76.790 -155.7051
1220.000000 76.891 -155.6621
1241.000000 77.036 -155.6288
1250.000000 77.097 -155.6246
1265.000000 77.194 -155.6285
1280.000000 77.288 -155.6433
1315.000000 77.497 -155.7120
1320.000000 77.525 -155.7248
1340.000000 77.636 -155.7806
1360.000000 77.743 -155.8412
1380.000000 77.846 -155.9036
1400.000000 77.945 -155.9661
1430.000000 78.088 -156.0562
1450.000000 78.181 -156.1136
1475.000000 78.294 -156.1836
1500.000000 78.403 -156.2482
1525.000000 78.510 -156.3015
1550.000000 78.617 -156.3450
1575.000000 78.722 -156.3838
1600.000000 78.827 -156.4210
1625.000000 78.930 -156.4563
1650.000000 79.034 -156.4894
1675.000000 79.139 -156.5204
1700.000000 79.244 -156.5514
1725.000000 79.349 -156.5856
1750.000000 79.455 -156.6234
1775.000000 79.562 -156.6660
1800.000000 79.670 -156.7161
1825.000000 79.779 -156.7749
1850.000000 79.888 -156.8430
1875.000000 79.999 -156.9214
1900.000000 80.110 -157.0107
1925.000000 80.222 -157.1122
1950.000000 80.335 -157.2272
1975.000000 80.450 -157.3569
2000.000000 80.564 -157.5035
2030.000000 80.703 -157.7043
2060.000000 80.843 -157.9351
2090.000000 80.983 -158.1968
2120.000000 81.123 -158.4909
2140.000000 81.216 -158.7056
2180.000000 81.402 -159.1813
2200.000000 81.495 -159.4434
2240.000000 81.679 -160.0207
2270.000000 81.814 -160.5016
2300.000000 81.947 -161.0238
2330.000000 82.077 -161.5863
2360.000000 82.203 -162.1883
2400.000000 82.364 -163.0505
2430.000000 82.479 -163.7399
2470.000000 82.624 -164.7114
2500.000000 82.725 -165.4767
2540.000000 82.850 -166.5405
2580.000000 82.962 -167.6451
2620.000000 83.062 -168.7813
2650.000000 83.128 -169.6487
2690.000000 83.204 -170.8190
2720.000000 83.253 -171.7041
2760.000000 83.305 -172.8883
2800.000000 83.345 -174.0695
2850.000000 83.376 -175.5291
2900.000000 83.387 -176.9557
2950.000000 83.380 -178.3376
3000.000000 83.356 -179.6644
3040.000000 83.325 179.3193
3070.000000 83.296 178.5858
3110.000000 83.248 177.6487
3150.000000 83.193 176.7626
3200.000000 83.114 175.7335
3250.000000 83.024 174.7971
3300.000000 82.927 173.9575
3350.000000 82.823 173.2190
3400.000000 82.716 172.5844
3450.000000 82.607 172.0524
3500.000000 82.501 171.6150
3550.000000 82.400 171.2554
3600.000000 82.306 170.9459
3650.000000 82.217 170.6600
3700.000000 82.130 170.3860
3750.000000 82.043 170.1284
3820.000000 81.917 169.8205
3870.000000 81.827 169.6512
3950.000000 81.684 169.4697
4000.000000 81.597 169.4046
4060.000000 81.497 169.3665
4120.000000 81.402 169.3622
4180.000000 81.312 169.3814
4250.000000 81.213 169.4211
4310.000000 81.132 169.4628
4370.000000 81.054 169.5065
4440.000000 80.966 169.5542
4500.000000 80.893 169.5865
4550.000000 80.834 169.6039
4620.000000 80.752 169.6074
4680.000000 80.680 169.5877
4750.000000 80.593 169.5381
4820.000000 80.500 169.4669
4870.000000 80.427 169.4128
4940.000000 80.318 169.3508
5000.000000 80.217 169.3279
5080.000000 80.075 169.3627
5150.000000 79.949 169.4606
5220.000000 79.824 169.6112
5300.000000 79.683 169.8293
5380.000000 79.544 170.0818
5450.000000 79.423 170.3253
5520.000000 79.302 170.5880
5600.000000 79.163 170.9130
5700.000000 78.986 171.3677
5800.000000 78.806 171.9000
5900.000000 78.623 172.5345
6000.000000 78.442 173.2913
6080.000000 78.301 173.9917
