* Measurement data measured by REW V5.31.1
* Source: Mikrofon (US-2x2 HR), MICROPHONE (Hauptlautstärke), L, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 25.05.2024 21:49:11
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Vader DUUD
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 83.483 -150.3710
20.299999 83.564 -150.8248
20.600000 83.645 -151.3999
20.900000 83.715 -152.0621
21.200001 83.771 -152.7570
21.400000 83.801 -153.2128
21.799999 83.851 -154.0639
22.000000 83.874 -154.4540
22.400000 83.920 -155.1805
22.700001 83.958 -155.7036
23.000000 83.996 -156.2283
23.299999 84.033 -156.7628
23.600000 84.065 -157.3041
24.000000 84.098 -158.0157
24.299999 84.114 -158.5213
24.700001 84.128 -159.1302
25.000000 84.136 -159.5287
25.400000 84.149 -159.9904
25.799999 84.168 -160.4081
26.200001 84.195 -160.8348
26.500000 84.217 -161.1869
26.900000 84.242 -161.7096
27.200001 84.255 -162.1319
27.600000 84.262 -162.7064
28.000000 84.258 -163.2644
28.500000 84.247 -163.9225
29.000000 84.234 -164.5582
29.500000 84.219 -165.1994
30.000000 84.199 -165.8405
30.400000 84.181 -166.3330
30.700001 84.169 -166.6824
31.100000 84.158 -167.1249
31.500000 84.155 -167.5577
32.000000 84.164 -168.1232
32.500000 84.183 -168.7445
33.000000 84.204 -169.4166
33.500000 84.224 -170.1065
34.000000 84.243 -170.7811
34.500000 84.263 -171.4269
35.000000 84.285 -172.0482
35.500000 84.307 -172.6523
36.000000 84.326 -173.2383
36.500000 84.342 -173.7975
37.000000 84.353 -174.3228
37.500000 84.360 -174.8175
38.200001 84.367 -175.4833
38.700001 84.366 -175.9525
39.500000 84.355 -176.6777
40.000000 84.346 -177.1061
40.599998 84.337 -177.6170
41.200001 84.332 -178.1616
41.799999 84.325 -178.7473
42.500000 84.312 -179.4412
43.099998 84.301 179.9828
43.700001 84.294 179.4163
44.400002 84.287 178.7517
45.000000 84.279 178.1930
45.500000 84.271 177.7508
46.200001 84.260 177.1626
46.799999 84.250 176.6608
47.500000 84.231 176.0779
48.200001 84.204 175.5550
48.700001 84.187 175.2288
49.400002 84.177 174.7650
50.000000 84.176 174.2822
50.799999 84.162 173.5264
51.500000 84.137 172.8716
52.200001 84.111 172.2781
53.000000 84.089 171.6358
53.799999 84.071 171.0019
54.500000 84.056 170.4617
55.200001 84.041 169.9363
56.000000 84.023 169.3483
57.000000 83.994 168.6327
58.000000 83.958 167.9416
59.000000 83.914 167.2875
60.000000 83.870 166.6754
60.799999 83.838 166.1905
61.500000 83.811 165.7560
62.200001 83.784 165.3152
63.000000 83.753 164.8104
64.000000 83.712 164.1833
65.000000 83.670 163.5607
66.000000 83.627 162.9294
67.000000 83.579 162.2862
68.000000 83.527 161.6580
69.000000 83.478 161.0569
70.000000 83.434 160.4547
71.000000 83.390 159.8448
72.000000 83.342 159.2604
73.000000 83.292 158.7262
74.000000 83.240 158.2356
75.000000 83.187 157.7601
76.199997 83.118 157.1880
77.500000 83.038 156.5601
78.800003 82.953 155.9136
80.000000 82.874 155.3168
81.199997 82.797 154.7386
82.500000 82.719 154.1469
83.800003 82.646 153.5756
85.000000 82.579 153.0688
86.199997 82.510 152.5819
87.500000 82.434 152.0608
88.500000 82.372 151.6650
90.000000 82.276 151.0872
91.199997 82.195 150.6425
92.500000 82.108 150.1745
93.800003 82.019 149.7115
95.000000 81.935 149.2866
96.199997 81.851 148.8663
97.500000 81.759 148.4332
98.800003 81.670 148.0367
100.000000 81.590 147.6949
101.500000 81.491 147.3051
103.000000 81.393 146.9409
104.400002 81.299 146.6024
106.000000 81.186 146.2262
107.500000 81.079 145.8845
109.000000 80.972 145.5414
110.599998 80.857 145.1841
112.000000 80.755 144.8880
113.800003 80.621 144.5362
115.000000 80.531 144.3243
117.199997 80.369 143.9921
118.000000 80.313 143.8842
120.599998 80.137 143.5557
122.000000 80.043 143.3883
124.099998 79.899 143.1626
125.000000 79.836 143.0792
126.500000 79.731 142.9562
128.000000 79.626 142.8475
131.500000 79.380 142.6133
132.000000 79.345 142.5838
134.000000 79.203 142.4808
136.000000 79.063 142.4038
138.000000 78.924 142.3677
140.000000 78.787 142.3848
143.000000 78.585 142.4610
145.000000 78.454 142.5258
147.500000 78.295 142.6405
150.000000 78.138 142.7978
152.500000 77.977 142.9651
155.000000 77.814 143.1476
157.500000 77.661 143.3570
160.000000 77.518 143.5973
162.500000 77.376 143.9002
165.000000 77.239 144.2803
167.500000 77.111 144.7116
170.000000 76.988 145.1440
172.500000 76.860 145.5588
175.000000 76.726 145.9711
177.500000 76.595 146.3799
180.000000 76.474 146.8134
182.500000 76.362 147.2946
185.000000 76.253 147.8073
187.500000 76.146 148.3482
190.000000 76.041 148.9231
192.500000 75.938 149.5234
195.000000 75.836 150.1385
197.500000 75.740 150.7621
200.000000 75.654 151.3942
203.000000 75.559 152.1335
206.000000 75.465 152.7672
209.000000 75.377 153.3495
212.000000 75.308 154.1353
214.000000 75.279 154.8410
218.000000 75.247 156.3873
220.000000 75.238 157.0652
224.000000 75.225 158.0936
227.000000 75.213 158.6715
230.000000 75.198 159.1837
233.000000 75.181 159.6796
236.000000 75.164 160.1996
240.000000 75.137 160.9543
243.000000 75.101 161.5092
247.000000 75.029 162.1418
250.000000 74.978 162.5669
254.000000 74.951 163.1824
258.000000 74.967 163.8161
262.000000 74.997 164.4064
265.000000 75.015 164.8339
269.000000 75.031 165.3937
272.000000 75.035 165.8111
276.000000 75.032 166.3617
280.000000 75.027 166.8887
285.000000 75.028 167.5235
290.000000 75.031 168.1221
295.000000 75.035 168.6704
300.000000 75.041 169.1765
304.000000 75.048 169.5710
307.000000 75.054 169.8644
311.000000 75.062 170.2482
315.000000 75.071 170.6207
320.000000 75.084 171.0679
325.000000 75.096 171.4937
330.000000 75.108 171.8958
335.000000 75.121 172.2747
340.000000 75.133 172.6368
345.000000 75.145 172.9865
350.000000 75.156 173.3232
355.000000 75.167 173.6467
360.000000 75.179 173.9563
365.000000 75.190 174.2521
370.000000 75.201 174.5356
375.000000 75.211 174.8095
382.000000 75.224 175.1802
387.000000 75.232 175.4358
395.000000 75.244 175.8298
400.000000 75.252 176.0688
406.000000 75.260 176.3480
412.000000 75.268 176.6188
418.000000 75.276 176.8810
425.000000 75.284 177.1802
431.000000 75.290 177.4348
437.000000 75.294 177.6858
444.000000 75.299 177.9717
450.000000 75.303 178.2148
455.000000 75.307 178.4160
462.000000 75.312 178.6932
468.000000 75.315 178.9269
475.000000 75.319 179.1959
482.000000 75.320 179.4638
487.000000 75.321 179.6577
494.000000 75.322 179.9319
500.000000 75.324 -179.8342
508.000000 75.326 -179.5275
515.000000 75.328 -179.2649
522.000000 75.330 -179.0030
530.000000 75.331 -178.7034
538.000000 75.333 -178.4051
545.000000 75.332 -178.1411
552.000000 75.332 -177.8726
560.000000 75.331 -177.5615
570.000000 75.331 -177.1686
580.000000 75.331 -176.7742
590.000000 75.333 -176.3772
600.000000 75.334 -175.9712
608.000000 75.335 -175.6415
615.000000 75.336 -175.3513
622.000000 75.338 -175.0580
630.000000 75.340 -174.7190
640.000000 75.345 -174.2931
650.000000 75.351 -173.8627
660.000000 75.359 -173.4249
670.000000 75.368 -172.9802
680.000000 75.379 -172.5322
690.000000 75.391 -172.0832
700.000000 75.405 -171.6335
710.000000 75.421 -171.1797
720.000000 75.438 -170.7197
730.000000 75.458 -170.2590
740.000000 75.480 -169.8008
750.000000 75.505 -169.3429
762.000000 75.538 -168.7954
775.000000 75.580 -168.2158
788.000000 75.630 -167.6724
800.000000 75.682 -167.2394
812.000000 75.736 -166.9228
825.000000 75.779 -166.7577
838.000000 75.777 -166.7047
850.000000 75.722 -166.4502
862.000000 75.657 -165.6630
875.000000 75.653 -164.3873
885.000000 75.706 -163.4804
900.000000 75.819 -162.5376
912.000000 75.898 -162.0526
925.000000 75.957 -161.5830
938.000000 75.999 -160.9899
950.000000 76.043 -160.2925
962.000000 76.107 -159.5318
975.000000 76.199 -158.7443
988.000000 76.305 -158.0511
1000.000000 76.409 -157.4980
1015.000000 76.541 -156.9035
1030.000000 76.674 -156.3931
1044.000000 76.796 -155.9757
1060.000000 76.935 -155.5540
1075.000000 77.062 -155.2057
1090.000000 77.189 -154.9028
1106.000000 77.322 -154.6278
1120.000000 77.436 -154.4233
1138.000000 77.581 -154.2051
1150.000000 77.675 -154.0863
1172.000000 77.844 -153.9210
1180.000000 77.904 -153.8764
1206.000000 78.092 -153.7798
1220.000000 78.190 -153.7543
1241.000000 78.331 -153.7439
1250.000000 78.389 -153.7480
1265.000000 78.484 -153.7647
1280.000000 78.576 -153.7918
1315.000000 78.778 -153.8806
1320.000000 78.806 -153.8959
1340.000000 78.914 -153.9620
1360.000000 79.019 -154.0315
1380.000000 79.119 -154.1004
1400.000000 79.217 -154.1691
1430.000000 79.358 -154.2692
1450.000000 79.449 -154.3311
1475.000000 79.561 -154.4010
1500.000000 79.670 -154.4629
1525.000000 79.777 -154.5176
1550.000000 79.882 -154.5668
1575.000000 79.987 -154.6116
1600.000000 80.091 -154.6512
1625.000000 80.195 -154.6863
1650.000000 80.299 -154.7191
1675.000000 80.403 -154.7507
1700.000000 80.507 -154.7823
1725.000000 80.612 -154.8160
1750.000000 80.718 -154.8551
1775.000000 80.824 -154.9016
1800.000000 80.931 -154.9555
1825.000000 81.039 -155.0173
1850.000000 81.148 -155.0876
1875.000000 81.257 -155.1670
1900.000000 81.368 -155.2562
1925.000000 81.479 -155.3566
1950.000000 81.591 -155.4712
1975.000000 81.704 -155.6019
2000.000000 81.818 -155.7493
2030.000000 81.955 -155.9504
2060.000000 82.093 -156.1799
2090.000000 82.232 -156.4395
2120.000000 82.370 -156.7311
2140.000000 82.463 -156.9437
2180.000000 82.647 -157.4139
2200.000000 82.739 -157.6733
2240.000000 82.921 -158.2445
2270.000000 83.055 -158.7188
2300.000000 83.186 -159.2315
2330.000000 83.314 -159.7826
2360.000000 83.438 -160.3719
2400.000000 83.597 -161.2146
2430.000000 83.710 -161.8858
2470.000000 83.852 -162.8282
2500.000000 83.951 -163.5679
2540.000000 84.073 -164.5923
2580.000000 84.183 -165.6523
2620.000000 84.281 -166.7405
2650.000000 84.346 -167.5702
2690.000000 84.421 -168.6884
2720.000000 84.470 -169.5327
2760.000000 84.523 -170.6607
2800.000000 84.564 -171.7841
2850.000000 84.597 -173.1708
2900.000000 84.612 -174.5273
2950.000000 84.609 -175.8428
3000.000000 84.589 -177.1059
3040.000000 84.562 -178.0719
3070.000000 84.535 -178.7670
3110.000000 84.492 -179.6509
3150.000000 84.440 179.5182
3200.000000 84.365 178.5608
3250.000000 84.280 177.7025
3300.000000 84.189 176.9503
3350.000000 84.092 176.3103
3400.000000 83.995 175.7849
3450.000000 83.903 175.3639
3500.000000 83.818 175.0167
3550.000000 83.743 174.6993
3600.000000 83.672 174.3777
3650.000000 83.601 174.0482
3700.000000 83.526 173.7303
3750.000000 83.445 173.4475
3820.000000 83.328 173.1354
3870.000000 83.244 172.9766
3950.000000 83.113 172.8248
4000.000000 83.035 172.7850
4060.000000 82.947 172.7805
4120.000000 82.865 172.8065
4180.000000 82.789 172.8468
4250.000000 82.708 172.8941
4310.000000 82.643 172.9221
4370.000000 82.581 172.9302
4440.000000 82.508 172.9109
4500.000000 82.442 172.8740
4550.000000 82.384 172.8382
4620.000000 82.294 172.8049
4680.000000 82.211 172.8158
4750.000000 82.112 172.8921
4820.000000 82.016 173.0331
4870.000000 81.950 173.1630
4940.000000 81.864 173.3663
5000.000000 81.796 173.5421
5080.000000 81.711 173.7542
5150.000000 81.639 173.9097
5220.000000 81.565 174.0397
5300.000000 81.476 174.1685
5380.000000 81.381 174.2919
5450.000000 81.293 174.4091
5520.000000 81.199 174.5489
5600.000000 81.087 174.7529
5700.000000 80.941 175.0942
5800.000000 80.795 175.5409
5900.000000 80.652 176.0900
6000.000000 80.514 176.7334
