* Measurement data measured by REW V5.31.1
* Source: Mikrofon (US-2x2 HR), MICROPHONE (Hauptlautstärke), L, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 25.05.2024 21:44:55
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Vader UDDD
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 82.023 -146.2161
20.299999 82.050 -146.7269
20.600000 82.079 -147.2133
20.900000 82.110 -147.6892
21.200001 82.144 -148.1674
21.400000 82.167 -148.4910
21.799999 82.211 -149.1486
22.000000 82.231 -149.4783
22.400000 82.268 -150.1265
22.700001 82.294 -150.5950
23.000000 82.319 -151.0475
23.299999 82.345 -151.4879
23.600000 82.371 -151.9217
24.000000 82.405 -152.4948
24.299999 82.430 -152.9192
24.700001 82.461 -153.4706
25.000000 82.484 -153.8703
25.400000 82.515 -154.3881
25.799999 82.549 -154.9001
26.200001 82.582 -155.4184
26.500000 82.606 -155.8128
26.900000 82.636 -156.3401
27.200001 82.656 -156.7299
27.600000 82.681 -157.2351
28.000000 82.705 -157.7226
28.500000 82.735 -158.3150
29.000000 82.765 -158.8990
29.500000 82.794 -159.4776
30.000000 82.821 -160.0471
30.400000 82.842 -160.4939
30.700001 82.857 -160.8237
31.100000 82.877 -161.2578
31.500000 82.898 -161.6879
32.000000 82.923 -162.2244
32.500000 82.947 -162.7615
33.000000 82.968 -163.2949
33.500000 82.988 -163.8166
34.000000 83.007 -164.3225
34.500000 83.025 -164.8159
35.000000 83.044 -165.3023
35.500000 83.062 -165.7819
36.000000 83.079 -166.2500
36.500000 83.097 -166.7058
37.000000 83.115 -167.1579
37.500000 83.135 -167.6182
38.200001 83.160 -168.2845
38.700001 83.174 -168.7663
39.500000 83.190 -169.5201
40.000000 83.198 -169.9736
40.599998 83.209 -170.5060
41.200001 83.222 -171.0426
41.799999 83.234 -171.5948
42.500000 83.243 -172.2400
43.099998 83.247 -172.7644
43.700001 83.253 -173.2567
44.400002 83.263 -173.8102
45.000000 83.271 -174.2733
45.500000 83.278 -174.6473
46.200001 83.286 -175.1501
46.799999 83.292 -175.5553
47.500000 83.301 -175.9830
48.200001 83.318 -176.3991
48.700001 83.336 -176.7445
49.400002 83.354 -177.3295
50.000000 83.354 -177.8751
50.799999 83.338 -178.5493
51.500000 83.321 -179.0791
52.200001 83.307 -179.5959
53.000000 83.292 179.8179
53.799999 83.279 179.2469
54.500000 83.271 178.7552
55.200001 83.264 178.2709
56.000000 83.257 177.7314
57.000000 83.250 177.0722
58.000000 83.241 176.4188
59.000000 83.225 175.7762
60.000000 83.204 175.1575
60.799999 83.185 174.6814
61.500000 83.169 174.2744
62.200001 83.154 173.8658
63.000000 83.138 173.3839
64.000000 83.117 172.7634
65.000000 83.094 172.1492
66.000000 83.072 171.5517
67.000000 83.050 170.9658
68.000000 83.028 170.3830
69.000000 83.003 169.8083
70.000000 82.975 169.2548
71.000000 82.946 168.7183
72.000000 82.917 168.1888
73.000000 82.887 167.6632
74.000000 82.855 167.1403
75.000000 82.822 166.6262
76.199997 82.781 166.0310
77.500000 82.737 165.4019
78.800003 82.693 164.7816
80.000000 82.652 164.2115
81.199997 82.609 163.6421
82.500000 82.557 163.0431
83.800003 82.503 162.4861
85.000000 82.454 161.9987
86.199997 82.406 161.5173
87.500000 82.353 161.0008
88.500000 82.311 160.6088
90.000000 82.247 160.0275
91.199997 82.195 159.5664
92.500000 82.138 159.0707
93.800003 82.081 158.5806
95.000000 82.029 158.1326
96.199997 81.978 157.6864
97.500000 81.920 157.2070
98.800003 81.859 156.7493
100.000000 81.799 156.3691
101.500000 81.726 155.9410
103.000000 81.655 155.5238
104.400002 81.590 155.1264
106.000000 81.514 154.6645
107.500000 81.442 154.2331
109.000000 81.369 153.8116
110.599998 81.291 153.3788
112.000000 81.223 153.0144
113.800003 81.135 152.5640
115.000000 81.077 152.2778
117.199997 80.967 151.7861
118.000000 80.926 151.6176
120.599998 80.792 151.0930
122.000000 80.719 150.8163
124.099998 80.610 150.4137
125.000000 80.563 150.2484
126.500000 80.487 149.9836
128.000000 80.410 149.7332
131.500000 80.230 149.1971
132.000000 80.204 149.1257
134.000000 80.102 148.8510
136.000000 80.001 148.5908
138.000000 79.899 148.3479
140.000000 79.798 148.1258
143.000000 79.646 147.8266
145.000000 79.545 147.6486
147.500000 79.421 147.4485
150.000000 79.297 147.2741
152.500000 79.173 147.1233
155.000000 79.051 146.9920
157.500000 78.931 146.8870
160.000000 78.814 146.8151
162.500000 78.697 146.7739
165.000000 78.583 146.7496
167.500000 78.469 146.7361
170.000000 78.358 146.7390
172.500000 78.248 146.7637
175.000000 78.140 146.8094
177.500000 78.034 146.8729
180.000000 77.929 146.9518
182.500000 77.826 147.0451
185.000000 77.725 147.1523
187.500000 77.626 147.2756
190.000000 77.530 147.4163
192.500000 77.436 147.5731
195.000000 77.345 147.7435
197.500000 77.256 147.9257
200.000000 77.167 148.1187
203.000000 77.064 148.3645
206.000000 76.963 148.6248
209.000000 76.867 148.8940
212.000000 76.773 149.1708
214.000000 76.711 149.3596
218.000000 76.593 149.7499
220.000000 76.536 149.9525
224.000000 76.425 150.3698
227.000000 76.345 150.6883
230.000000 76.267 151.0076
233.000000 76.191 151.3292
236.000000 76.118 151.6545
240.000000 76.026 152.0935
243.000000 75.960 152.4323
247.000000 75.874 152.8992
250.000000 75.813 153.2611
254.000000 75.739 153.7530
258.000000 75.673 154.2224
262.000000 75.606 154.6618
265.000000 75.556 154.9866
269.000000 75.494 155.4240
272.000000 75.449 155.7562
276.000000 75.392 156.2072
280.000000 75.337 156.6614
285.000000 75.272 157.2233
290.000000 75.212 157.7683
295.000000 75.157 158.2997
300.000000 75.106 158.8276
304.000000 75.068 159.2397
307.000000 75.040 159.5416
311.000000 75.005 159.9370
315.000000 74.971 160.3262
320.000000 74.931 160.8043
325.000000 74.894 161.2726
330.000000 74.858 161.7364
335.000000 74.824 162.1979
340.000000 74.791 162.6523
345.000000 74.760 163.0967
350.000000 74.730 163.5335
355.000000 74.702 163.9619
360.000000 74.675 164.3807
365.000000 74.650 164.8013
370.000000 74.628 165.2341
375.000000 74.609 165.6733
382.000000 74.587 166.2775
387.000000 74.575 166.6899
395.000000 74.562 167.2975
400.000000 74.555 167.6435
406.000000 74.545 168.0311
412.000000 74.534 168.3925
418.000000 74.520 168.7408
425.000000 74.503 169.1439
431.000000 74.488 169.4893
437.000000 74.473 169.8377
444.000000 74.456 170.2475
450.000000 74.441 170.5970
455.000000 74.430 170.8855
462.000000 74.415 171.2856
468.000000 74.402 171.6257
475.000000 74.387 172.0213
482.000000 74.372 172.4133
487.000000 74.362 172.6907
494.000000 74.350 173.0791
500.000000 74.341 173.4116
508.000000 74.329 173.8513
515.000000 74.318 174.2332
522.000000 74.308 174.6125
530.000000 74.297 175.0431
538.000000 74.287 175.4707
545.000000 74.279 175.8417
552.000000 74.271 176.2111
560.000000 74.263 176.6335
570.000000 74.255 177.1620
580.000000 74.247 177.6889
590.000000 74.240 178.2136
600.000000 74.234 178.7375
608.000000 74.230 179.1577
615.000000 74.228 179.5267
622.000000 74.227 179.8970
630.000000 74.226 -179.6778
640.000000 74.226 -179.1434
650.000000 74.227 -178.6073
660.000000 74.230 -178.0721
670.000000 74.234 -177.5368
680.000000 74.241 -176.9983
690.000000 74.249 -176.4577
700.000000 74.259 -175.9170
710.000000 74.271 -175.3753
720.000000 74.286 -174.8336
730.000000 74.303 -174.2932
740.000000 74.323 -173.7555
750.000000 74.346 -173.2215
762.000000 74.378 -172.5885
775.000000 74.419 -171.9208
788.000000 74.467 -171.2959
800.000000 74.517 -170.7858
812.000000 74.569 -170.3842
825.000000 74.610 -170.1159
838.000000 74.606 -169.9388
850.000000 74.553 -169.5510
862.000000 74.498 -168.6563
875.000000 74.506 -167.3389
885.000000 74.563 -166.4218
900.000000 74.677 -165.4294
912.000000 74.759 -164.8680
925.000000 74.826 -164.3126
938.000000 74.880 -163.6799
950.000000 74.935 -163.0026
962.000000 75.002 -162.2859
975.000000 75.089 -161.5300
988.000000 75.187 -160.8310
1000.000000 75.285 -160.2413
1015.000000 75.411 -159.5760
1030.000000 75.541 -158.9846
1044.000000 75.665 -158.4932
1060.000000 75.806 -157.9975
1075.000000 75.938 -157.5927
1090.000000 76.070 -157.2406
1106.000000 76.209 -156.9175
1120.000000 76.329 -156.6775
1138.000000 76.481 -156.4243
1150.000000 76.580 -156.2870
1172.000000 76.757 -156.0934
1180.000000 76.820 -156.0403
1206.000000 77.017 -155.9203
1220.000000 77.119 -155.8832
1241.000000 77.266 -155.8594
1250.000000 77.327 -155.8600
1265.000000 77.426 -155.8723
1280.000000 77.521 -155.8954
1315.000000 77.732 -155.9838
1320.000000 77.761 -155.9998
1340.000000 77.873 -156.0704
1360.000000 77.982 -156.1474
1380.000000 78.086 -156.2263
1400.000000 78.187 -156.3062
1430.000000 78.331 -156.4209
1450.000000 78.423 -156.4912
1475.000000 78.536 -156.5748
1500.000000 78.647 -156.6525
1525.000000 78.755 -156.7217
1550.000000 78.861 -156.7830
1575.000000 78.967 -156.8395
1600.000000 79.071 -156.8918
1625.000000 79.175 -156.9393
1650.000000 79.279 -156.9838
1675.000000 79.383 -157.0283
1700.000000 79.488 -157.0738
1725.000000 79.592 -157.1218
1750.000000 79.698 -157.1739
1775.000000 79.805 -157.2313
1800.000000 79.912 -157.2948
1825.000000 80.020 -157.3652
1850.000000 80.129 -157.4444
1875.000000 80.239 -157.5334
1900.000000 80.350 -157.6336
1925.000000 80.462 -157.7464
1950.000000 80.574 -157.8727
1975.000000 80.688 -158.0138
2000.000000 80.802 -158.1718
2030.000000 80.940 -158.3861
2060.000000 81.079 -158.6288
2090.000000 81.218 -158.9012
2120.000000 81.357 -159.2056
2140.000000 81.450 -159.4271
2180.000000 81.636 -159.9176
2200.000000 81.729 -160.1876
2240.000000 81.912 -160.7802
2270.000000 82.047 -161.2724
2300.000000 82.179 -161.8059
2330.000000 82.309 -162.3799
2360.000000 82.434 -162.9932
2400.000000 82.595 -163.8705
2430.000000 82.710 -164.5715
2470.000000 82.855 -165.5603
2500.000000 82.956 -166.3388
2540.000000 83.080 -167.4183
2580.000000 83.192 -168.5369
2620.000000 83.291 -169.6865
2650.000000 83.356 -170.5641
2690.000000 83.432 -171.7492
2720.000000 83.481 -172.6456
2760.000000 83.534 -173.8447
2800.000000 83.574 -175.0415
2850.000000 83.605 -176.5246
2900.000000 83.617 -177.9813
2950.000000 83.610 -179.3961
3000.000000 83.585 179.2450
3040.000000 83.554 178.2050
3070.000000 83.524 177.4548
3110.000000 83.477 176.4957
3150.000000 83.422 175.5854
3200.000000 83.343 174.5197
3250.000000 83.255 173.5384
3300.000000 83.158 172.6443
3350.000000 83.056 171.8375
3400.000000 82.948 171.1177
3450.000000 82.837 170.4843
3500.000000 82.723 169.9335
3550.000000 82.609 169.4602
3600.000000 82.495 169.0595
3650.000000 82.382 168.7272
3700.000000 82.270 168.4588
3750.000000 82.161 168.2488
3820.000000 82.014 168.0417
3870.000000 81.913 167.9496
3950.000000 81.760 167.8843
4000.000000 81.672 167.8823
4060.000000 81.572 167.9034
4120.000000 81.477 167.9378
4180.000000 81.387 167.9775
4250.000000 81.286 168.0289
4310.000000 81.202 168.0792
4370.000000 81.120 168.1337
4440.000000 81.028 168.1984
4500.000000 80.950 168.2514
4550.000000 80.886 168.2926
4620.000000 80.798 168.3447
4680.000000 80.722 168.3825
4750.000000 80.634 168.4174
4820.000000 80.544 168.4425
4870.000000 80.478 168.4543
4940.000000 80.384 168.4625
5000.000000 80.300 168.4636
5080.000000 80.183 168.4608
5150.000000 80.076 168.4613
5220.000000 79.964 168.4720
5300.000000 79.830 168.5045
5380.000000 79.690 168.5653
5450.000000 79.561 168.6477
5520.000000 79.428 168.7637
5600.000000 79.270 168.9471
5700.000000 79.066 169.2676
5800.000000 78.858 169.6987
5900.000000 78.648 170.2495
6000.000000 78.439 170.9267
