* Measurement data measured by REW V5.31.1
* Source: Mikrofon (US-2x2 HR), MICROPHONE (Hauptlautstärke), L, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 25.05.2024 21:50:04
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Vader UDDU
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 81.737 -147.0901
20.299999 81.773 -147.5459
20.600000 81.806 -147.9455
20.900000 81.841 -148.2848
21.200001 81.884 -148.5911
21.400000 81.917 -148.8019
21.799999 81.990 -149.3032
22.000000 82.023 -149.6049
22.400000 82.070 -150.2709
22.700001 82.085 -150.7503
23.000000 82.089 -151.1452
23.299999 82.095 -151.4379
23.600000 82.114 -151.6674
24.000000 82.166 -152.0157
24.299999 82.215 -152.3976
24.700001 82.270 -153.0842
25.000000 82.290 -153.6568
25.400000 82.291 -154.3419
25.799999 82.288 -154.8487
26.200001 82.310 -155.2525
26.500000 82.345 -155.5992
26.900000 82.396 -156.2244
27.200001 82.420 -156.7979
27.600000 82.418 -157.5537
28.000000 82.385 -158.1003
28.500000 82.356 -158.3619
29.000000 82.396 -158.4081
29.500000 82.496 -158.6956
30.000000 82.594 -159.4003
30.400000 82.635 -160.1252
30.700001 82.642 -160.6438
31.100000 82.634 -161.2032
31.500000 82.629 -161.5993
32.000000 82.649 -162.0038
32.500000 82.694 -162.5179
33.000000 82.734 -163.2377
33.500000 82.743 -164.0743
34.000000 82.717 -164.8510
34.500000 82.671 -165.4288
35.000000 82.632 -165.7789
35.500000 82.619 -165.9850
36.000000 82.637 -166.1892
36.500000 82.676 -166.5131
37.000000 82.718 -166.9985
37.500000 82.745 -167.5997
38.200001 82.747 -168.4585
38.700001 82.731 -168.9763
39.500000 82.700 -169.5526
40.000000 82.693 -169.7728
40.599998 82.711 -169.9819
41.200001 82.759 -170.2698
41.799999 82.819 -170.7511
42.500000 82.876 -171.5424
43.099998 82.899 -172.2955
43.700001 82.904 -173.0223
44.400002 82.895 -173.8041
45.000000 82.878 -174.4084
45.500000 82.857 -174.8460
46.200001 82.830 -175.3446
46.799999 82.813 -175.7059
47.500000 82.799 -176.1078
48.200001 82.782 -176.4563
48.700001 82.774 -176.6379
49.400002 82.782 -176.8438
50.000000 82.808 -177.0808
50.799999 82.845 -177.5609
51.500000 82.866 -178.0573
52.200001 82.881 -178.5597
53.000000 82.893 -179.1541
53.799999 82.895 -179.7638
54.500000 82.891 179.7184
55.200001 82.881 179.2234
56.000000 82.869 178.6850
57.000000 82.855 178.0107
58.000000 82.834 177.2860
59.000000 82.799 176.5962
60.000000 82.764 175.9783
60.799999 82.740 175.4974
61.500000 82.719 175.0769
62.200001 82.698 174.6602
63.000000 82.672 174.1995
64.000000 82.642 173.6584
65.000000 82.617 173.1234
66.000000 82.594 172.5520
67.000000 82.566 171.9481
68.000000 82.530 171.3556
69.000000 82.492 170.8172
70.000000 82.457 170.3311
71.000000 82.430 169.8524
72.000000 82.402 169.3589
73.000000 82.371 168.8720
74.000000 82.337 168.3937
75.000000 82.296 167.9277
76.199997 82.243 167.4050
77.500000 82.184 166.8470
78.800003 82.124 166.2823
80.000000 82.068 165.7631
81.199997 82.014 165.2449
82.500000 81.956 164.6929
83.800003 81.898 164.1641
85.000000 81.845 163.6975
86.199997 81.788 163.2507
87.500000 81.724 162.8003
88.500000 81.674 162.4746
90.000000 81.598 161.9967
91.199997 81.536 161.6121
92.500000 81.468 161.1968
93.800003 81.401 160.7853
95.000000 81.343 160.4029
96.199997 81.286 160.0130
97.500000 81.222 159.5851
98.800003 81.154 159.1776
100.000000 81.086 158.8451
101.500000 80.998 158.4901
103.000000 80.911 158.1764
104.400002 80.830 157.9017
106.000000 80.741 157.5781
107.500000 80.657 157.2584
109.000000 80.570 156.9510
110.599998 80.479 156.6611
112.000000 80.402 156.4258
113.800003 80.307 156.1301
115.000000 80.242 155.9436
117.199997 80.118 155.6524
118.000000 80.071 155.5645
120.599998 79.918 155.2930
122.000000 79.834 155.1405
124.099998 79.709 154.9191
125.000000 79.656 154.8346
126.500000 79.570 154.7127
128.000000 79.484 154.6102
131.500000 79.282 154.4147
132.000000 79.253 154.3934
134.000000 79.140 154.3265
136.000000 79.029 154.2821
138.000000 78.919 154.2570
140.000000 78.807 154.2583
143.000000 78.638 154.3273
145.000000 78.529 154.4088
147.500000 78.395 154.5222
150.000000 78.261 154.6313
152.500000 78.130 154.7559
155.000000 78.004 154.9135
157.500000 77.882 155.1425
160.000000 77.765 155.4316
162.500000 77.651 155.7748
165.000000 77.543 156.1770
167.500000 77.438 156.6124
170.000000 77.335 157.0229
172.500000 77.230 157.3797
175.000000 77.125 157.7293
177.500000 77.027 158.1039
180.000000 76.936 158.5051
182.500000 76.847 158.9486
185.000000 76.758 159.4457
187.500000 76.672 159.9769
190.000000 76.592 160.5192
192.500000 76.520 161.0772
195.000000 76.453 161.6592
197.500000 76.387 162.2602
200.000000 76.321 162.8712
203.000000 76.240 163.5821
206.000000 76.154 164.2543
209.000000 76.076 164.9559
212.000000 76.028 165.7982
214.000000 76.016 166.4099
218.000000 76.020 167.5238
220.000000 76.025 167.9869
224.000000 76.032 168.7946
227.000000 76.032 169.3217
230.000000 76.030 169.8083
233.000000 76.028 170.3016
236.000000 76.031 170.8270
240.000000 76.046 171.5681
243.000000 76.066 172.1134
247.000000 76.096 172.7809
250.000000 76.108 173.1775
254.000000 76.090 173.5472
258.000000 76.068 173.9568
262.000000 76.068 174.4841
265.000000 76.074 174.8945
269.000000 76.083 175.4156
272.000000 76.091 175.7799
276.000000 76.108 176.2317
280.000000 76.130 176.6700
285.000000 76.156 177.2040
290.000000 76.180 177.7071
295.000000 76.203 178.1866
300.000000 76.229 178.6451
304.000000 76.251 178.9922
307.000000 76.267 179.2405
311.000000 76.290 179.5559
315.000000 76.313 179.8560
320.000000 76.341 -179.7855
325.000000 76.369 -179.4498
330.000000 76.397 -179.1352
335.000000 76.425 -178.8362
340.000000 76.452 -178.5555
345.000000 76.478 -178.2912
350.000000 76.502 -178.0376
355.000000 76.524 -177.7913
360.000000 76.547 -177.5531
365.000000 76.570 -177.3248
370.000000 76.592 -177.1087
375.000000 76.614 -176.9071
382.000000 76.645 -176.6469
387.000000 76.667 -176.4700
395.000000 76.701 -176.1930
400.000000 76.720 -176.0246
406.000000 76.741 -175.8288
412.000000 76.761 -175.6387
418.000000 76.779 -175.4531
425.000000 76.800 -175.2402
431.000000 76.817 -175.0648
437.000000 76.832 -174.8946
444.000000 76.849 -174.7017
450.000000 76.862 -174.5400
455.000000 76.871 -174.4032
462.000000 76.883 -174.2052
468.000000 76.893 -174.0334
475.000000 76.905 -173.8376
482.000000 76.918 -173.6480
487.000000 76.928 -173.5145
494.000000 76.941 -173.3318
500.000000 76.953 -173.1795
508.000000 76.967 -172.9733
515.000000 76.978 -172.7871
522.000000 76.987 -172.5991
530.000000 76.997 -172.3824
538.000000 77.005 -172.1628
545.000000 77.012 -171.9689
552.000000 77.019 -171.7724
560.000000 77.027 -171.5432
570.000000 77.038 -171.2517
580.000000 77.048 -170.9537
590.000000 77.058 -170.6464
600.000000 77.067 -170.3313
608.000000 77.074 -170.0741
615.000000 77.080 -169.8449
622.000000 77.087 -169.6120
630.000000 77.096 -169.3412
640.000000 77.107 -168.9965
650.000000 77.119 -168.6455
660.000000 77.132 -168.2899
670.000000 77.146 -167.9291
680.000000 77.160 -167.5615
690.000000 77.176 -167.1870
700.000000 77.194 -166.8071
710.000000 77.213 -166.4220
720.000000 77.234 -166.0331
730.000000 77.257 -165.6418
740.000000 77.283 -165.2491
750.000000 77.311 -164.8574
762.000000 77.348 -164.3925
775.000000 77.395 -163.9022
788.000000 77.449 -163.4461
800.000000 77.504 -163.0933
812.000000 77.560 -162.8577
825.000000 77.604 -162.7795
838.000000 77.600 -162.8032
850.000000 77.541 -162.5947
862.000000 77.475 -161.8263
875.000000 77.474 -160.5667
885.000000 77.531 -159.6857
900.000000 77.649 -158.8002
912.000000 77.732 -158.3642
925.000000 77.795 -157.9436
938.000000 77.841 -157.3993
950.000000 77.892 -156.7523
962.000000 77.961 -156.0461
975.000000 78.057 -155.3186
988.000000 78.166 -154.6842
1000.000000 78.272 -154.1833
1015.000000 78.406 -153.6499
1030.000000 78.540 -153.1964
1044.000000 78.663 -152.8300
1060.000000 78.803 -152.4658
1075.000000 78.933 -152.1710
1090.000000 79.062 -151.9200
1106.000000 79.197 -151.6981
1120.000000 79.314 -151.5391
1138.000000 79.461 -151.3785
1150.000000 79.557 -151.2971
1172.000000 79.728 -151.1976
1180.000000 79.788 -151.1765
1206.000000 79.979 -151.1543
1220.000000 80.078 -151.1670
1241.000000 80.221 -151.2128
1250.000000 80.280 -151.2415
1265.000000 80.376 -151.2998
1280.000000 80.469 -151.3692
1315.000000 80.672 -151.5566
1320.000000 80.699 -151.5847
1340.000000 80.807 -151.6988
1360.000000 80.911 -151.8163
1380.000000 81.012 -151.9384
1400.000000 81.111 -152.0610
1430.000000 81.255 -152.2333
1450.000000 81.348 -152.3404
1475.000000 81.460 -152.4672
1500.000000 81.569 -152.5853
1525.000000 81.675 -152.6945
1550.000000 81.780 -152.7962
1575.000000 81.884 -152.8911
1600.000000 81.988 -152.9793
1625.000000 82.091 -153.0632
1650.000000 82.194 -153.1445
1675.000000 82.296 -153.2242
1700.000000 82.399 -153.3038
1725.000000 82.503 -153.3842
1750.000000 82.607 -153.4666
1775.000000 82.712 -153.5528
1800.000000 82.817 -153.6449
1825.000000 82.924 -153.7447
1850.000000 83.031 -153.8522
1875.000000 83.139 -153.9673
1900.000000 83.248 -154.0923
1925.000000 83.357 -154.2292
1950.000000 83.468 -154.3791
1975.000000 83.578 -154.5431
2000.000000 83.690 -154.7223
2030.000000 83.824 -154.9595
2060.000000 83.959 -155.2227
2090.000000 84.093 -155.5136
2120.000000 84.228 -155.8344
2140.000000 84.317 -156.0659
2180.000000 84.496 -156.5730
2200.000000 84.585 -156.8491
2240.000000 84.760 -157.4481
2270.000000 84.889 -157.9390
2300.000000 85.015 -158.4668
2330.000000 85.138 -159.0319
2360.000000 85.257 -159.6327
2400.000000 85.409 -160.4862
2430.000000 85.517 -161.1639
2470.000000 85.653 -162.1128
2500.000000 85.747 -162.8546
2540.000000 85.863 -163.8773
2580.000000 85.968 -164.9293
2620.000000 86.060 -166.0032
2650.000000 86.121 -166.8192
2690.000000 86.193 -167.9159
2720.000000 86.240 -168.7415
2760.000000 86.291 -169.8419
2800.000000 86.331 -170.9371
2850.000000 86.364 -172.2910
2900.000000 86.380 -173.6157
2950.000000 86.379 -174.8993
3000.000000 86.362 -176.1321
3040.000000 86.337 -177.0764
3070.000000 86.313 -177.7576
3110.000000 86.272 -178.6263
3150.000000 86.224 -179.4450
3200.000000 86.154 179.6088
3250.000000 86.074 178.7554
3300.000000 85.987 178.0026
3350.000000 85.896 177.3583
3400.000000 85.804 176.8263
3450.000000 85.715 176.3986
3500.000000 85.634 176.0472
3550.000000 85.562 175.7287
3600.000000 85.495 175.4056
3650.000000 85.427 175.0694
3700.000000 85.354 174.7390
3750.000000 85.277 174.4391
3820.000000 85.164 174.0981
3870.000000 85.083 173.9149
3950.000000 84.958 173.7136
4000.000000 84.884 173.6371
4060.000000 84.799 173.5886
4120.000000 84.719 173.5774
4180.000000 84.645 173.5904
4250.000000 84.564 173.6172
4310.000000 84.500 173.6350
4370.000000 84.439 173.6364
4440.000000 84.369 173.6076
4500.000000 84.309 173.5543
4550.000000 84.255 173.4929
4620.000000 84.172 173.3983
4680.000000 84.092 173.3345
4750.000000 83.990 173.3155
4820.000000 83.884 173.3781
4870.000000 83.811 173.4698
4940.000000 83.713 173.6427
5000.000000 83.636 173.8104
5080.000000 83.539 174.0341
5150.000000 83.460 174.2151
5220.000000 83.381 174.3759
5300.000000 83.289 174.5361
5380.000000 83.194 174.6802
5450.000000 83.107 174.8046
5520.000000 83.015 174.9402
5600.000000 82.904 175.1268
