* Measurement data measured by REW V5.31.1
* Source: Mikrofon (US-2x2 HR), MICROPHONE (Hauptlautstärke), L, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 25.05.2024 21:45:33
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Vader UUDD
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 83.811 -150.9439
20.299999 83.840 -151.5177
20.600000 83.870 -152.0966
20.900000 83.900 -152.6859
21.200001 83.927 -153.2821
21.400000 83.943 -153.6779
21.799999 83.969 -154.4462
22.000000 83.980 -154.8114
22.400000 84.001 -155.4961
22.700001 84.018 -155.9736
23.000000 84.037 -156.4310
23.299999 84.059 -156.8803
23.600000 84.083 -157.3312
24.000000 84.114 -157.9420
24.299999 84.136 -158.4053
24.700001 84.161 -159.0190
25.000000 84.178 -159.4682
25.400000 84.197 -160.0440
25.799999 84.215 -160.5919
26.200001 84.235 -161.1200
26.500000 84.251 -161.5115
26.900000 84.273 -162.0394
27.200001 84.290 -162.4453
27.600000 84.310 -163.0006
28.000000 84.326 -163.5630
28.500000 84.340 -164.2511
29.000000 84.350 -164.8988
29.500000 84.362 -165.5045
30.000000 84.379 -166.0916
30.400000 84.395 -166.5651
30.700001 84.408 -166.9260
31.100000 84.424 -167.4116
31.500000 84.438 -167.8944
32.000000 84.456 -168.4861
32.500000 84.474 -169.0702
33.000000 84.492 -169.6600
33.500000 84.506 -170.2556
34.000000 84.514 -170.8373
34.500000 84.518 -171.3847
35.000000 84.523 -171.9004
35.500000 84.529 -172.4073
36.000000 84.536 -172.9222
36.500000 84.539 -173.4387
37.000000 84.541 -173.9416
37.500000 84.545 -174.4340
38.200001 84.557 -175.1554
38.700001 84.563 -175.7163
39.500000 84.560 -176.6375
40.000000 84.550 -177.1719
40.599998 84.538 -177.7428
41.200001 84.533 -178.2558
41.799999 84.537 -178.7549
42.500000 84.549 -179.3720
43.099998 84.556 -179.9385
43.700001 84.556 179.4870
44.400002 84.550 178.8341
45.000000 84.541 178.2855
45.500000 84.531 177.8310
46.200001 84.513 177.1969
46.799999 84.496 176.6406
47.500000 84.470 175.9647
48.200001 84.431 175.3279
48.700001 84.402 174.9508
49.400002 84.378 174.5081
50.000000 84.378 174.1058
50.799999 84.387 173.4398
51.500000 84.387 172.8032
52.200001 84.382 172.1942
53.000000 84.374 171.5316
53.799999 84.362 170.8966
54.500000 84.347 170.3794
55.200001 84.329 169.8973
56.000000 84.310 169.3666
57.000000 84.284 168.6911
58.000000 84.253 167.9834
59.000000 84.216 167.2772
60.000000 84.181 166.5850
60.799999 84.154 166.0276
61.500000 84.130 165.5359
62.200001 84.106 165.0469
63.000000 84.076 164.5014
64.000000 84.036 163.8463
65.000000 83.994 163.2127
66.000000 83.949 162.5987
67.000000 83.903 162.0016
68.000000 83.857 161.4072
69.000000 83.810 160.8171
70.000000 83.764 160.2414
71.000000 83.719 159.6757
72.000000 83.674 159.1180
73.000000 83.628 158.5719
74.000000 83.582 158.0280
75.000000 83.534 157.4844
76.199997 83.472 156.8434
77.500000 83.400 156.1700
78.800003 83.326 155.5287
80.000000 83.259 154.9511
81.199997 83.191 154.3704
82.500000 83.114 153.7633
83.800003 83.037 153.1857
85.000000 82.968 152.6696
86.199997 82.901 152.1657
87.500000 82.829 151.6283
88.500000 82.772 151.2189
90.000000 82.685 150.6097
91.199997 82.612 150.1326
92.500000 82.531 149.6345
93.800003 82.451 149.1534
95.000000 82.380 148.7198
96.199997 82.310 148.2963
97.500000 82.234 147.8456
98.800003 82.155 147.4053
100.000000 82.076 147.0219
101.500000 81.973 146.5805
103.000000 81.869 146.1598
104.400002 81.774 145.7609
106.000000 81.666 145.2969
107.500000 81.565 144.8797
109.000000 81.466 144.4907
110.599998 81.360 144.1005
112.000000 81.268 143.7745
113.800003 81.147 143.3726
115.000000 81.068 143.1163
117.199997 80.925 142.6727
118.000000 80.874 142.5170
120.599998 80.707 142.0380
122.000000 80.615 141.8069
124.099998 80.473 141.5016
125.000000 80.413 141.3806
126.500000 80.312 141.1869
128.000000 80.211 141.0031
131.500000 79.982 140.6058
132.000000 79.949 140.5534
134.000000 79.819 140.3592
136.000000 79.689 140.1885
138.000000 79.559 140.0327
140.000000 79.431 139.8933
143.000000 79.241 139.7292
145.000000 79.116 139.6531
147.500000 78.961 139.5892
150.000000 78.810 139.5565
152.500000 78.662 139.5721
155.000000 78.517 139.6320
157.500000 78.371 139.7088
160.000000 78.225 139.7856
162.500000 78.083 139.8747
165.000000 77.946 139.9987
167.500000 77.810 140.1607
170.000000 77.675 140.3553
172.500000 77.544 140.5858
175.000000 77.418 140.8459
177.500000 77.297 141.1234
180.000000 77.177 141.4094
182.500000 77.060 141.7002
185.000000 76.944 142.0020
187.500000 76.831 142.3235
190.000000 76.721 142.6635
192.500000 76.613 143.0146
195.000000 76.510 143.3686
197.500000 76.412 143.7257
200.000000 76.320 144.0908
203.000000 76.216 144.5369
206.000000 76.115 144.9798
209.000000 76.013 145.4342
212.000000 75.913 145.9368
214.000000 75.850 146.2981
218.000000 75.730 147.0265
220.000000 75.674 147.3835
224.000000 75.568 148.0846
227.000000 75.494 148.5959
230.000000 75.424 149.0973
233.000000 75.356 149.6018
236.000000 75.293 150.1145
240.000000 75.216 150.7865
243.000000 75.162 151.2411
247.000000 75.097 151.7511
250.000000 75.053 152.1095
254.000000 74.991 152.7070
258.000000 74.921 153.4505
262.000000 74.851 154.2240
265.000000 74.802 154.7628
269.000000 74.740 155.4213
272.000000 74.700 155.9106
276.000000 74.661 156.5916
280.000000 74.632 157.2654
285.000000 74.598 158.0430
290.000000 74.572 158.7540
295.000000 74.556 159.4534
300.000000 74.548 160.1303
304.000000 74.546 160.6089
307.000000 74.545 160.9289
311.000000 74.541 161.3194
315.000000 74.532 161.6882
320.000000 74.519 162.1400
325.000000 74.504 162.5921
330.000000 74.487 163.0397
335.000000 74.470 163.4732
340.000000 74.453 163.8962
345.000000 74.438 164.3157
350.000000 74.423 164.7312
355.000000 74.410 165.1368
360.000000 74.398 165.5324
365.000000 74.388 165.9209
370.000000 74.377 166.3002
375.000000 74.367 166.6695
382.000000 74.354 167.1748
387.000000 74.344 167.5279
395.000000 74.330 168.0750
400.000000 74.322 168.4036
406.000000 74.313 168.7914
412.000000 74.305 169.1752
418.000000 74.297 169.5540
425.000000 74.287 169.9861
431.000000 74.279 170.3451
437.000000 74.272 170.6927
444.000000 74.263 171.0905
450.000000 74.256 171.4304
455.000000 74.250 171.7125
462.000000 74.242 172.1014
468.000000 74.235 172.4287
475.000000 74.228 172.8049
482.000000 74.220 173.1780
487.000000 74.215 173.4442
494.000000 74.207 173.8156
500.000000 74.201 174.1296
508.000000 74.193 174.5444
515.000000 74.187 174.9044
522.000000 74.181 175.2590
530.000000 74.174 175.6610
538.000000 74.168 176.0652
545.000000 74.162 176.4202
552.000000 74.157 176.7733
560.000000 74.151 177.1748
570.000000 74.145 177.6789
580.000000 74.139 178.1871
590.000000 74.135 178.6959
600.000000 74.132 179.2022
608.000000 74.130 179.6078
615.000000 74.129 179.9648
622.000000 74.129 -179.6777
630.000000 74.129 -179.2713
640.000000 74.130 -178.7668
650.000000 74.133 -178.2588
660.000000 74.136 -177.7437
670.000000 74.141 -177.2237
680.000000 74.147 -176.7027
690.000000 74.155 -176.1828
700.000000 74.165 -175.6609
710.000000 74.176 -175.1298
720.000000 74.191 -174.5887
730.000000 74.208 -174.0448
740.000000 74.229 -173.5029
750.000000 74.254 -172.9658
762.000000 74.288 -172.3354
775.000000 74.331 -171.6772
788.000000 74.381 -171.0598
800.000000 74.435 -170.5590
812.000000 74.490 -170.1740
825.000000 74.538 -169.9441
838.000000 74.540 -169.8484
850.000000 74.487 -169.5709
862.000000 74.420 -168.7595
875.000000 74.413 -167.4395
885.000000 74.463 -166.4865
900.000000 74.574 -165.4681
912.000000 74.653 -164.9242
925.000000 74.711 -164.3970
938.000000 74.752 -163.7523
950.000000 74.797 -163.0081
962.000000 74.862 -162.1975
975.000000 74.954 -161.3526
988.000000 75.061 -160.6011
1000.000000 75.165 -159.9958
1015.000000 75.299 -159.3412
1030.000000 75.434 -158.7760
1044.000000 75.560 -158.3112
1060.000000 75.702 -157.8412
1075.000000 75.834 -157.4535
1090.000000 75.965 -157.1138
1106.000000 76.102 -156.8022
1120.000000 76.221 -156.5695
1138.000000 76.371 -156.3188
1150.000000 76.469 -156.1807
1172.000000 76.644 -155.9855
1180.000000 76.706 -155.9305
1206.000000 76.901 -155.8031
1220.000000 77.002 -155.7653
1241.000000 77.148 -155.7417
1250.000000 77.209 -155.7410
1265.000000 77.307 -155.7504
1280.000000 77.402 -155.7715
1315.000000 77.611 -155.8537
1320.000000 77.639 -155.8681
1340.000000 77.751 -155.9302
1360.000000 77.859 -155.9973
1380.000000 77.962 -156.0669
1400.000000 78.062 -156.1364
1430.000000 78.206 -156.2378
1450.000000 78.298 -156.3007
1475.000000 78.411 -156.3734
1500.000000 78.521 -156.4375
1525.000000 78.628 -156.4924
1550.000000 78.734 -156.5420
1575.000000 78.839 -156.5885
1600.000000 78.944 -156.6319
1625.000000 79.048 -156.6714
1650.000000 79.152 -156.7062
1675.000000 79.256 -156.7386
1700.000000 79.361 -156.7717
1725.000000 79.465 -156.8081
1750.000000 79.571 -156.8494
1775.000000 79.678 -156.8965
1800.000000 79.786 -156.9507
1825.000000 79.894 -157.0128
1850.000000 80.004 -157.0832
1875.000000 80.114 -157.1619
1900.000000 80.224 -157.2518
1925.000000 80.336 -157.3552
1950.000000 80.450 -157.4734
1975.000000 80.564 -157.6078
2000.000000 80.679 -157.7591
2030.000000 80.817 -157.9644
2060.000000 80.957 -158.1986
2090.000000 81.097 -158.4636
2120.000000 81.237 -158.7603
2140.000000 81.330 -158.9765
2180.000000 81.516 -159.4554
2200.000000 81.608 -159.7197
2240.000000 81.792 -160.3009
2270.000000 81.927 -160.7844
2300.000000 82.060 -161.3098
2330.000000 82.190 -161.8761
2360.000000 82.316 -162.4821
2400.000000 82.478 -163.3496
2430.000000 82.593 -164.0426
2470.000000 82.738 -165.0189
2500.000000 82.839 -165.7870
2540.000000 82.964 -166.8524
2580.000000 83.076 -167.9582
2620.000000 83.176 -169.0966
2650.000000 83.242 -169.9660
2690.000000 83.319 -171.1391
2720.000000 83.367 -172.0259
2760.000000 83.420 -173.2122
2800.000000 83.460 -174.3951
2850.000000 83.491 -175.8561
2900.000000 83.503 -177.2845
2950.000000 83.497 -178.6698
3000.000000 83.473 179.9982
3040.000000 83.444 178.9766
3070.000000 83.415 178.2383
3110.000000 83.369 177.2947
3150.000000 83.315 176.4016
3200.000000 83.237 175.3595
3250.000000 83.149 174.4056
3300.000000 83.052 173.5443
3350.000000 82.950 172.7765
3400.000000 82.842 172.1038
3450.000000 82.732 171.5279
3500.000000 82.621 171.0475
3550.000000 82.512 170.6571
3600.000000 82.408 170.3443
3650.000000 82.310 170.0875
3700.000000 82.218 169.8630
3750.000000 82.130 169.6549
3820.000000 82.008 169.3889
3870.000000 81.920 169.2278
3950.000000 81.781 169.0407
4000.000000 81.695 168.9691
4060.000000 81.596 168.9227
4120.000000 81.501 168.9101
4180.000000 81.410 168.9220
4250.000000 81.310 168.9566
4310.000000 81.228 168.9962
4370.000000 81.150 169.0380
4440.000000 81.062 169.0820
4500.000000 80.989 169.1110
4550.000000 80.929 169.1273
4620.000000 80.845 169.1366
4680.000000 80.773 169.1303
4750.000000 80.687 169.1041
4820.000000 80.599 169.0579
4870.000000 80.532 169.0151
4940.000000 80.434 168.9470
5000.000000 80.344 168.8881
5080.000000 80.215 168.8250
5150.000000 80.095 168.7993
5220.000000 79.968 168.8140
5300.000000 79.817 168.8892
5380.000000 79.663 169.0271
5450.000000 79.526 169.1962
5520.000000 79.388 169.4096
5600.000000 79.229 169.7089
5700.000000 79.029 170.1695
5800.000000 78.828 170.7325
5900.000000 78.629 171.4065
6000.000000 78.433 172.2022
6080.000000 78.281 172.9317
