* Measurement data measured by REW V5.31.1
* Source: Mikrofon (US-2x2 HR), MICROPHONE (Hauptlautstärke), L, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 25.05.2024 21:46:16
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Vader UUUD
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 83.818 -150.7957
20.299999 83.847 -151.3716
20.600000 83.874 -151.9464
20.900000 83.900 -152.5163
21.200001 83.922 -153.0750
21.400000 83.936 -153.4384
21.799999 83.963 -154.1393
22.000000 83.977 -154.4772
22.400000 84.004 -155.1348
22.700001 84.027 -155.6195
23.000000 84.049 -156.1034
23.299999 84.071 -156.5889
23.600000 84.093 -157.0750
24.000000 84.118 -157.7173
24.299999 84.136 -158.1890
24.700001 84.157 -158.7996
25.000000 84.173 -159.2439
25.400000 84.194 -159.8227
25.799999 84.216 -160.3917
26.200001 84.237 -160.9550
26.500000 84.253 -161.3744
26.900000 84.273 -161.9287
27.200001 84.287 -162.3407
27.600000 84.305 -162.8848
28.000000 84.322 -163.4221
28.500000 84.341 -164.0812
29.000000 84.359 -164.7225
29.500000 84.375 -165.3472
30.000000 84.392 -165.9615
30.400000 84.406 -166.4499
30.700001 84.415 -166.8149
31.100000 84.427 -167.2989
31.500000 84.438 -167.7780
32.000000 84.450 -168.3685
32.500000 84.462 -168.9499
33.000000 84.473 -169.5228
33.500000 84.483 -170.0873
34.000000 84.493 -170.6445
34.500000 84.502 -171.1973
35.000000 84.510 -171.7474
35.500000 84.517 -172.2930
36.000000 84.522 -172.8298
36.500000 84.526 -173.3540
37.000000 84.528 -173.8648
37.500000 84.530 -174.3631
38.200001 84.533 -175.0436
38.700001 84.535 -175.5232
39.500000 84.538 -176.2916
40.000000 84.539 -176.7725
40.599998 84.537 -177.3418
41.200001 84.536 -177.8990
41.799999 84.535 -178.4516
42.500000 84.535 -179.1018
43.099998 84.533 -179.6611
43.700001 84.529 179.7853
44.400002 84.524 179.1500
45.000000 84.519 178.6148
45.500000 84.513 178.1752
46.200001 84.503 177.5681
46.799999 84.491 177.0621
47.500000 84.475 176.5148
48.200001 84.463 176.0120
48.700001 84.461 175.6419
49.400002 84.460 175.0538
50.000000 84.450 174.4973
50.799999 84.420 173.7871
51.500000 84.390 173.2478
52.200001 84.367 172.7498
53.000000 84.346 172.1732
53.799999 84.327 171.5780
54.500000 84.309 171.0526
55.200001 84.289 170.5327
56.000000 84.264 169.9525
57.000000 84.232 169.2493
58.000000 84.197 168.5668
59.000000 84.163 167.8959
60.000000 84.127 167.2275
60.799999 84.097 166.6928
61.500000 84.070 166.2258
62.200001 84.042 165.7623
63.000000 84.009 165.2407
64.000000 83.965 164.6076
65.000000 83.922 163.9976
66.000000 83.878 163.3979
67.000000 83.834 162.8003
68.000000 83.786 162.2136
69.000000 83.737 161.6447
70.000000 83.688 161.0879
71.000000 83.639 160.5341
72.000000 83.588 159.9829
73.000000 83.535 159.4442
74.000000 83.482 158.9222
75.000000 83.428 158.4129
76.199997 83.362 157.8165
77.500000 83.290 157.1861
78.800003 83.216 156.5663
80.000000 83.146 156.0056
81.199997 83.075 155.4572
82.500000 82.998 154.8756
83.800003 82.921 154.3014
85.000000 82.849 153.7805
86.199997 82.776 153.2770
87.500000 82.696 152.7578
88.500000 82.634 152.3786
90.000000 82.538 151.8383
91.199997 82.461 151.4203
92.500000 82.378 150.9648
93.800003 82.297 150.4948
95.000000 82.223 150.0481
96.199997 82.149 149.6007
97.500000 82.068 149.1380
98.800003 81.981 148.7216
100.000000 81.898 148.3933
101.500000 81.791 148.0409
103.000000 81.684 147.7020
104.400002 81.584 147.3763
106.000000 81.469 146.9985
107.500000 81.363 146.6537
109.000000 81.259 146.3278
110.599998 81.148 146.0028
112.000000 81.051 145.7362
113.800003 80.926 145.4159
115.000000 80.843 145.2177
117.199997 80.693 144.8808
118.000000 80.638 144.7648
120.599998 80.456 144.4193
122.000000 80.358 144.2523
124.099998 80.211 144.0225
125.000000 80.148 143.9330
126.500000 80.044 143.8002
128.000000 79.940 143.6898
131.500000 79.699 143.4927
132.000000 79.665 143.4703
134.000000 79.530 143.3972
136.000000 79.397 143.3511
138.000000 79.265 143.3280
140.000000 79.133 143.3300
143.000000 78.936 143.3846
145.000000 78.806 143.4451
147.500000 78.647 143.5452
150.000000 78.490 143.6849
152.500000 78.339 143.8644
155.000000 78.191 144.0764
157.500000 78.046 144.3223
160.000000 77.904 144.6074
162.500000 77.766 144.9328
165.000000 77.630 145.2912
167.500000 77.496 145.6674
170.000000 77.367 146.0537
172.500000 77.244 146.4531
175.000000 77.126 146.8703
177.500000 77.012 147.3134
180.000000 76.902 147.7822
182.500000 76.797 148.2719
185.000000 76.698 148.7776
187.500000 76.603 149.2939
190.000000 76.512 149.8157
192.500000 76.424 150.3413
195.000000 76.341 150.8739
197.500000 76.261 151.4156
200.000000 76.187 151.9645
203.000000 76.102 152.6270
206.000000 76.024 153.2920
209.000000 75.952 153.9591
212.000000 75.884 154.6264
214.000000 75.842 155.0712
218.000000 75.765 155.9538
220.000000 75.729 156.3895
224.000000 75.665 157.2536
227.000000 75.622 157.8932
230.000000 75.585 158.5228
233.000000 75.553 159.1399
236.000000 75.524 159.7359
240.000000 75.490 160.4965
243.000000 75.466 161.0519
247.000000 75.437 161.7717
250.000000 75.417 162.3076
254.000000 75.397 163.0496
258.000000 75.385 163.7656
262.000000 75.378 164.4095
265.000000 75.374 164.8691
269.000000 75.369 165.4727
272.000000 75.366 165.9159
276.000000 75.366 166.4870
280.000000 75.368 167.0266
285.000000 75.374 167.6573
290.000000 75.383 168.2542
295.000000 75.394 168.8168
300.000000 75.406 169.3536
304.000000 75.415 169.7719
307.000000 75.422 170.0772
311.000000 75.432 170.4694
315.000000 75.442 170.8425
320.000000 75.455 171.2859
325.000000 75.468 171.7041
330.000000 75.481 172.0978
335.000000 75.494 172.4765
340.000000 75.506 172.8426
345.000000 75.519 173.1920
350.000000 75.532 173.5280
355.000000 75.544 173.8549
360.000000 75.556 174.1725
365.000000 75.566 174.4812
370.000000 75.576 174.7841
375.000000 75.585 175.0846
382.000000 75.599 175.4968
387.000000 75.610 175.7823
395.000000 75.632 176.2205
400.000000 75.647 176.4777
406.000000 75.665 176.7638
412.000000 75.681 177.0217
418.000000 75.697 177.2535
425.000000 75.712 177.5031
431.000000 75.723 177.7085
437.000000 75.731 177.9132
444.000000 75.738 178.1550
450.000000 75.742 178.3661
455.000000 75.745 178.5449
462.000000 75.749 178.7975
468.000000 75.752 179.0129
475.000000 75.755 179.2634
482.000000 75.757 179.5124
487.000000 75.758 179.6892
494.000000 75.759 179.9366
500.000000 75.760 -179.8518
508.000000 75.761 -179.5691
515.000000 75.762 -179.3196
522.000000 75.762 -179.0666
530.000000 75.762 -178.7732
538.000000 75.762 -178.4792
545.000000 75.762 -178.2224
552.000000 75.762 -177.9641
560.000000 75.762 -177.6651
570.000000 75.762 -177.2855
580.000000 75.763 -176.9035
590.000000 75.764 -176.5170
600.000000 75.765 -176.1223
608.000000 75.766 -175.8014
615.000000 75.767 -175.5167
622.000000 75.769 -175.2294
630.000000 75.771 -174.8985
640.000000 75.776 -174.4808
650.000000 75.781 -174.0577
660.000000 75.788 -173.6278
670.000000 75.796 -173.1923
680.000000 75.804 -172.7535
690.000000 75.814 -172.3130
700.000000 75.827 -171.8687
710.000000 75.841 -171.4188
720.000000 75.857 -170.9638
730.000000 75.876 -170.5074
740.000000 75.897 -170.0510
750.000000 75.920 -169.5943
762.000000 75.953 -169.0512
775.000000 75.994 -168.4810
788.000000 76.042 -167.9476
800.000000 76.093 -167.5165
812.000000 76.144 -167.1908
825.000000 76.185 -167.0032
838.000000 76.181 -166.9144
850.000000 76.128 -166.6207
862.000000 76.067 -165.8053
875.000000 76.068 -164.5210
885.000000 76.123 -163.6118
900.000000 76.238 -162.6436
912.000000 76.321 -162.1157
925.000000 76.390 -161.6020
938.000000 76.445 -161.0067
950.000000 76.502 -160.3582
962.000000 76.575 -159.6755
975.000000 76.668 -158.9752
988.000000 76.772 -158.3528
1000.000000 76.870 -157.8438
1015.000000 76.995 -157.2758
1030.000000 77.121 -156.7651
1044.000000 77.239 -156.3307
1060.000000 77.376 -155.8842
1075.000000 77.505 -155.5159
1090.000000 77.634 -155.1963
1106.000000 77.772 -154.9076
1120.000000 77.891 -154.6974
1138.000000 78.042 -154.4812
1150.000000 78.140 -154.3689
1172.000000 78.315 -154.2224
1180.000000 78.378 -154.1856
1206.000000 78.575 -154.1181
1220.000000 78.676 -154.1100
1241.000000 78.823 -154.1278
1250.000000 78.883 -154.1452
1265.000000 78.982 -154.1865
1280.000000 79.077 -154.2404
1315.000000 79.287 -154.4004
1320.000000 79.316 -154.4259
1340.000000 79.427 -154.5309
1360.000000 79.534 -154.6387
1380.000000 79.637 -154.7484
1400.000000 79.737 -154.8581
1430.000000 79.880 -155.0194
1450.000000 79.972 -155.1216
1475.000000 80.084 -155.2414
1500.000000 80.192 -155.3534
1525.000000 80.299 -155.4585
1550.000000 80.404 -155.5560
1575.000000 80.508 -155.6474
1600.000000 80.611 -155.7336
1625.000000 80.714 -155.8144
1650.000000 80.817 -155.8915
1675.000000 80.920 -155.9669
1700.000000 81.023 -156.0419
1725.000000 81.127 -156.1166
1750.000000 81.231 -156.1923
1775.000000 81.336 -156.2722
1800.000000 81.442 -156.3591
1825.000000 81.548 -156.4550
1850.000000 81.656 -156.5599
1875.000000 81.764 -156.6733
1900.000000 81.873 -156.7954
1925.000000 81.983 -156.9281
1950.000000 82.094 -157.0740
1975.000000 82.205 -157.2349
2000.000000 82.317 -157.4123
2030.000000 82.453 -157.6486
2060.000000 82.589 -157.9128
2090.000000 82.726 -158.2067
2120.000000 82.862 -158.5308
2140.000000 82.953 -158.7642
2180.000000 83.135 -159.2755
2200.000000 83.225 -159.5543
2240.000000 83.404 -160.1621
2270.000000 83.536 -160.6643
2300.000000 83.665 -161.2060
2330.000000 83.791 -161.7860
2360.000000 83.914 -162.4038
2400.000000 84.070 -163.2857
2430.000000 84.182 -163.9880
2470.000000 84.322 -164.9738
2500.000000 84.421 -165.7471
2540.000000 84.542 -166.8177
2580.000000 84.651 -167.9251
2620.000000 84.747 -169.0607
2650.000000 84.811 -169.9270
2690.000000 84.885 -171.0958
2720.000000 84.932 -171.9790
2760.000000 84.984 -173.1596
2800.000000 85.023 -174.3365
2850.000000 85.055 -175.7920
2900.000000 85.069 -177.2207
2950.000000 85.064 -178.6112
3000.000000 85.042 -179.9524
3040.000000 85.014 179.0166
3070.000000 84.986 178.2712
3110.000000 84.941 177.3181
3150.000000 84.888 176.4150
3200.000000 84.812 175.3602
3250.000000 84.727 174.3896
3300.000000 84.635 173.5034
3350.000000 84.536 172.7009
3400.000000 84.432 171.9810
3450.000000 84.325 171.3424
3500.000000 84.216 170.7834
3550.000000 84.106 170.3003
3600.000000 83.995 169.8880
3650.000000 83.886 169.5408
3700.000000 83.778 169.2542
3750.000000 83.672 169.0229
3820.000000 83.528 168.7823
3870.000000 83.429 168.6644
3950.000000 83.278 168.5583
4000.000000 83.188 168.5355
4060.000000 83.086 168.5409
4120.000000 82.991 168.5687
4180.000000 82.902 168.6066
4250.000000 82.802 168.6554
4310.000000 82.720 168.6989
4370.000000 82.639 168.7437
4440.000000 82.548 168.7953
4500.000000 82.472 168.8373
4550.000000 82.409 168.8703
4620.000000 82.321 168.9123
4680.000000 82.246 168.9423
4750.000000 82.159 168.9685
4820.000000 82.071 168.9850
4870.000000 82.007 168.9905
4940.000000 81.915 168.9903
5000.000000 81.833 168.9846
5080.000000 81.720 168.9740
5150.000000 81.616 168.9648
5220.000000 81.508 168.9607
5300.000000 81.377 168.9704
5380.000000 81.239 169.0048
5450.000000 81.112 169.0635
5520.000000 80.981 169.1563
5600.000000 80.825 169.3120
5700.000000 80.623 169.5933
5800.000000 80.416 169.9874
5900.000000 80.206 170.5082
6000.000000 79.997 171.1608
