* Measurement data measured by REW V5.31.1
* Source: Mikrofon (US-2x2 HR), MICROPHONE (Hauptlautstärke), L, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 25.05.2024 21:43:19
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Vader UUUU
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 83.885 -150.5677
20.299999 83.914 -151.1407
20.600000 83.942 -151.7055
20.900000 83.968 -152.2613
21.200001 83.992 -152.8066
21.400000 84.008 -153.1636
21.799999 84.037 -153.8613
22.000000 84.050 -154.2025
22.400000 84.077 -154.8711
22.700001 84.095 -155.3623
23.000000 84.113 -155.8455
23.299999 84.131 -156.3209
23.600000 84.147 -156.7883
24.000000 84.168 -157.3992
24.299999 84.184 -157.8494
24.700001 84.205 -158.4414
25.000000 84.221 -158.8811
25.400000 84.241 -159.4625
25.799999 84.260 -160.0368
26.200001 84.279 -160.6019
26.500000 84.293 -161.0190
26.900000 84.311 -161.5677
27.200001 84.325 -161.9755
27.600000 84.344 -162.5162
28.000000 84.361 -163.0531
28.500000 84.381 -163.7139
29.000000 84.400 -164.3577
29.500000 84.418 -164.9851
30.000000 84.435 -165.6019
30.400000 84.448 -166.0898
30.700001 84.457 -166.4521
31.100000 84.468 -166.9285
31.500000 84.478 -167.3962
32.000000 84.490 -167.9700
32.500000 84.501 -168.5349
33.000000 84.511 -169.0915
33.500000 84.520 -169.6388
34.000000 84.529 -170.1789
34.500000 84.538 -170.7173
35.000000 84.546 -171.2572
35.500000 84.553 -171.7941
36.000000 84.558 -172.3202
36.500000 84.563 -172.8337
37.000000 84.569 -173.3404
37.500000 84.574 -173.8462
38.200001 84.580 -174.5503
38.700001 84.582 -175.0417
39.500000 84.583 -175.8021
40.000000 84.584 -176.2674
40.599998 84.584 -176.8230
41.200001 84.582 -177.3772
41.799999 84.577 -177.9270
42.500000 84.570 -178.5587
43.099998 84.562 -179.0934
43.700001 84.555 -179.6260
44.400002 84.545 179.7525
45.000000 84.536 179.2208
45.500000 84.529 178.7795
46.200001 84.520 178.1654
46.799999 84.515 177.6357
47.500000 84.508 176.9951
48.200001 84.496 176.3375
48.700001 84.481 175.8897
49.400002 84.457 175.3331
50.000000 84.441 174.9082
50.799999 84.425 174.3458
51.500000 84.410 173.8416
52.200001 84.392 173.3519
53.000000 84.370 172.8069
53.799999 84.348 172.2527
54.500000 84.324 171.7663
55.200001 84.300 171.2891
56.000000 84.272 170.7477
57.000000 84.239 170.0570
58.000000 84.205 169.3449
59.000000 84.166 168.6370
60.000000 84.123 167.9668
60.799999 84.088 167.4633
61.500000 84.059 167.0401
62.200001 84.031 166.6227
63.000000 84.000 166.1420
64.000000 83.958 165.5314
65.000000 83.912 164.9249
66.000000 83.863 164.3389
67.000000 83.814 163.7648
68.000000 83.765 163.1890
69.000000 83.712 162.6217
70.000000 83.658 162.0742
71.000000 83.604 161.5446
72.000000 83.550 161.0271
73.000000 83.496 160.5165
74.000000 83.443 160.0109
75.000000 83.388 159.5133
76.199997 83.320 158.9308
77.500000 83.244 158.3228
78.800003 83.164 157.7436
80.000000 83.087 157.2319
81.199997 83.010 156.7318
82.500000 82.926 156.1946
83.800003 82.843 155.6647
85.000000 82.767 155.1881
86.199997 82.693 154.7288
87.500000 82.612 154.2549
88.500000 82.550 153.9056
90.000000 82.454 153.3973
91.199997 82.377 152.9901
92.500000 82.288 152.5464
93.800003 82.197 152.1246
95.000000 82.112 151.7678
96.199997 82.029 151.4349
97.500000 81.940 151.0850
98.800003 81.848 150.7413
100.000000 81.760 150.4334
101.500000 81.647 150.0633
103.000000 81.533 149.7100
104.400002 81.428 149.3988
106.000000 81.310 149.0674
107.500000 81.201 148.7797
109.000000 81.093 148.5164
110.599998 80.975 148.2626
112.000000 80.872 148.0586
113.800003 80.737 147.8214
115.000000 80.646 147.6863
117.199997 80.479 147.4879
118.000000 80.420 147.4230
120.599998 80.227 147.2146
122.000000 80.123 147.1111
124.099998 79.971 146.9808
125.000000 79.906 146.9375
126.500000 79.799 146.8857
128.000000 79.692 146.8614
131.500000 79.441 146.9019
132.000000 79.404 146.9171
134.000000 79.260 146.9967
136.000000 79.118 147.1016
138.000000 78.978 147.2302
140.000000 78.842 147.3840
143.000000 78.640 147.6721
145.000000 78.507 147.9065
147.500000 78.345 148.2392
150.000000 78.187 148.6053
152.500000 78.033 149.0020
155.000000 77.883 149.4342
157.500000 77.736 149.9140
160.000000 77.595 150.4340
162.500000 77.461 150.9819
165.000000 77.333 151.5561
167.500000 77.209 152.1714
170.000000 77.090 152.8232
172.500000 76.977 153.4845
175.000000 76.871 154.1514
177.500000 76.771 154.8347
180.000000 76.678 155.5352
182.500000 76.591 156.2486
185.000000 76.509 156.9720
187.500000 76.433 157.7044
190.000000 76.362 158.4464
192.500000 76.298 159.1951
195.000000 76.241 159.9474
197.500000 76.189 160.7023
200.000000 76.142 161.4575
203.000000 76.090 162.3588
206.000000 76.047 163.2520
209.000000 76.011 164.1312
212.000000 75.982 164.9850
214.000000 75.966 165.5370
218.000000 75.943 166.6089
220.000000 75.934 167.1327
224.000000 75.923 168.1557
227.000000 75.920 168.8999
230.000000 75.923 169.6245
233.000000 75.931 170.3281
236.000000 75.942 171.0130
240.000000 75.964 171.8955
243.000000 75.983 172.5225
247.000000 76.011 173.3065
250.000000 76.034 173.8663
254.000000 76.062 174.5934
258.000000 76.093 175.2852
262.000000 76.131 175.9248
265.000000 76.161 176.3759
269.000000 76.202 176.9432
272.000000 76.234 177.3479
276.000000 76.276 177.8677
280.000000 76.318 178.3610
285.000000 76.372 178.9325
290.000000 76.427 179.4555
295.000000 76.481 179.9408
300.000000 76.533 -179.6089
304.000000 76.574 -179.2747
307.000000 76.605 -179.0383
311.000000 76.645 -178.7406
315.000000 76.684 -178.4595
320.000000 76.732 -178.1279
325.000000 76.778 -177.8194
330.000000 76.823 -177.5365
335.000000 76.866 -177.2773
340.000000 76.908 -177.0362
345.000000 76.949 -176.8100
350.000000 76.987 -176.5971
355.000000 77.024 -176.3985
360.000000 77.060 -176.2117
365.000000 77.093 -176.0328
370.000000 77.126 -175.8625
375.000000 77.156 -175.7033
382.000000 77.197 -175.4954
387.000000 77.225 -175.3515
395.000000 77.266 -175.1299
400.000000 77.290 -174.9991
406.000000 77.317 -174.8487
412.000000 77.342 -174.6990
418.000000 77.366 -174.5486
425.000000 77.392 -174.3753
431.000000 77.415 -174.2288
437.000000 77.437 -174.0862
444.000000 77.464 -173.9241
450.000000 77.486 -173.7905
455.000000 77.504 -173.6857
462.000000 77.526 -173.5495
468.000000 77.543 -173.4420
475.000000 77.560 -173.3230
482.000000 77.576 -173.2036
487.000000 77.586 -173.1137
494.000000 77.600 -172.9789
500.000000 77.611 -172.8575
508.000000 77.624 -172.6925
515.000000 77.634 -172.5452
522.000000 77.643 -172.3930
530.000000 77.652 -172.2131
538.000000 77.661 -172.0288
545.000000 77.669 -171.8634
552.000000 77.676 -171.6932
560.000000 77.684 -171.4939
570.000000 77.694 -171.2383
580.000000 77.704 -170.9739
590.000000 77.713 -170.7000
600.000000 77.723 -170.4170
608.000000 77.730 -170.1835
615.000000 77.736 -169.9737
622.000000 77.743 -169.7594
630.000000 77.750 -169.5107
640.000000 77.760 -169.1937
650.000000 77.770 -168.8685
660.000000 77.781 -168.5349
670.000000 77.794 -168.1931
680.000000 77.807 -167.8423
690.000000 77.822 -167.4850
700.000000 77.838 -167.1211
710.000000 77.856 -166.7508
720.000000 77.876 -166.3760
730.000000 77.898 -165.9974
740.000000 77.923 -165.6162
750.000000 77.950 -165.2353
762.000000 77.986 -164.7809
775.000000 78.031 -164.3011
788.000000 78.082 -163.8536
800.000000 78.134 -163.5025
812.000000 78.184 -163.2581
825.000000 78.222 -163.1499
838.000000 78.215 -163.1072
850.000000 78.161 -162.8139
862.000000 78.109 -162.0023
875.000000 78.122 -160.7839
885.000000 78.182 -159.9552
900.000000 78.300 -159.1092
912.000000 78.381 -158.6658
925.000000 78.444 -158.2213
938.000000 78.494 -157.6600
950.000000 78.547 -157.0120
962.000000 78.619 -156.3132
975.000000 78.718 -155.5936
988.000000 78.830 -154.9639
1000.000000 78.938 -154.4669
1015.000000 79.077 -153.9394
1030.000000 79.215 -153.4932
1044.000000 79.343 -153.1357
1060.000000 79.488 -152.7861
1075.000000 79.624 -152.5098
1090.000000 79.757 -152.2794
1106.000000 79.897 -152.0811
1120.000000 80.018 -151.9450
1138.000000 80.170 -151.8171
1150.000000 80.270 -151.7591
1172.000000 80.446 -151.7053
1180.000000 80.509 -151.7012
1206.000000 80.705 -151.7369
1220.000000 80.807 -151.7827
1241.000000 80.953 -151.8790
1250.000000 81.014 -151.9287
1265.000000 81.112 -152.0205
1280.000000 81.207 -152.1217
1315.000000 81.417 -152.3851
1320.000000 81.445 -152.4250
1340.000000 81.557 -152.5878
1360.000000 81.664 -152.7523
1380.000000 81.767 -152.9171
1400.000000 81.866 -153.0811
1430.000000 82.009 -153.3196
1450.000000 82.101 -153.4706
1475.000000 82.212 -153.6499
1500.000000 82.321 -153.8193
1525.000000 82.426 -153.9787
1550.000000 82.531 -154.1306
1575.000000 82.634 -154.2754
1600.000000 82.737 -154.4121
1625.000000 82.839 -154.5420
1650.000000 82.940 -154.6680
1675.000000 83.042 -154.7928
1700.000000 83.143 -154.9163
1725.000000 83.245 -155.0399
1750.000000 83.348 -155.1649
1775.000000 83.451 -155.2925
1800.000000 83.555 -155.4237
1825.000000 83.659 -155.5601
1850.000000 83.765 -155.7044
1875.000000 83.871 -155.8587
1900.000000 83.978 -156.0229
1925.000000 84.085 -156.1967
1950.000000 84.193 -156.3817
1975.000000 84.302 -156.5804
2000.000000 84.411 -156.7944
2030.000000 84.543 -157.0724
2060.000000 84.676 -157.3748
2090.000000 84.808 -157.7040
2120.000000 84.941 -158.0615
2140.000000 85.029 -158.3163
2180.000000 85.204 -158.8673
2200.000000 85.292 -159.1652
2240.000000 85.464 -159.8083
2270.000000 85.591 -160.3327
2300.000000 85.716 -160.8939
2330.000000 85.837 -161.4919
2360.000000 85.955 -162.1253
2400.000000 86.105 -163.0225
2430.000000 86.211 -163.7331
2470.000000 86.346 -164.7262
2500.000000 86.439 -165.5010
2540.000000 86.555 -166.5677
2580.000000 86.658 -167.6669
2620.000000 86.750 -168.7912
2650.000000 86.810 -169.6458
2690.000000 86.881 -170.7951
2720.000000 86.925 -171.6607
2760.000000 86.975 -172.8139
2800.000000 87.012 -173.9619
2850.000000 87.043 -175.3825
2900.000000 87.056 -176.7770
2950.000000 87.053 -178.1343
3000.000000 87.034 -179.4444
3040.000000 87.008 179.5469
3070.000000 86.982 178.8164
3110.000000 86.940 177.8810
3150.000000 86.891 176.9933
3200.000000 86.821 175.9550
3250.000000 86.741 174.9971
3300.000000 86.655 174.1181
3350.000000 86.564 173.3168
3400.000000 86.467 172.5929
3450.000000 86.368 171.9445
3500.000000 86.265 171.3690
3550.000000 86.162 170.8638
3600.000000 86.059 170.4240
3650.000000 85.956 170.0449
3700.000000 85.854 169.7223
3750.000000 85.754 169.4509
3820.000000 85.618 169.1456
3870.000000 85.524 168.9747
3950.000000 85.378 168.7742
4000.000000 85.291 168.6887
4060.000000 85.190 168.6185
4120.000000 85.094 168.5764
4180.000000 85.001 168.5558
4250.000000 84.898 168.5514
4310.000000 84.815 168.5576
4370.000000 84.734 168.5640
4440.000000 84.644 168.5635
4500.000000 84.568 168.5535
4550.000000 84.505 168.5383
4620.000000 84.416 168.5070
4680.000000 84.339 168.4719
4750.000000 84.248 168.4222
4820.000000 84.155 168.3636
4870.000000 84.086 168.3166
4940.000000 83.987 168.2452
5000.000000 83.899 168.1810
5080.000000 83.776 168.0970
5150.000000 83.664 168.0295
5220.000000 83.546 167.9703
5300.000000 83.404 167.9192
5380.000000 83.253 167.8960
5450.000000 83.115 167.9080
5520.000000 82.971 167.9585
5600.000000 82.800 168.0730
5700.000000 82.579 168.3156
