* Measurement data measured by REW V5.20.13
* Source: Headset Microphone (Realtek(R) Audio), MICROPHONE (Hauptlautstärke), L, volume: 1,000
* Format: 256k Log Swept Sine, 1 sweep at -8,0 dBFS with no timing reference
* Dated: 20.08.2023 14:12:16
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: realme Air 5 Harpo Custom
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	114.594	-138.1076
20.299999	114.649	-138.3813
20.600000	114.706	-138.7159
20.900000	114.756	-139.0993
21.200001	114.799	-139.4943
21.400000	114.824	-139.7462
21.799999	114.872	-140.2181
22.000000	114.895	-140.4418
22.400000	114.944	-140.8868
22.700001	114.980	-141.2306
23.000000	115.014	-141.5797
23.299999	115.046	-141.9195
23.600000	115.076	-142.2399
24.000000	115.119	-142.6337
24.299999	115.154	-142.9151
24.700001	115.206	-143.2946
25.000000	115.247	-143.5934
25.400000	115.300	-144.0119
25.799999	115.350	-144.4385
26.200001	115.395	-144.8534
26.500000	115.426	-145.1471
26.900000	115.464	-145.5085
27.200001	115.491	-145.7559
27.600000	115.528	-146.0588
28.000000	115.564	-146.3432
28.500000	115.607	-146.6929
29.000000	115.644	-147.0415
29.500000	115.675	-147.3738
30.000000	115.702	-147.6833
30.400000	115.724	-147.9319
30.700001	115.741	-148.1333
31.100000	115.760	-148.4337
31.500000	115.775	-148.7682
32.000000	115.781	-149.2049
32.500000	115.773	-149.6124
33.000000	115.758	-149.9355
33.500000	115.742	-150.1333
34.000000	115.739	-150.1949
34.500000	115.763	-150.1744
35.000000	115.818	-150.1807
35.500000	115.893	-150.3249
36.000000	115.969	-150.6327
36.500000	116.031	-151.0365
37.000000	116.077	-151.4373
37.500000	116.116	-151.7869
38.200001	116.167	-152.2150
38.700001	116.203	-152.5088
39.500000	116.254	-152.9623
40.000000	116.284	-153.2384
40.599998	116.319	-153.5866
41.200001	116.348	-153.9611
41.799999	116.370	-154.3361
42.500000	116.393	-154.7460
